,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,BROOKLYN_ACTION,CHARLOTTE_SCORE,BROOKLYN_SCORE
0,1,11:46.0,,J. Allen makes 2-pt layup from 1 ft (assist by D. Russell),0,2
1,1,11:29.0,K. Walker makes 2-pt jump shot from 18 ft (assist by J. Lamb),,2,2
2,1,11:04.0,,Turnover by J. Allen (lost ball; steal by K. Walker),2,2
3,1,10:59.0,Personal foul by R. Hollis-Jefferson (drawn by M. Williams),,2,2
4,1,10:52.0,C. Zeller misses 2-pt layup from 2 ft,,2,2
5,1,10:49.0,,Defensive rebound by R. Kurucs,2,2
6,1,10:43.0,,D. Russell misses 3-pt jump shot from 25 ft,2,2
7,1,10:39.0,Defensive rebound by C. Zeller,,2,2
8,1,10:28.0,K. Walker makes 2-pt jump shot from 22 ft (assist by C. Zeller),,4,2
9,1,10:14.0,,J. Harris makes 2-pt layup from 4 ft (assist by D. Russell),4,4
10,1,10:03.0,K. Walker misses 2-pt layup from 3 ft (block by J. Allen),,4,4
11,1,9:57.0,,Defensive rebound by D. Russell,4,4
12,1,9:56.0,,J. Harris misses 3-pt jump shot from 25 ft,4,4
13,1,9:53.0,Defensive rebound by J. Lamb,,4,4
14,1,9:48.0,C. Zeller misses 2-pt hook shot from 4 ft,,4,4
15,1,9:45.0,,Defensive rebound by J. Allen,4,4
16,1,9:40.0,,D. Russell makes 2-pt jump shot from 19 ft,4,6
17,1,9:24.0,K. Walker makes 2-pt jump shot from 15 ft,,6,6
18,1,9:07.0,,R. Hollis-Jefferson misses 2-pt layup from 1 ft,6,6
19,1,9:04.0,Defensive rebound by M. Williams,,6,6
20,1,8:59.0,M. Williams misses 3-pt jump shot from 24 ft,,6,6
21,1,8:55.0,,Defensive rebound by J. Allen,6,6
22,1,8:42.0,,R. Hollis-Jefferson misses 2-pt layup from 2 ft,6,6
23,1,8:41.0,Defensive rebound by C. Zeller,,6,6
24,1,8:39.0,Turnover by C. Zeller (bad pass; steal by J. Harris),,6,6
25,1,8:29.0,,R. Kurucs makes 2-pt layup from 3 ft (assist by D. Russell),6,8
26,1,8:20.0,Turnover by K. Walker (bad pass; steal by R. Kurucs),,6,8
27,1,8:15.0,,R. Kurucs makes 2-pt dunk from 1 ft,6,10
28,1,8:06.0,N. Batum makes 3-pt jump shot from 26 ft,,9,10
29,1,7:55.0,,D. Russell misses 3-pt jump shot from 25 ft,9,10
30,1,7:53.0,Defensive rebound by C. Zeller,,9,10
31,1,7:33.0,K. Walker misses 2-pt layup from 1 ft,,9,10
32,1,7:29.0,Offensive rebound by C. Zeller,,9,10
33,1,7:29.0,C. Zeller misses 2-pt layup at rim,,9,10
34,1,7:28.0,,Defensive rebound by J. Harris,9,10
35,1,7:19.0,,J. Harris makes 2-pt layup from 2 ft (assist by D. Russell),9,12
36,1,7:06.0,J. Lamb makes 2-pt jump shot from 12 ft (assist by C. Zeller),,11,12
37,1,7:03.0,,Turnover by D. Russell (offensive foul),11,12
38,1,7:03.0,,Offensive foul by D. Russell (drawn by N. Batum),11,12
39,1,6:56.0,N. Batum makes 3-pt jump shot from 25 ft (assist by C. Zeller),,14,12
40,1,6:44.0,,D. Russell misses 2-pt jump shot from 6 ft,14,12
41,1,6:43.0,,Offensive rebound by J. Allen,14,12
42,1,6:43.0,,Shooting foul by C. Zeller (drawn by J. Allen),14,12
43,1,6:43.0,,Brooklyn full timeout,14,12
44,1,6:43.0,,S. Dinwiddie enters the game for D. Russell,14,12
45,1,6:43.0,,J. Allen misses free throw 1 of 2,14,12
46,1,6:43.0,,Offensive rebound by Team,14,12
47,1,6:43.0,,J. Allen makes free throw 2 of 2,14,13
48,1,6:28.0,N. Batum misses 3-pt jump shot from 25 ft,,14,13
49,1,6:25.0,,Defensive rebound by R. Hollis-Jefferson,14,13
50,1,6:14.0,,J. Harris makes 3-pt jump shot from 25 ft (assist by R. Kurucs),14,16
51,1,5:58.0,J. Lamb makes 2-pt jump shot from 14 ft (assist by K. Walker),,16,16
52,1,5:34.0,,S. Dinwiddie misses 3-pt jump shot from 23 ft,16,16
53,1,5:29.0,,Offensive rebound by R. Hollis-Jefferson,16,16
54,1,5:25.0,,S. Dinwiddie misses 3-pt jump shot from 26 ft,16,16
55,1,5:20.0,Defensive rebound by C. Zeller,,16,16
56,1,5:13.0,C. Zeller misses 2-pt layup from 1 ft,,16,16
57,1,5:11.0,Offensive rebound by C. Zeller,,16,16
58,1,5:11.0,C. Zeller misses 2-pt layup at rim,,16,16
59,1,5:10.0,,Defensive rebound by R. Kurucs,16,16
60,1,5:04.0,,J. Harris makes 2-pt layup from 2 ft (assist by R. Kurucs),16,18
61,1,4:52.0,K. Walker misses 3-pt jump shot from 25 ft,,16,18
62,1,4:49.0,,Defensive rebound by R. Hollis-Jefferson,16,18
63,1,4:38.0,,R. Hollis-Jefferson misses 3-pt jump shot from 26 ft,16,18
64,1,4:36.0,Defensive rebound by N. Batum,,16,18
65,1,4:16.0,J. Lamb makes 2-pt jump shot from 8 ft,,18,18
66,1,4:02.0,,R. Hollis-Jefferson misses 2-pt jump shot from 15 ft,18,18
67,1,3:59.0,Defensive rebound by C. Zeller,,18,18
68,1,3:52.0,C. Zeller makes 2-pt layup from 3 ft (assist by N. Batum),,20,18
69,1,3:38.0,,Turnover by R. Hollis-Jefferson (bad pass; steal by K. Walker),20,18
70,1,3:28.0,C. Zeller misses 2-pt layup from 2 ft,,20,18
71,1,3:24.0,,Defensive rebound by S. Dinwiddie,20,18
72,1,3:19.0,,R. Hollis-Jefferson makes 2-pt dunk from 2 ft (assist by S. Dinwiddie),20,20
73,1,3:19.0,Charlotte full timeout,,20,20
74,1,3:19.0,M. Bridges enters the game for N. Batum,,20,20
75,1,3:19.0,W. Hernangómez enters the game for K. Walker,,20,20
76,1,3:19.0,M. Kidd-Gilchrist enters the game for M. Williams,,20,20
77,1,3:19.0,T. Parker enters the game for C. Zeller,,20,20
78,1,3:19.0,,D. Carroll enters the game for J. Allen,20,20
79,1,3:19.0,,E. Davis enters the game for J. Harris,20,20
80,1,3:19.0,,J. Dudley enters the game for R. Hollis-Jefferson,20,20
81,1,3:19.0,,D. Russell enters the game for R. Kurucs,20,20
82,1,3:03.0,T. Parker misses 2-pt jump shot from 18 ft,,20,20
83,1,2:59.0,,Defensive rebound by E. Davis,20,20
84,1,2:51.0,,J. Dudley misses 3-pt jump shot from 25 ft,20,20
85,1,2:47.0,Defensive rebound by J. Lamb,,20,20
86,1,2:37.0,J. Lamb makes 3-pt jump shot from 24 ft (assist by T. Parker),,23,20
87,1,2:21.0,,D. Russell misses 3-pt jump shot from 26 ft,23,20
88,1,2:18.0,Defensive rebound by M. Kidd-Gilchrist,,23,20
89,1,2:09.0,J. Lamb makes 3-pt jump shot from 25 ft (assist by M. Kidd-Gilchrist),,26,20
90,1,1:48.0,,D. Russell makes 2-pt jump shot from 6 ft (assist by D. Carroll),26,22
91,1,1:34.0,M. Kidd-Gilchrist misses 2-pt layup from 2 ft,,26,22
92,1,1:33.0,Offensive rebound by W. Hernangómez,,26,22
93,1,1:33.0,Shooting foul by J. Dudley (drawn by W. Hernangómez),,26,22
94,1,1:33.0,W. Hernangómez misses free throw 1 of 2,,26,22
95,1,1:33.0,Offensive rebound by Team,,26,22
96,1,1:33.0,W. Hernangómez makes free throw 2 of 2,,27,22
97,1,1:23.0,,Turnover by D. Russell (bad pass),27,22
98,1,1:07.0,Turnover by W. Hernangómez (lost ball; steal by E. Davis),,27,22
99,1,0:59.0,,J. Dudley misses 2-pt jump shot from 2 ft,27,22
100,1,0:56.0,Defensive rebound by J. Lamb,,27,22
101,1,0:53.0,T. Parker misses 2-pt layup at rim (block by D. Russell),,27,22
102,1,0:53.0,Offensive rebound by Team,,27,22
103,1,0:47.0,T. Parker makes 2-pt jump shot from 13 ft,,29,22
104,1,0:23.0,,D. Russell misses 2-pt jump shot from 7 ft,29,22
105,1,0:20.0,Defensive rebound by T. Parker,,29,22
106,1,0:04.0,Turnover by T. Parker (offensive foul),,29,22
107,1,0:04.0,Offensive foul by T. Parker (drawn by S. Dinwiddie),,29,22
108,1,0:02.0,,Personal take foul by M. Bridges (drawn by S. Dinwiddie),29,22
109,1,0:02.0,N. Batum enters the game for W. Hernangómez,,29,22
110,1,0:00.0,,S. Dinwiddie misses 3-pt jump shot from 41 ft,29,22
111,1,0:00.0,,Offensive rebound by Team,29,22
112,2,11:44.0,M. Bridges misses 2-pt jump shot from 6 ft,,29,22
113,2,11:41.0,,Defensive rebound by E. Davis,29,22
114,2,11:34.0,,D. Russell makes 2-pt jump shot from 16 ft,29,24
115,2,11:19.0,W. Hernangómez misses 3-pt jump shot from 26 ft,,29,24
116,2,11:17.0,,Defensive rebound by E. Davis,29,24
117,2,11:01.0,,Shooting foul by W. Hernangómez (drawn by D. Carroll),29,24
118,2,11:01.0,,D. Carroll misses free throw 1 of 2,29,24
119,2,11:01.0,,Offensive rebound by Team,29,24
120,2,11:01.0,,D. Carroll makes free throw 2 of 2,29,25
121,2,10:42.0,Shooting foul by E. Davis (drawn by W. Hernangómez),,29,25
122,2,10:42.0,W. Hernangómez makes free throw 1 of 2,,30,25
123,2,10:42.0,W. Hernangómez makes free throw 2 of 2,,31,25
124,2,10:25.0,,D. Carroll makes 2-pt jump shot from 8 ft,31,27
125,2,10:15.0,T. Parker misses 2-pt jump shot from 17 ft,,31,27
126,2,10:15.0,Offensive rebound by W. Hernangómez,,31,27
127,2,10:14.0,W. Hernangómez misses 2-pt layup from 1 ft,,31,27
128,2,10:14.0,Offensive rebound by W. Hernangómez,,31,27
129,2,10:13.0,W. Hernangómez misses 2-pt layup from 2 ft (block by J. Dudley),,31,27
130,2,10:10.0,,Defensive rebound by Team,31,27
131,2,9:56.0,,S. Dinwiddie makes 3-pt jump shot from 26 ft,31,30
132,2,9:46.0,M. Bridges makes 3-pt jump shot from 26 ft (assist by T. Parker),,34,30
133,2,9:32.0,,S. Dinwiddie misses 2-pt jump shot from 6 ft,34,30
134,2,9:28.0,Defensive rebound by W. Hernangómez,,34,30
135,2,9:22.0,Turnover by M. Kidd-Gilchrist (bad pass; steal by D. Russell),,34,30
136,2,9:16.0,,D. Russell misses 3-pt jump shot from 26 ft,34,30
137,2,9:11.0,Defensive rebound by M. Monk,,34,30
138,2,9:09.0,Shooting foul by S. Dinwiddie (drawn by M. Kidd-Gilchrist),,34,30
139,2,9:09.0,M. Williams enters the game for W. Hernangómez,,34,30
140,2,9:09.0,,R. Kurucs enters the game for S. Dinwiddie,34,30
141,2,9:09.0,M. Kidd-Gilchrist makes free throw 1 of 2,,35,30
142,2,9:09.0,M. Kidd-Gilchrist makes free throw 2 of 2,,36,30
143,2,8:51.0,,D. Carroll misses 3-pt jump shot from 25 ft,36,30
144,2,8:47.0,Defensive rebound by M. Williams,,36,30
145,2,8:40.0,Offensive foul by M. Kidd-Gilchrist (drawn by J. Dudley),,36,30
146,2,8:40.0,Turnover by M. Kidd-Gilchrist (offensive foul),,36,30
147,2,8:17.0,,D. Carroll makes 3-pt jump shot from 23 ft (assist by J. Dudley),36,33
148,2,7:57.0,M. Bridges misses 3-pt jump shot from 25 ft,,36,33
149,2,7:53.0,,Defensive rebound by D. Russell,36,33
150,2,7:48.0,,D. Russell misses 2-pt jump shot from 8 ft,36,33
151,2,7:45.0,Defensive rebound by M. Williams,,36,33
152,2,7:42.0,T. Parker misses 2-pt jump shot from 9 ft,,36,33
153,2,7:39.0,,Defensive rebound by E. Davis,36,33
154,2,7:29.0,,Turnover by J. Dudley (bad pass; steal by M. Monk),36,33
155,2,7:26.0,Personal foul by R. Kurucs (drawn by M. Monk),,36,33
156,2,7:26.0,K. Walker enters the game for T. Parker,,36,33
157,2,7:10.0,Turnover by M. Kidd-Gilchrist (out of bounds lost ball),,36,33
158,2,6:56.0,,D. Russell makes 3-pt jump shot from 25 ft (assist by R. Kurucs),36,36
159,2,6:55.0,Charlotte full timeout,,36,36
160,2,6:55.0,N. Batum enters the game for M. Bridges,,36,36
161,2,6:55.0,C. Zeller enters the game for M. Kidd-Gilchrist,,36,36
162,2,6:34.0,Turnover by M. Monk (bad pass; steal by E. Davis),,36,36
163,2,6:21.0,,R. Kurucs misses 2-pt layup from 4 ft,36,36
164,2,6:18.0,Defensive rebound by K. Walker,,36,36
165,2,6:14.0,M. Williams makes 3-pt jump shot from 26 ft (assist by N. Batum),,39,36
166,2,5:50.0,,R. Kurucs makes 2-pt jump shot from 11 ft,39,38
167,2,5:33.0,Turnover by N. Batum (bad pass; steal by R. Kurucs),,39,38
168,2,5:31.0,,Turnover by R. Kurucs (offensive foul),39,38
169,2,5:31.0,,Offensive foul by R. Kurucs (drawn by K. Walker),39,38
170,2,5:31.0,J. Lamb enters the game for M. Monk,,39,38
171,2,5:31.0,,J. Allen enters the game for D. Carroll,39,38
172,2,5:31.0,,S. Dinwiddie enters the game for E. Davis,39,38
173,2,5:31.0,,J. Harris enters the game for J. Dudley,39,38
