,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,LA LAKERS_ACTION,GOLDEN STATE_SCORE,LA LAKERS_SCORE
0,1,11:47.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by K. Durant),,3,0
1,1,11:33.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,3,0
2,1,11:29.0,Defensive rebound by D. Green,,3,0
3,1,11:19.0,S. Curry misses 2-pt jump shot from 20 ft,,3,0
4,1,11:17.0,,Defensive rebound by J. McGee,3,0
5,1,11:15.0,,J. McGee makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),3,2
6,1,10:54.0,D. Cousins makes 2-pt jump shot from 9 ft,,5,2
7,1,10:42.0,,Personal foul by K. Durant (drawn by J. McGee),5,2
8,1,10:35.0,,R. Rondo misses 2-pt layup from 4 ft,5,2
9,1,10:35.0,Defensive rebound by K. Durant,,5,2
10,1,10:30.0,K. Thompson misses 3-pt jump shot from 25 ft,,5,2
11,1,10:26.0,Offensive rebound by D. Cousins,,5,2
12,1,10:24.0,D. Cousins misses 2-pt layup from 3 ft,,5,2
13,1,10:22.0,,Defensive rebound by K. Caldwell-Pope,5,2
14,1,10:18.0,,M. Wagner misses 2-pt layup from 2 ft (block by K. Thompson),5,2
15,1,10:14.0,Defensive rebound by K. Thompson,,5,2
16,1,9:54.0,Turnover by K. Durant (step out of bounds),,5,2
17,1,9:39.0,,M. Wagner misses 3-pt jump shot from 25 ft (block by D. Green),5,2
18,1,9:35.0,Defensive rebound by K. Thompson,,5,2
19,1,9:33.0,D. Green makes 2-pt dunk from 1 ft (assist by K. Thompson),,7,2
20,1,9:18.0,,R. Rondo misses 3-pt jump shot from 26 ft,7,2
21,1,9:13.0,Defensive rebound by K. Thompson,,7,2
22,1,9:04.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Durant),,10,2
23,1,8:46.0,,J. McGee misses 2-pt layup from 2 ft,10,2
24,1,8:45.0,Defensive rebound by D. Cousins,,10,2
25,1,8:41.0,Turnover by K. Durant (bad pass),,10,2
26,1,8:30.0,,K. Caldwell-Pope makes 2-pt layup from 3 ft (assist by A. Caruso),10,4
27,1,8:17.0,D. Cousins makes 2-pt layup from 1 ft (assist by S. Curry),,12,4
28,1,8:00.0,,A. Caruso misses 2-pt layup from 3 ft (block by D. Green),12,4
29,1,7:57.0,Defensive rebound by S. Curry,,12,4
30,1,7:53.0,D. Cousins makes 2-pt layup from 1 ft (assist by D. Green),,14,4
31,1,7:53.0,,LA Lakers full timeout,14,4
32,1,7:33.0,,J. McGee makes 2-pt dunk at rim (assist by K. Caldwell-Pope),14,6
33,1,7:20.0,K. Durant makes 3-pt jump shot from 25 ft (assist by S. Curry),,17,6
34,1,7:06.0,,Personal foul by S. Curry (drawn by A. Caruso),17,6
35,1,7:01.0,,K. Caldwell-Pope misses 2-pt jump shot from 17 ft,17,6
36,1,6:57.0,Defensive rebound by K. Thompson,,17,6
37,1,6:47.0,D. Cousins misses 3-pt jump shot from 26 ft,,17,6
38,1,6:44.0,,Defensive rebound by J. McGee,17,6
39,1,6:36.0,,R. Rondo misses 3-pt jump shot from 26 ft,17,6
40,1,6:32.0,,Offensive rebound by J. McGee,17,6
41,1,6:25.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,17,6
42,1,6:23.0,Defensive rebound by K. Durant,,17,6
43,1,6:16.0,K. Durant makes 3-pt jump shot from 26 ft,,20,6
44,1,6:06.0,,Shooting foul by D. Cousins (drawn by R. Rondo),20,6
45,1,6:06.0,,R. Rondo misses free throw 1 of 2,20,6
46,1,6:06.0,,Offensive rebound by Team,20,6
47,1,6:06.0,,L. Stephenson enters the game for A. Caruso,20,6
48,1,6:06.0,,R. Rondo misses free throw 2 of 2,20,6
49,1,6:04.0,Defensive rebound by D. Cousins,,20,6
50,1,5:48.0,D. Cousins makes 2-pt jump shot from 4 ft (assist by K. Durant),,22,6
51,1,5:41.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,22,6
52,1,5:36.0,,Offensive rebound by J. McGee,22,6
53,1,5:36.0,,J. McGee misses 2-pt layup from 1 ft,22,6
54,1,5:35.0,Defensive rebound by D. Cousins,,22,6
55,1,5:29.0,Turnover by D. Green (lost ball; steal by L. Stephenson),,22,6
56,1,5:25.0,,R. Rondo makes 2-pt dunk from 2 ft (assist by L. Stephenson),22,8
57,1,5:19.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by S. Curry),,25,8
58,1,5:01.0,,J. McGee misses 2-pt hook shot from 4 ft,25,8
59,1,4:55.0,,Offensive rebound by J. McGee,25,8
60,1,4:54.0,,Turnover by J. McGee (lost ball; steal by S. Curry),25,8
61,1,4:51.0,K. Durant makes 2-pt dunk at rim (assist by S. Curry),,27,8
62,1,4:45.0,,R. Rondo misses 2-pt layup from 2 ft,27,8
63,1,4:45.0,Defensive rebound by D. Cousins,,27,8
64,1,4:44.0,Personal take foul by K. Caldwell-Pope (drawn by K. Durant),,27,8
65,1,4:44.0,K. Looney enters the game for D. Cousins,,27,8
66,1,4:44.0,A. McKinnie enters the game for K. Thompson,,27,8
67,1,4:44.0,,M. Muscala enters the game for J. McGee,27,8
68,1,4:42.0,Offensive foul by K. Durant (drawn by K. Caldwell-Pope),,27,8
69,1,4:42.0,Turnover by K. Durant (offensive foul),,27,8
70,1,4:27.0,,R. Rondo misses 3-pt jump shot from 26 ft,27,8
71,1,4:23.0,Defensive rebound by A. McKinnie,,27,8
72,1,4:19.0,S. Curry misses 3-pt jump shot from 30 ft,,27,8
