,QUARTER,TIME_REMAINING,INDIANA_ACTION,MIAMI_ACTION,INDIANA_SCORE,MIAMI_SCORE
0,1,11:41.0,D. Collison makes 2-pt jump shot from 17 ft,,2,0
1,1,11:23.0,,Turnover by R. McGruder (bad pass; steal by B. Bogdanović),2,0
2,1,11:18.0,D. Collison misses 3-pt jump shot from 25 ft,,2,0
3,1,11:14.0,,Defensive rebound by H. Whiteside,2,0
4,1,11:11.0,,Shooting foul by M. Turner (drawn by J. Winslow),2,0
5,1,11:11.0,,J. Winslow makes free throw 1 of 2,2,1
6,1,11:11.0,,J. Winslow misses free throw 2 of 2,2,1
7,1,11:07.0,Defensive rebound by B. Bogdanović,,2,1
8,1,10:53.0,B. Bogdanović misses 2-pt layup from 4 ft (block by H. Whiteside),,2,1
9,1,10:48.0,Offensive rebound by T. Young,,2,1
10,1,10:46.0,T. Young misses 2-pt layup from 5 ft,,2,1
11,1,10:45.0,,Defensive rebound by H. Whiteside,2,1
12,1,10:41.0,,Turnover by J. Winslow (bad pass),2,1
13,1,10:27.0,Turnover by T. Young (out of bounds lost ball),,2,1
14,1,10:13.0,,Turnover by J. Winslow (out of bounds lost ball),2,1
15,1,10:00.0,V. Oladipo misses 2-pt layup from 1 ft (block by H. Whiteside),,2,1
16,1,10:00.0,Offensive rebound by Team,,2,1
17,1,10:00.0,,Loose ball foul by J. Winslow (drawn by T. Young),2,1
18,1,9:45.0,B. Bogdanović misses 2-pt jump shot from 23 ft,,2,1
19,1,9:41.0,,Defensive rebound by H. Whiteside,2,1
20,1,9:39.0,,Personal foul by V. Oladipo (drawn by R. McGruder),2,1
21,1,9:34.0,,Shooting foul by D. Collison (drawn by J. Richardson),2,1
22,1,9:34.0,,J. Richardson makes free throw 1 of 3,2,2
23,1,9:34.0,,J. Richardson makes free throw 2 of 3,2,3
24,1,9:34.0,,J. Richardson misses free throw 3 of 3,2,3
25,1,9:31.0,Defensive rebound by T. Young,,2,3
26,1,9:19.0,Personal foul by H. Whiteside (drawn by M. Turner),,2,3
27,1,9:11.0,Turnover by B. Bogdanović (traveling),,2,3
28,1,8:51.0,,Offensive foul by J. Richardson (drawn by D. Collison),2,3
29,1,8:51.0,,Turnover by J. Richardson (offensive foul),2,3
30,1,8:37.0,V. Oladipo misses 2-pt jump shot from 14 ft,,2,3
31,1,8:35.0,,Defensive rebound by H. Whiteside,2,3
32,1,8:23.0,,W. Ellington misses 3-pt jump shot from 23 ft,2,3
33,1,8:19.0,,Offensive rebound by R. McGruder,2,3
34,1,8:05.0,,H. Whiteside misses 2-pt hook shot from 4 ft,2,3
35,1,8:00.0,Defensive rebound by T. Young,,2,3
36,1,7:52.0,B. Bogdanović makes 2-pt jump shot from 15 ft,,4,3
37,1,7:37.0,,R. McGruder misses 2-pt jump shot from 8 ft,4,3
