,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,NEW YORK_ACTION,LA CLIPPERS_SCORE,NEW YORK_SCORE
0,1,11:45.0,,D. Dotson misses 3-pt jump shot from 25 ft,0,0
1,1,11:43.0,Defensive rebound by D. Gallinari,,0,0
2,1,11:25.0,P. Beverley makes 3-pt jump shot from 26 ft (assist by L. Shamet),,3,0
3,1,11:10.0,,K. Knox misses 2-pt layup from 3 ft,3,0
4,1,11:09.0,Defensive rebound by S. Gilgeous-Alexander,,3,0
5,1,11:04.0,S. Gilgeous-Alexander misses 2-pt layup from 1 ft,,3,0
6,1,11:02.0,Offensive rebound by P. Beverley,,3,0
7,1,10:58.0,S. Gilgeous-Alexander misses 3-pt jump shot from 23 ft,,3,0
8,1,10:56.0,,Defensive rebound by D. Jordan,3,0
9,1,10:46.0,,E. Mudiay misses 2-pt jump shot from 7 ft,3,0
10,1,10:44.0,Defensive rebound by P. Beverley,,3,0
11,1,10:36.0,I. Zubac makes 2-pt dunk from 1 ft (assist by P. Beverley),,5,0
12,1,10:11.0,,M. Hezonja misses 3-pt jump shot from 27 ft,5,0
13,1,10:09.0,Defensive rebound by S. Gilgeous-Alexander,,5,0
14,1,10:02.0,D. Gallinari misses 2-pt jump shot from 10 ft,,5,0
15,1,10:00.0,,Defensive rebound by D. Jordan,5,0
16,1,9:41.0,,M. Hezonja misses 2-pt jump shot from 13 ft,5,0
17,1,9:39.0,Defensive rebound by D. Gallinari,,5,0
18,1,9:32.0,Shooting foul by D. Jordan (drawn by D. Gallinari),,5,0
19,1,9:32.0,D. Gallinari makes free throw 1 of 3,,6,0
20,1,9:32.0,D. Gallinari makes free throw 2 of 3,,7,0
21,1,9:32.0,D. Gallinari makes free throw 3 of 3,,8,0
22,1,9:28.0,,New York full timeout,8,0
23,1,9:14.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by E. Mudiay),8,2
24,1,8:55.0,L. Shamet misses 3-pt jump shot from 25 ft,,8,2
25,1,8:53.0,,Defensive rebound by D. Jordan,8,2
26,1,8:38.0,,Personal foul by I. Zubac (drawn by D. Jordan),8,2
27,1,8:22.0,,M. Hezonja misses 2-pt hook shot from 5 ft,8,2
28,1,8:20.0,,Offensive rebound by D. Jordan,8,2
29,1,8:20.0,,D. Jordan makes 2-pt layup from 1 ft,8,4
30,1,8:08.0,P. Beverley misses 3-pt jump shot from 25 ft,,8,4
31,1,8:07.0,,Defensive rebound by M. Hezonja,8,4
32,1,8:00.0,,M. Hezonja misses 2-pt layup from 2 ft,8,4
33,1,7:58.0,,Offensive rebound by Team,8,4
34,1,7:53.0,,D. Dotson makes 2-pt jump shot from 19 ft (assist by E. Mudiay),8,6
35,1,7:37.0,I. Zubac makes 2-pt dunk from 2 ft (assist by S. Gilgeous-Alexander),,10,6
36,1,7:18.0,,E. Mudiay misses 3-pt jump shot from 27 ft,10,6
37,1,7:16.0,Defensive rebound by I. Zubac,,10,6
38,1,7:09.0,L. Shamet misses 2-pt layup from 3 ft,,10,6
39,1,7:07.0,,Defensive rebound by M. Hezonja,10,6
40,1,7:00.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by E. Mudiay),10,8
41,1,6:50.0,D. Gallinari misses 3-pt jump shot from 26 ft,,10,8
42,1,6:48.0,,Defensive rebound by E. Mudiay,10,8
43,1,6:31.0,,M. Hezonja makes 2-pt dunk from 1 ft (assist by D. Jordan),10,10
44,1,6:09.0,Turnover by D. Gallinari (bad pass; steal by D. Jordan),,10,10
45,1,6:08.0,,Personal take foul by D. Gallinari (drawn by M. Hezonja),10,10
46,1,5:48.0,,Turnover by M. Hezonja (bad pass; steal by P. Beverley),10,10
47,1,5:46.0,Shooting foul by E. Mudiay (drawn by S. Gilgeous-Alexander),,10,10
48,1,5:46.0,S. Gilgeous-Alexander makes free throw 1 of 2,,11,10
49,1,5:46.0,S. Gilgeous-Alexander makes free throw 2 of 2,,12,10
50,1,5:33.0,,E. Mudiay makes 2-pt jump shot from 19 ft,12,12
51,1,5:21.0,L. Shamet makes 3-pt jump shot from 24 ft (assist by P. Beverley),,15,12
52,1,5:09.0,,Shooting foul by S. Gilgeous-Alexander (drawn by D. Dotson),15,12
