,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,ATLANTA_ACTION,MINNESOTA_SCORE,ATLANTA_SCORE
0,1,11:48.0,A. Wiggins misses 2-pt jump shot from 20 ft,,0,0
1,1,11:45.0,,Defensive rebound by D. Dedmon,0,0
2,1,11:35.0,,K. Huerter misses 2-pt jump shot from 7 ft,0,0
3,1,11:30.0,,Offensive rebound by D. Dedmon,0,0
4,1,11:30.0,,D. Dedmon makes 2-pt layup from 1 ft,0,2
5,1,11:19.0,A. Wiggins misses 2-pt jump shot from 3 ft,,0,2
6,1,11:14.0,,Defensive rebound by K. Huerter,0,2
7,1,11:08.0,,T. Prince misses 2-pt layup from 3 ft,0,2
8,1,11:05.0,Defensive rebound by K. Towns,,0,2
9,1,10:59.0,K. Towns makes 3-pt jump shot from 24 ft (assist by D. Šarić),,3,2
10,1,10:43.0,,Shooting foul by D. Šarić (drawn by J. Collins),3,2
11,1,10:43.0,,J. Collins makes free throw 1 of 2,3,3
12,1,10:43.0,,J. Collins makes free throw 2 of 2,3,4
13,1,10:31.0,Turnover by T. Jones (bad pass; steal by K. Huerter),,3,4
14,1,10:27.0,,J. Collins makes 2-pt dunk at rim (assist by T. Young),3,6
15,1,10:16.0,Personal foul by D. Dedmon (drawn by K. Towns),,3,6
16,1,10:12.0,K. Towns misses 2-pt layup from 10 ft (block by D. Dedmon),,3,6
17,1,10:12.0,,Defensive rebound by Team,3,6
18,1,10:01.0,,K. Huerter makes 3-pt jump shot from 25 ft (assist by D. Dedmon),3,9
19,1,9:50.0,D. Šarić misses 3-pt jump shot from 26 ft,,3,9
20,1,9:46.0,,Defensive rebound by D. Dedmon,3,9
21,1,9:41.0,,Turnover by T. Young (lost ball; steal by T. Jones),3,9
22,1,9:36.0,J. Okogie makes 3-pt jump shot from 23 ft (assist by D. Šarić),,6,9
23,1,9:20.0,,D. Dedmon makes 3-pt jump shot from 25 ft (assist by T. Young),6,12
24,1,9:01.0,T. Jones makes 2-pt jump shot from 11 ft,,8,12
25,1,8:47.0,,J. Collins misses 3-pt jump shot from 25 ft,8,12
26,1,8:47.0,Defensive rebound by Team,,8,12
27,1,8:47.0,,Loose ball foul by D. Dedmon (drawn by J. Okogie),8,12
28,1,8:47.0,,A. Len enters the game for D. Dedmon,8,12
29,1,8:38.0,J. Okogie misses 3-pt jump shot from 25 ft,,8,12
30,1,8:35.0,,Defensive rebound by T. Young,8,12
31,1,8:26.0,,T. Young makes 3-pt jump shot from 26 ft (assist by K. Huerter),8,15
32,1,8:09.0,A. Wiggins makes 2-pt layup from 2 ft (assist by K. Towns),,10,15
33,1,7:56.0,,T. Young makes 2-pt jump shot from 15 ft,10,17
34,1,7:47.0,Turnover by T. Jones (bad pass),,10,17
35,1,7:38.0,,T. Prince makes 2-pt layup from 2 ft,10,19
36,1,7:28.0,Minnesota full timeout,,10,19
37,1,7:21.0,D. Šarić misses 3-pt jump shot from 25 ft,,10,19
38,1,7:18.0,,Defensive rebound by T. Young,10,19
39,1,7:06.0,,T. Young misses 2-pt jump shot from 10 ft,10,19
40,1,7:01.0,Defensive rebound by K. Towns,,10,19
41,1,6:55.0,T. Jones makes 3-pt jump shot from 23 ft (assist by A. Wiggins),,13,19
42,1,6:32.0,,T. Prince misses 3-pt jump shot from 25 ft,13,19
43,1,6:28.0,Defensive rebound by K. Towns,,13,19
44,1,6:23.0,A. Wiggins makes 3-pt jump shot from 26 ft (assist by T. Jones),,16,19
45,1,6:04.0,,K. Huerter misses 3-pt jump shot from 25 ft,16,19
46,1,6:02.0,Defensive rebound by D. Šarić,,16,19
47,1,5:55.0,T. Jones misses 3-pt jump shot from 25 ft,,16,19
48,1,5:52.0,,Defensive rebound by J. Collins,16,19
49,1,5:40.0,,A. Len misses 3-pt jump shot from 23 ft,16,19
50,1,5:36.0,Defensive rebound by J. Okogie,,16,19
51,1,5:29.0,J. Okogie misses 2-pt layup from 1 ft,,16,19
52,1,5:28.0,Offensive rebound by K. Towns,,16,19
53,1,5:28.0,Shooting foul by J. Collins (drawn by K. Towns),,16,19
54,1,5:28.0,K. Towns misses free throw 1 of 2,,16,19
55,1,5:28.0,Offensive rebound by Team,,16,19
56,1,5:28.0,D. Rose enters the game for J. Okogie,,16,19
57,1,5:28.0,,K. Bazemore enters the game for J. Collins,16,19
58,1,5:28.0,,D. Bembry enters the game for K. Huerter,16,19
59,1,5:28.0,,O. Spellman enters the game for T. Prince,16,19
60,1,5:28.0,K. Towns makes free throw 2 of 2,,17,19
61,1,5:18.0,,D. Bembry misses 3-pt jump shot from 23 ft,17,19
62,1,5:15.0,Defensive rebound by K. Towns,,17,19
63,1,5:11.0,Turnover by D. Šarić (out of bounds lost ball),,17,19
64,1,5:05.0,,Shooting foul by T. Jones (drawn by T. Young),17,19
65,1,5:05.0,,T. Young makes free throw 1 of 2,17,20
66,1,5:05.0,,T. Young makes free throw 2 of 2,17,21
67,1,4:54.0,D. Rose makes 2-pt jump shot from 13 ft,,19,21
68,1,4:40.0,,K. Bazemore misses 2-pt jump shot from 9 ft,19,21
69,1,4:35.0,Defensive rebound by D. Rose,,19,21
70,1,4:33.0,T. Jones makes 2-pt layup from 1 ft (assist by D. Rose),,21,21
71,1,4:19.0,,K. Bazemore misses 2-pt layup from 5 ft,21,21
72,1,4:16.0,Defensive rebound by K. Towns,,21,21
73,1,4:14.0,K. Towns makes 2-pt layup from 1 ft,,23,21
74,1,4:14.0,Shooting foul by A. Len (drawn by K. Towns),,23,21
75,1,4:14.0,A. Tolliver enters the game for D. Šarić,,23,21
76,1,4:14.0,,J. Sibert enters the game for T. Young,23,21
77,1,4:14.0,K. Towns misses free throw 1 of 1,,23,21
78,1,4:12.0,,Defensive rebound by D. Bembry,23,21
79,1,3:59.0,,K. Bazemore misses 2-pt layup from 4 ft,23,21
80,1,3:54.0,,Offensive rebound by O. Spellman,23,21
81,1,3:53.0,,O. Spellman misses 2-pt layup from 1 ft,23,21
82,1,3:51.0,,Offensive rebound by O. Spellman,23,21
83,1,3:51.0,,O. Spellman makes 2-pt layup from 1 ft,23,23
84,1,3:44.0,K. Towns makes 3-pt jump shot from 26 ft (assist by T. Jones),,26,23
85,1,3:25.0,,K. Bazemore misses 3-pt jump shot from 23 ft,26,23
86,1,3:23.0,,Offensive rebound by O. Spellman,26,23
87,1,3:21.0,,J. Sibert makes 3-pt jump shot from 25 ft (assist by O. Spellman),26,26
88,1,3:12.0,A. Tolliver makes 3-pt jump shot from 27 ft (assist by T. Jones),,29,26
89,1,2:58.0,,D. Bembry makes 2-pt layup from 2 ft (assist by K. Bazemore),29,28
90,1,2:40.0,A. Wiggins makes 3-pt jump shot from 23 ft (assist by D. Rose),,32,28
91,1,2:25.0,,Turnover by O. Spellman (step out of bounds),32,28
92,1,2:25.0,,Atlanta full timeout,32,28
93,1,2:25.0,J. Bayless enters the game for T. Jones,,32,28
94,1,2:25.0,L. Deng enters the game for A. Wiggins,,32,28
95,1,2:25.0,,J. Collins enters the game for A. Len,32,28
96,1,2:14.0,K. Towns makes 2-pt jump shot from 2 ft,,34,28
97,1,1:53.0,Violation by Team (kicked ball),,34,28
98,1,1:53.0,T. Gibson enters the game for K. Towns,,34,28
99,1,1:46.0,,Personal foul by L. Deng (drawn by K. Bazemore),34,28
100,1,1:38.0,,J. Collins makes 2-pt layup from 8 ft (assist by K. Bazemore),34,30
101,1,1:38.0,,Shooting foul by J. Bayless (drawn by J. Collins),34,30
102,1,1:38.0,,J. Collins makes free throw 1 of 1,34,31
103,1,1:29.0,D. Rose makes 2-pt jump shot from 18 ft (assist by T. Gibson),,36,31
104,1,1:12.0,,D. Bembry misses 2-pt layup from 1 ft,36,31
105,1,1:09.0,Defensive rebound by D. Rose,,36,31
106,1,0:58.0,D. Rose makes 2-pt jump shot from 21 ft (assist by T. Gibson),,38,31
107,1,0:42.0,,K. Bazemore misses 2-pt jump shot from 9 ft,38,31
108,1,0:38.0,Defensive rebound by A. Tolliver,,38,31
109,1,0:33.0,A. Tolliver misses 3-pt jump shot from 25 ft,,38,31
110,1,0:29.0,,Defensive rebound by K. Bazemore,38,31
111,1,0:14.0,,J. Collins makes 2-pt layup from 1 ft (assist by K. Bazemore),38,33
112,1,0:01.0,D. Rose makes 2-pt jump shot from 21 ft,,40,33
113,1,0:01.0,,Turnover by J. Collins (bad pass; steal by L. Deng),40,33
114,1,0:00.0,L. Deng misses 3-pt jump shot from 25 ft,,40,33
115,1,0:00.0,Offensive rebound by Team,,40,33
116,2,11:47.0,,J. Collins misses 2-pt jump shot from 4 ft (block by T. Gibson),40,33
117,2,11:43.0,Defensive rebound by A. Tolliver,,40,33
118,2,11:27.0,T. Gibson makes 2-pt layup from 1 ft (assist by D. Rose),,42,33
119,2,11:09.0,,J. Collins makes 2-pt hook shot from 13 ft (assist by V. Carter),42,35
120,2,10:54.0,J. Bayless misses 3-pt jump shot from 23 ft,,42,35
121,2,10:52.0,,Defensive rebound by K. Huerter,42,35
122,2,10:46.0,,K. Huerter misses 2-pt layup from 2 ft (block by T. Gibson),42,35
