,QUARTER,TIME_REMAINING,DALLAS_ACTION,LA CLIPPERS_ACTION,DALLAS_SCORE,LA CLIPPERS_SCORE
0,1,11:36.0,,M. Gortat makes 2-pt hook shot from 5 ft (assist by D. Gallinari),0,2
1,1,11:17.0,L. Dončić misses 2-pt jump shot from 11 ft,,0,2
2,1,11:11.0,Offensive rebound by L. Dončić,,0,2
3,1,11:11.0,L. Dončić makes 2-pt layup at rim,,2,2
4,1,11:01.0,,S. Gilgeous-Alexander misses 2-pt layup from 1 ft,2,2
5,1,10:59.0,Defensive rebound by D. Jordan,,2,2
6,1,10:55.0,J. Brunson misses 2-pt jump shot from 10 ft,,2,2
7,1,10:49.0,,Defensive rebound by S. Gilgeous-Alexander,2,2
8,1,10:47.0,,T. Harris misses 3-pt jump shot from 26 ft,2,2
9,1,10:43.0,Defensive rebound by D. Jordan,,2,2
10,1,10:34.0,Shooting foul by S. Gilgeous-Alexander (drawn by H. Barnes),,2,2
11,1,10:34.0,H. Barnes makes free throw 1 of 2,,3,2
12,1,10:34.0,H. Barnes misses free throw 2 of 2,,3,2
13,1,10:31.0,,Defensive rebound by T. Harris,3,2
14,1,10:20.0,,Turnover by M. Gortat (bad pass),3,2
15,1,10:13.0,Personal foul by M. Gortat (drawn by D. Jordan),,3,2
16,1,10:06.0,Turnover by J. Brunson (bad pass; steal by S. Gilgeous-Alexander),,3,2
17,1,9:58.0,,A. Bradley misses 3-pt jump shot from 25 ft,3,2
18,1,9:53.0,Defensive rebound by H. Barnes,,3,2
19,1,9:44.0,H. Barnes misses 2-pt jump shot from 5 ft,,3,2
20,1,9:42.0,Offensive rebound by D. Jordan,,3,2
21,1,9:35.0,Turnover by L. Dončić (out of bounds lost ball),,3,2
22,1,9:23.0,,Turnover by T. Harris (lost ball; steal by H. Barnes),3,2
23,1,9:20.0,H. Barnes makes 2-pt layup from 1 ft,,5,2
24,1,9:17.0,,LA Clippers full timeout,5,2
25,1,8:58.0,,A. Bradley makes 2-pt jump shot from 14 ft,5,4
26,1,8:39.0,W. Matthews misses 3-pt jump shot from 25 ft,,5,4
27,1,8:36.0,Offensive rebound by D. Jordan,,5,4
28,1,8:30.0,L. Dončić misses 2-pt jump shot from 9 ft,,5,4
29,1,8:28.0,,Defensive rebound by M. Gortat,5,4
30,1,8:20.0,,A. Bradley misses 3-pt jump shot from 23 ft,5,4
31,1,8:16.0,,Offensive rebound by M. Gortat,5,4
32,1,8:14.0,,M. Gortat misses 2-pt hook shot from 2 ft,5,4
33,1,8:12.0,Defensive rebound by D. Jordan,,5,4
34,1,8:05.0,H. Barnes makes 3-pt jump shot from 26 ft (assist by J. Brunson),,8,4
35,1,7:50.0,,T. Harris misses 2-pt jump shot from 13 ft,8,4
36,1,7:47.0,Defensive rebound by D. Jordan,,8,4
37,1,7:28.0,L. Dončić makes 3-pt jump shot from 27 ft (assist by H. Barnes),,11,4
38,1,7:13.0,,D. Gallinari makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),11,7
39,1,6:55.0,Shooting foul by S. Gilgeous-Alexander (drawn by J. Brunson),,11,7
40,1,6:55.0,J. Brunson makes free throw 1 of 2,,12,7
41,1,6:55.0,,P. Beverley enters the game for S. Gilgeous-Alexander,12,7
42,1,6:55.0,J. Brunson makes free throw 2 of 2,,13,7
43,1,6:38.0,,Shooting foul by D. Jordan (drawn by D. Gallinari),13,7
44,1,6:38.0,,D. Gallinari makes free throw 1 of 2,13,8
45,1,6:38.0,,D. Gallinari makes free throw 2 of 2,13,9
46,1,6:23.0,L. Dončić misses 2-pt jump shot from 14 ft,,13,9
47,1,6:18.0,,Defensive rebound by P. Beverley,13,9
48,1,6:05.0,,P. Beverley makes 2-pt layup from 3 ft,13,11
49,1,5:39.0,D. Jordan makes 2-pt dunk from 1 ft (assist by W. Matthews),,15,11
50,1,5:23.0,,Turnover by D. Gallinari (bad pass; steal by L. Dončić),15,11
51,1,5:11.0,Turnover by L. Dončić (bad pass; steal by T. Harris),,15,11
52,1,5:09.0,,Personal take foul by L. Dončić (drawn by T. Harris),15,11
53,1,5:09.0,,M. Harrell enters the game for M. Gortat,15,11
54,1,4:56.0,,D. Gallinari misses 2-pt layup from 3 ft,15,11
55,1,4:54.0,,Offensive rebound by M. Harrell,15,11
56,1,4:51.0,,M. Harrell misses 2-pt layup from 9 ft,15,11
57,1,4:51.0,,Offensive rebound by P. Beverley,15,11
58,1,4:51.0,,Shooting foul by W. Matthews (drawn by P. Beverley),15,11
59,1,4:51.0,,P. Beverley misses free throw 1 of 2,15,11
60,1,4:51.0,,Offensive rebound by Team,15,11
61,1,4:51.0,J. Barea enters the game for J. Brunson,,15,11
62,1,4:51.0,,P. Beverley makes free throw 2 of 2,15,12
63,1,4:38.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by D. Jordan),,18,12
64,1,4:27.0,,D. Gallinari makes 2-pt dunk from 1 ft,18,14
65,1,4:08.0,L. Dončić makes 2-pt jump shot from 8 ft,,20,14
66,1,3:54.0,,P. Beverley makes 2-pt layup from 2 ft,20,16
67,1,3:51.0,Dallas full timeout,,20,16
68,1,3:51.0,D. Harris enters the game for W. Matthews,,20,16
69,1,3:51.0,,L. Williams enters the game for A. Bradley,20,16
70,1,3:39.0,Personal foul by D. Gallinari (drawn by H. Barnes),,20,16
71,1,3:28.0,H. Barnes misses 2-pt jump shot from 6 ft (block by D. Gallinari),,20,16
72,1,3:25.0,,Defensive rebound by D. Gallinari,20,16
73,1,3:23.0,,M. Harrell makes 2-pt dunk from 2 ft (assist by D. Gallinari),20,18
74,1,3:08.0,J. Barea makes 2-pt jump shot from 20 ft,,22,18
75,1,2:54.0,,L. Williams misses 3-pt jump shot from 25 ft,22,18
76,1,2:51.0,,Offensive rebound by D. Gallinari,22,18
77,1,2:46.0,,P. Beverley makes 3-pt jump shot from 25 ft,22,21
78,1,2:24.0,Turnover by H. Barnes (traveling),,22,21
79,1,2:24.0,D. Finney-Smith enters the game for H. Barnes,,22,21
80,1,2:24.0,D. Nowitzki enters the game for L. Dončić,,22,21
81,1,2:24.0,D. Powell enters the game for D. Jordan,,22,21
82,1,2:24.0,,M. Scott enters the game for D. Gallinari,22,21
83,1,2:12.0,,T. Harris makes 2-pt dunk at rim (assist by M. Harrell),22,23
84,1,2:11.0,Dallas full timeout,,22,23
85,1,1:58.0,J. Barea makes 2-pt jump shot from 12 ft,,24,23
86,1,1:37.0,,M. Harrell makes 2-pt dunk from 2 ft (assist by L. Williams),24,25
87,1,1:13.0,D. Harris misses 3-pt jump shot from 29 ft,,24,25
88,1,1:09.0,,Defensive rebound by M. Harrell,24,25
89,1,1:05.0,,Personal foul by D. Finney-Smith (drawn by T. Harris),24,25
90,1,0:54.0,,M. Scott makes 3-pt jump shot from 25 ft (assist by L. Williams),24,28
91,1,0:35.0,J. Barea misses 2-pt jump shot from 8 ft,,24,28
92,1,0:32.0,,Defensive rebound by M. Scott,24,28
93,1,0:16.0,,M. Harrell makes 2-pt hook shot from 5 ft (assist by L. Williams),24,30
94,1,0:00.0,D. Harris makes 3-pt jump shot from 24 ft (assist by J. Barea),,27,30
95,2,11:46.0,Personal foul by M. Harrell (drawn by D. Powell),,27,30
96,2,11:35.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,27,30
97,2,11:33.0,,Defensive rebound by Team,27,30
98,2,11:33.0,Loose ball foul by D. Powell (drawn by M. Harrell),,27,30
99,2,11:22.0,,P. Beverley misses 3-pt jump shot from 26 ft,27,30
100,2,11:18.0,Defensive rebound by D. Finney-Smith,,27,30
101,2,11:10.0,Shooting foul by T. Wallace (drawn by D. Powell),,27,30
102,2,11:10.0,D. Powell misses free throw 1 of 2,,27,30
103,2,11:10.0,Offensive rebound by Team,,27,30
104,2,11:10.0,D. Powell makes free throw 2 of 2,,28,30
