,QUARTER,TIME_REMAINING,HOUSTON_ACTION,PORTLAND_ACTION,HOUSTON_SCORE,PORTLAND_SCORE
0,1,11:40.0,,J. Nurkić makes 2-pt hook shot from 7 ft,0,2
1,1,11:17.0,J. Harden misses 3-pt jump shot from 25 ft,,0,2
2,1,11:15.0,,Defensive rebound by D. Lillard,0,2
3,1,11:06.0,,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),0,4
4,1,10:45.0,A. Rivers makes 3-pt jump shot from 28 ft (assist by P. Tucker),,3,4
5,1,10:25.0,,J. Nurkić makes 2-pt jump shot from 4 ft (assist by D. Lillard),3,6
6,1,10:07.0,J. Harden misses 2-pt jump shot from 5 ft,,3,6
7,1,10:03.0,Offensive rebound by C. Capela,,3,6
8,1,10:03.0,C. Capela misses 2-pt layup at rim,,3,6
9,1,10:03.0,Offensive rebound by C. Capela,,3,6
10,1,10:02.0,C. Capela misses 2-pt layup at rim,,3,6
11,1,10:02.0,,Defensive rebound by E. Turner,3,6
12,1,9:53.0,,D. Lillard misses 2-pt jump shot from 13 ft,3,6
13,1,9:51.0,,Offensive rebound by E. Turner,3,6
14,1,9:48.0,,C. McCollum misses 3-pt jump shot from 24 ft,3,6
15,1,9:44.0,Defensive rebound by C. Capela,,3,6
16,1,9:36.0,A. Rivers makes 3-pt jump shot from 25 ft (assist by P. Tucker),,6,6
17,1,9:19.0,,E. Turner makes 2-pt jump shot from 16 ft,6,8
18,1,9:08.0,A. Rivers makes 3-pt jump shot from 25 ft,,9,8
19,1,8:57.0,,Personal foul by A. Rivers (drawn by D. Lillard),9,8
20,1,8:46.0,,A. Aminu misses 2-pt jump shot from 4 ft,9,8
21,1,8:42.0,,Offensive rebound by A. Aminu,9,8
22,1,8:39.0,,C. McCollum makes 2-pt layup from 1 ft (assist by A. Aminu),9,10
23,1,8:23.0,Shooting foul by J. Nurkić (drawn by C. Capela),,9,10
24,1,8:23.0,C. Capela makes free throw 1 of 2,,10,10
25,1,8:23.0,C. Capela makes free throw 2 of 2,,11,10
26,1,8:08.0,,E. Turner misses 3-pt jump shot from 22 ft,11,10
27,1,8:05.0,,Offensive rebound by J. Nurkić,11,10
28,1,7:51.0,,J. Nurkić misses 2-pt jump shot from 5 ft,11,10
29,1,7:49.0,Defensive rebound by C. Capela,,11,10
30,1,7:46.0,Shooting foul by A. Aminu (drawn by J. Harden),,11,10
31,1,7:46.0,J. Harden makes free throw 1 of 2,,12,10
32,1,7:46.0,J. Harden makes free throw 2 of 2,,13,10
33,1,7:22.0,,E. Turner misses 3-pt jump shot from 23 ft,13,10
34,1,7:19.0,,Offensive rebound by D. Lillard,13,10
35,1,7:16.0,,D. Lillard makes 3-pt jump shot from 25 ft,13,13
36,1,7:01.0,J. Harden misses 3-pt jump shot from 28 ft,,13,13
37,1,6:58.0,,Defensive rebound by C. McCollum,13,13
38,1,6:53.0,,C. McCollum makes 2-pt layup from 5 ft,13,15
39,1,6:35.0,Personal foul by E. Turner (drawn by J. Harden),,13,15
40,1,6:35.0,,Portland full timeout,13,15
41,1,6:35.0,G. Green enters the game for D. House,,13,15
42,1,6:26.0,A. Rivers makes 3-pt jump shot from 25 ft (assist by C. Capela),,16,15
43,1,5:58.0,,E. Turner makes 2-pt layup from 2 ft (assist by J. Nurkić),16,17
44,1,5:32.0,Turnover by J. Harden (bad pass; steal by A. Aminu),,16,17
45,1,5:25.0,,D. Lillard misses 2-pt layup from 3 ft,16,17
46,1,5:23.0,Defensive rebound by P. Tucker,,16,17
47,1,5:16.0,J. Harden makes 2-pt jump shot from 20 ft,,18,17
48,1,5:08.0,,Shooting foul by P. Tucker (drawn by C. McCollum),18,17
49,1,5:08.0,,C. McCollum makes free throw 1 of 2,18,18
50,1,5:08.0,,J. Layman enters the game for E. Turner,18,18
51,1,5:08.0,,C. McCollum makes free throw 2 of 2,18,19
52,1,4:47.0,J. Harden misses 3-pt jump shot from 25 ft,,18,19
53,1,4:46.0,,Defensive rebound by Team,18,19
54,1,4:46.0,N. Hilário enters the game for C. Capela,,18,19
55,1,4:32.0,,J. Layman misses 3-pt jump shot from 23 ft,18,19
56,1,4:30.0,Defensive rebound by G. Green,,18,19
57,1,4:18.0,J. Harden misses 3-pt jump shot from 25 ft,,18,19
58,1,4:14.0,,Defensive rebound by J. Nurkić,18,19
59,1,4:08.0,,Personal foul by J. Harden (drawn by D. Lillard),18,19
60,1,4:08.0,J. Ennis enters the game for A. Rivers,,18,19
61,1,3:59.0,,J. Nurkić misses 2-pt hook shot from 1 ft,18,19
62,1,3:57.0,Defensive rebound by N. Hilário,,18,19
63,1,3:54.0,Turnover by J. Harden (out of bounds lost ball),,18,19
64,1,3:44.0,Technical foul by J. Harden,,18,19
65,1,3:44.0,,D. Lillard makes technical free throw,18,20
66,1,3:44.0,,M. Leonard enters the game for J. Nurkić,18,20
67,1,3:37.0,,C. McCollum misses 2-pt jump shot from 18 ft,18,20
68,1,3:34.0,,Offensive rebound by A. Aminu,18,20
69,1,3:29.0,,Turnover by A. Aminu (lost ball; steal by J. Harden),18,20
70,1,3:19.0,J. Harden misses 2-pt layup from 1 ft,,18,20
71,1,3:19.0,,Defensive rebound by Team,18,20
72,1,3:19.0,Loose ball foul by N. Hilário (drawn by A. Aminu),,18,20
73,1,3:12.0,,Shooting foul by P. Tucker (drawn by D. Lillard),18,20
74,1,3:12.0,,D. Lillard makes free throw 1 of 2,18,21
75,1,3:12.0,,D. Lillard makes free throw 2 of 2,18,22
76,1,2:50.0,J. Harden makes 2-pt layup from 2 ft,,20,22
77,1,2:39.0,,D. Lillard misses 2-pt layup from 2 ft,20,22
78,1,2:38.0,Defensive rebound by N. Hilário,,20,22
79,1,2:21.0,Turnover by J. Harden (bad pass),,20,22
80,1,2:21.0,Houston full timeout,,20,22
81,1,2:21.0,D. House enters the game for G. Green,,20,22
82,1,2:21.0,B. Knight enters the game for J. Harden,,20,22
83,1,2:21.0,A. Rivers enters the game for P. Tucker,,20,22
84,1,2:21.0,,Z. Collins enters the game for A. Aminu,20,22
85,1,2:21.0,,S. Curry enters the game for C. McCollum,20,22
86,1,2:02.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by M. Leonard),20,25
87,1,1:49.0,A. Rivers makes 2-pt layup from 2 ft,,22,25
88,1,1:38.0,,Turnover by D. Lillard (bad pass; steal by D. House),22,25
89,1,1:37.0,B. Knight makes 2-pt layup from 2 ft (assist by A. Rivers),,24,25
90,1,1:37.0,Shooting foul by M. Leonard (drawn by B. Knight),,24,25
91,1,1:37.0,B. Knight misses free throw 1 of 1,,24,25
92,1,1:35.0,,Defensive rebound by M. Leonard,24,25
93,1,1:18.0,,Z. Collins makes 2-pt layup from 1 ft (assist by D. Lillard),24,27
94,1,1:03.0,D. House makes 3-pt jump shot from 24 ft (assist by N. Hilário),,27,27
95,1,0:47.0,,D. Lillard misses 3-pt jump shot from 29 ft,27,27
96,1,0:45.0,,Offensive rebound by S. Curry,27,27
97,1,0:36.0,,Z. Collins misses 2-pt hook shot from 5 ft,27,27
98,1,0:33.0,Defensive rebound by A. Rivers,,27,27
99,1,0:26.0,B. Knight makes 3-pt jump shot from 25 ft,,30,27
100,1,0:02.0,,Z. Collins makes 3-pt jump shot from 25 ft (assist by D. Lillard),30,30
101,1,0:00.0,D. House misses 3-pt jump shot from 28 ft,,30,30
102,1,0:00.0,Offensive rebound by Team,,30,30
103,2,11:46.0,B. Knight misses 3-pt jump shot from 25 ft,,30,30
104,2,11:42.0,,Defensive rebound by M. Leonard,30,30
105,2,11:33.0,,M. Leonard makes 2-pt layup from 2 ft (assist by C. McCollum),30,32
106,2,11:12.0,A. Rivers misses 2-pt jump shot from 5 ft,,30,32
107,2,11:10.0,Offensive rebound by C. Capela,,30,32
108,2,11:07.0,C. Capela misses 2-pt hook shot from 5 ft,,30,32
109,2,11:06.0,,Defensive rebound by M. Leonard,30,32
110,2,10:51.0,,Z. Collins misses 2-pt hook shot from 8 ft,30,32
111,2,10:47.0,Defensive rebound by D. House,,30,32
