,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,NEW YORK_ACTION,MILWAUKEE_SCORE,NEW YORK_SCORE
0,1,11:42.0,M. Brogdon misses 2-pt layup from 1 ft,,0,0
1,1,11:40.0,Offensive rebound by B. Lopez,,0,0
2,1,11:40.0,B. Lopez misses 2-pt layup from 1 ft,,0,0
3,1,11:38.0,Offensive rebound by M. Brogdon,,0,0
4,1,11:32.0,B. Lopez misses 3-pt jump shot from 23 ft,,0,0
5,1,11:30.0,,Defensive rebound by M. Hezonja,0,0
6,1,11:07.0,,N. Vonleh makes 2-pt dunk from 1 ft (assist by M. Hezonja),0,2
7,1,10:56.0,G. Antetokounmpo misses 3-pt jump shot from 27 ft,,0,2
8,1,10:54.0,,Defensive rebound by N. Vonleh,0,2
9,1,10:43.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by E. Freedom),0,5
10,1,10:28.0,M. Brogdon makes 2-pt layup from 1 ft (assist by K. Middleton),,2,5
11,1,10:09.0,,E. Freedom makes 2-pt layup from 1 ft (assist by E. Mudiay),2,7
12,1,10:00.0,K. Middleton misses 2-pt jump shot from 13 ft,,2,7
13,1,9:58.0,,Defensive rebound by N. Vonleh,2,7
14,1,9:50.0,,Turnover by M. Hezonja (bad pass; steal by B. Lopez),2,7
15,1,9:43.0,B. Lopez makes 3-pt jump shot from 25 ft (assist by M. Brogdon),,5,7
16,1,9:21.0,,E. Mudiay misses 3-pt jump shot from 29 ft,5,7
17,1,9:19.0,Defensive rebound by E. Bledsoe,,5,7
18,1,9:01.0,K. Middleton makes 3-pt jump shot from 28 ft,,8,7
19,1,8:49.0,,T. Hardaway misses 2-pt layup from 1 ft (block by B. Lopez),8,7
20,1,8:47.0,Defensive rebound by G. Antetokounmpo,,8,7
21,1,8:40.0,K. Middleton misses 3-pt jump shot from 25 ft,,8,7
22,1,8:38.0,,Defensive rebound by E. Freedom,8,7
23,1,8:31.0,,T. Hardaway misses 2-pt layup from 1 ft,8,7
24,1,8:29.0,Defensive rebound by G. Antetokounmpo,,8,7
