,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MILWAUKEE_ACTION,LA LAKERS_SCORE,MILWAUKEE_SCORE
0,1,11:42.0,R. Bullock makes 3-pt jump shot from 26 ft (assist by K. Kuzma),,3,0
1,1,11:26.0,,K. Middleton misses 3-pt jump shot from 26 ft,3,0
2,1,11:23.0,Defensive rebound by J. McGee,,3,0
3,1,11:13.0,R. Bullock misses 2-pt layup from 1 ft,,3,0
4,1,11:11.0,Offensive rebound by R. Bullock,,3,0
5,1,11:03.0,R. Rondo makes 2-pt jump shot from 6 ft,,5,0
6,1,10:53.0,,N. Mirotić makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),5,3
7,1,10:43.0,M. Muscala misses 3-pt jump shot from 28 ft,,5,3
8,1,10:40.0,,Defensive rebound by E. Bledsoe,5,3
9,1,10:36.0,,Turnover by E. Bledsoe (bad pass; steal by M. Muscala),5,3
10,1,10:27.0,K. Kuzma misses 2-pt jump shot from 18 ft,,5,3
11,1,10:27.0,Offensive rebound by J. McGee,,5,3
12,1,10:27.0,J. McGee makes 2-pt layup from 2 ft,,7,3
13,1,10:08.0,,K. Middleton makes 2-pt jump shot from 15 ft,7,5
14,1,10:00.0,R. Rondo misses 2-pt layup from 3 ft (block by B. Lopez),,7,5
15,1,10:00.0,,Defensive rebound by B. Lopez,7,5
16,1,9:51.0,,B. Lopez makes 3-pt jump shot from 29 ft (assist by N. Mirotić),7,8
17,1,9:35.0,M. Muscala misses 3-pt jump shot from 26 ft,,7,8
18,1,9:34.0,Offensive rebound by Team,,7,8
19,1,9:25.0,R. Rondo misses 2-pt jump shot from 6 ft,,7,8
20,1,9:24.0,Offensive rebound by J. McGee,,7,8
21,1,9:23.0,J. McGee makes 2-pt layup from 1 ft,,9,8
22,1,9:17.0,,K. Middleton misses 2-pt layup from 3 ft,9,8
23,1,9:12.0,Defensive rebound by M. Muscala,,9,8
24,1,9:10.0,K. Kuzma makes 2-pt layup from 1 ft (assist by R. Rondo),,11,8
25,1,9:00.0,,Shooting foul by R. Bullock (drawn by B. Lopez),11,8
26,1,9:00.0,,B. Lopez makes free throw 1 of 2,11,9
27,1,9:00.0,,B. Lopez makes free throw 2 of 2,11,10
28,1,8:46.0,M. Muscala misses 3-pt jump shot from 28 ft,,11,10
29,1,8:42.0,,Defensive rebound by T. Snell,11,10
30,1,8:34.0,,K. Middleton makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),11,13
31,1,8:18.0,R. Rondo misses 3-pt jump shot from 25 ft,,11,13
32,1,8:14.0,,Defensive rebound by E. Bledsoe,11,13
33,1,8:08.0,,K. Middleton misses 3-pt jump shot from 27 ft,11,13
34,1,8:03.0,,Offensive rebound by N. Mirotić,11,13
35,1,8:03.0,,N. Mirotić makes 2-pt layup at rim,11,15
36,1,7:59.0,Turnover by K. Kuzma (bad pass; steal by K. Middleton),,11,15
37,1,7:49.0,,T. Snell misses 3-pt jump shot from 28 ft,11,15
38,1,7:45.0,Defensive rebound by M. Muscala,,11,15
39,1,7:43.0,Shooting foul by T. Snell (drawn by K. Kuzma),,11,15
40,1,7:43.0,K. Kuzma misses free throw 1 of 2,,11,15
41,1,7:43.0,Offensive rebound by Team,,11,15
42,1,7:43.0,,P. Connaughton enters the game for N. Mirotić,11,15
43,1,7:43.0,K. Kuzma misses free throw 2 of 2,,11,15
44,1,7:36.0,,Defensive rebound by T. Snell,11,15
45,1,7:32.0,,B. Lopez misses 3-pt jump shot from 29 ft,11,15
46,1,7:28.0,Defensive rebound by R. Rondo,,11,15
47,1,7:10.0,K. Kuzma misses 3-pt jump shot from 27 ft,,11,15
48,1,7:07.0,,Defensive rebound by P. Connaughton,11,15
49,1,7:03.0,,P. Connaughton misses 2-pt layup from 2 ft,11,15
50,1,7:00.0,Defensive rebound by M. Muscala,,11,15
51,1,6:55.0,R. Bullock makes 3-pt jump shot from 26 ft (assist by M. Muscala),,14,15
52,1,6:55.0,,Milwaukee full timeout,14,15
53,1,6:55.0,K. Caldwell-Pope enters the game for M. Muscala,,14,15
54,1,6:41.0,,P. Connaughton misses 3-pt jump shot from 27 ft,14,15
55,1,6:37.0,Defensive rebound by K. Caldwell-Pope,,14,15
56,1,6:27.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,14,15
57,1,6:23.0,,Defensive rebound by K. Middleton,14,15
58,1,6:19.0,,T. Snell misses 2-pt layup from 3 ft (block by J. McGee),14,15
59,1,6:15.0,,Offensive rebound by T. Snell,14,15
60,1,6:03.0,,P. Connaughton makes 3-pt jump shot from 26 ft (assist by B. Lopez),14,18
61,1,5:42.0,Shooting foul by T. Snell (drawn by R. Bullock),,14,18
62,1,5:42.0,R. Bullock makes free throw 1 of 2,,15,18
63,1,5:42.0,R. Bullock makes free throw 2 of 2,,16,18
64,1,5:33.0,,Shooting foul by K. Caldwell-Pope (drawn by E. Bledsoe),16,18
65,1,5:33.0,,E. Bledsoe makes free throw 1 of 2,16,19
66,1,5:33.0,,D. Wilson enters the game for T. Snell,16,19
67,1,5:33.0,,E. Bledsoe misses free throw 2 of 2,16,19
68,1,5:24.0,,Offensive rebound by K. Middleton,16,19
69,1,5:24.0,,K. Middleton makes 2-pt layup at rim,16,21
70,1,5:13.0,Turnover by R. Rondo (bad pass; steal by E. Bledsoe),,16,21
71,1,5:08.0,,Shooting foul by R. Bullock (drawn by E. Bledsoe),16,21
72,1,5:08.0,,E. Bledsoe misses free throw 1 of 2,16,21
73,1,5:08.0,,Offensive rebound by Team,16,21
74,1,5:08.0,LA Lakers full timeout,,16,21
75,1,5:08.0,J. Hart enters the game for R. Bullock,,16,21
76,1,5:08.0,,G. Hill enters the game for P. Connaughton,16,21
77,1,5:08.0,,E. Bledsoe makes free throw 2 of 2,16,22
78,1,4:49.0,Shooting foul by D. Wilson (drawn by K. Kuzma),,16,22
79,1,4:49.0,K. Kuzma misses free throw 1 of 2,,16,22
80,1,4:49.0,Offensive rebound by Team,,16,22
81,1,4:49.0,,P. Connaughton enters the game for E. Bledsoe,16,22
82,1,4:49.0,K. Kuzma makes free throw 2 of 2,,17,22
83,1,4:39.0,,K. Middleton misses 3-pt jump shot from 26 ft,17,22
84,1,4:36.0,,Offensive rebound by B. Lopez,17,22
85,1,4:35.0,,K. Middleton makes 2-pt layup from 2 ft (assist by B. Lopez),17,24
86,1,4:24.0,J. Hart makes 3-pt jump shot from 27 ft (assist by R. Rondo),,20,24
87,1,4:14.0,,Shooting foul by J. McGee (drawn by B. Lopez),20,24
88,1,4:14.0,,B. Lopez makes free throw 1 of 2,20,25
89,1,4:14.0,M. Wagner enters the game for J. McGee,,20,25
90,1,4:14.0,,B. Lopez makes free throw 2 of 2,20,26
91,1,3:59.0,K. Kuzma misses 2-pt hook shot from 4 ft,,20,26
92,1,3:55.0,,Defensive rebound by B. Lopez,20,26
93,1,3:48.0,,G. Hill misses 3-pt jump shot from 24 ft,20,26
94,1,3:44.0,Defensive rebound by R. Rondo,,20,26
95,1,3:30.0,K. Kuzma misses 2-pt layup from 1 ft (block by B. Lopez),,20,26
96,1,3:26.0,,Defensive rebound by D. Wilson,20,26
97,1,3:14.0,,D. Wilson makes 3-pt jump shot from 23 ft (assist by K. Middleton),20,29
98,1,2:55.0,R. Rondo makes 2-pt hook shot from 8 ft,,22,29
99,1,2:45.0,,P. Connaughton makes 2-pt layup from 2 ft (assist by K. Middleton),22,31
100,1,2:32.0,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by R. Rondo),,24,31
101,1,2:18.0,,D. Wilson misses 3-pt jump shot from 27 ft,24,31
102,1,2:14.0,Defensive rebound by M. Wagner,,24,31
103,1,2:13.0,Turnover by M. Wagner (bad pass; steal by B. Lopez),,24,31
104,1,2:01.0,,Turnover by B. Lopez (bad pass; steal by R. Rondo),24,31
