,QUARTER,TIME_REMAINING,DALLAS_ACTION,OKLAHOMA CITY_ACTION,DALLAS_SCORE,OKLAHOMA CITY_SCORE
0,1,11:42.0,Violation by Team (kicked ball),,0,0
1,1,11:34.0,,R. Westbrook misses 2-pt layup from 1 ft,0,0
2,1,11:31.0,Defensive rebound by W. Matthews,,0,0
3,1,11:27.0,Personal foul by T. Ferguson (drawn by D. Jordan),,0,0
4,1,11:17.0,W. Matthews misses 2-pt jump shot from 6 ft,,0,0
5,1,11:15.0,,Defensive rebound by R. Westbrook,0,0
6,1,11:10.0,,P. George makes 2-pt layup from 1 ft,0,2
7,1,11:02.0,Turnover by L. Dončić (bad pass; steal by P. George),,0,2
8,1,11:00.0,,P. George makes 2-pt dunk from 1 ft,0,4
9,1,10:38.0,L. Dončić misses 3-pt jump shot from 24 ft,,0,4
10,1,10:35.0,,Defensive rebound by R. Westbrook,0,4
11,1,10:30.0,,P. George misses 3-pt jump shot from 25 ft,0,4
12,1,10:27.0,Defensive rebound by D. Jordan,,0,4
13,1,10:16.0,Shooting foul by R. Westbrook (drawn by D. Smith),,0,4
14,1,10:16.0,D. Smith makes free throw 1 of 2,,1,4
15,1,10:16.0,D. Smith makes free throw 2 of 2,,2,4
16,1,10:03.0,,Shooting foul by W. Matthews (drawn by P. George),2,4
17,1,10:03.0,,P. George makes free throw 1 of 2,2,5
18,1,10:03.0,,P. George makes free throw 2 of 2,2,6
19,1,9:53.0,D. Smith misses 3-pt jump shot from 25 ft,,2,6
20,1,9:50.0,,Defensive rebound by J. Grant,2,6
21,1,9:37.0,,R. Westbrook makes 2-pt dunk from 1 ft (assist by S. Adams),2,8
22,1,9:10.0,W. Matthews misses 3-pt jump shot from 26 ft,,2,8
23,1,9:06.0,,Defensive rebound by S. Adams,2,8
24,1,8:57.0,,R. Westbrook misses 2-pt jump shot from 14 ft,2,8
25,1,8:55.0,Defensive rebound by D. Jordan,,2,8
26,1,8:44.0,D. Smith misses 2-pt layup from 3 ft,,2,8
27,1,8:42.0,,Defensive rebound by S. Adams,2,8
28,1,8:40.0,,Shooting foul by D. Jordan (drawn by T. Ferguson),2,8
29,1,8:40.0,,T. Ferguson makes free throw 1 of 2,2,9
30,1,8:40.0,Dallas full timeout,,2,9
31,1,8:40.0,,T. Ferguson misses free throw 2 of 2,2,9
32,1,8:37.0,Defensive rebound by H. Barnes,,2,9
33,1,8:21.0,L. Dončić makes 3-pt jump shot from 24 ft (assist by D. Smith),,5,9
34,1,8:02.0,,P. George misses 2-pt layup from 3 ft,5,9
35,1,8:00.0,Defensive rebound by D. Jordan,,5,9
36,1,7:43.0,Turnover by D. Smith (bad pass; steal by P. George),,5,9
37,1,7:39.0,,Shooting foul by D. Smith (drawn by S. Adams),5,9
38,1,7:39.0,,S. Adams misses free throw 1 of 2,5,9
39,1,7:39.0,,Offensive rebound by Team,5,9
40,1,7:39.0,,S. Adams misses free throw 2 of 2,5,9
41,1,7:37.0,Defensive rebound by D. Jordan,,5,9
42,1,7:15.0,Turnover by Team (shot clock),,5,9
43,1,7:04.0,,Shooting foul by H. Barnes (drawn by J. Grant),5,9
44,1,7:04.0,,J. Grant makes free throw 1 of 2,5,10
45,1,7:04.0,,J. Grant makes free throw 2 of 2,5,11
46,1,6:55.0,,Violation by Team (kicked ball),5,11
47,1,6:50.0,Turnover by L. Dončić (bad pass; steal by P. George),,5,11
48,1,6:44.0,,P. George makes 3-pt jump shot from 26 ft (assist by S. Adams),5,14
49,1,6:26.0,W. Matthews misses 3-pt jump shot from 26 ft,,5,14
50,1,6:25.0,,Defensive rebound by J. Grant,5,14
51,1,6:23.0,,Turnover by T. Ferguson (step out of bounds),5,14
52,1,6:15.0,Turnover by D. Smith (bad pass),,5,14
53,1,6:15.0,J. Barea enters the game for D. Smith,,5,14
54,1,6:08.0,,R. Westbrook makes 2-pt jump shot from 10 ft,5,16
55,1,5:42.0,J. Barea misses 3-pt jump shot from 22 ft,,5,16
56,1,5:40.0,,Defensive rebound by R. Westbrook,5,16
57,1,5:35.0,,Turnover by R. Westbrook (bad pass; steal by L. Dončić),5,16
58,1,5:25.0,L. Dončić misses 3-pt jump shot from 26 ft,,5,16
59,1,5:21.0,,Defensive rebound by J. Grant,5,16
60,1,5:14.0,,R. Westbrook makes 2-pt jump shot from 17 ft,5,18
61,1,5:13.0,Dallas full timeout,,5,18
62,1,5:13.0,D. Harris enters the game for L. Dončić,,5,18
63,1,5:13.0,,D. Schröder enters the game for T. Ferguson,5,18
64,1,4:57.0,H. Barnes makes 3-pt jump shot from 24 ft (assist by D. Harris),,8,18
65,1,4:52.0,,Personal take foul by D. Harris (drawn by S. Adams),8,18
66,1,4:52.0,,S. Adams misses free throw 1 of 2,8,18
67,1,4:52.0,,Offensive rebound by Team,8,18
68,1,4:52.0,,S. Adams misses free throw 2 of 2,8,18
69,1,4:51.0,,Offensive rebound by Team,8,18
70,1,4:49.0,,P. George makes 3-pt jump shot from 23 ft (assist by R. Westbrook),8,21
71,1,4:41.0,Personal foul by P. George (drawn by D. Harris),,8,21
72,1,4:33.0,Turnover by J. Barea (bad pass; steal by J. Grant),,8,21
73,1,4:25.0,,S. Adams misses 2-pt hook shot from 8 ft,8,21
74,1,4:23.0,Defensive rebound by D. Harris,,8,21
75,1,4:17.0,Turnover by D. Harris (bad pass; steal by P. George),,8,21
76,1,4:12.0,,J. Grant makes 2-pt dunk at rim (assist by R. Westbrook),8,23
77,1,3:58.0,D. Jordan makes 2-pt dunk from 1 ft (assist by J. Barea),,10,23
78,1,3:41.0,,D. Schröder misses 2-pt jump shot from 13 ft,10,23
79,1,3:38.0,Defensive rebound by J. Barea,,10,23
80,1,3:37.0,Personal foul by R. Westbrook (drawn by D. Jordan),,10,23
81,1,3:37.0,D. Finney-Smith enters the game for D. Jordan,,10,23
82,1,3:37.0,D. Powell enters the game for W. Matthews,,10,23
83,1,3:33.0,D. Harris misses 3-pt jump shot from 24 ft,,10,23
84,1,3:30.0,,Defensive rebound by P. George,10,23
85,1,3:23.0,,P. George misses 2-pt layup at rim (block by D. Powell),10,23
86,1,3:22.0,,Offensive rebound by P. George,10,23
87,1,3:22.0,,Shooting foul by D. Powell (drawn by P. George),10,23
88,1,3:22.0,,P. George makes free throw 1 of 2,10,24
89,1,3:22.0,M. Kleber enters the game for H. Barnes,,10,24
90,1,3:22.0,,A. Nader enters the game for S. Adams,10,24
91,1,3:22.0,,N. Noel enters the game for R. Westbrook,10,24
92,1,3:22.0,,P. George makes free throw 2 of 2,10,25
93,1,3:09.0,Personal foul by P. George (drawn by D. Finney-Smith),,10,25
94,1,3:09.0,D. Finney-Smith misses free throw 1 of 2,,10,25
95,1,3:09.0,Offensive rebound by Team,,10,25
96,1,3:09.0,D. Finney-Smith makes free throw 2 of 2,,11,25
97,1,2:54.0,,P. George misses 2-pt jump shot from 18 ft,11,25
98,1,2:49.0,,Offensive rebound by N. Noel,11,25
99,1,2:49.0,,N. Noel misses 2-pt layup at rim,11,25
100,1,2:48.0,Defensive rebound by M. Kleber,,11,25
101,1,2:41.0,Turnover by J. Barea (out of bounds lost ball),,11,25
102,1,2:30.0,,N. Noel makes 2-pt dunk from 1 ft (assist by D. Schröder),11,27
103,1,2:17.0,Shooting foul by A. Nader (drawn by J. Barea),,11,27
104,1,2:17.0,J. Barea makes free throw 1 of 2,,12,27
105,1,2:17.0,,P. Patterson enters the game for J. Grant,12,27
106,1,2:17.0,J. Barea misses free throw 2 of 2,,12,27
107,1,2:15.0,,Defensive rebound by N. Noel,12,27
108,1,2:06.0,,D. Schröder makes 2-pt jump shot from 10 ft,12,29
109,1,1:48.0,J. Barea misses 2-pt layup from 3 ft (block by N. Noel),,12,29
110,1,1:46.0,,Defensive rebound by N. Noel,12,29
111,1,1:41.0,,D. Schröder misses 2-pt jump shot from 11 ft,12,29
112,1,1:38.0,Defensive rebound by D. Powell,,12,29
113,1,1:32.0,Shooting foul by A. Nader (drawn by D. Harris),,12,29
114,1,1:32.0,D. Harris misses free throw 1 of 2,,12,29
115,1,1:32.0,Offensive rebound by Team,,12,29
116,1,1:32.0,D. Harris makes free throw 2 of 2,,13,29
117,1,1:18.0,,Turnover by D. Schröder (bad pass; steal by J. Barea),13,29
118,1,1:14.0,Personal foul by N. Noel (drawn by J. Barea),,13,29
119,1,1:14.0,J. Barea makes free throw 1 of 2,,14,29
120,1,1:14.0,J. Barea makes free throw 2 of 2,,15,29
121,1,1:06.0,,P. Patterson misses 3-pt jump shot from 23 ft,15,29
122,1,1:05.0,Defensive rebound by D. Finney-Smith,,15,29
123,1,0:57.0,D. Finney-Smith makes 2-pt jump shot from 17 ft,,17,29
124,1,0:40.0,,Personal foul by D. Finney-Smith (drawn by P. George),17,29
125,1,0:40.0,,P. George makes free throw 1 of 2,17,30
126,1,0:40.0,,P. George makes free throw 2 of 2,17,31
127,1,0:30.0,Personal foul by A. Nader (drawn by D. Harris),,17,31
128,1,0:30.0,D. Harris makes free throw 1 of 2,,18,31
129,1,0:30.0,,T. Ferguson enters the game for A. Nader,18,31
130,1,0:30.0,D. Harris makes free throw 2 of 2,,19,31
131,1,0:15.0,,Personal foul by D. Powell (drawn by N. Noel),19,31
132,1,0:15.0,,N. Noel makes free throw 1 of 2,19,32
133,1,0:15.0,,H. Diallo enters the game for P. George,19,32
134,1,0:15.0,,N. Noel misses free throw 2 of 2,19,32
135,1,0:13.0,Defensive rebound by M. Kleber,,19,32
136,1,0:05.0,D. Powell makes 2-pt dunk from 1 ft (assist by J. Barea),,21,32
137,1,0:01.0,,D. Schröder misses 3-pt jump shot from 25 ft,21,32
138,1,0:01.0,Defensive rebound by M. Kleber,,21,32
139,2,11:45.0,M. Kleber misses 3-pt jump shot from 23 ft,,21,32
140,2,11:42.0,,Defensive rebound by P. Patterson,21,32
141,2,11:34.0,,T. Ferguson misses 2-pt jump shot from 22 ft,21,32
142,2,11:30.0,Defensive rebound by M. Kleber,,21,32
143,2,11:25.0,D. Harris makes 2-pt layup from 1 ft (assist by J. Barea),,23,32
144,2,11:15.0,,P. Patterson misses 2-pt jump shot from 12 ft,23,32
145,2,11:13.0,Defensive rebound by M. Kleber,,23,32
146,2,10:56.0,D. Finney-Smith misses 3-pt jump shot from 24 ft,,23,32
147,2,10:51.0,,Defensive rebound by T. Ferguson,23,32
148,2,10:46.0,,D. Schröder makes 2-pt layup from 1 ft,23,34
149,2,10:34.0,J. Barea misses 3-pt jump shot from 26 ft,,23,34
150,2,10:32.0,,Defensive rebound by N. Noel,23,34
151,2,10:25.0,,Turnover by H. Diallo (traveling),23,34
152,2,10:19.0,Personal foul by H. Diallo (drawn by D. Harris),,23,34
153,2,10:17.0,Turnover by D. Powell (offensive foul),,23,34
154,2,10:17.0,Offensive foul by D. Powell (drawn by H. Diallo),,23,34
155,2,10:17.0,S. Mejri enters the game for D. Powell,,23,34
156,2,10:03.0,,D. Schröder misses 2-pt layup from 2 ft,23,34
157,2,10:02.0,,Offensive rebound by N. Noel,23,34
158,2,10:01.0,,N. Noel makes 2-pt dunk at rim,23,36
159,2,9:44.0,Personal foul by D. Schröder (drawn by S. Mejri),,23,36
160,2,9:37.0,Turnover by D. Harris (bad pass),,23,36
161,2,9:30.0,,P. Patterson makes 3-pt jump shot from 24 ft (assist by D. Schröder),23,39
162,2,9:27.0,Dallas full timeout,,23,39
163,2,9:27.0,J. Brunson enters the game for D. Harris,,23,39
164,2,9:09.0,S. Mejri makes 2-pt dunk from 1 ft (assist by J. Barea),,25,39
165,2,8:55.0,,D. Schröder misses 2-pt jump shot from 4 ft,25,39
166,2,8:52.0,Defensive rebound by D. Finney-Smith,,25,39
167,2,8:34.0,S. Mejri makes 2-pt layup from 1 ft (assist by J. Barea),,27,39
168,2,8:19.0,,Shooting foul by D. Finney-Smith (drawn by H. Diallo),27,39
169,2,8:19.0,,S. Adams enters the game for N. Noel,27,39
170,2,8:19.0,,R. Westbrook enters the game for D. Schröder,27,39
171,2,8:19.0,,H. Diallo makes free throw 1 of 2,27,40
172,2,8:19.0,,H. Diallo misses free throw 2 of 2,27,40
173,2,8:17.0,,Offensive rebound by Team,27,40
174,2,8:13.0,,R. Westbrook misses 2-pt jump shot from 17 ft,27,40
175,2,8:12.0,Defensive rebound by Team,,27,40
176,2,7:57.0,Shooting foul by T. Ferguson (drawn by J. Barea),,27,40
177,2,7:57.0,J. Barea misses free throw 1 of 2,,27,40
178,2,7:57.0,Offensive rebound by Team,,27,40
179,2,7:57.0,J. Barea makes free throw 2 of 2,,28,40
