,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DETROIT_ACTION,CHARLOTTE_SCORE,DETROIT_SCORE
0,1,11:44.0,,R. Jackson misses 2-pt jump shot from 15 ft,0,0
1,1,11:37.0,Defensive rebound by J. Lamb,,0,0
2,1,11:30.0,M. Williams misses 2-pt jump shot from 9 ft,,0,0
3,1,11:28.0,Offensive rebound by C. Zeller,,0,0
4,1,11:25.0,K. Walker misses 3-pt jump shot from 26 ft,,0,0
5,1,11:22.0,,Defensive rebound by A. Drummond,0,0
6,1,11:14.0,,B. Griffin misses 3-pt jump shot from 27 ft,0,0
7,1,11:10.0,,Offensive rebound by R. Jackson,0,0
8,1,11:02.0,,A. Drummond misses 2-pt layup from 5 ft,0,0
9,1,10:56.0,,R. Bullock makes 2-pt layup from 1 ft,0,2
10,1,10:56.0,,Offensive rebound by R. Bullock,0,2
11,1,10:37.0,C. Zeller misses 3-pt jump shot from 27 ft,,0,2
12,1,10:33.0,,Defensive rebound by A. Drummond,0,2
13,1,10:27.0,,G. Robinson misses 3-pt jump shot from 29 ft,0,2
14,1,10:24.0,,Offensive rebound by A. Drummond,0,2
15,1,10:22.0,,A. Drummond makes 2-pt layup from 3 ft,0,4
16,1,10:09.0,N. Batum misses 2-pt jump shot from 9 ft,,0,4
17,1,10:06.0,Offensive rebound by C. Zeller,,0,4
18,1,10:01.0,C. Zeller misses 2-pt hook shot from 5 ft,,0,4
19,1,9:59.0,,Defensive rebound by A. Drummond,0,4
20,1,9:51.0,,R. Jackson misses 3-pt jump shot from 28 ft,0,4
21,1,9:47.0,Defensive rebound by Team,,0,4
22,1,9:34.0,N. Batum makes 2-pt jump shot from 20 ft,,2,4
23,1,9:10.0,,R. Jackson misses 3-pt jump shot from 27 ft,2,4
24,1,9:09.0,,Offensive rebound by A. Drummond,2,4
25,1,9:09.0,,A. Drummond misses 2-pt layup from 1 ft,2,4
26,1,9:08.0,,Offensive rebound by A. Drummond,2,4
27,1,9:00.0,,A. Drummond misses 2-pt layup from 6 ft,2,4
28,1,9:00.0,Defensive rebound by J. Lamb,,2,4
29,1,9:00.0,Shooting foul by B. Griffin (drawn by C. Zeller),,2,4
30,1,9:00.0,C. Zeller makes free throw 1 of 2,,3,4
31,1,9:00.0,C. Zeller makes free throw 2 of 2,,4,4
32,1,8:49.0,,R. Bullock misses 2-pt layup from 5 ft,4,4
33,1,8:46.0,Defensive rebound by M. Williams,,4,4
34,1,8:37.0,Personal foul by A. Drummond (drawn by K. Walker),,4,4
35,1,8:28.0,J. Lamb misses 2-pt jump shot from 7 ft,,4,4
36,1,8:26.0,,Defensive rebound by A. Drummond,4,4
37,1,8:17.0,,Personal foul by J. Lamb (drawn by B. Griffin),4,4
38,1,8:07.0,,Turnover by B. Griffin (lost ball; steal by M. Williams),4,4
39,1,8:03.0,J. Lamb makes 3-pt jump shot from 30 ft (assist by K. Walker),,7,4
40,1,7:46.0,,G. Robinson makes 3-pt jump shot from 23 ft (assist by R. Jackson),7,7
41,1,7:33.0,C. Zeller makes 2-pt layup from 3 ft (assist by N. Batum),,9,7
42,1,7:21.0,,R. Jackson misses 3-pt jump shot from 27 ft,9,7
43,1,7:17.0,Defensive rebound by N. Batum,,9,7
44,1,7:05.0,M. Williams misses 3-pt jump shot from 28 ft,,9,7
45,1,7:01.0,,Defensive rebound by A. Drummond,9,7
46,1,6:44.0,,G. Robinson misses 3-pt jump shot from 28 ft,9,7
47,1,6:40.0,,Offensive rebound by R. Bullock,9,7
48,1,6:31.0,,B. Griffin misses 3-pt jump shot from 25 ft,9,7
49,1,6:27.0,Defensive rebound by N. Batum,,9,7
50,1,6:22.0,N. Batum misses 3-pt jump shot from 27 ft,,9,7
51,1,6:19.0,,Defensive rebound by B. Griffin,9,7
52,1,6:14.0,,Turnover by B. Griffin (bad pass),9,7
53,1,6:14.0,,Detroit full timeout,9,7
54,1,6:14.0,W. Hernangómez enters the game for C. Zeller,,9,7
55,1,6:14.0,,L. Galloway enters the game for G. Robinson,9,7
56,1,6:02.0,K. Walker makes 2-pt jump shot from 9 ft,,11,7
57,1,5:46.0,,B. Griffin makes 2-pt layup from 2 ft (assist by R. Jackson),11,9
58,1,5:37.0,Personal foul by R. Jackson (drawn by W. Hernangómez),,11,9
59,1,5:35.0,Offensive foul by N. Batum (drawn by R. Bullock),,11,9
60,1,5:35.0,Turnover by N. Batum (offensive foul),,11,9
61,1,5:15.0,,R. Jackson makes 3-pt jump shot from 23 ft (assist by B. Griffin),11,12
62,1,4:55.0,W. Hernangómez makes 2-pt layup from 2 ft (assist by K. Walker),,13,12
63,1,4:47.0,,R. Bullock makes 3-pt jump shot from 26 ft (assist by R. Jackson),13,15
64,1,4:32.0,W. Hernangómez makes 2-pt layup from 3 ft (assist by K. Walker),,15,15
65,1,4:19.0,,R. Jackson misses 2-pt jump shot from 12 ft,15,15
66,1,4:18.0,Defensive rebound by Team,,15,15
67,1,4:18.0,,Loose ball foul by A. Drummond (drawn by W. Hernangómez),15,15
68,1,4:18.0,M. Bridges enters the game for N. Batum,,15,15
69,1,4:18.0,M. Kidd-Gilchrist enters the game for M. Williams,,15,15
70,1,4:18.0,,Z. Pachulia enters the game for A. Drummond,15,15
71,1,4:18.0,,I. Smith enters the game for R. Jackson,15,15
72,1,4:10.0,W. Hernangómez misses 3-pt jump shot from 27 ft,,15,15
73,1,4:10.0,Offensive rebound by W. Hernangómez,,15,15
74,1,4:03.0,K. Walker misses 3-pt jump shot from 26 ft,,15,15
75,1,4:03.0,,Defensive rebound by B. Griffin,15,15
76,1,3:56.0,,Personal foul by W. Hernangómez (drawn by Z. Pachulia),15,15
77,1,3:56.0,T. Parker enters the game for J. Lamb,,15,15
