,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,OKLAHOMA CITY_ACTION,CLEVELAND_SCORE,OKLAHOMA CITY_SCORE
0,1,11:36.0,R. Hood misses 3-pt jump shot from 25 ft,,0,0
1,1,11:32.0,Offensive rebound by R. Hood,,0,0
2,1,11:18.0,C. Sexton misses 2-pt layup from 2 ft (block by J. Grant),,0,0
3,1,11:16.0,,Defensive rebound by J. Grant,0,0
4,1,11:16.0,,Turnover by J. Grant (bad pass),0,0
5,1,11:03.0,C. Sexton misses 2-pt jump shot from 21 ft,,0,0
6,1,11:01.0,,Defensive rebound by R. Westbrook,0,0
7,1,10:52.0,,Á. Abrines misses 3-pt jump shot from 23 ft,0,0
8,1,10:51.0,,Offensive rebound by J. Grant,0,0
9,1,10:50.0,,Shooting foul by R. Hood (drawn by J. Grant),0,0
10,1,10:50.0,,J. Grant makes free throw 1 of 2,0,1
11,1,10:50.0,,J. Grant makes free throw 2 of 2,0,2
12,1,10:27.0,T. Thompson misses 2-pt hook shot from 4 ft,,0,2
13,1,10:25.0,Offensive rebound by L. Nance,,0,2
14,1,10:25.0,Turnover by Team (shot clock),,0,2
15,1,10:12.0,,J. Grant misses 3-pt jump shot from 23 ft,0,2
16,1,10:09.0,Defensive rebound by C. Sexton,,0,2
17,1,9:57.0,C. Sexton makes 2-pt layup from 1 ft (assist by R. Hood),,2,2
18,1,9:45.0,,S. Adams makes 2-pt jump shot from 9 ft (assist by P. George),2,4
19,1,9:29.0,C. Osman misses 2-pt layup from 1 ft,,2,4
20,1,9:27.0,,Defensive rebound by R. Westbrook,2,4
21,1,9:23.0,,Offensive foul by P. George (drawn by R. Hood),2,4
22,1,9:23.0,,Turnover by P. George (offensive foul),2,4
23,1,9:07.0,R. Hood makes 2-pt jump shot from 14 ft (assist by C. Osman),,4,4
24,1,8:50.0,,J. Grant misses 2-pt hook shot from 5 ft,4,4
25,1,8:47.0,Defensive rebound by L. Nance,,4,4
26,1,8:37.0,C. Osman makes 3-pt jump shot from 27 ft (assist by R. Hood),,7,4
27,1,8:19.0,,R. Westbrook makes 2-pt layup from 2 ft,7,6
28,1,8:00.0,Turnover by T. Thompson (lost ball; steal by R. Westbrook),,7,6
29,1,7:59.0,,Personal take foul by C. Osman (drawn by R. Westbrook),7,6
30,1,7:50.0,,Turnover by R. Westbrook (bad pass),7,6
31,1,7:35.0,Shooting foul by Á. Abrines (drawn by R. Hood),,7,6
32,1,7:35.0,R. Hood makes free throw 1 of 2,,8,6
33,1,7:35.0,R. Hood misses free throw 2 of 2,,8,6
34,1,7:33.0,,Defensive rebound by R. Westbrook,8,6
35,1,7:30.0,,Turnover by P. George (lost ball; steal by R. Hood),8,6
36,1,7:21.0,T. Thompson misses 2-pt dunk from 2 ft (block by J. Grant),,8,6
37,1,7:19.0,,Defensive rebound by S. Adams,8,6
38,1,7:17.0,Violation by Team (kicked ball),,8,6
39,1,7:13.0,,P. George makes 2-pt jump shot from 16 ft,8,8
