,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,OKLAHOMA CITY_ACTION,LA CLIPPERS_SCORE,OKLAHOMA CITY_SCORE
0,1,11:42.0,,Turnover by J. Grant (traveling),0,0
1,1,11:27.0,D. Gallinari misses 2-pt jump shot from 14 ft,,0,0
2,1,11:25.0,,Defensive rebound by S. Adams,0,0
3,1,11:15.0,,P. George misses 2-pt jump shot from 13 ft,0,0
4,1,11:12.0,Defensive rebound by P. Beverley,,0,0
5,1,11:05.0,P. Beverley makes 2-pt layup at rim,,2,0
6,1,10:52.0,,Turnover by P. George (bad pass; steal by A. Bradley),2,0
7,1,10:48.0,D. Gallinari makes 2-pt layup from 1 ft (assist by A. Bradley),,4,0
8,1,10:48.0,Shooting foul by T. Ferguson (drawn by D. Gallinari),,4,0
9,1,10:48.0,D. Gallinari makes free throw 1 of 1,,5,0
10,1,10:29.0,,R. Westbrook misses 2-pt layup from 1 ft,5,0
11,1,10:26.0,,Offensive rebound by S. Adams,5,0
12,1,10:26.0,,S. Adams makes 2-pt layup at rim,5,2
13,1,10:15.0,P. Beverley misses 3-pt jump shot from 25 ft,,5,2
14,1,10:13.0,,Defensive rebound by P. George,5,2
15,1,10:07.0,,P. George misses 2-pt jump shot from 19 ft,5,2
16,1,10:04.0,Defensive rebound by M. Gortat,,5,2
17,1,9:58.0,P. Beverley misses 2-pt jump shot from 12 ft,,5,2
18,1,9:55.0,,Defensive rebound by S. Adams,5,2
19,1,9:50.0,,Personal foul by P. Beverley (drawn by R. Westbrook),5,2
20,1,9:40.0,,S. Adams makes 2-pt jump shot from 11 ft (assist by R. Westbrook),5,4
21,1,9:26.0,A. Bradley makes 2-pt jump shot from 5 ft (assist by P. Beverley),,7,4
22,1,9:09.0,,R. Westbrook makes 2-pt layup from 1 ft,7,6
23,1,8:59.0,Shooting foul by J. Grant (drawn by M. Gortat),,7,6
24,1,8:59.0,M. Gortat makes free throw 1 of 2,,8,6
25,1,8:59.0,M. Gortat makes free throw 2 of 2,,9,6
26,1,8:50.0,,Turnover by P. George (traveling),9,6
27,1,8:41.0,A. Bradley misses 2-pt layup from 3 ft,,9,6
28,1,8:38.0,,Defensive rebound by J. Grant,9,6
29,1,8:29.0,,R. Westbrook makes 2-pt layup from 1 ft,9,8
30,1,8:17.0,Offensive foul by M. Gortat (drawn by J. Grant),,9,8
31,1,8:17.0,Turnover by M. Gortat (offensive foul),,9,8
32,1,8:08.0,,S. Adams misses 2-pt jump shot from 7 ft,9,8
33,1,8:05.0,Defensive rebound by A. Bradley,,9,8
34,1,7:57.0,Shooting foul by R. Westbrook (drawn by M. Gortat),,9,8
35,1,7:57.0,M. Gortat makes free throw 1 of 2,,10,8
36,1,7:57.0,M. Gortat misses free throw 2 of 2,,10,8
37,1,7:56.0,,Defensive rebound by R. Westbrook,10,8
38,1,7:37.0,,R. Westbrook makes 2-pt layup from 2 ft,10,10
39,1,7:37.0,,Violation by Team (delay of game),10,10
40,1,7:26.0,Personal foul by J. Grant (drawn by M. Gortat),,10,10
41,1,7:17.0,T. Harris misses 2-pt layup from 1 ft,,10,10
42,1,7:15.0,Offensive rebound by M. Gortat,,10,10
43,1,7:15.0,Shooting foul by P. George (drawn by M. Gortat),,10,10
44,1,7:15.0,M. Gortat makes free throw 1 of 2,,11,10
45,1,7:15.0,,Oklahoma City full timeout,11,10
46,1,7:15.0,M. Gortat makes free throw 2 of 2,,12,10
47,1,6:58.0,,R. Westbrook misses 2-pt layup from 2 ft,12,10
48,1,6:54.0,Defensive rebound by T. Harris,,12,10
49,1,6:43.0,T. Harris misses 3-pt jump shot from 25 ft,,12,10
50,1,6:40.0,Offensive rebound by P. Beverley,,12,10
51,1,6:30.0,D. Gallinari misses 2-pt layup from 1 ft (block by S. Adams),,12,10
52,1,6:27.0,,Defensive rebound by S. Adams,12,10
53,1,6:10.0,,S. Adams misses 2-pt layup from 1 ft (block by M. Gortat),12,10
54,1,6:10.0,Defensive rebound by Team,,12,10
55,1,6:10.0,,D. Schröder enters the game for T. Ferguson,12,10
56,1,6:10.0,Technical foul by B. Donovan,,12,10
57,1,6:10.0,D. Gallinari makes technical free throw,,13,10
58,1,5:52.0,A. Bradley makes 3-pt jump shot from 23 ft (assist by P. Beverley),,16,10
59,1,5:41.0,,D. Schröder misses 2-pt jump shot from 13 ft,16,10
60,1,5:37.0,,Offensive rebound by J. Grant,16,10
61,1,5:32.0,,Turnover by D. Schröder (out of bounds lost ball),16,10
62,1,5:22.0,Turnover by P. Beverley (bad pass; steal by R. Westbrook),,16,10
63,1,5:19.0,,R. Westbrook makes 2-pt layup from 1 ft,16,12
64,1,5:01.0,D. Gallinari makes 3-pt jump shot from 25 ft,,19,12
