,QUARTER,TIME_REMAINING,BOSTON_ACTION,LA LAKERS_ACTION,BOSTON_SCORE,LA LAKERS_SCORE
0,1,11:41.0,,K. Caldwell-Pope misses 2-pt jump shot from 16 ft,0,0
1,1,11:36.0,Defensive rebound by J. Tatum,,0,0
2,1,11:19.0,A. Horford makes 2-pt hook shot from 4 ft,,2,0
3,1,11:04.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,2,0
4,1,11:01.0,Defensive rebound by A. Horford,,2,0
5,1,10:51.0,A. Horford makes 2-pt jump shot from 15 ft (assist by M. Smart),,4,0
6,1,10:32.0,,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by M. Wagner),4,2
7,1,10:13.0,Turnover by A. Horford (lost ball; steal by R. Rondo),,4,2
8,1,10:07.0,,L. James makes 2-pt jump shot from 9 ft,4,4
9,1,9:55.0,A. Horford makes 2-pt jump shot from 20 ft (assist by K. Irving),,6,4
10,1,9:43.0,,M. Wagner misses 3-pt jump shot from 25 ft,6,4
11,1,9:40.0,Defensive rebound by M. Morris,,6,4
12,1,9:31.0,M. Morris makes 2-pt jump shot from 13 ft (assist by M. Smart),,8,4
13,1,9:12.0,,J. McGee makes 2-pt hook shot from 5 ft (assist by L. James),8,6
14,1,8:56.0,M. Morris makes 3-pt jump shot from 25 ft,,11,6
15,1,8:43.0,,Turnover by J. McGee (lost ball; steal by K. Irving),11,6
16,1,8:37.0,M. Morris misses 3-pt jump shot from 26 ft,,11,6
17,1,8:33.0,,Defensive rebound by L. James,11,6
18,1,8:31.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,11,6
19,1,8:31.0,Defensive rebound by J. Tatum,,11,6
20,1,8:24.0,J. Tatum misses 3-pt jump shot from 25 ft,,11,6
21,1,8:19.0,,Defensive rebound by M. Wagner,11,6
22,1,8:16.0,,L. James makes 2-pt dunk from 1 ft (assist by R. Rondo),11,8
23,1,8:05.0,K. Irving makes 3-pt jump shot from 27 ft (assist by J. Tatum),,14,8
24,1,7:41.0,,L. James misses 2-pt jump shot from 6 ft,14,8
25,1,7:38.0,Defensive rebound by M. Morris,,14,8
26,1,7:34.0,K. Irving misses 3-pt jump shot from 29 ft,,14,8
27,1,7:30.0,,Defensive rebound by J. McGee,14,8
28,1,7:08.0,,R. Rondo misses 2-pt hook shot from 10 ft,14,8
29,1,7:07.0,Defensive rebound by A. Horford,,14,8
30,1,6:52.0,J. Tatum misses 2-pt jump shot from 9 ft,,14,8
31,1,6:49.0,,Defensive rebound by J. McGee,14,8
32,1,6:41.0,,L. James makes 2-pt dunk from 1 ft (assist by R. Rondo),14,10
33,1,6:14.0,M. Morris misses 3-pt jump shot from 25 ft,,14,10
34,1,6:11.0,,Defensive rebound by J. McGee,14,10
35,1,6:00.0,,Shooting foul by M. Smart (drawn by J. McGee),14,10
36,1,6:00.0,,LA Lakers full timeout,14,10
37,1,6:00.0,A. Baynes enters the game for A. Horford,,14,10
38,1,6:00.0,J. Brown enters the game for M. Morris,,14,10
39,1,6:00.0,G. Hayward enters the game for J. Tatum,,14,10
40,1,6:00.0,,J. McGee makes free throw 1 of 2,14,11
41,1,6:00.0,,J. McGee makes free throw 2 of 2,14,12
42,1,5:45.0,M. Smart misses 3-pt jump shot from 25 ft,,14,12
43,1,5:44.0,,Defensive rebound by J. McGee,14,12
44,1,5:30.0,,L. James makes 2-pt jump shot from 14 ft,14,14
45,1,5:07.0,M. Smart misses 3-pt jump shot from 26 ft,,14,14
46,1,5:03.0,,Defensive rebound by R. Rondo,14,14
