,QUARTER,TIME_REMAINING,DENVER_ACTION,SAN ANTONIO_ACTION,DENVER_SCORE,SAN ANTONIO_SCORE
0,1,11:39.0,J. Murray misses 3-pt jump shot from 25 ft,,0,0
1,1,11:35.0,,Defensive rebound by J. Poeltl,0,0
2,1,11:17.0,,L. Aldridge misses 2-pt jump shot from 17 ft,0,0
3,1,11:13.0,,Offensive rebound by D. White,0,0
4,1,11:06.0,,L. Aldridge makes 3-pt jump shot from 28 ft (assist by D. White),0,3
5,1,10:51.0,P. Millsap misses 3-pt jump shot from 27 ft,,0,3
6,1,10:48.0,,Defensive rebound by D. DeRozan,0,3
7,1,10:42.0,,D. DeRozan makes 2-pt layup from 3 ft,0,5
8,1,10:26.0,Turnover by W. Barton (bad pass; steal by D. White),,0,5
9,1,10:18.0,,D. DeRozan makes 2-pt layup from 4 ft,0,7
10,1,10:06.0,N. Jokić misses 2-pt layup from 4 ft,,0,7
11,1,10:03.0,,Defensive rebound by L. Aldridge,0,7
12,1,9:56.0,,L. Aldridge misses 2-pt jump shot from 18 ft,0,7
13,1,9:50.0,Defensive rebound by P. Millsap,,0,7
14,1,9:47.0,W. Barton misses 3-pt jump shot from 26 ft,,0,7
15,1,9:44.0,,Defensive rebound by B. Forbes,0,7
16,1,9:36.0,,Turnover by B. Forbes (lost ball; steal by P. Millsap),0,7
17,1,9:33.0,W. Barton makes 2-pt dunk from 3 ft (assist by G. Harris),,2,7
18,1,9:10.0,,D. White makes 2-pt jump shot from 19 ft (assist by J. Poeltl),2,9
19,1,8:53.0,N. Jokić makes 2-pt jump shot from 7 ft (assist by J. Murray),,4,9
20,1,8:31.0,,D. White misses 3-pt jump shot from 25 ft,4,9
21,1,8:29.0,Defensive rebound by W. Barton,,4,9
22,1,8:20.0,J. Murray makes 3-pt jump shot from 26 ft (assist by N. Jokić),,7,9
23,1,8:00.0,,B. Forbes makes 2-pt jump shot from 13 ft (assist by D. DeRozan),7,11
24,1,7:47.0,Turnover by J. Murray (bad pass; steal by D. DeRozan),,7,11
25,1,7:42.0,,D. DeRozan makes 2-pt layup from 4 ft,7,13
26,1,7:42.0,Denver full timeout,,7,13
27,1,7:30.0,N. Jokić makes 2-pt jump shot from 6 ft (assist by J. Murray),,9,13
28,1,7:12.0,,D. White makes 2-pt layup from 5 ft (assist by D. DeRozan),9,15
29,1,6:59.0,Personal foul by J. Poeltl (drawn by N. Jokić),,9,15
30,1,6:50.0,G. Harris misses 2-pt layup from 5 ft,,9,15
31,1,6:48.0,,Defensive rebound by D. White,9,15
32,1,6:42.0,,Shooting foul by J. Murray (drawn by D. White),9,15
33,1,6:42.0,,D. White makes free throw 1 of 2,9,16
34,1,6:42.0,,D. White makes free throw 2 of 2,9,17
35,1,6:32.0,Shooting foul by J. Poeltl (drawn by J. Murray),,9,17
36,1,6:32.0,J. Murray makes free throw 1 of 2,,10,17
37,1,6:32.0,,R. Gay enters the game for J. Poeltl,10,17
38,1,6:32.0,J. Murray makes free throw 2 of 2,,11,17
39,1,6:15.0,,L. Aldridge makes 2-pt jump shot from 8 ft (assist by R. Gay),11,19
40,1,5:57.0,J. Murray misses 3-pt jump shot from 25 ft,,11,19
41,1,5:54.0,,Defensive rebound by R. Gay,11,19
42,1,5:50.0,,L. Aldridge makes 2-pt layup from 3 ft (assist by D. DeRozan),11,21
43,1,5:38.0,Turnover by J. Murray (bad pass),,11,21
44,1,5:38.0,M. Beasley enters the game for G. Harris,,11,21
45,1,5:38.0,M. Plumlee enters the game for P. Millsap,,11,21
46,1,5:26.0,,L. Aldridge makes 2-pt dunk from 2 ft,11,23
47,1,5:11.0,J. Murray misses 2-pt layup from 4 ft,,11,23
48,1,5:08.0,,Defensive rebound by R. Gay,11,23
49,1,4:53.0,,R. Gay misses 3-pt jump shot from 25 ft,11,23
50,1,4:50.0,Defensive rebound by N. Jokić,,11,23
51,1,4:38.0,W. Barton makes 2-pt jump shot from 7 ft (assist by M. Plumlee),,13,23
52,1,4:38.0,,San Antonio full timeout,13,23
53,1,4:38.0,M. Morris enters the game for J. Murray,,13,23
54,1,4:38.0,,M. Belinelli enters the game for B. Forbes,13,23
55,1,4:38.0,,P. Mills enters the game for D. White,13,23
56,1,4:16.0,,R. Gay misses 3-pt jump shot from 23 ft,13,23
57,1,4:12.0,Defensive rebound by N. Jokić,,13,23
58,1,4:07.0,W. Barton misses 2-pt layup from 6 ft,,13,23
59,1,4:05.0,,Defensive rebound by R. Gay,13,23
60,1,3:56.0,,L. Aldridge misses 2-pt layup from 3 ft,13,23
61,1,3:54.0,Defensive rebound by N. Jokić,,13,23
62,1,3:41.0,M. Morris misses 2-pt jump shot from 8 ft,,13,23
63,1,3:37.0,Offensive rebound by M. Plumlee,,13,23
64,1,3:35.0,W. Barton misses 3-pt jump shot from 26 ft,,13,23
65,1,3:33.0,,Defensive rebound by M. Belinelli,13,23
66,1,3:25.0,,D. DeRozan makes 2-pt jump shot from 7 ft,13,25
67,1,3:14.0,Turnover by W. Barton (lost ball; steal by M. Belinelli),,13,25
68,1,3:10.0,,M. Belinelli misses 3-pt jump shot from 26 ft,13,25
69,1,3:06.0,Defensive rebound by M. Plumlee,,13,25
70,1,2:55.0,M. Beasley makes 2-pt jump shot from 12 ft,,15,25
71,1,2:37.0,,D. DeRozan misses 2-pt jump shot from 17 ft,15,25
72,1,2:34.0,Defensive rebound by M. Plumlee,,15,25
73,1,2:10.0,M. Beasley misses 3-pt jump shot from 25 ft,,15,25
74,1,2:10.0,Offensive rebound by N. Jokić,,15,25
75,1,2:06.0,N. Jokić makes 2-pt layup at rim,,17,25
76,1,1:55.0,,P. Mills makes 3-pt jump shot from 26 ft (assist by D. DeRozan),17,28
77,1,1:39.0,W. Barton misses 3-pt jump shot from 26 ft,,17,28
78,1,1:36.0,,Defensive rebound by M. Belinelli,17,28
79,1,1:24.0,,Shooting foul by M. Plumlee (drawn by L. Aldridge),17,28
80,1,1:24.0,,L. Aldridge makes free throw 1 of 2,17,29
81,1,1:24.0,P. Millsap enters the game for W. Barton,,17,29
82,1,1:24.0,I. Thomas enters the game for N. Jokić,,17,29
83,1,1:24.0,,D. Bertāns enters the game for D. DeRozan,17,29
84,1,1:24.0,,L. Aldridge makes free throw 2 of 2,17,30
85,1,1:04.0,M. Morris misses 2-pt jump shot from 2 ft,,17,30
86,1,1:02.0,,Defensive rebound by D. Bertāns,17,30
87,1,0:55.0,,R. Gay misses 2-pt hook shot from 4 ft,17,30
88,1,0:51.0,,Offensive rebound by R. Gay,17,30
89,1,0:51.0,,R. Gay makes 2-pt layup from 1 ft,17,32
90,1,0:42.0,P. Millsap misses 2-pt layup from 7 ft,,17,32
91,1,0:42.0,,Defensive rebound by Team,17,32
92,1,0:42.0,Loose ball foul by M. Plumlee (drawn by R. Gay),,17,32
93,1,0:42.0,,R. Gay makes free throw 1 of 2,17,33
94,1,0:42.0,,D. Eubanks enters the game for L. Aldridge,17,33
95,1,0:42.0,,R. Gay makes free throw 2 of 2,17,34
96,1,0:35.0,I. Thomas misses 3-pt jump shot from 26 ft,,17,34
97,1,0:32.0,,Defensive rebound by D. Bertāns,17,34
98,1,0:17.0,,Personal foul by P. Millsap (drawn by D. Eubanks),17,34
99,1,0:17.0,,D. Eubanks makes free throw 1 of 2,17,35
100,1,0:17.0,,D. Eubanks makes free throw 2 of 2,17,36
101,1,0:05.0,Personal take foul by M. Belinelli (drawn by M. Morris),,17,36
102,1,0:00.0,M. Morris misses 2-pt layup from 4 ft (block by D. Eubanks),,17,36
103,1,0:00.0,,Defensive rebound by R. Gay,17,36
104,2,11:40.0,,M. Belinelli misses 2-pt jump shot from 6 ft,17,36
105,2,11:38.0,Defensive rebound by N. Jokić,,17,36
106,2,11:22.0,T. Craig misses 3-pt jump shot from 28 ft,,17,36
107,2,11:18.0,,Defensive rebound by D. Bertāns,17,36
108,2,11:01.0,,M. Belinelli makes 2-pt jump shot from 20 ft (assist by D. Eubanks),17,38
109,2,10:44.0,M. Beasley makes 2-pt jump shot from 9 ft,,19,38
110,2,10:35.0,,D. Bertāns misses 2-pt jump shot from 16 ft,19,38
111,2,10:32.0,,Offensive rebound by Team,19,38
112,2,10:32.0,,B. Forbes enters the game for R. Gay,19,38
113,2,10:23.0,,P. Mills misses 3-pt jump shot from 24 ft,19,38
114,2,10:19.0,Defensive rebound by M. Beasley,,19,38
115,2,10:14.0,I. Thomas makes 2-pt layup from 3 ft (assist by M. Morris),,21,38
116,2,9:48.0,,B. Forbes misses 2-pt jump shot from 19 ft,21,38
117,2,9:44.0,Defensive rebound by M. Morris,,21,38
118,2,9:41.0,Turnover by M. Morris (lost ball; steal by P. Mills),,21,38
119,2,9:37.0,,P. Mills makes 2-pt layup from 6 ft,21,40
120,2,9:30.0,I. Thomas makes 3-pt jump shot from 26 ft (assist by M. Beasley),,24,40
121,2,9:12.0,,B. Forbes makes 2-pt jump shot from 19 ft (assist by D. Eubanks),24,42
122,2,8:55.0,I. Thomas misses 2-pt jump shot from 9 ft,,24,42
123,2,8:47.0,Offensive rebound by I. Thomas,,24,42
124,2,8:47.0,I. Thomas misses 2-pt layup at rim,,24,42
125,2,8:46.0,Offensive rebound by N. Jokić,,24,42
126,2,8:45.0,N. Jokić misses 2-pt layup at rim,,24,42
127,2,8:45.0,Offensive rebound by N. Jokić,,24,42
128,2,8:44.0,N. Jokić makes 2-pt layup at rim,,26,42
129,2,8:43.0,,San Antonio full timeout,26,42
130,2,8:43.0,,D. DeRozan enters the game for M. Belinelli,26,42
131,2,8:43.0,,J. Poeltl enters the game for D. Eubanks,26,42
132,2,8:43.0,,D. White enters the game for P. Mills,26,42
133,2,8:24.0,,Turnover by B. Forbes (bad pass; steal by M. Morris),26,42
134,2,8:22.0,M. Beasley makes 2-pt layup from 5 ft,,28,42
135,2,8:07.0,,J. Poeltl makes 2-pt layup from 3 ft (assist by D. White),28,44
136,2,7:45.0,M. Beasley misses 3-pt jump shot from 25 ft,,28,44
137,2,7:42.0,,Defensive rebound by D. Bertāns,28,44
138,2,7:33.0,,D. Bertāns misses 2-pt jump shot from 12 ft,28,44
139,2,7:30.0,,Offensive rebound by D. Bertāns,28,44
140,2,7:26.0,,Turnover by D. DeRozan (bad pass; steal by I. Thomas),28,44
141,2,7:26.0,Personal foul by D. DeRozan (drawn by N. Jokić),,28,44
142,2,7:14.0,I. Thomas misses 3-pt jump shot from 26 ft,,28,44
143,2,7:11.0,,Defensive rebound by B. Forbes,28,44
144,2,6:55.0,,D. DeRozan misses 2-pt jump shot from 12 ft (block by T. Craig),28,44
145,2,6:54.0,Defensive rebound by I. Thomas,,28,44
146,2,6:54.0,Turnover by I. Thomas (bad pass; steal by J. Poeltl),,28,44
147,2,6:43.0,,Turnover by D. DeRozan (bad pass; steal by M. Beasley),28,44
148,2,6:40.0,M. Beasley misses 2-pt layup from 4 ft (block by D. White),,28,44
149,2,6:40.0,Offensive rebound by Team,,28,44
150,2,6:40.0,,L. Aldridge enters the game for D. Bertāns,28,44
151,2,6:40.0,,M. Belinelli enters the game for J. Poeltl,28,44
152,2,6:34.0,I. Thomas makes 2-pt jump shot from 13 ft,,30,44
