,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,CLEVELAND_ACTION,CHARLOTTE_SCORE,CLEVELAND_SCORE
0,1,11:38.0,Turnover by M. Bridges (lost ball; steal by C. Osman),,0,0
1,1,11:22.0,,A. Žižić makes 2-pt jump shot from 10 ft (assist by C. Sexton),0,2
2,1,11:04.0,D. Bacon makes 3-pt jump shot from 24 ft (assist by K. Walker),,3,2
3,1,10:45.0,,C. Osman misses 2-pt layup from 1 ft,3,2
4,1,10:42.0,Defensive rebound by M. Bridges,,3,2
5,1,10:37.0,D. Bacon misses 3-pt jump shot from 31 ft,,3,2
6,1,10:34.0,,Defensive rebound by B. Knight,3,2
7,1,10:19.0,,B. Knight makes 3-pt jump shot from 30 ft (assist by C. Sexton),3,5
8,1,10:05.0,Shooting foul by A. Žižić (drawn by B. Biyombo),,3,5
9,1,10:05.0,B. Biyombo makes free throw 1 of 2,,4,5
10,1,10:05.0,B. Biyombo misses free throw 2 of 2,,4,5
11,1,10:02.0,,Defensive rebound by C. Osman,4,5
12,1,9:48.0,,C. Osman misses 2-pt jump shot from 7 ft (block by N. Batum),4,5
13,1,9:44.0,,Offensive rebound by A. Žižić,4,5
14,1,9:43.0,,A. Žižić misses 2-pt layup from 1 ft,4,5
15,1,9:40.0,Defensive rebound by B. Biyombo,,4,5
16,1,9:35.0,K. Walker makes 2-pt jump shot from 18 ft,,6,5
17,1,9:18.0,,A. Žižić makes 2-pt layup from 1 ft (assist by C. Sexton),6,7
18,1,8:56.0,D. Bacon makes 3-pt jump shot from 26 ft (assist by M. Bridges),,9,7
19,1,8:39.0,,C. Sexton makes 2-pt jump shot from 5 ft,9,9
20,1,8:23.0,M. Bridges makes 3-pt jump shot from 29 ft (assist by N. Batum),,12,9
21,1,8:05.0,,B. Knight misses 2-pt jump shot from 9 ft,12,9
22,1,8:03.0,Defensive rebound by K. Walker,,12,9
23,1,7:57.0,B. Biyombo makes 2-pt jump shot from 16 ft (assist by K. Walker),,14,9
24,1,7:40.0,,L. Nance makes 2-pt jump shot from 8 ft (assist by C. Sexton),14,11
25,1,7:24.0,N. Batum makes 3-pt jump shot from 26 ft (assist by B. Biyombo),,17,11
26,1,7:07.0,,C. Osman misses 2-pt layup at rim,17,11
27,1,7:04.0,Defensive rebound by K. Walker,,17,11
28,1,7:00.0,D. Bacon makes 3-pt jump shot from 26 ft (assist by K. Walker),,20,11
29,1,7:00.0,,Cleveland full timeout,20,11
30,1,6:36.0,,C. Sexton misses 3-pt jump shot from 25 ft (block by M. Bridges),20,11
31,1,6:33.0,Defensive rebound by N. Batum,,20,11
32,1,6:27.0,K. Walker makes 3-pt jump shot from 27 ft,,23,11
33,1,6:14.0,,B. Knight makes 3-pt jump shot from 25 ft (assist by L. Nance),23,14
34,1,5:59.0,K. Walker misses 3-pt jump shot from 26 ft,,23,14
35,1,5:56.0,,Defensive rebound by A. Žižić,23,14
36,1,5:45.0,,C. Sexton makes 3-pt jump shot from 29 ft (assist by B. Knight),23,17
37,1,5:34.0,K. Walker misses 2-pt layup from 3 ft (block by L. Nance),,23,17
38,1,5:34.0,Offensive rebound by Team,,23,17
39,1,5:34.0,F. Kaminsky enters the game for N. Batum,,23,17
40,1,5:34.0,J. Lamb enters the game for B. Biyombo,,23,17
41,1,5:34.0,,M. Chriss enters the game for B. Knight,23,17
42,1,5:34.0,,J. Clarkson enters the game for A. Žižić,23,17
43,1,5:31.0,Turnover by J. Lamb (bad pass; steal by M. Chriss),,23,17
44,1,5:25.0,,M. Chriss makes 2-pt dunk from 2 ft,23,19
45,1,5:08.0,Offensive foul by K. Walker (drawn by C. Sexton),,23,19
46,1,5:08.0,Turnover by K. Walker (offensive foul),,23,19
47,1,4:56.0,,M. Chriss misses 3-pt jump shot from 26 ft,23,19
48,1,4:54.0,Defensive rebound by M. Bridges,,23,19
49,1,4:43.0,D. Bacon makes 2-pt layup from 1 ft (assist by J. Lamb),,25,19
50,1,4:32.0,,C. Osman makes 3-pt jump shot from 24 ft (assist by J. Clarkson),25,22
51,1,4:17.0,J. Lamb misses 3-pt jump shot from 28 ft,,25,22
52,1,4:15.0,Offensive rebound by M. Bridges,,25,22
53,1,4:06.0,M. Bridges makes 2-pt layup from 1 ft (assist by J. Lamb),,27,22
54,1,3:54.0,,M. Chriss misses 2-pt layup from 1 ft (block by M. Bridges),27,22
55,1,3:48.0,Defensive rebound by K. Walker,,27,22
56,1,3:46.0,K. Walker misses 3-pt jump shot from 26 ft,,27,22
57,1,3:42.0,,Defensive rebound by L. Nance,27,22
58,1,3:20.0,,M. Chriss misses 3-pt jump shot from 27 ft,27,22
59,1,3:17.0,,Offensive rebound by L. Nance,27,22
60,1,3:16.0,,L. Nance makes 2-pt layup from 2 ft,27,24
61,1,3:11.0,Charlotte full timeout,,27,24
62,1,3:11.0,N. Batum enters the game for D. Bacon,,27,24
63,1,3:11.0,D. Graham enters the game for M. Bridges,,27,24
64,1,3:11.0,M. Monk enters the game for K. Walker,,27,24
65,1,3:11.0,,D. Nwaba enters the game for L. Nance,27,24
66,1,3:00.0,F. Kaminsky misses 2-pt jump shot from 12 ft,,27,24
67,1,2:57.0,,Defensive rebound by M. Chriss,27,24
68,1,2:50.0,,J. Clarkson makes 3-pt jump shot from 26 ft,27,27
69,1,2:35.0,J. Lamb misses 3-pt jump shot from 23 ft,,27,27
70,1,2:35.0,Offensive rebound by Team,,27,27
71,1,2:31.0,J. Lamb makes 2-pt jump shot from 17 ft (assist by D. Graham),,29,27
72,1,2:08.0,,J. Clarkson misses 2-pt jump shot from 16 ft,29,27
73,1,2:06.0,,Offensive rebound by J. Clarkson,29,27
74,1,2:03.0,,J. Clarkson makes 2-pt layup from 1 ft,29,29
75,1,1:51.0,D. Graham misses 3-pt jump shot from 25 ft,,29,29
76,1,1:49.0,,Defensive rebound by M. Chriss,29,29
77,1,1:33.0,,C. Sexton misses 3-pt jump shot from 28 ft,29,29
78,1,1:31.0,Defensive rebound by N. Batum,,29,29
79,1,1:27.0,Shooting foul by D. Nwaba (drawn by J. Lamb),,29,29
80,1,1:27.0,J. Lamb makes free throw 1 of 2,,30,29
81,1,1:27.0,,B. Knight enters the game for C. Osman,30,29
82,1,1:27.0,,N. Stauskas enters the game for C. Sexton,30,29
83,1,1:27.0,J. Lamb makes free throw 2 of 2,,31,29
84,1,1:14.0,,Personal foul by F. Kaminsky (drawn by J. Clarkson),31,29
85,1,1:05.0,,Turnover by J. Clarkson (bad pass; steal by M. Monk),31,29
86,1,1:01.0,J. Lamb makes 2-pt layup from 2 ft (assist by M. Monk),,33,29
87,1,0:49.0,,B. Knight misses 2-pt jump shot from 10 ft,33,29
88,1,0:46.0,Defensive rebound by N. Batum,,33,29
89,1,0:41.0,F. Kaminsky misses 3-pt jump shot from 26 ft,,33,29
90,1,0:38.0,,Defensive rebound by D. Nwaba,33,29
91,1,0:32.0,,M. Chriss misses 3-pt jump shot from 23 ft,33,29
92,1,0:30.0,Defensive rebound by J. Lamb,,33,29
93,1,0:09.0,M. Monk misses 3-pt jump shot from 26 ft,,33,29
94,1,0:06.0,,Defensive rebound by N. Stauskas,33,29
95,1,0:01.0,,N. Stauskas misses 2-pt layup from 1 ft,33,29
96,1,0:00.0,,Offensive rebound by M. Chriss,33,29
97,1,0:00.0,,M. Chriss makes 2-pt layup from 1 ft,33,31
98,2,11:41.0,,M. Chriss misses 2-pt jump shot from 15 ft,33,31
99,2,11:38.0,Defensive rebound by M. Monk,,33,31
100,2,11:30.0,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by M. Monk),,36,31
101,2,11:13.0,,M. Chriss misses 2-pt layup from 1 ft (block by M. Monk),36,31
102,2,11:10.0,Defensive rebound by N. Batum,,36,31
103,2,11:07.0,M. Monk makes 2-pt layup from 2 ft,,38,31
104,2,11:07.0,,Cleveland full timeout,38,31
105,2,11:07.0,,C. Frye enters the game for M. Chriss,38,31
106,2,10:45.0,,B. Knight misses 2-pt jump shot from 19 ft,38,31
107,2,10:42.0,Defensive rebound by F. Kaminsky,,38,31
108,2,10:38.0,J. Lamb makes 2-pt jump shot from 18 ft,,40,31
109,2,10:21.0,,J. Clarkson misses 3-pt jump shot from 26 ft,40,31
110,2,10:15.0,Defensive rebound by D. Graham,,40,31
111,2,10:10.0,Offensive foul by F. Kaminsky (drawn by B. Knight),,40,31
112,2,10:10.0,Turnover by F. Kaminsky (offensive foul),,40,31
113,2,9:58.0,,N. Stauskas makes 3-pt jump shot from 26 ft (assist by J. Clarkson),40,34
114,2,9:39.0,Personal foul by J. Clarkson (drawn by F. Kaminsky),,40,34
115,2,9:33.0,M. Monk misses 3-pt jump shot from 25 ft,,40,34
