,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,UTAH_ACTION,OKLAHOMA CITY_SCORE,UTAH_SCORE
0,1,11:38.0,,R. Rubio misses 3-pt jump shot from 23 ft,0,0
1,1,11:36.0,Defensive rebound by P. George,,0,0
2,1,11:34.0,Turnover by P. George (bad pass),,0,0
3,1,11:28.0,,Turnover by J. Ingles (bad pass; steal by P. George),0,0
4,1,11:23.0,J. Grant makes 2-pt dunk from 1 ft (assist by P. George),,2,0
5,1,11:14.0,,Personal foul by T. Ferguson (drawn by D. Mitchell),2,0
6,1,11:08.0,,J. Ingles misses 3-pt jump shot from 25 ft,2,0
7,1,11:04.0,,Offensive rebound by D. Mitchell,2,0
8,1,10:56.0,,Personal foul by P. George (drawn by R. Rubio),2,0
9,1,10:48.0,,D. Favors makes 3-pt jump shot from 23 ft (assist by R. Rubio),2,3
10,1,10:30.0,P. George makes 2-pt jump shot from 9 ft,,4,3
11,1,10:21.0,,R. Rubio misses 2-pt layup from 3 ft,4,3
12,1,10:20.0,,Offensive rebound by R. Gobert,4,3
13,1,10:19.0,,Personal foul by J. Grant (drawn by R. Gobert),4,3
14,1,10:17.0,,Offensive foul by D. Mitchell (drawn by T. Ferguson),4,3
15,1,10:17.0,,Turnover by D. Mitchell (offensive foul),4,3
16,1,10:09.0,S. Adams misses 2-pt jump shot from 8 ft,,4,3
17,1,10:05.0,,Defensive rebound by R. Rubio,4,3
18,1,9:51.0,,Turnover by J. Ingles (bad pass; steal by P. George),4,3
19,1,9:46.0,P. George misses 2-pt layup from 3 ft,,4,3
20,1,9:45.0,,Defensive rebound by D. Favors,4,3
21,1,9:38.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Favors),4,5
22,1,9:30.0,Personal foul by J. Ingles (drawn by P. George),,4,5
23,1,9:28.0,Shooting foul by R. Gobert (drawn by J. Grant),,4,5
24,1,9:28.0,J. Grant makes free throw 1 of 2,,5,5
25,1,9:28.0,J. Grant makes free throw 2 of 2,,6,5
26,1,9:15.0,,D. Favors makes 2-pt layup from 2 ft (assist by R. Rubio),6,7
27,1,8:57.0,S. Adams misses 2-pt layup from 1 ft,,6,7
28,1,8:56.0,Offensive rebound by S. Adams,,6,7
29,1,8:56.0,S. Adams makes 2-pt layup from 1 ft,,8,7
30,1,8:45.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. Rubio),8,10
31,1,8:27.0,S. Adams misses 2-pt layup from 3 ft,,8,10
32,1,8:25.0,,Defensive rebound by R. Gobert,8,10
33,1,8:14.0,,R. Rubio makes 2-pt jump shot from 15 ft,8,12
34,1,7:49.0,Turnover by R. Westbrook (bad pass; steal by R. Rubio),,8,12
35,1,7:41.0,,D. Mitchell makes 3-pt jump shot from 23 ft (assist by J. Ingles),8,15
36,1,7:29.0,J. Grant makes 3-pt jump shot from 25 ft (assist by P. George),,11,15
37,1,7:12.0,,D. Favors makes 2-pt dunk from 2 ft (assist by R. Rubio),11,17
38,1,7:12.0,Oklahoma City full timeout,,11,17
39,1,7:12.0,,J. Crowder enters the game for D. Favors,11,17
40,1,7:12.0,,K. Korver enters the game for J. Ingles,11,17
41,1,6:54.0,Shooting foul by J. Crowder (drawn by S. Adams),,11,17
42,1,6:54.0,S. Adams misses free throw 1 of 2,,11,17
43,1,6:54.0,Offensive rebound by Team,,11,17
44,1,6:54.0,S. Adams misses free throw 2 of 2,,11,17
45,1,6:52.0,,Defensive rebound by R. Gobert,11,17
46,1,6:43.0,,Personal foul by T. Ferguson (drawn by D. Mitchell),11,17
47,1,6:43.0,D. Schröder enters the game for T. Ferguson,,11,17
48,1,6:38.0,,K. Korver misses 3-pt jump shot from 25 ft,11,17
49,1,6:34.0,Defensive rebound by R. Westbrook,,11,17
50,1,6:26.0,R. Westbrook misses 2-pt jump shot from 10 ft,,11,17
51,1,6:24.0,,Defensive rebound by R. Gobert,11,17
52,1,6:10.0,,R. Rubio makes 2-pt jump shot from 11 ft,11,19
53,1,5:58.0,J. Grant makes 2-pt jump shot from 7 ft,,13,19
54,1,5:35.0,,R. Gobert misses 2-pt dunk from 2 ft,13,19
55,1,5:33.0,Defensive rebound by R. Westbrook,,13,19
56,1,5:27.0,Turnover by R. Westbrook (bad pass; steal by K. Korver),,13,19
57,1,5:22.0,,J. Crowder misses 3-pt jump shot from 23 ft,13,19
58,1,5:20.0,Defensive rebound by P. George,,13,19
59,1,5:04.0,R. Westbrook makes 2-pt jump shot from 16 ft,,15,19
60,1,4:42.0,,D. Mitchell misses 3-pt jump shot from 27 ft,15,19
61,1,4:36.0,Defensive rebound by R. Westbrook,,15,19
62,1,4:30.0,D. Schröder makes 2-pt layup from 2 ft (assist by R. Westbrook),,17,19
63,1,4:14.0,,R. Gobert misses 2-pt dunk from 4 ft (block by J. Grant),17,19
64,1,4:14.0,,Offensive rebound by Team,17,19
65,1,4:12.0,,K. Korver makes 2-pt jump shot from 23 ft (assist by D. Mitchell),17,21
66,1,3:54.0,Turnover by J. Grant (bad pass; steal by R. Rubio),,17,21
67,1,3:49.0,,D. Mitchell misses 2-pt layup from 3 ft (block by P. George),17,21
68,1,3:46.0,Defensive rebound by P. George,,17,21
69,1,3:42.0,J. Grant makes 2-pt layup from 2 ft (assist by P. George),,19,21
70,1,3:21.0,,J. Crowder makes 2-pt layup from 1 ft (assist by R. Rubio),19,23
71,1,3:06.0,S. Adams misses 2-pt jump shot from 7 ft,,19,23
72,1,3:04.0,,Defensive rebound by D. Mitchell,19,23
73,1,2:55.0,,J. Crowder makes 2-pt layup from 1 ft (assist by K. Korver),19,25
74,1,2:46.0,J. Grant makes 2-pt dunk from 2 ft (assist by R. Westbrook),,21,25
75,1,2:46.0,,Utah full timeout,21,25
76,1,2:46.0,Á. Abrines enters the game for R. Westbrook,,21,25
77,1,2:46.0,,D. Exum enters the game for R. Gobert,21,25
78,1,2:46.0,,D. Favors enters the game for D. Mitchell,21,25
79,1,2:46.0,,J. Ingles enters the game for R. Rubio,21,25
80,1,2:30.0,,K. Korver makes 2-pt jump shot from 23 ft (assist by D. Exum),21,27
81,1,2:10.0,D. Schröder makes 2-pt jump shot from 9 ft,,23,27
82,1,2:00.0,,K. Korver misses 3-pt jump shot from 26 ft,23,27
83,1,1:57.0,Defensive rebound by P. George,,23,27
84,1,1:50.0,Á. Abrines misses 3-pt jump shot from 24 ft,,23,27
85,1,1:45.0,,Defensive rebound by J. Crowder,23,27
86,1,1:39.0,,Shooting foul by Á. Abrines (drawn by D. Exum),23,27
87,1,1:39.0,,D. Exum makes free throw 1 of 2,23,28
88,1,1:39.0,N. Noel enters the game for S. Adams,,23,28
89,1,1:39.0,,D. Exum makes free throw 2 of 2,23,29
90,1,1:24.0,,Violation by Team (kicked ball),23,29
91,1,1:19.0,Personal foul by D. Exum (drawn by D. Schröder),,23,29
92,1,1:13.0,Turnover by P. George (bad pass; steal by D. Exum),,23,29
93,1,1:10.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by J. Crowder),23,32
94,1,0:55.0,Shooting foul by J. Crowder (drawn by P. George),,23,32
95,1,0:55.0,P. George makes free throw 1 of 2,,24,32
96,1,0:55.0,,T. Sefolosha enters the game for J. Crowder,24,32
97,1,0:55.0,P. George makes free throw 2 of 2,,25,32
98,1,0:33.0,,Turnover by D. Exum (bad pass; steal by J. Grant),25,32
99,1,0:29.0,Shooting foul by T. Sefolosha (drawn by P. George),,25,32
100,1,0:29.0,P. George makes free throw 1 of 2,,26,32
101,1,0:29.0,P. George misses free throw 2 of 2,,26,32
102,1,0:28.0,,Defensive rebound by D. Favors,26,32
103,1,0:05.0,,D. Exum misses 3-pt jump shot from 25 ft,26,32
104,1,0:01.0,Defensive rebound by Á. Abrines,,26,32
105,1,0:00.0,Á. Abrines misses 3-pt jump shot from 55 ft,,26,32
106,1,0:00.0,Offensive rebound by Team,,26,32
107,2,11:50.0,D. Schröder makes 2-pt layup from 3 ft,,28,32
108,2,11:38.0,,D. Favors misses 2-pt jump shot from 6 ft (block by N. Noel),28,32
109,2,11:34.0,Defensive rebound by H. Diallo,,28,32
110,2,11:27.0,Turnover by D. Schröder (bad pass; steal by D. Favors),,28,32
111,2,11:06.0,,J. Ingles makes 2-pt layup from 3 ft (assist by D. Favors),28,34
112,2,10:50.0,Á. Abrines makes 3-pt jump shot from 24 ft (assist by N. Noel),,31,34
113,2,10:41.0,,Personal foul by D. Schröder (drawn by D. Exum),31,34
114,2,10:33.0,,D. Favors makes 2-pt layup from 6 ft (assist by J. Ingles),31,36
115,2,10:20.0,D. Schröder misses 2-pt jump shot from 19 ft,,31,36
116,2,10:18.0,,Defensive rebound by T. Sefolosha,31,36
117,2,10:06.0,,D. Exum misses 2-pt jump shot from 7 ft,31,36
118,2,10:05.0,,Offensive rebound by D. Exum,31,36
119,2,9:51.0,,J. Ingles misses 2-pt jump shot from 24 ft,31,36
120,2,9:47.0,Defensive rebound by P. Patterson,,31,36
121,2,9:40.0,Turnover by D. Schröder (lost ball; steal by K. Korver),,31,36
122,2,9:31.0,,T. Sefolosha makes 3-pt jump shot from 23 ft (assist by D. Favors),31,39
123,2,9:11.0,Turnover by D. Schröder (bad pass; steal by T. Sefolosha),,31,39
124,2,9:08.0,,D. Exum makes 2-pt layup from 2 ft (assist by T. Sefolosha),31,41
125,2,9:08.0,Oklahoma City full timeout,,31,41
126,2,9:08.0,R. Westbrook enters the game for D. Schröder,,31,41
127,2,9:08.0,,R. O'Neale enters the game for K. Korver,31,41
128,2,8:53.0,H. Diallo misses 2-pt layup from 2 ft,,31,41
129,2,8:53.0,Offensive rebound by H. Diallo,,31,41
130,2,8:53.0,H. Diallo misses 2-pt layup from 3 ft,,31,41
131,2,8:46.0,Offensive rebound by H. Diallo,,31,41
