,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,SACRAMENTO_ACTION,LA CLIPPERS_SCORE,SACRAMENTO_SCORE
0,1,11:42.0,A. Bradley makes 2-pt jump shot from 7 ft,,2,0
1,1,11:28.0,,Personal foul by D. Gallinari (drawn by N. Bjelica),2,0
2,1,11:18.0,,D. Fox makes 3-pt jump shot from 25 ft,2,3
3,1,10:56.0,Turnover by M. Gortat (bad pass; steal by W. Cauley-Stein),,2,3
4,1,10:52.0,,B. Hield misses 3-pt jump shot from 25 ft,2,3
5,1,10:49.0,,Offensive rebound by W. Cauley-Stein,2,3
6,1,10:47.0,,B. Hield misses 3-pt jump shot from 23 ft,2,3
7,1,10:47.0,Defensive rebound by T. Harris,,2,3
8,1,10:37.0,T. Harris makes 2-pt jump shot from 19 ft,,4,3
9,1,10:25.0,,Turnover by W. Cauley-Stein (traveling),4,3
10,1,10:09.0,T. Harris makes 3-pt jump shot from 25 ft,,7,3
11,1,9:52.0,,B. Hield makes 2-pt dunk from 2 ft (assist by W. Cauley-Stein),7,5
12,1,9:30.0,T. Harris makes 2-pt jump shot from 13 ft,,9,5
13,1,9:15.0,,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by D. Fox),9,7
14,1,9:00.0,T. Harris misses 3-pt jump shot from 26 ft,,9,7
15,1,9:00.0,,Defensive rebound by Team,9,7
16,1,8:53.0,,Shooting foul by T. Harris (drawn by W. Cauley-Stein),9,7
17,1,8:53.0,,W. Cauley-Stein misses free throw 1 of 2,9,7
18,1,8:53.0,,Offensive rebound by Team,9,7
19,1,8:53.0,,W. Cauley-Stein misses free throw 2 of 2,9,7
20,1,8:50.0,Defensive rebound by A. Bradley,,9,7
21,1,8:39.0,D. Gallinari makes 2-pt jump shot from 14 ft,,11,7
22,1,8:30.0,,Turnover by N. Bjelica (bad pass; steal by S. Gilgeous-Alexander),11,7
23,1,8:26.0,A. Bradley misses 3-pt jump shot from 25 ft,,11,7
24,1,8:22.0,,Defensive rebound by W. Cauley-Stein,11,7
25,1,8:21.0,,Personal foul by A. Bradley (drawn by D. Fox),11,7
26,1,8:12.0,,D. Fox misses 2-pt layup from 6 ft (block by S. Gilgeous-Alexander),11,7
27,1,8:09.0,Defensive rebound by S. Gilgeous-Alexander,,11,7
28,1,8:00.0,S. Gilgeous-Alexander makes 2-pt layup from 7 ft,,13,7
29,1,7:50.0,,N. Bjelica makes 3-pt jump shot from 25 ft (assist by B. Hield),13,10
30,1,7:39.0,S. Gilgeous-Alexander makes 2-pt layup from 3 ft,,15,10
31,1,7:28.0,,W. Cauley-Stein misses 2-pt jump shot from 4 ft,15,10
32,1,7:25.0,Defensive rebound by T. Harris,,15,10
33,1,7:19.0,T. Harris makes 2-pt layup from 3 ft,,17,10
34,1,7:13.0,,Sacramento full timeout,17,10
35,1,7:13.0,,B. Bogdanović enters the game for B. Hield,17,10
36,1,6:59.0,,B. Bogdanović misses 2-pt jump shot from 22 ft,17,10
37,1,6:58.0,,Offensive rebound by N. Bjelica,17,10
38,1,6:56.0,,N. Bjelica misses 2-pt layup from 1 ft,17,10
39,1,6:56.0,Defensive rebound by M. Gortat,,17,10
40,1,6:49.0,Personal foul by D. Fox (drawn by S. Gilgeous-Alexander),,17,10
41,1,6:37.0,S. Gilgeous-Alexander makes 2-pt jump shot from 11 ft,,19,10
42,1,6:26.0,,D. Fox misses 2-pt jump shot from 3 ft (block by M. Gortat),19,10
43,1,6:26.0,,Offensive rebound by N. Bjelica,19,10
44,1,6:20.0,,N. Bjelica makes 2-pt layup at rim,19,12
45,1,6:08.0,M. Gortat makes 2-pt layup from 2 ft (assist by A. Bradley),,21,12
46,1,6:08.0,Shooting foul by N. Bjelica (drawn by M. Gortat),,21,12
47,1,6:08.0,M. Gortat makes free throw 1 of 1,,22,12
48,1,5:58.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by B. Bogdanović),22,14
49,1,5:46.0,Shooting foul by W. Cauley-Stein (drawn by S. Gilgeous-Alexander),,22,14
50,1,5:46.0,S. Gilgeous-Alexander makes free throw 1 of 2,,23,14
51,1,5:46.0,S. Gilgeous-Alexander makes free throw 2 of 2,,24,14
52,1,5:38.0,,D. Fox makes 2-pt jump shot from 9 ft,24,16
53,1,5:27.0,T. Harris misses 3-pt jump shot from 25 ft,,24,16
54,1,5:23.0,,Defensive rebound by N. Bjelica,24,16
55,1,5:20.0,,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by D. Fox),24,18
56,1,5:07.0,A. Bradley makes 2-pt jump shot from 19 ft,,26,18
57,1,4:53.0,,I. Shumpert misses 3-pt jump shot from 22 ft,26,18
