,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,WASHINGTON_ACTION,LA LAKERS_SCORE,WASHINGTON_SCORE
0,1,11:48.0,J. Hart makes 2-pt jump shot from 19 ft,,2,0
1,1,11:35.0,,B. Beal makes 2-pt jump shot from 22 ft,2,2
2,1,11:21.0,L. James makes 2-pt jump shot from 21 ft (assist by L. Ball),,4,2
3,1,11:08.0,,T. Satoranský makes 2-pt layup at rim (assist by J. Wall),4,4
4,1,10:58.0,T. Chandler misses 2-pt layup from 1 ft,,4,4
5,1,10:58.0,,Defensive rebound by T. Bryant,4,4
6,1,10:50.0,,J. Wall makes 2-pt jump shot from 16 ft,4,6
7,1,10:34.0,J. Hart misses 2-pt jump shot from 11 ft,,4,6
8,1,10:33.0,,Defensive rebound by B. Beal,4,6
9,1,10:24.0,,T. Bryant makes 2-pt layup from 1 ft (assist by B. Beal),4,8
10,1,10:10.0,Turnover by L. Ball (lost ball; steal by J. Wall),,4,8
11,1,10:05.0,,B. Beal makes 2-pt layup from 1 ft (assist by T. Satoranský),4,10
12,1,9:39.0,L. James misses 3-pt jump shot from 29 ft,,4,10
13,1,9:36.0,,Defensive rebound by J. Wall,4,10
14,1,9:33.0,,B. Beal misses 3-pt jump shot from 26 ft,4,10
15,1,9:28.0,,Offensive rebound by T. Bryant,4,10
16,1,9:27.0,,B. Beal misses 3-pt jump shot from 23 ft,4,10
17,1,9:23.0,Defensive rebound by L. Ball,,4,10
18,1,9:19.0,L. Ball misses 3-pt jump shot from 26 ft,,4,10
19,1,9:16.0,,Defensive rebound by T. Bryant,4,10
20,1,9:10.0,,J. Green makes 2-pt layup from 2 ft (assist by J. Wall),4,12
21,1,9:09.0,LA Lakers full timeout,,4,12
22,1,8:57.0,K. Kuzma misses 2-pt layup from 4 ft,,4,12
23,1,8:55.0,,Defensive rebound by J. Wall,4,12
24,1,8:52.0,,J. Wall makes 2-pt layup from 1 ft,4,14
25,1,8:33.0,Turnover by T. Chandler (lost ball),,4,14
26,1,8:22.0,,B. Beal makes 2-pt dunk from 1 ft (assist by T. Bryant),4,16
27,1,7:58.0,L. James misses 2-pt layup from 9 ft,,4,16
