,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MILWAUKEE_ACTION,LA CLIPPERS_SCORE,MILWAUKEE_SCORE
0,1,11:42.0,,B. Lopez makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),0,3
1,1,11:27.0,L. Shamet makes 3-pt jump shot from 24 ft (assist by G. Temple),,3,3
2,1,11:14.0,,Personal foul by S. Gilgeous-Alexander (drawn by E. Bledsoe),3,3
3,1,11:08.0,,Offensive foul by G. Antetokounmpo (drawn by L. Shamet),3,3
4,1,11:08.0,,Turnover by G. Antetokounmpo (offensive foul),3,3
5,1,10:57.0,S. Gilgeous-Alexander makes 2-pt jump shot from 14 ft,,5,3
6,1,10:45.0,,S. Brown misses 3-pt jump shot from 26 ft,5,3
7,1,10:42.0,Defensive rebound by G. Temple,,5,3
8,1,10:37.0,G. Temple misses 2-pt jump shot from 15 ft,,5,3
9,1,10:34.0,,Defensive rebound by K. Middleton,5,3
10,1,10:26.0,,K. Middleton makes 2-pt jump shot from 11 ft,5,5
11,1,10:17.0,Personal foul by K. Middleton (drawn by D. Gallinari),,5,5
12,1,10:12.0,D. Gallinari makes 3-pt jump shot from 27 ft (assist by G. Temple),,8,5
13,1,9:51.0,,G. Antetokounmpo makes 2-pt layup from 3 ft,8,7
14,1,9:37.0,D. Gallinari misses 2-pt jump shot from 16 ft,,8,7
15,1,9:33.0,,Defensive rebound by B. Lopez,8,7
16,1,9:28.0,,G. Antetokounmpo makes 3-pt jump shot from 24 ft,8,10
17,1,9:15.0,S. Gilgeous-Alexander misses 2-pt jump shot from 17 ft,,8,10
18,1,9:12.0,,Defensive rebound by B. Lopez,8,10
19,1,9:02.0,,E. Bledsoe misses 2-pt layup from 3 ft,8,10
20,1,8:59.0,Defensive rebound by S. Gilgeous-Alexander,,8,10
21,1,8:48.0,S. Gilgeous-Alexander misses 2-pt layup from 3 ft,,8,10
22,1,8:45.0,,Defensive rebound by B. Lopez,8,10
23,1,8:38.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by S. Brown),8,13
24,1,8:15.0,I. Zubac makes 2-pt jump shot from 19 ft,,10,13
25,1,7:52.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by E. Bledsoe),10,15
26,1,7:28.0,S. Gilgeous-Alexander makes 3-pt jump shot from 26 ft (assist by I. Zubac),,13,15
27,1,7:13.0,,K. Middleton misses 2-pt jump shot from 11 ft,13,15
28,1,7:10.0,Defensive rebound by I. Zubac,,13,15
29,1,7:05.0,I. Zubac misses 2-pt dunk from 3 ft (block by S. Brown),,13,15
30,1,7:00.0,,Defensive rebound by K. Middleton,13,15
31,1,6:59.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,13,15
32,1,6:56.0,Defensive rebound by D. Gallinari,,13,15
33,1,6:53.0,L. Shamet makes 3-pt jump shot from 27 ft (assist by D. Gallinari),,16,15
34,1,6:53.0,,Milwaukee full timeout,16,15
35,1,6:53.0,,P. Connaughton enters the game for K. Middleton,16,15
36,1,6:32.0,,S. Brown makes 2-pt layup from 2 ft (assist by E. Bledsoe),16,17
37,1,6:20.0,Def 3 sec tech foul by Team,,16,17
38,1,6:20.0,D. Gallinari makes technical free throw,,17,17
39,1,6:20.0,,K. Middleton enters the game for S. Brown,17,17
40,1,6:09.0,G. Temple misses 2-pt jump shot from 7 ft,,17,17
41,1,6:06.0,,Defensive rebound by G. Antetokounmpo,17,17
