,QUARTER,TIME_REMAINING,TORONTO_ACTION,NEW YORK_ACTION,TORONTO_SCORE,NEW YORK_SCORE
0,1,11:41.0,,D. Dotson misses 3-pt jump shot from 24 ft,0,0
1,1,11:40.0,Defensive rebound by S. Ibaka,,0,0
2,1,11:19.0,K. Leonard makes 3-pt jump shot from 25 ft (assist by S. Ibaka),,3,0
3,1,10:58.0,,Shooting foul by P. Siakam (drawn by D. Jordan),3,0
4,1,10:58.0,,D. Jordan makes free throw 1 of 2,3,1
5,1,10:58.0,,D. Jordan misses free throw 2 of 2,3,1
6,1,10:56.0,Defensive rebound by S. Ibaka,,3,1
7,1,10:44.0,K. Leonard misses 2-pt jump shot from 12 ft,,3,1
8,1,10:42.0,,Defensive rebound by K. Knox,3,1
9,1,10:38.0,,D. Dotson misses 2-pt layup from 1 ft (block by D. Green),3,1
10,1,10:37.0,,Offensive rebound by Team,3,1
11,1,10:31.0,,D. Dotson misses 3-pt jump shot from 25 ft,3,1
12,1,10:28.0,,Offensive rebound by K. Knox,3,1
13,1,10:21.0,,D. Smith misses 2-pt jump shot from 19 ft,3,1
14,1,10:19.0,Defensive rebound by Team,,3,1
15,1,10:07.0,D. Green misses 2-pt layup from 2 ft,,3,1
16,1,10:04.0,,Defensive rebound by D. Dotson,3,1
17,1,10:01.0,,K. Knox makes 3-pt jump shot from 26 ft (assist by D. Smith),3,4
18,1,9:37.0,D. Green misses 2-pt jump shot from 16 ft,,3,4
19,1,9:36.0,,Defensive rebound by M. Hezonja,3,4
20,1,9:30.0,,Turnover by M. Hezonja (bad pass; steal by K. Leonard),3,4
21,1,9:23.0,K. Lowry misses 3-pt jump shot from 26 ft,,3,4
22,1,9:21.0,,Defensive rebound by M. Hezonja,3,4
23,1,9:05.0,,D. Jordan makes 2-pt dunk from 2 ft (assist by D. Smith),3,6
24,1,8:58.0,P. Siakam misses 2-pt layup at rim,,3,6
25,1,8:56.0,,Defensive rebound by M. Hezonja,3,6
26,1,8:54.0,,D. Dotson makes 2-pt layup from 1 ft (assist by M. Hezonja),3,8
27,1,8:41.0,Personal foul by D. Dotson (drawn by S. Ibaka),,3,8
28,1,8:26.0,S. Ibaka misses 2-pt jump shot from 22 ft,,3,8
29,1,8:24.0,,Defensive rebound by M. Hezonja,3,8
30,1,8:12.0,,D. Smith makes 2-pt layup from 2 ft,3,10
31,1,8:00.0,K. Leonard misses 2-pt jump shot from 15 ft,,3,10
32,1,7:58.0,,Defensive rebound by D. Jordan,3,10
33,1,7:50.0,,Offensive foul by D. Dotson (drawn by K. Lowry),3,10
34,1,7:50.0,,Turnover by D. Dotson (offensive foul),3,10
35,1,7:50.0,,A. Trier enters the game for D. Dotson,3,10
36,1,7:38.0,Turnover by S. Ibaka (bad pass; steal by D. Smith),,3,10
37,1,7:34.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by D. Smith),3,12
38,1,7:24.0,K. Leonard misses 2-pt layup at rim,,3,12
39,1,7:22.0,,Defensive rebound by D. Jordan,3,12
40,1,7:17.0,,K. Knox misses 3-pt jump shot from 25 ft,3,12
41,1,7:11.0,,Offensive rebound by M. Hezonja,3,12
42,1,7:09.0,,K. Knox misses 2-pt layup at rim,3,12
43,1,7:08.0,,D. Jordan makes 2-pt dunk from 1 ft,3,14
44,1,7:08.0,,Offensive rebound by D. Jordan,3,14
45,1,7:08.0,Toronto full timeout,,3,14
46,1,6:55.0,P. Siakam misses 2-pt layup from 1 ft (block by D. Jordan),,3,14
47,1,6:55.0,Offensive rebound by Team,,3,14
48,1,6:51.0,Turnover by K. Lowry (bad pass; steal by K. Knox),,3,14
49,1,6:42.0,,Turnover by M. Hezonja (traveling),3,14
50,1,6:28.0,K. Lowry makes 2-pt jump shot from 20 ft (assist by S. Ibaka),,5,14
51,1,6:13.0,,A. Trier makes 3-pt jump shot from 23 ft (assist by D. Smith),5,17
52,1,6:01.0,D. Green makes 3-pt jump shot from 23 ft (assist by K. Leonard),,8,17
53,1,5:45.0,,A. Trier misses 3-pt jump shot from 27 ft,8,17
54,1,5:42.0,Defensive rebound by P. Siakam,,8,17
55,1,5:37.0,S. Ibaka makes 2-pt dunk from 1 ft (assist by P. Siakam),,10,17
56,1,5:20.0,,M. Hezonja makes 2-pt jump shot from 16 ft,10,19
57,1,5:09.0,Offensive foul by S. Ibaka (drawn by D. Smith),,10,19
58,1,5:09.0,Turnover by S. Ibaka (offensive foul),,10,19
59,1,5:09.0,,M. Robinson enters the game for D. Jordan,10,19
60,1,4:51.0,,D. Smith misses 2-pt jump shot from 18 ft,10,19
61,1,4:48.0,Defensive rebound by S. Ibaka,,10,19
62,1,4:43.0,Shooting foul by M. Hezonja (drawn by K. Leonard),,10,19
63,1,4:43.0,K. Leonard makes free throw 1 of 2,,11,19
64,1,4:43.0,K. Leonard misses free throw 2 of 2,,11,19
65,1,4:40.0,,Defensive rebound by M. Hezonja,11,19
66,1,4:19.0,,Turnover by D. Smith (bad pass; steal by S. Ibaka),11,19
67,1,4:18.0,Personal foul by D. Smith (drawn by K. Lowry),,11,19
