,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MEMPHIS_ACTION,GOLDEN STATE_SCORE,MEMPHIS_SCORE
0,1,11:36.0,Q. Cook misses 2-pt jump shot from 14 ft,,0,0
1,1,11:32.0,,Defensive rebound by B. Caboclo,0,0
2,1,11:16.0,,Turnover by J. Holiday (bad pass),0,0
3,1,11:00.0,J. Bell makes 2-pt dunk from 1 ft (assist by K. Durant),,2,0
4,1,10:46.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by I. Rabb),2,3
5,1,10:34.0,K. Thompson misses 2-pt jump shot from 19 ft,,2,3
6,1,10:31.0,,Defensive rebound by I. Rabb,2,3
7,1,10:23.0,,T. Dorsey misses 2-pt jump shot from 16 ft,2,3
8,1,10:21.0,,Offensive rebound by D. Wright,2,3
9,1,10:19.0,,D. Wright misses 2-pt layup from 1 ft (block by A. Bogut),2,3
10,1,10:19.0,,Offensive rebound by D. Wright,2,3
11,1,10:10.0,,J. Holiday makes 3-pt jump shot from 25 ft,2,6
12,1,10:10.0,,Shooting foul by J. Bell (drawn by J. Holiday),2,6
13,1,10:10.0,,J. Holiday misses free throw 1 of 1,2,6
14,1,10:08.0,Defensive rebound by J. Bell,,2,6
15,1,10:03.0,K. Durant misses 3-pt jump shot from 24 ft,,2,6
16,1,9:58.0,,Defensive rebound by I. Rabb,2,6
17,1,9:56.0,,J. Holiday makes 2-pt dunk at rim (assist by I. Rabb),2,8
18,1,9:49.0,K. Durant makes 2-pt dunk from 1 ft (assist by K. Thompson),,4,8
19,1,9:39.0,,Shooting foul by K. Durant (drawn by D. Wright),4,8
20,1,9:39.0,Technical foul by K. Durant,,4,8
21,1,9:39.0,,J. Holiday makes technical free throw,4,9
22,1,9:39.0,,D. Wright makes free throw 1 of 2,4,10
23,1,9:39.0,,D. Wright makes free throw 2 of 2,4,11
24,1,9:27.0,K. Thompson makes 2-pt layup from 1 ft (assist by A. Bogut),,6,11
25,1,9:16.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by I. Rabb),6,14
26,1,9:01.0,K. Durant makes 2-pt jump shot from 7 ft,,8,14
27,1,8:49.0,,B. Caboclo makes 3-pt jump shot from 24 ft (assist by D. Wright),8,17
28,1,8:37.0,Shooting foul by I. Rabb (drawn by J. Bell),,8,17
29,1,8:37.0,J. Bell makes free throw 1 of 2,,9,17
30,1,8:37.0,J. Bell makes free throw 2 of 2,,10,17
