,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,OKLAHOMA CITY_ACTION,MINNESOTA_SCORE,OKLAHOMA CITY_SCORE
0,1,11:48.0,,J. Grant misses 3-pt jump shot from 23 ft,0,0
1,1,11:44.0,Defensive rebound by R. Covington,,0,0
2,1,11:32.0,K. Towns makes 2-pt jump shot from 12 ft (assist by T. Gibson),,2,0
3,1,11:13.0,,J. Grant makes 2-pt hook shot from 5 ft,2,2
4,1,10:54.0,A. Wiggins makes 2-pt layup from 4 ft,,4,2
5,1,10:42.0,,Personal foul by R. Covington (drawn by S. Adams),4,2
6,1,10:36.0,,R. Westbrook makes 2-pt layup from 1 ft,4,4
7,1,10:28.0,Personal foul by T. Ferguson (drawn by A. Wiggins),,4,4
8,1,10:16.0,K. Towns makes 2-pt hook shot from 5 ft (assist by A. Wiggins),,6,4
9,1,10:04.0,,Shooting foul by T. Jones (drawn by T. Ferguson),6,4
10,1,10:04.0,,T. Ferguson makes free throw 1 of 2,6,5
11,1,10:04.0,,T. Ferguson makes free throw 2 of 2,6,6
12,1,9:42.0,T. Gibson misses 2-pt jump shot from 14 ft,,6,6
13,1,9:40.0,,Defensive rebound by P. George,6,6
14,1,9:34.0,,P. George makes 2-pt jump shot from 15 ft,6,8
15,1,9:23.0,Offensive foul by K. Towns (drawn by T. Ferguson),,6,8
16,1,9:23.0,Turnover by K. Towns (offensive foul),,6,8
17,1,9:09.0,,S. Adams makes 2-pt layup from 1 ft,6,10
18,1,8:51.0,T. Gibson misses 2-pt hook shot from 6 ft,,6,10
19,1,8:50.0,,Defensive rebound by J. Grant,6,10
20,1,8:43.0,,R. Westbrook misses 2-pt layup from 2 ft,6,10
21,1,8:41.0,Defensive rebound by T. Jones,,6,10
22,1,8:37.0,Shooting foul by P. George (drawn by R. Covington),,6,10
23,1,8:37.0,R. Covington misses free throw 1 of 2,,6,10
24,1,8:37.0,Offensive rebound by Team,,6,10
25,1,8:37.0,R. Covington makes free throw 2 of 2,,7,10
26,1,8:30.0,,Turnover by R. Westbrook (offensive foul),7,10
27,1,8:30.0,,Offensive foul by R. Westbrook (drawn by R. Covington),7,10
28,1,8:15.0,T. Gibson makes 2-pt layup from 1 ft (assist by K. Towns),,9,10
29,1,8:07.0,,Turnover by P. George (bad pass; steal by R. Covington),9,10
30,1,7:59.0,T. Jones misses 2-pt jump shot from 7 ft,,9,10
31,1,7:55.0,,Defensive rebound by P. George,9,10
32,1,7:50.0,,P. George makes 3-pt jump shot from 25 ft,9,13
33,1,7:28.0,K. Towns makes 2-pt layup from 1 ft,,11,13
34,1,7:16.0,,P. George misses 2-pt jump shot from 6 ft (block by T. Jones),11,13
35,1,7:13.0,Defensive rebound by T. Gibson,,11,13
36,1,7:04.0,T. Gibson makes 2-pt layup from 2 ft (assist by K. Towns),,13,13
37,1,6:56.0,,P. George misses 2-pt jump shot from 14 ft,13,13
38,1,6:54.0,Defensive rebound by T. Jones,,13,13
39,1,6:49.0,A. Wiggins misses 2-pt layup from 2 ft,,13,13
40,1,6:44.0,,Defensive rebound by S. Adams,13,13
41,1,6:33.0,,P. George makes 2-pt jump shot from 17 ft,13,15
42,1,6:17.0,A. Wiggins misses 3-pt jump shot from 27 ft,,13,15
43,1,6:14.0,,Defensive rebound by J. Grant,13,15
44,1,6:07.0,,R. Westbrook makes 2-pt jump shot from 10 ft,13,17
45,1,6:01.0,Minnesota full timeout,,13,17
46,1,6:01.0,,D. Schröder enters the game for T. Ferguson,13,17
47,1,5:53.0,A. Wiggins makes 2-pt layup from 1 ft,,15,17
48,1,5:41.0,,Offensive foul by P. George (drawn by R. Covington),15,17
49,1,5:41.0,,Turnover by P. George (offensive foul),15,17
50,1,5:29.0,A. Wiggins makes 2-pt layup from 2 ft (assist by K. Towns),,17,17
51,1,5:29.0,Shooting foul by R. Westbrook (drawn by A. Wiggins),,17,17
52,1,5:29.0,A. Wiggins makes free throw 1 of 1,,18,17
53,1,5:12.0,,Turnover by P. George (bad pass; steal by T. Jones),18,17
54,1,5:06.0,A. Wiggins makes 3-pt jump shot from 24 ft (assist by R. Covington),,21,17
55,1,4:57.0,,D. Schröder misses 2-pt layup from 1 ft,21,17
56,1,4:53.0,Defensive rebound by T. Jones,,21,17
57,1,4:48.0,A. Wiggins misses 2-pt jump shot from 21 ft,,21,17
58,1,4:46.0,,Defensive rebound by R. Westbrook,21,17
59,1,4:41.0,,R. Westbrook misses 2-pt layup from 2 ft,21,17
60,1,4:39.0,Defensive rebound by K. Towns,,21,17
61,1,4:35.0,T. Gibson misses 2-pt layup from 1 ft,,21,17
62,1,4:32.0,,Defensive rebound by P. George,21,17
63,1,4:19.0,,P. George misses 2-pt jump shot from 14 ft,21,17
64,1,4:16.0,Defensive rebound by T. Gibson,,21,17
65,1,4:13.0,Turnover by T. Jones (bad pass),,21,17
66,1,4:13.0,D. Šarić enters the game for T. Gibson,,21,17
67,1,4:13.0,,Á. Abrines enters the game for P. George,21,17
68,1,3:56.0,,S. Adams misses 2-pt layup from 3 ft (block by K. Towns),21,17
69,1,3:54.0,,Offensive rebound by S. Adams,21,17
70,1,3:53.0,,S. Adams misses 2-pt layup from 1 ft,21,17
71,1,3:50.0,Defensive rebound by D. Šarić,,21,17
72,1,3:38.0,Shooting foul by S. Adams (drawn by K. Towns),,21,17
73,1,3:38.0,K. Towns makes free throw 1 of 2,,22,17
74,1,3:38.0,K. Towns makes free throw 2 of 2,,23,17
75,1,3:28.0,,R. Westbrook misses 2-pt layup from 2 ft,23,17
76,1,3:27.0,Defensive rebound by R. Covington,,23,17
77,1,3:16.0,R. Covington misses 3-pt jump shot from 25 ft,,23,17
78,1,3:13.0,,Defensive rebound by D. Schröder,23,17
79,1,3:02.0,,Á. Abrines makes 3-pt jump shot from 25 ft (assist by D. Schröder),23,20
80,1,2:45.0,A. Wiggins makes 2-pt layup from 2 ft,,25,20
81,1,2:45.0,Shooting foul by Á. Abrines (drawn by A. Wiggins),,25,20
82,1,2:45.0,,Oklahoma City full timeout,25,20
83,1,2:45.0,,T. Ferguson enters the game for R. Westbrook,25,20
84,1,2:45.0,A. Wiggins makes free throw 1 of 1,,26,20
85,1,2:37.0,,S. Adams makes 2-pt dunk from 1 ft (assist by D. Schröder),26,22
86,1,2:17.0,K. Towns makes 3-pt jump shot from 27 ft (assist by T. Jones),,29,22
87,1,2:05.0,,Personal foul by R. Covington (drawn by J. Grant),29,22
88,1,2:05.0,J. Okogie enters the game for R. Covington,,29,22
89,1,2:05.0,,N. Noel enters the game for S. Adams,29,22
90,1,1:58.0,,D. Schröder misses 2-pt jump shot from 15 ft,29,22
91,1,1:55.0,Defensive rebound by K. Towns,,29,22
92,1,1:46.0,A. Wiggins misses 2-pt layup from 2 ft,,29,22
93,1,1:44.0,,Defensive rebound by Á. Abrines,29,22
94,1,1:40.0,,T. Ferguson misses 3-pt jump shot from 22 ft,29,22
95,1,1:38.0,Defensive rebound by D. Šarić,,29,22
96,1,1:24.0,Turnover by J. Okogie (lost ball; steal by T. Ferguson),,29,22
97,1,1:17.0,,Shooting foul by J. Okogie (drawn by D. Schröder),29,22
