,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,HOUSTON_ACTION,WASHINGTON_SCORE,HOUSTON_SCORE
0,1,11:38.0,B. Beal makes 2-pt jump shot from 14 ft (assist by T. Ariza),,2,0
1,1,11:20.0,,J. Harden misses 2-pt dunk from 2 ft,2,0
2,1,11:20.0,Defensive rebound by Team,,2,0
3,1,11:05.0,J. Green misses 2-pt jump shot from 16 ft,,2,0
4,1,11:01.0,,Defensive rebound by J. Harden,2,0
5,1,10:57.0,,Shooting foul by J. Green (drawn by C. Capela),2,0
6,1,10:57.0,,C. Capela misses free throw 1 of 2,2,0
7,1,10:57.0,,Offensive rebound by Team,2,0
8,1,10:57.0,,C. Capela makes free throw 2 of 2,2,1
9,1,10:36.0,T. Bryant makes 2-pt hook shot from 5 ft (assist by T. Ariza),,4,1
10,1,10:24.0,,P. Tucker misses 3-pt jump shot from 24 ft,4,1
11,1,10:23.0,Defensive rebound by Team,,4,1
12,1,10:10.0,J. Wall makes 2-pt jump shot from 20 ft,,6,1
13,1,9:42.0,,E. Gordon makes 3-pt jump shot from 25 ft (assist by C. Paul),6,4
14,1,9:31.0,T. Bryant makes 3-pt jump shot from 27 ft (assist by B. Beal),,9,4
15,1,9:10.0,,C. Capela makes 2-pt dunk from 1 ft (assist by P. Tucker),9,6
16,1,8:58.0,Shooting foul by C. Capela (drawn by J. Green),,9,6
17,1,8:58.0,J. Green makes free throw 1 of 2,,10,6
18,1,8:58.0,J. Green misses free throw 2 of 2,,10,6
19,1,8:57.0,,Defensive rebound by P. Tucker,10,6
20,1,8:47.0,,C. Capela misses 2-pt dunk from 1 ft,10,6
21,1,8:44.0,Defensive rebound by B. Beal,,10,6
22,1,8:33.0,J. Green misses 2-pt jump shot from 12 ft,,10,6
23,1,8:31.0,,Defensive rebound by P. Tucker,10,6
24,1,8:25.0,,E. Gordon misses 3-pt jump shot from 23 ft,10,6
25,1,8:22.0,,Offensive rebound by C. Capela,10,6
