,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,INDIANA_ACTION,CHARLOTTE_SCORE,INDIANA_SCORE
0,1,11:34.0,,D. Collison makes 2-pt jump shot from 19 ft,0,2
1,1,11:20.0,M. Williams misses 3-pt jump shot from 23 ft,,0,2
2,1,11:17.0,,Defensive rebound by B. Bogdanović,0,2
3,1,11:07.0,,D. Collison makes 2-pt layup from 1 ft,0,4
4,1,10:54.0,K. Walker misses 2-pt layup from 1 ft,,0,4
5,1,10:51.0,,Defensive rebound by D. Collison,0,4
6,1,10:46.0,,V. Oladipo misses 3-pt jump shot from 29 ft,0,4
7,1,10:44.0,Defensive rebound by B. Biyombo,,0,4
8,1,10:21.0,M. Williams misses 3-pt jump shot from 23 ft,,0,4
9,1,10:20.0,Offensive rebound by B. Biyombo,,0,4
10,1,10:13.0,J. Lamb misses 3-pt jump shot from 28 ft,,0,4
11,1,10:11.0,Offensive rebound by Team,,0,4
12,1,10:11.0,,Loose ball foul by M. Turner (drawn by B. Biyombo),0,4
13,1,10:07.0,J. Lamb makes 3-pt jump shot from 26 ft (assist by K. Walker),,3,4
14,1,9:46.0,,Turnover by T. Young (bad pass),3,4
15,1,9:35.0,K. Walker makes 2-pt layup from 2 ft (assist by M. Williams),,5,4
16,1,9:17.0,,B. Bogdanović makes 2-pt jump shot from 14 ft (assist by D. Collison),5,6
17,1,8:59.0,Turnover by N. Batum (lost ball; steal by T. Young),,5,6
18,1,8:55.0,,B. Bogdanović makes 2-pt dunk from 1 ft (assist by T. Young),5,8
19,1,8:40.0,N. Batum misses 3-pt jump shot from 23 ft,,5,8
20,1,8:37.0,,Defensive rebound by T. Young,5,8
21,1,8:33.0,,B. Bogdanović misses 2-pt layup from 1 ft,5,8
22,1,8:31.0,Defensive rebound by N. Batum,,5,8
23,1,8:25.0,J. Lamb makes 2-pt jump shot from 13 ft (assist by K. Walker),,7,8
24,1,8:12.0,,D. Collison makes 2-pt jump shot from 21 ft,7,10
25,1,7:56.0,K. Walker makes 2-pt layup from 2 ft,,9,10
26,1,7:39.0,,V. Oladipo misses 3-pt jump shot from 27 ft,9,10
27,1,7:38.0,Defensive rebound by B. Biyombo,,9,10
28,1,7:27.0,J. Lamb misses 3-pt jump shot from 27 ft,,9,10
29,1,7:24.0,,Defensive rebound by M. Turner,9,10
30,1,7:12.0,,V. Oladipo misses 2-pt layup from 8 ft (block by J. Lamb),9,10
31,1,7:10.0,Defensive rebound by K. Walker,,9,10
32,1,7:08.0,K. Walker makes 2-pt layup from 1 ft,,11,10
33,1,6:53.0,,B. Bogdanović misses 2-pt layup from 1 ft,11,10
34,1,6:50.0,Defensive rebound by N. Batum,,11,10
35,1,6:47.0,M. Williams misses 3-pt jump shot from 23 ft,,11,10
36,1,6:46.0,,Defensive rebound by Team,11,10
37,1,6:46.0,Loose ball foul by B. Biyombo (drawn by D. Collison),,11,10
38,1,6:46.0,,Indiana full timeout,11,10
39,1,6:30.0,,Personal foul by M. Williams (drawn by M. Turner),11,10
40,1,6:24.0,,B. Bogdanović misses 2-pt jump shot from 2 ft,11,10
41,1,6:22.0,Defensive rebound by M. Williams,,11,10
42,1,6:17.0,K. Walker misses 3-pt jump shot from 26 ft,,11,10
43,1,6:13.0,,Defensive rebound by M. Turner,11,10
44,1,5:57.0,,D. Collison misses 3-pt jump shot from 26 ft,11,10
45,1,5:54.0,,Offensive rebound by T. Young,11,10
46,1,5:44.0,,T. Young misses 3-pt jump shot from 28 ft,11,10
47,1,5:42.0,Defensive rebound by J. Lamb,,11,10
48,1,5:22.0,N. Batum misses 2-pt jump shot from 12 ft,,11,10
49,1,5:20.0,,Defensive rebound by M. Turner,11,10
50,1,5:17.0,,V. Oladipo misses 2-pt layup from 3 ft (block by K. Walker),11,10
51,1,5:16.0,Defensive rebound by K. Walker,,11,10
52,1,5:11.0,B. Biyombo misses 2-pt layup from 2 ft,,11,10
53,1,5:08.0,,Defensive rebound by M. Turner,11,10
54,1,5:05.0,,D. Collison makes 3-pt jump shot from 23 ft (assist by V. Oladipo),11,13
55,1,4:42.0,M. Williams misses 2-pt dunk from 3 ft (block by M. Turner),,11,13
56,1,4:41.0,,Defensive rebound by M. Turner,11,13
57,1,4:41.0,,Personal take foul by K. Walker (drawn by T. Young),11,13
58,1,4:41.0,M. Bridges enters the game for N. Batum,,11,13
59,1,4:41.0,W. Hernangómez enters the game for B. Biyombo,,11,13
60,1,4:41.0,M. Kidd-Gilchrist enters the game for M. Williams,,11,13
61,1,4:41.0,,C. Joseph enters the game for B. Bogdanović,11,13
62,1,4:41.0,,D. Sabonis enters the game for T. Young,11,13
63,1,4:32.0,,V. Oladipo makes 2-pt jump shot from 19 ft (assist by D. Collison),11,15
64,1,4:10.0,M. Kidd-Gilchrist misses 3-pt jump shot from 26 ft,,11,15
65,1,4:07.0,,Defensive rebound by M. Turner,11,15
66,1,3:58.0,,D. Collison makes 2-pt layup from 1 ft (assist by D. Sabonis),11,17
67,1,3:40.0,Turnover by M. Bridges (lost ball; steal by V. Oladipo),,11,17
68,1,3:29.0,,M. Turner makes 3-pt jump shot from 24 ft (assist by D. Collison),11,20
69,1,3:27.0,Charlotte full timeout,,11,20
70,1,3:27.0,M. Monk enters the game for J. Lamb,,11,20
71,1,3:10.0,M. Monk makes 2-pt jump shot from 10 ft (assist by K. Walker),,13,20
72,1,2:55.0,,V. Oladipo makes 2-pt jump shot from 20 ft (assist by D. Collison),13,22
73,1,2:35.0,M. Monk misses 2-pt jump shot from 20 ft,,13,22
74,1,2:33.0,,Defensive rebound by D. Collison,13,22
75,1,2:14.0,,D. Collison misses 2-pt jump shot from 23 ft,13,22
76,1,2:11.0,,Offensive rebound by D. Sabonis,13,22
77,1,2:10.0,,C. Joseph makes 3-pt jump shot from 27 ft (assist by D. Sabonis),13,25
78,1,1:56.0,K. Walker makes 3-pt jump shot from 27 ft,,16,25
79,1,1:45.0,,M. Turner makes 3-pt jump shot from 28 ft (assist by V. Oladipo),16,28
80,1,1:27.0,K. Walker misses 2-pt jump shot from 5 ft,,16,28
81,1,1:25.0,,Defensive rebound by C. Joseph,16,28
82,1,1:19.0,,M. Turner makes 3-pt jump shot from 27 ft (assist by D. Collison),16,31
83,1,1:18.0,Technical foul by K. Walker,,16,31
84,1,1:18.0,,V. Oladipo makes technical free throw,16,32
85,1,1:18.0,T. Parker enters the game for K. Walker,,16,32
86,1,1:18.0,,T. Evans enters the game for D. Collison,16,32
87,1,1:18.0,,T. Leaf enters the game for V. Oladipo,16,32
88,1,1:18.0,,D. McDermott enters the game for M. Turner,16,32
89,1,1:07.0,M. Monk misses 2-pt layup from 6 ft,,16,32
90,1,1:06.0,Offensive rebound by W. Hernangómez,,16,32
91,1,1:06.0,W. Hernangómez makes 2-pt layup from 1 ft,,18,32
92,1,0:58.0,,Turnover by C. Joseph (bad pass; steal by M. Monk),18,32
93,1,0:52.0,M. Bridges makes 2-pt dunk from 2 ft (assist by M. Monk),,20,32
94,1,0:42.0,,T. Evans makes 2-pt jump shot from 5 ft,20,34
95,1,0:29.0,W. Hernangómez makes 2-pt layup from 2 ft (assist by T. Parker),,22,34
96,1,0:22.0,,D. Sabonis misses 2-pt jump shot from 20 ft,22,34
97,1,0:22.0,Defensive rebound by M. Bridges,,22,34
98,1,0:06.0,Personal foul by T. Evans (drawn by T. Parker),,22,34
