,QUARTER,TIME_REMAINING,MIAMI_ACTION,OKLAHOMA CITY_ACTION,MIAMI_SCORE,OKLAHOMA CITY_SCORE
0,1,11:36.0,,S. Adams makes 2-pt jump shot from 4 ft,0,2
1,1,11:16.0,J. Richardson misses 3-pt jump shot from 24 ft,,0,2
2,1,11:13.0,,Defensive rebound by J. Grant,0,2
3,1,11:00.0,,P. George makes 2-pt dunk at rim (assist by D. Schröder),0,4
4,1,10:43.0,D. Jones misses 3-pt jump shot from 23 ft,,0,4
5,1,10:40.0,,Defensive rebound by S. Adams,0,4
6,1,10:32.0,,Turnover by P. George (bad pass; steal by B. Adebayo),0,4
7,1,10:32.0,Personal take foul by P. George (drawn by D. Waiters),,0,4
8,1,10:11.0,D. Jones misses 2-pt jump shot from 12 ft,,0,4
9,1,10:08.0,,Defensive rebound by J. Grant,0,4
10,1,9:57.0,,T. Ferguson makes 3-pt jump shot from 23 ft (assist by D. Schröder),0,7
11,1,9:38.0,D. Waiters misses 3-pt jump shot from 25 ft,,0,7
12,1,9:34.0,,Defensive rebound by J. Grant,0,7
13,1,9:31.0,,P. George misses 3-pt jump shot from 25 ft,0,7
14,1,9:29.0,Defensive rebound by K. Olynyk,,0,7
15,1,9:18.0,K. Olynyk misses 2-pt jump shot from 8 ft,,0,7
16,1,9:16.0,,Defensive rebound by S. Adams,0,7
17,1,9:08.0,,S. Adams makes 2-pt dunk at rim (assist by D. Schröder),0,9
18,1,9:00.0,Miami full timeout,,0,9
19,1,8:47.0,J. Richardson misses 2-pt jump shot from 14 ft,,0,9
20,1,8:44.0,,Defensive rebound by D. Schröder,0,9
21,1,8:31.0,,J. Grant misses 2-pt jump shot from 13 ft,0,9
22,1,8:28.0,Defensive rebound by B. Adebayo,,0,9
23,1,8:10.0,B. Adebayo misses 2-pt jump shot from 13 ft,,0,9
24,1,8:07.0,,Defensive rebound by J. Grant,0,9
25,1,8:00.0,,Personal foul by B. Adebayo (drawn by S. Adams),0,9
26,1,8:00.0,D. Wade enters the game for K. Olynyk,,0,9
27,1,7:53.0,,Turnover by P. George (lost ball; steal by D. Jones),0,9
28,1,7:49.0,D. Wade misses 2-pt layup from 3 ft (block by J. Grant),,0,9
29,1,7:46.0,,Defensive rebound by D. Schröder,0,9
30,1,7:44.0,,Shooting foul by D. Jones (drawn by D. Schröder),0,9
31,1,7:44.0,,D. Schröder makes free throw 1 of 2,0,10
32,1,7:44.0,,D. Schröder misses free throw 2 of 2,0,10
33,1,7:42.0,Defensive rebound by J. Richardson,,0,10
34,1,7:33.0,Offensive foul by B. Adebayo (drawn by T. Ferguson),,0,10
35,1,7:33.0,Turnover by B. Adebayo (offensive foul),,0,10
