,QUARTER,TIME_REMAINING,NEW YORK_ACTION,MIAMI_ACTION,NEW YORK_SCORE,MIAMI_SCORE
0,1,11:36.0,T. Burke misses 2-pt jump shot from 10 ft,,0,0
1,1,11:33.0,,Defensive rebound by J. Richardson,0,0
2,1,11:28.0,,Turnover by J. Richardson (bad pass),0,0
3,1,11:12.0,L. Thomas misses 2-pt jump shot from 7 ft,,0,0
4,1,11:10.0,,Defensive rebound by J. Richardson,0,0
5,1,11:01.0,,Turnover by J. Richardson (lost ball; steal by L. Thomas),0,0
6,1,10:46.0,F. Ntilikina misses 2-pt jump shot from 21 ft,,0,0
7,1,10:46.0,,Defensive rebound by R. McGruder,0,0
8,1,10:25.0,,H. Whiteside misses 2-pt hook shot from 8 ft,0,0
9,1,10:22.0,Defensive rebound by E. Freedom,,0,0
10,1,10:14.0,E. Freedom misses 2-pt jump shot from 9 ft,,0,0
11,1,10:12.0,,Defensive rebound by G. Dragić,0,0
12,1,10:02.0,,G. Dragić makes 2-pt jump shot from 11 ft,0,2
13,1,9:49.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by E. Freedom),,3,2
14,1,9:30.0,,K. Olynyk misses 3-pt jump shot from 24 ft,3,2
15,1,9:30.0,,Offensive rebound by Team,3,2
16,1,9:17.0,,J. Richardson misses 3-pt jump shot from 23 ft,3,2
17,1,9:15.0,Defensive rebound by T. Hardaway,,3,2
18,1,9:03.0,T. Burke misses 2-pt jump shot from 17 ft,,3,2
19,1,9:00.0,,Defensive rebound by H. Whiteside,3,2
20,1,8:53.0,,H. Whiteside misses 2-pt jump shot from 19 ft,3,2
21,1,8:49.0,Defensive rebound by E. Freedom,,3,2
22,1,8:44.0,T. Hardaway misses 3-pt jump shot from 25 ft,,3,2
23,1,8:44.0,Offensive rebound by Team,,3,2
24,1,8:29.0,E. Freedom makes 2-pt hook shot from 11 ft,,5,2
25,1,8:18.0,,Personal foul by F. Ntilikina (drawn by J. Richardson),5,2
26,1,8:08.0,,Turnover by J. Richardson (bad pass),5,2
27,1,7:53.0,F. Ntilikina misses 2-pt jump shot from 11 ft,,5,2
28,1,7:50.0,,Defensive rebound by H. Whiteside,5,2
29,1,7:48.0,,R. McGruder makes 2-pt layup from 2 ft,5,4
30,1,7:48.0,,Shooting foul by T. Hardaway (drawn by J. Richardson),5,4
31,1,7:48.0,,R. McGruder makes free throw 1 of 1,5,5
32,1,7:36.0,E. Freedom misses 2-pt jump shot from 12 ft,,5,5
33,1,7:34.0,,Defensive rebound by R. McGruder,5,5
34,1,7:26.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by R. McGruder),5,7
35,1,7:06.0,Offensive foul by T. Burke (drawn by G. Dragić),,5,7
36,1,7:06.0,Turnover by T. Burke (offensive foul),,5,7
37,1,6:43.0,,G. Dragić misses 2-pt layup from 2 ft,5,7
38,1,6:41.0,Defensive rebound by L. Thomas,,5,7
39,1,6:27.0,T. Burke misses 2-pt layup from 1 ft,,5,7
40,1,6:25.0,,Defensive rebound by R. McGruder,5,7
41,1,6:19.0,,J. Richardson misses 2-pt jump shot from 18 ft,5,7
42,1,6:16.0,,Offensive rebound by J. Richardson,5,7
43,1,6:16.0,,Miami full timeout,5,7
44,1,6:16.0,D. Dotson enters the game for T. Burke,,5,7
45,1,6:10.0,,Turnover by J. Richardson (lost ball; steal by L. Thomas),5,7
46,1,5:58.0,L. Thomas misses 3-pt jump shot from 26 ft,,5,7
47,1,5:55.0,,Defensive rebound by R. McGruder,5,7
48,1,5:43.0,,H. Whiteside misses 2-pt layup from 1 ft,5,7
49,1,5:39.0,Defensive rebound by L. Thomas,,5,7
50,1,5:37.0,Turnover by F. Ntilikina (bad pass; steal by J. Richardson),,5,7
51,1,5:35.0,,Shooting foul by L. Thomas (drawn by G. Dragić),5,7
52,1,5:35.0,,G. Dragić misses free throw 1 of 2,5,7
53,1,5:35.0,,Offensive rebound by Team,5,7
54,1,5:35.0,N. Vonleh enters the game for E. Freedom,,5,7
55,1,5:35.0,,D. Wade enters the game for J. Richardson,5,7
56,1,5:35.0,,G. Dragić makes free throw 2 of 2,5,8
57,1,5:18.0,Turnover by D. Dotson (bad pass; steal by R. McGruder),,5,8
58,1,5:14.0,,R. McGruder makes 2-pt layup from 1 ft,5,10
59,1,5:04.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by F. Ntilikina),,8,10
60,1,4:46.0,,H. Whiteside makes 2-pt hook shot from 10 ft (assist by R. McGruder),8,12
61,1,4:32.0,N. Vonleh misses 2-pt layup from 1 ft,,8,12
62,1,4:30.0,,Defensive rebound by K. Olynyk,8,12
63,1,4:16.0,,H. Whiteside misses 2-pt hook shot from 8 ft,8,12
64,1,4:15.0,Defensive rebound by N. Vonleh,,8,12
65,1,3:55.0,L. Thomas makes 3-pt jump shot from 25 ft (assist by T. Hardaway),,11,12
66,1,3:51.0,,Personal foul by L. Thomas (drawn by K. Olynyk),11,12
67,1,3:51.0,M. Hezonja enters the game for T. Hardaway,,11,12
68,1,3:51.0,A. Trier enters the game for L. Thomas,,11,12
69,1,3:32.0,,D. Wade misses 3-pt jump shot from 23 ft,11,12
70,1,3:29.0,Defensive rebound by F. Ntilikina,,11,12
71,1,3:26.0,F. Ntilikina makes 2-pt dunk from 1 ft,,13,12
72,1,3:09.0,,D. Wade misses 2-pt layup from 1 ft,13,12
73,1,3:05.0,,Offensive rebound by H. Whiteside,13,12
74,1,3:05.0,,H. Whiteside makes 2-pt layup at rim,13,14
75,1,2:54.0,N. Vonleh misses 2-pt jump shot from 16 ft,,13,14
76,1,2:52.0,,Defensive rebound by H. Whiteside,13,14
77,1,2:49.0,,Personal foul by F. Ntilikina (drawn by G. Dragić),13,14
78,1,2:49.0,New York full timeout,,13,14
79,1,2:49.0,,B. Adebayo enters the game for R. McGruder,13,14
80,1,2:49.0,,T. Johnson enters the game for H. Whiteside,13,14
81,1,2:49.0,,G. Dragić makes free throw 1 of 2,13,15
82,1,2:49.0,,G. Dragić makes free throw 2 of 2,13,16
83,1,2:33.0,M. Hezonja makes 3-pt jump shot from 25 ft,,16,16
84,1,2:09.0,,T. Johnson misses 2-pt jump shot from 20 ft,16,16
85,1,2:07.0,Defensive rebound by M. Hezonja,,16,16
86,1,2:01.0,D. Dotson makes 3-pt jump shot from 24 ft (assist by F. Ntilikina),,19,16
87,1,1:49.0,,Turnover by G. Dragić (bad pass; steal by N. Vonleh),19,16
