,QUARTER,TIME_REMAINING,HOUSTON_ACTION,SAN ANTONIO_ACTION,HOUSTON_SCORE,SAN ANTONIO_SCORE
0,1,11:39.0,Personal foul by B. Forbes (drawn by C. Capela),,0,0
1,1,11:34.0,J. Harden makes 2-pt layup from 6 ft (assist by C. Capela),,2,0
2,1,11:14.0,,L. Aldridge misses 2-pt jump shot from 9 ft,2,0
3,1,11:10.0,Defensive rebound by P. Tucker,,2,0
4,1,11:07.0,C. Paul misses 3-pt jump shot from 26 ft,,2,0
5,1,11:04.0,,Defensive rebound by Team,2,0
6,1,11:04.0,Loose ball foul by J. Ennis (drawn by R. Gay),,2,0
7,1,10:52.0,,D. DeRozan misses 2-pt jump shot from 6 ft,2,0
8,1,10:50.0,Defensive rebound by J. Harden,,2,0
9,1,10:46.0,J. Harden makes 2-pt layup from 3 ft,,4,0
10,1,10:46.0,Shooting foul by L. Aldridge (drawn by J. Harden),,4,0
11,1,10:46.0,J. Harden makes free throw 1 of 1,,5,0
12,1,10:24.0,,Turnover by D. Cunningham (lost ball; steal by C. Paul),5,0
13,1,10:19.0,Turnover by J. Harden (bad pass; steal by D. DeRozan),,5,0
14,1,10:12.0,,R. Gay makes 2-pt layup from 5 ft (assist by D. DeRozan),5,2
15,1,10:02.0,C. Capela misses 2-pt jump shot from 7 ft,,5,2
16,1,9:58.0,Offensive rebound by C. Capela,,5,2
17,1,9:56.0,C. Capela misses 2-pt layup from 6 ft (block by L. Aldridge),,5,2
18,1,9:51.0,,Defensive rebound by L. Aldridge,5,2
19,1,9:49.0,,R. Gay makes 3-pt jump shot from 23 ft (assist by D. DeRozan),5,5
20,1,9:31.0,J. Harden misses 2-pt layup from 7 ft,,5,5
21,1,9:31.0,,Defensive rebound by Team,5,5
22,1,9:21.0,,D. DeRozan misses 2-pt jump shot from 18 ft,5,5
23,1,9:17.0,Defensive rebound by C. Paul,,5,5
24,1,9:01.0,C. Paul misses 3-pt jump shot from 23 ft,,5,5
25,1,9:01.0,,Defensive rebound by R. Gay,5,5
26,1,8:52.0,,D. Cunningham misses 3-pt jump shot from 24 ft,5,5
27,1,8:51.0,Defensive rebound by Team,,5,5
28,1,8:43.0,C. Capela makes 2-pt layup from 3 ft (assist by C. Paul),,7,5
29,1,8:19.0,,L. Aldridge makes 2-pt hook shot from 7 ft (assist by D. DeRozan),7,7
30,1,8:04.0,J. Harden misses 3-pt jump shot from 24 ft,,7,7
31,1,8:04.0,,Defensive rebound by R. Gay,7,7
32,1,7:58.0,,D. DeRozan makes 2-pt layup from 8 ft (assist by R. Gay),7,9
33,1,7:58.0,,Shooting foul by J. Ennis (drawn by D. DeRozan),7,9
34,1,7:58.0,,D. DeRozan misses free throw 1 of 1,7,9
35,1,7:55.0,Defensive rebound by J. Harden,,7,9
36,1,7:46.0,C. Capela makes 2-pt hook shot from 3 ft (assist by C. Paul),,9,9
37,1,7:22.0,,Turnover by D. DeRozan (lost ball; steal by P. Tucker),9,9
38,1,7:22.0,Flagrant foul type 1 by D. DeRozan (drawn by P. Tucker),,9,9
39,1,7:22.0,E. Gordon enters the game for J. Ennis,,9,9
40,1,7:22.0,P. Tucker makes flagrant free throw 1 of 2,,10,9
41,1,7:22.0,P. Tucker makes flagrant free throw 2 of 2,,11,9
42,1,7:16.0,P. Tucker makes 2-pt layup from 3 ft (assist by C. Paul),,13,9
43,1,7:02.0,,B. Forbes makes 2-pt jump shot from 23 ft (assist by D. Cunningham),13,11
44,1,6:45.0,E. Gordon makes 3-pt jump shot from 26 ft,,16,11
45,1,6:21.0,,D. DeRozan misses 2-pt layup from 10 ft (block by C. Capela),16,11
46,1,6:21.0,Defensive rebound by P. Tucker,,16,11
47,1,6:15.0,E. Gordon makes 3-pt jump shot from 25 ft (assist by C. Paul),,19,11
48,1,6:13.0,,San Antonio full timeout,19,11
49,1,6:13.0,G. Green enters the game for C. Paul,,19,11
50,1,6:13.0,,D. Bertāns enters the game for D. Cunningham,19,11
51,1,6:13.0,,P. Mills enters the game for B. Forbes,19,11
52,1,5:54.0,,D. DeRozan makes 2-pt jump shot from 15 ft (assist by D. Bertāns),19,13
53,1,5:29.0,J. Harden misses 3-pt jump shot from 23 ft,,19,13
54,1,5:26.0,,Defensive rebound by P. Mills,19,13
55,1,5:12.0,,P. Mills misses 3-pt jump shot from 27 ft,19,13
56,1,5:09.0,Defensive rebound by P. Tucker,,19,13
57,1,4:55.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by J. Harden),,22,13
58,1,4:43.0,,D. DeRozan makes 2-pt jump shot from 12 ft,22,15
59,1,4:24.0,C. Capela makes 2-pt layup from 5 ft (assist by E. Gordon),,24,15
60,1,4:10.0,,Turnover by D. DeRozan (bad pass; steal by G. Green),24,15
61,1,4:06.0,G. Green makes 3-pt jump shot from 25 ft,,27,15
62,1,3:53.0,,Turnover by D. Bertāns (bad pass),27,15
63,1,3:53.0,G. Clark enters the game for P. Tucker,,27,15
64,1,3:53.0,,M. Belinelli enters the game for L. Aldridge,27,15
65,1,3:53.0,,J. Poeltl enters the game for R. Gay,27,15
66,1,3:39.0,C. Capela makes 2-pt dunk from 3 ft (assist by J. Harden),,29,15
67,1,3:22.0,,Turnover by J. Poeltl (bad pass; steal by G. Green),29,15
68,1,3:18.0,E. Gordon misses 3-pt jump shot from 28 ft,,29,15
69,1,3:14.0,Offensive rebound by C. Capela,,29,15
70,1,3:12.0,G. Green misses 3-pt jump shot from 25 ft,,29,15
71,1,3:10.0,Offensive rebound by C. Capela,,29,15
72,1,3:00.0,J. Harden misses 3-pt jump shot from 26 ft,,29,15
73,1,2:56.0,,Defensive rebound by P. Mills,29,15
74,1,2:46.0,,Turnover by M. Belinelli (lost ball; steal by G. Clark),29,15
75,1,2:41.0,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),,31,15
76,1,2:25.0,,M. Belinelli misses 2-pt jump shot from 22 ft,31,15
77,1,2:25.0,Defensive rebound by J. Harden,,31,15
78,1,2:13.0,Shooting foul by J. Poeltl (drawn by E. Gordon),,31,15
79,1,2:13.0,Houston full timeout,,31,15
80,1,2:13.0,I. Hartenstein enters the game for C. Capela,,31,15
81,1,2:13.0,C. Paul enters the game for G. Clark,,31,15
82,1,2:13.0,P. Tucker enters the game for J. Harden,,31,15
