,QUARTER,TIME_REMAINING,NEW YORK_ACTION,CHARLOTTE_ACTION,NEW YORK_SCORE,CHARLOTTE_SCORE
0,1,11:37.0,T. Hardaway misses 3-pt jump shot from 25 ft,,0,0
1,1,11:34.0,,Defensive rebound by J. Lamb,0,0
2,1,11:26.0,,J. Lamb misses 3-pt jump shot from 26 ft,0,0
3,1,11:26.0,Defensive rebound by Team,,0,0
4,1,11:10.0,N. Vonleh misses 3-pt jump shot from 26 ft,,0,0
5,1,11:06.0,,Defensive rebound by J. Lamb,0,0
6,1,10:59.0,,Personal foul by E. Freedom (drawn by C. Zeller),0,0
7,1,10:48.0,,Turnover by C. Zeller (lost ball; steal by E. Mudiay),0,0
8,1,10:41.0,N. Vonleh makes 2-pt dunk from 1 ft (assist by E. Mudiay),,2,0
9,1,10:22.0,,K. Walker makes 3-pt jump shot from 26 ft (assist by C. Zeller),2,3
10,1,10:05.0,Turnover by E. Freedom (lost ball; steal by C. Zeller),,2,3
11,1,9:57.0,,Turnover by K. Walker (lost ball; steal by T. Hardaway),2,3
12,1,9:51.0,T. Hardaway makes 2-pt layup from 1 ft,,4,3
13,1,9:39.0,,Turnover by C. Zeller (traveling),4,3
14,1,9:27.0,E. Mudiay makes 2-pt jump shot from 12 ft,,6,3
15,1,9:15.0,,N. Batum makes 2-pt layup from 2 ft,6,5
16,1,9:02.0,T. Hardaway misses 2-pt jump shot from 18 ft,,6,5
17,1,9:02.0,,Defensive rebound by C. Zeller,6,5
18,1,8:41.0,,K. Walker makes 2-pt layup from 3 ft,6,7
19,1,8:27.0,E. Mudiay misses 2-pt jump shot from 17 ft,,6,7
20,1,8:23.0,,Defensive rebound by M. Williams,6,7
21,1,8:15.0,,N. Batum misses 2-pt layup from 2 ft,6,7
22,1,8:13.0,Defensive rebound by E. Freedom,,6,7
23,1,8:10.0,T. Hardaway misses 2-pt jump shot from 16 ft,,6,7
24,1,8:05.0,,Defensive rebound by C. Zeller,6,7
25,1,8:00.0,,K. Walker makes 3-pt jump shot from 26 ft,6,10
26,1,7:45.0,N. Vonleh misses 3-pt jump shot from 25 ft,,6,10
27,1,7:42.0,,Defensive rebound by C. Zeller,6,10
28,1,7:34.0,,K. Walker misses 2-pt layup from 2 ft,6,10
29,1,7:31.0,Defensive rebound by E. Freedom,,6,10
30,1,7:28.0,K. Knox makes 2-pt layup from 1 ft (assist by E. Mudiay),,8,10
31,1,7:09.0,,J. Lamb misses 3-pt jump shot from 26 ft,8,10
32,1,7:08.0,,Offensive rebound by C. Zeller,8,10
33,1,6:55.0,,M. Williams makes 2-pt layup from 2 ft,8,12
34,1,6:41.0,E. Mudiay misses 3-pt jump shot from 26 ft,,8,12
35,1,6:37.0,,Defensive rebound by N. Batum,8,12
36,1,6:31.0,,K. Walker makes 3-pt jump shot from 26 ft (assist by N. Batum),8,15
37,1,6:24.0,New York full timeout,,8,15
38,1,6:24.0,,M. Kidd-Gilchrist enters the game for M. Williams,8,15
39,1,6:16.0,K. Knox misses 2-pt hook shot from 13 ft,,8,15
40,1,6:14.0,,Defensive rebound by C. Zeller,8,15
41,1,6:01.0,,C. Zeller makes 3-pt jump shot from 26 ft (assist by J. Lamb),8,18
42,1,5:43.0,N. Vonleh misses 2-pt jump shot from 15 ft,,8,18
43,1,5:39.0,,Defensive rebound by M. Kidd-Gilchrist,8,18
44,1,5:35.0,,Personal foul by K. Knox (drawn by J. Lamb),8,18
45,1,5:35.0,C. Lee enters the game for E. Mudiay,,8,18
46,1,5:35.0,F. Ntilikina enters the game for N. Vonleh,,8,18
47,1,5:27.0,,J. Lamb misses 2-pt layup from 5 ft (block by C. Lee),8,18
48,1,5:24.0,Defensive rebound by C. Lee,,8,18
49,1,5:22.0,C. Lee misses 2-pt jump shot from 16 ft,,8,18
50,1,5:19.0,,Defensive rebound by K. Walker,8,18
51,1,5:13.0,,C. Zeller makes 2-pt dunk from 1 ft (assist by K. Walker),8,20
52,1,5:08.0,T. Hardaway misses 3-pt jump shot from 28 ft,,8,20
53,1,5:03.0,,Defensive rebound by J. Lamb,8,20
54,1,4:51.0,,N. Batum makes 3-pt jump shot from 23 ft (assist by K. Walker),8,23
55,1,4:50.0,New York full timeout,,8,23
56,1,4:50.0,M. Robinson enters the game for E. Freedom,,8,23
57,1,4:50.0,,F. Kaminsky enters the game for C. Zeller,8,23
58,1,4:30.0,K. Knox makes 3-pt jump shot from 25 ft (assist by C. Lee),,11,23
59,1,4:07.0,,N. Batum makes 2-pt dunk from 1 ft (assist by M. Kidd-Gilchrist),11,25
60,1,3:50.0,F. Ntilikina misses 2-pt jump shot from 8 ft (block by F. Kaminsky),,11,25
61,1,3:48.0,Offensive rebound by F. Ntilikina,,11,25
62,1,3:46.0,C. Lee misses 3-pt jump shot from 26 ft,,11,25
63,1,3:44.0,,Defensive rebound by N. Batum,11,25
64,1,3:40.0,,Personal foul by M. Robinson (drawn by M. Kidd-Gilchrist),11,25
65,1,3:40.0,,M. Bridges enters the game for N. Batum,11,25
66,1,3:28.0,,F. Kaminsky misses 2-pt jump shot from 23 ft,11,25
67,1,3:25.0,Defensive rebound by F. Ntilikina,,11,25
68,1,3:14.0,Personal foul by M. Kidd-Gilchrist (drawn by M. Robinson),,11,25
69,1,3:14.0,,T. Parker enters the game for K. Walker,11,25
70,1,2:59.0,M. Robinson misses 2-pt layup from 2 ft (block by F. Kaminsky),,11,25
71,1,2:54.0,,Defensive rebound by J. Lamb,11,25
72,1,2:49.0,,Personal foul by T. Hardaway (drawn by J. Lamb),11,25
73,1,2:49.0,M. Hezonja enters the game for T. Hardaway,,11,25
74,1,2:39.0,,M. Bridges makes 3-pt jump shot from 23 ft (assist by J. Lamb),11,28
75,1,2:21.0,K. Knox makes 2-pt layup from 6 ft (assist by M. Robinson),,13,28
76,1,2:08.0,,T. Parker misses 2-pt layup from 2 ft (block by M. Robinson),13,28
77,1,2:05.0,Defensive rebound by C. Lee,,13,28
78,1,2:02.0,F. Ntilikina misses 3-pt jump shot from 28 ft,,13,28
79,1,1:59.0,,Defensive rebound by J. Lamb,13,28
80,1,1:51.0,,J. Lamb makes 2-pt layup from 2 ft,13,30
81,1,1:35.0,M. Hezonja misses 2-pt layup from 1 ft,,13,30
82,1,1:31.0,,Defensive rebound by M. Kidd-Gilchrist,13,30
83,1,1:28.0,,Turnover by M. Kidd-Gilchrist (bad pass),13,30
84,1,1:13.0,M. Hezonja misses 2-pt jump shot from 17 ft,,13,30
85,1,1:09.0,,Defensive rebound by T. Parker,13,30
86,1,1:04.0,,T. Parker misses 2-pt layup from 3 ft (block by F. Ntilikina),13,30
87,1,1:01.0,Defensive rebound by F. Ntilikina,,13,30
88,1,0:59.0,K. Knox misses 2-pt layup from 2 ft (block by J. Lamb),,13,30
89,1,0:59.0,Offensive rebound by Team,,13,30
90,1,0:55.0,Turnover by F. Ntilikina (lost ball; steal by T. Parker),,13,30
91,1,0:36.0,,J. Lamb misses 3-pt jump shot from 24 ft,13,30
92,1,0:34.0,Defensive rebound by M. Hezonja,,13,30
93,1,0:27.0,M. Hezonja misses 2-pt layup from 3 ft,,13,30
94,1,0:24.0,,Defensive rebound by M. Bridges,13,30
95,1,0:07.0,,J. Lamb makes 3-pt jump shot from 26 ft (assist by T. Parker),13,33
96,1,0:02.0,K. Knox makes 3-pt jump shot from 27 ft (assist by M. Hezonja),,16,33
97,1,0:00.0,,M. Kidd-Gilchrist misses 3-pt jump shot from 60 ft,16,33
98,1,0:00.0,,Offensive rebound by Team,16,33
99,2,11:50.0,,Turnover by T. Parker (step out of bounds),16,33
100,2,11:38.0,M. Robinson makes 2-pt dunk from 1 ft (assist by C. Lee),,18,33
101,2,11:16.0,,F. Kaminsky makes 2-pt dunk from 1 ft (assist by M. Monk),18,35
102,2,10:49.0,C. Lee misses 2-pt hook shot from 10 ft,,18,35
103,2,10:46.0,,Defensive rebound by M. Bridges,18,35
104,2,10:41.0,,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by M. Monk),18,38
105,2,10:26.0,Def 3 sec tech foul by Team,,18,38
106,2,10:26.0,M. Hezonja misses technical free throw,,18,38
107,2,10:26.0,Offensive rebound by Team,,18,38
108,2,10:23.0,Shooting foul by M. Kidd-Gilchrist (drawn by L. Kornet),,18,38
109,2,10:23.0,L. Kornet makes free throw 1 of 2,,19,38
110,2,10:23.0,L. Kornet makes free throw 2 of 2,,20,38
111,2,10:12.0,,M. Bridges makes 3-pt jump shot from 23 ft (assist by T. Parker),20,41
112,2,10:00.0,F. Ntilikina makes 2-pt jump shot from 17 ft,,22,41
113,2,9:49.0,,Turnover by T. Parker (bad pass; steal by L. Kornet),22,41
114,2,9:45.0,Turnover by L. Kornet (bad pass; steal by M. Bridges),,22,41
115,2,9:38.0,,M. Kidd-Gilchrist misses 2-pt layup from 3 ft,22,41
116,2,9:34.0,Defensive rebound by C. Lee,,22,41
117,2,9:31.0,Personal foul by T. Parker (drawn by M. Hezonja),,22,41
118,2,9:31.0,K. Knox enters the game for M. Hezonja,,22,41
119,2,9:31.0,,M. Williams enters the game for M. Kidd-Gilchrist,22,41
120,2,9:24.0,K. Knox makes 3-pt jump shot from 25 ft (assist by F. Ntilikina),,25,41
121,2,9:07.0,,M. Williams misses 3-pt jump shot from 25 ft,25,41
122,2,9:04.0,Defensive rebound by M. Robinson,,25,41
123,2,9:04.0,Turnover by M. Robinson (out of bounds lost ball),,25,41
124,2,9:04.0,New York full timeout,,25,41
125,2,9:04.0,N. Vonleh enters the game for M. Robinson,,25,41
126,2,9:04.0,,N. Batum enters the game for M. Bridges,25,41
127,2,8:56.0,,Shooting foul by N. Vonleh (drawn by F. Kaminsky),25,41
128,2,8:56.0,,F. Kaminsky makes free throw 1 of 3,25,42
129,2,8:56.0,,F. Kaminsky makes free throw 2 of 3,25,43
130,2,8:56.0,,F. Kaminsky misses free throw 3 of 3,25,43
131,2,8:53.0,Defensive rebound by K. Knox,,25,43
132,2,8:36.0,C. Lee makes 3-pt jump shot from 23 ft (assist by N. Vonleh),,28,43
133,2,8:24.0,,F. Kaminsky misses 3-pt jump shot from 26 ft,28,43
134,2,8:19.0,Defensive rebound by N. Vonleh,,28,43
135,2,8:07.0,F. Ntilikina misses 2-pt jump shot from 14 ft,,28,43
136,2,8:05.0,,Defensive rebound by M. Monk,28,43
137,2,7:59.0,,F. Kaminsky makes 2-pt layup from 2 ft (assist by M. Monk),28,45
138,2,7:46.0,N. Vonleh misses 3-pt jump shot from 25 ft,,28,45
139,2,7:44.0,,Defensive rebound by N. Batum,28,45
140,2,7:39.0,,Turnover by M. Monk (lost ball; steal by F. Ntilikina),28,45
141,2,7:37.0,Shooting foul by T. Parker (drawn by F. Ntilikina),,28,45
142,2,7:37.0,F. Ntilikina makes free throw 1 of 2,,29,45
143,2,7:37.0,T. Hardaway enters the game for L. Kornet,,29,45
144,2,7:37.0,E. Freedom enters the game for C. Lee,,29,45
145,2,7:37.0,,C. Zeller enters the game for F. Kaminsky,29,45
146,2,7:37.0,F. Ntilikina misses free throw 2 of 2,,29,45
147,2,7:31.0,,Defensive rebound by T. Parker,29,45
148,2,7:25.0,,M. Monk makes 3-pt jump shot from 26 ft,29,48
149,2,7:09.0,Turnover by F. Ntilikina (bad pass; steal by T. Parker),,29,48
150,2,7:07.0,,M. Monk makes 2-pt dunk from 1 ft (assist by T. Parker),29,50
151,2,7:07.0,,Shooting foul by T. Hardaway (drawn by M. Monk),29,50
152,2,7:07.0,,Technical foul by M. Monk,29,50
153,2,7:07.0,T. Hardaway makes technical free throw,,30,50
154,2,7:07.0,,M. Monk makes free throw 1 of 1,30,51
155,2,7:07.0,E. Mudiay enters the game for F. Ntilikina,,30,51
156,2,7:07.0,,K. Walker enters the game for T. Parker,30,51
157,2,6:50.0,E. Freedom makes 2-pt layup from 2 ft,,32,51
158,2,6:37.0,,M. Monk misses 3-pt jump shot from 26 ft,32,51
159,2,6:33.0,Defensive rebound by N. Vonleh,,32,51
160,2,6:28.0,Personal foul by M. Williams (drawn by N. Vonleh),,32,51
161,2,6:15.0,E. Freedom makes 2-pt layup from 1 ft (assist by E. Mudiay),,34,51
162,2,5:57.0,,N. Batum makes 3-pt jump shot from 24 ft (assist by C. Zeller),34,54
163,2,5:34.0,Turnover by N. Vonleh (bad pass; steal by M. Williams),,34,54
164,2,5:30.0,,K. Walker misses 3-pt jump shot from 23 ft,34,54
165,2,5:25.0,Defensive rebound by E. Mudiay,,34,54
166,2,5:23.0,Personal foul by M. Monk (drawn by E. Mudiay),,34,54
167,2,5:23.0,E. Mudiay makes free throw 1 of 2,,35,54
168,2,5:23.0,E. Mudiay misses free throw 2 of 2,,35,54
169,2,5:18.0,,Defensive rebound by M. Monk,35,54
170,2,5:13.0,,C. Zeller makes 2-pt dunk from 1 ft (assist by M. Monk),35,56
171,2,4:57.0,E. Freedom misses 2-pt hook shot from 8 ft,,35,56
172,2,4:55.0,,Defensive rebound by M. Williams,35,56
173,2,4:40.0,,M. Williams misses 2-pt layup from 2 ft (block by N. Vonleh),35,56
174,2,4:37.0,Defensive rebound by K. Knox,,35,56
175,2,4:33.0,K. Knox makes 2-pt layup from 2 ft,,37,56
176,2,4:17.0,,Personal foul by T. Hardaway (drawn by M. Monk),37,56
177,2,4:17.0,F. Ntilikina enters the game for T. Hardaway,,37,56
178,2,4:17.0,,J. Lamb enters the game for M. Monk,37,56
179,2,4:05.0,,M. Williams makes 2-pt layup from 2 ft (assist by C. Zeller),37,58
180,2,3:54.0,Shooting foul by C. Zeller (drawn by E. Freedom),,37,58
181,2,3:54.0,E. Freedom makes free throw 1 of 2,,38,58
182,2,3:54.0,E. Freedom makes free throw 2 of 2,,39,58
183,2,3:39.0,,K. Walker makes 2-pt layup from 1 ft,39,60
184,2,3:25.0,E. Freedom misses 2-pt layup from 1 ft,,39,60
185,2,3:22.0,Offensive rebound by E. Freedom,,39,60
186,2,3:21.0,E. Freedom misses 2-pt layup from 1 ft (block by M. Williams),,39,60
187,2,3:20.0,Offensive rebound by E. Mudiay,,39,60
188,2,3:14.0,K. Knox misses 3-pt jump shot from 27 ft,,39,60
189,2,3:11.0,Offensive rebound by E. Freedom,,39,60
190,2,3:11.0,E. Freedom makes 2-pt layup from 1 ft,,41,60
191,2,3:11.0,,Violation by Team (def goaltending),41,60
192,2,2:47.0,,Turnover by K. Walker (bad pass; steal by F. Ntilikina),41,60
193,2,2:41.0,N. Vonleh makes 3-pt jump shot from 24 ft (assist by K. Knox),,44,60
194,2,2:39.0,,Charlotte full timeout,44,60
195,2,2:22.0,,J. Lamb makes 2-pt layup from 2 ft (assist by N. Batum),44,62
196,2,2:07.0,K. Knox makes 2-pt jump shot from 17 ft (assist by E. Mudiay),,46,62
197,2,1:55.0,,Personal foul by E. Mudiay (drawn by K. Walker),46,62
198,2,1:48.0,,C. Zeller makes 2-pt layup from 1 ft (assist by K. Walker),46,64
199,2,1:35.0,Personal foul by C. Zeller (drawn by E. Mudiay),,46,64
200,2,1:35.0,E. Mudiay makes free throw 1 of 2,,47,64
201,2,1:35.0,C. Lee enters the game for F. Ntilikina,,47,64
202,2,1:35.0,E. Mudiay makes free throw 2 of 2,,48,64
203,2,1:29.0,,Personal foul by K. Knox (drawn by M. Williams),48,64
204,2,1:29.0,,M. Williams makes free throw 1 of 2,48,65
205,2,1:29.0,,M. Williams makes free throw 2 of 2,48,66
206,2,1:19.0,E. Freedom misses 3-pt jump shot from 25 ft,,48,66
207,2,1:15.0,,Defensive rebound by C. Zeller,48,66
208,2,1:13.0,,Turnover by C. Zeller (lost ball; steal by E. Mudiay),48,66
209,2,1:10.0,E. Freedom makes 2-pt layup from 1 ft (assist by E. Mudiay),,50,66
210,2,1:10.0,Shooting foul by J. Lamb (drawn by E. Freedom),,50,66
211,2,1:10.0,E. Freedom makes free throw 1 of 1,,51,66
212,2,0:59.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by J. Lamb),51,69
213,2,0:47.0,Turnover by E. Mudiay (lost ball; steal by C. Zeller),,51,69
