,QUARTER,TIME_REMAINING,DETROIT_ACTION,PHILADELPHIA_ACTION,DETROIT_SCORE,PHILADELPHIA_SCORE
0,1,11:44.0,,D. Šarić misses 3-pt jump shot from 26 ft,0,0
1,1,11:42.0,Defensive rebound by A. Drummond,,0,0
2,1,11:35.0,A. Drummond misses 3-pt jump shot from 28 ft,,0,0
3,1,11:30.0,,Defensive rebound by J. Embiid,0,0
4,1,11:12.0,,J. Embiid makes 2-pt dunk from 1 ft,0,2
5,1,11:05.0,Personal foul by R. Covington (drawn by B. Griffin),,0,2
6,1,11:05.0,,Technical foul by J. Embiid,0,2
7,1,11:05.0,R. Jackson makes technical free throw,,1,2
8,1,10:53.0,R. Jackson misses 2-pt jump shot from 8 ft,,1,2
9,1,10:50.0,,Defensive rebound by J. Embiid,1,2
10,1,10:48.0,,Personal foul by R. Jackson (drawn by M. Fultz),1,2
11,1,10:36.0,,J. Embiid makes 2-pt layup from 3 ft,1,4
12,1,10:36.0,,Shooting foul by A. Drummond (drawn by J. Embiid),1,4
13,1,10:36.0,,J. Embiid makes free throw 1 of 1,1,5
14,1,10:36.0,,Violation by Team (delay of game),1,5
15,1,10:17.0,S. Johnson misses 2-pt jump shot from 11 ft,,1,5
16,1,10:14.0,,Defensive rebound by J. Embiid,1,5
17,1,10:08.0,,M. Fultz misses 2-pt jump shot from 7 ft,1,5
18,1,10:07.0,Defensive rebound by B. Griffin,,1,5
19,1,9:58.0,B. Griffin misses 3-pt jump shot from 26 ft,,1,5
20,1,9:55.0,,Defensive rebound by D. Šarić,1,5
21,1,9:52.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by B. Simmons),1,7
22,1,9:46.0,Detroit full timeout,,1,7
23,1,9:35.0,B. Griffin makes 2-pt layup from 1 ft,,3,7
24,1,9:20.0,,Personal foul by A. Drummond (drawn by J. Embiid),3,7
25,1,9:20.0,Z. Pachulia enters the game for A. Drummond,,3,7
26,1,9:08.0,,J. Embiid misses 2-pt jump shot from 14 ft,3,7
27,1,9:05.0,Defensive rebound by B. Griffin,,3,7
28,1,9:04.0,Turnover by B. Griffin (lost ball; steal by B. Simmons),,3,7
