,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,WASHINGTON_ACTION,GOLDEN STATE_SCORE,WASHINGTON_SCORE
0,1,11:46.0,K. Durant makes 2-pt layup from 1 ft (assist by D. Green),,2,0
1,1,11:33.0,,T. Satoranský misses 2-pt jump shot from 4 ft,2,0
2,1,11:31.0,Defensive rebound by D. Cousins,,2,0
3,1,11:23.0,D. Cousins makes 2-pt layup from 3 ft (assist by K. Durant),,4,0
4,1,11:10.0,,B. Beal misses 3-pt jump shot from 26 ft,4,0
5,1,11:07.0,,Offensive rebound by T. Satoranský,4,0
6,1,11:01.0,,T. Satoranský makes 3-pt jump shot from 23 ft (assist by J. Green),4,3
7,1,10:45.0,S. Curry misses 3-pt jump shot from 27 ft,,4,3
8,1,10:45.0,,Defensive rebound by T. Bryant,4,3
9,1,10:35.0,,T. Ariza makes 3-pt jump shot from 23 ft,4,6
10,1,10:20.0,K. Thompson makes 2-pt dunk from 3 ft (assist by D. Cousins),,6,6
11,1,10:04.0,,J. Green misses 3-pt jump shot from 24 ft,6,6
12,1,10:01.0,Defensive rebound by D. Green,,6,6
13,1,9:54.0,D. Cousins makes 2-pt layup from 3 ft (assist by D. Green),,8,6
14,1,9:36.0,,J. Green misses 3-pt jump shot from 22 ft,8,6
15,1,9:34.0,,Offensive rebound by T. Bryant,8,6
16,1,9:31.0,,T. Ariza misses 3-pt jump shot from 26 ft,8,6
17,1,9:27.0,,Offensive rebound by T. Bryant,8,6
18,1,9:25.0,,B. Beal misses 3-pt jump shot from 25 ft,8,6
19,1,9:20.0,Defensive rebound by S. Curry,,8,6
20,1,9:16.0,S. Curry makes 2-pt layup from 6 ft,,10,6
21,1,9:01.0,,T. Ariza makes 2-pt layup from 2 ft (assist by T. Bryant),10,8
22,1,8:48.0,Personal foul by J. Green (drawn by K. Thompson),,10,8
23,1,8:40.0,K. Durant misses 3-pt jump shot from 26 ft,,10,8
24,1,8:36.0,,Defensive rebound by Team,10,8
25,1,8:31.0,,T. Bryant makes 3-pt jump shot from 27 ft (assist by T. Satoranský),10,11
26,1,8:17.0,Turnover by D. Green (out of bounds lost ball),,10,11
27,1,8:12.0,,Personal foul by K. Thompson (drawn by B. Beal),10,11
28,1,8:04.0,,Turnover by T. Bryant (bad pass),10,11
29,1,7:48.0,K. Durant misses 2-pt layup from 1 ft,,10,11
30,1,7:48.0,Offensive rebound by D. Green,,10,11
31,1,7:41.0,K. Thompson misses 3-pt jump shot from 26 ft,,10,11
32,1,7:40.0,,Defensive rebound by Team,10,11
33,1,7:25.0,,T. Ariza misses 3-pt jump shot from 23 ft,10,11
34,1,7:23.0,Defensive rebound by D. Green,,10,11
35,1,7:20.0,K. Durant makes 2-pt jump shot from 20 ft,,12,11
36,1,6:57.0,,B. Beal misses 2-pt jump shot from 10 ft (block by K. Durant),12,11
37,1,6:53.0,Defensive rebound by D. Green,,12,11
38,1,6:51.0,K. Durant makes 2-pt dunk from 4 ft (assist by D. Green),,14,11
39,1,6:51.0,,Washington full timeout,14,11
40,1,6:34.0,,J. Green makes 3-pt jump shot from 26 ft (assist by B. Beal),14,14
41,1,6:18.0,K. Thompson makes 3-pt jump shot from 27 ft (assist by D. Green),,17,14
42,1,6:01.0,,B. Beal makes 2-pt layup from 2 ft (assist by T. Bryant),17,16
43,1,5:51.0,K. Thompson misses 3-pt jump shot from 23 ft,,17,16
44,1,5:49.0,,Defensive rebound by T. Ariza,17,16
45,1,5:40.0,,T. Satoranský makes 3-pt jump shot from 24 ft (assist by T. Bryant),17,19
46,1,5:23.0,K. Durant misses 2-pt jump shot from 21 ft,,17,19
47,1,5:20.0,,Defensive rebound by T. Bryant,17,19
48,1,5:17.0,,T. Ariza makes 2-pt dunk from 1 ft (assist by T. Satoranský),17,21
49,1,5:17.0,Golden State full timeout,,17,21
50,1,5:17.0,A. Iguodala enters the game for D. Cousins,,17,21
51,1,5:17.0,K. Looney enters the game for D. Green,,17,21
52,1,5:17.0,,O. Porter enters the game for T. Bryant,17,21
53,1,5:06.0,Turnover by K. Durant (lost ball; steal by T. Satoranský),,17,21
54,1,4:59.0,,Shooting foul by K. Durant (drawn by J. Green),17,21
55,1,4:59.0,,J. Green misses free throw 1 of 2,17,21
56,1,4:59.0,,Offensive rebound by Team,17,21
57,1,4:59.0,,J. Green makes free throw 2 of 2,17,22
58,1,4:48.0,K. Looney makes 2-pt dunk from 2 ft (assist by K. Thompson),,19,22
59,1,4:33.0,,B. Beal misses 2-pt layup from 2 ft,19,22
60,1,4:30.0,Defensive rebound by K. Looney,,19,22
61,1,4:24.0,S. Curry misses 2-pt layup from 7 ft,,19,22
62,1,4:20.0,Offensive rebound by K. Looney,,19,22
63,1,4:20.0,K. Looney misses 2-pt layup from 1 ft,,19,22
64,1,4:19.0,,Defensive rebound by B. Beal,19,22
65,1,4:12.0,,T. Ariza misses 2-pt dunk from 1 ft (block by K. Durant),19,22
66,1,4:10.0,Defensive rebound by K. Looney,,19,22
67,1,4:04.0,A. Iguodala makes 2-pt dunk from 1 ft (assist by K. Thompson),,21,22
68,1,3:45.0,,T. Satoranský misses 2-pt jump shot from 3 ft,21,22
69,1,3:44.0,,Offensive rebound by O. Porter,21,22
70,1,3:44.0,,O. Porter misses 2-pt layup from 2 ft (block by K. Durant),21,22
71,1,3:43.0,Defensive rebound by K. Thompson,,21,22
72,1,3:27.0,Shooting foul by J. Green (drawn by A. Iguodala),,21,22
73,1,3:27.0,A. Iguodala makes free throw 1 of 2,,22,22
74,1,3:27.0,A. McKinnie enters the game for K. Thompson,,22,22
75,1,3:27.0,,S. Dekker enters the game for J. Green,22,22
76,1,3:27.0,,C. Randle enters the game for T. Satoranský,22,22
77,1,3:27.0,A. Iguodala makes free throw 2 of 2,,23,22
78,1,3:11.0,,Turnover by O. Porter (lost ball; steal by K. Durant),23,22
79,1,3:06.0,A. McKinnie makes 2-pt layup from 3 ft (assist by A. Iguodala),,25,22
80,1,2:48.0,,Shooting foul by A. McKinnie (drawn by B. Beal),25,22
81,1,2:48.0,,B. Beal makes free throw 1 of 2,25,23
82,1,2:48.0,,B. Beal makes free throw 2 of 2,25,24
83,1,2:37.0,S. Curry makes 2-pt jump shot from 10 ft,,27,24
84,1,2:37.0,Shooting foul by C. Randle (drawn by S. Curry),,27,24
85,1,2:37.0,S. Curry makes free throw 1 of 1,,28,24
86,1,2:21.0,,O. Porter misses 2-pt jump shot from 14 ft,28,24
87,1,2:18.0,Defensive rebound by A. McKinnie,,28,24
88,1,2:11.0,Shooting foul by B. Beal (drawn by A. Iguodala),,28,24
89,1,2:11.0,A. Iguodala makes free throw 1 of 2,,29,24
90,1,2:11.0,,T. Brown enters the game for T. Ariza,29,24
91,1,2:11.0,A. Iguodala misses free throw 2 of 2,,29,24
92,1,2:08.0,Offensive rebound by K. Looney,,29,24
93,1,2:02.0,S. Curry misses 3-pt jump shot from 36 ft,,29,24
94,1,1:59.0,Offensive rebound by A. McKinnie,,29,24
95,1,1:48.0,A. McKinnie makes 2-pt layup from 2 ft (assist by A. Iguodala),,31,24
96,1,1:35.0,,B. Beal makes 2-pt layup from 2 ft (assist by O. Porter),31,26
97,1,1:22.0,S. Curry makes 2-pt layup from 4 ft,,33,26
98,1,0:59.0,,O. Porter misses 3-pt jump shot from 28 ft,33,26
99,1,0:56.0,Defensive rebound by A. McKinnie,,33,26
100,1,0:49.0,Shooting foul by T. Brown (drawn by S. Curry),,33,26
101,1,0:49.0,S. Curry makes free throw 1 of 2,,34,26
102,1,0:49.0,S. Curry makes free throw 2 of 2,,35,26
103,1,0:34.0,,C. Randle misses 2-pt jump shot from 13 ft,35,26
104,1,0:33.0,,Offensive rebound by Team,35,26
105,1,0:33.0,D. Green enters the game for S. Curry,,35,26
106,1,0:29.0,,B. Beal makes 2-pt jump shot from 19 ft,35,28
107,1,0:15.0,K. Durant makes 2-pt jump shot from 16 ft,,37,28
108,1,0:07.0,,Personal foul by A. Iguodala (drawn by O. Porter),37,28
109,2,11:39.0,,O. Porter misses 3-pt jump shot from 26 ft,37,28
110,2,11:35.0,Defensive rebound by D. Green,,37,28
111,2,11:27.0,Personal foul by C. Randle (drawn by D. Cousins),,37,28
112,2,11:22.0,D. Green makes 2-pt layup from 3 ft (assist by K. Thompson),,39,28
113,2,11:08.0,,S. Dekker misses 2-pt hook shot from 6 ft,39,28
114,2,11:06.0,Defensive rebound by D. Cousins,,39,28
115,2,10:51.0,Turnover by D. Cousins (bad pass),,39,28
116,2,10:31.0,,O. Porter misses 2-pt jump shot from 13 ft,39,28
117,2,10:31.0,,Offensive rebound by Team,39,28
118,2,10:29.0,,T. Bryant makes 2-pt jump shot from 20 ft (assist by T. Brown),39,30
119,2,10:20.0,D. Cousins misses 2-pt hook shot from 2 ft,,39,30
120,2,10:17.0,,Defensive rebound by Team,39,30
121,2,10:17.0,Loose ball foul by D. Cousins (drawn by T. Bryant),,39,30
122,2,10:17.0,Technical foul by D. Cousins,,39,30
123,2,10:17.0,,O. Porter makes technical free throw,39,31
124,2,10:00.0,,S. Dekker misses 2-pt layup from 4 ft,39,31
125,2,9:56.0,Defensive rebound by S. Livingston,,39,31
126,2,9:55.0,A. Iguodala makes 2-pt layup from 2 ft (assist by S. Livingston),,41,31
127,2,9:45.0,,T. Brown makes 2-pt jump shot from 6 ft,41,33
128,2,9:34.0,K. Thompson misses 2-pt jump shot from 16 ft,,41,33
129,2,9:31.0,,Defensive rebound by O. Porter,41,33
130,2,9:25.0,,O. Porter misses 2-pt jump shot from 18 ft,41,33
131,2,9:22.0,Defensive rebound by S. Livingston,,41,33
132,2,9:16.0,D. Cousins makes 3-pt jump shot from 28 ft (assist by S. Livingston),,44,33
133,2,9:14.0,,Washington full timeout,44,33
134,2,9:14.0,A. McKinnie enters the game for A. Iguodala,,44,33
135,2,9:14.0,,T. Satoranský enters the game for C. Randle,44,33
136,2,9:02.0,,S. Dekker misses 3-pt jump shot from 26 ft,44,33
137,2,8:58.0,Defensive rebound by D. Cousins,,44,33
138,2,8:42.0,D. Cousins misses 2-pt layup from 3 ft,,44,33
139,2,8:40.0,,Defensive rebound by S. Dekker,44,33
140,2,8:30.0,,O. Porter makes 2-pt layup from 1 ft (assist by T. Satoranský),44,35
141,2,8:08.0,S. Livingston makes 2-pt jump shot from 14 ft (assist by K. Thompson),,46,35
142,2,7:47.0,,T. Bryant misses 2-pt dunk from 4 ft (block by D. Cousins),46,35
143,2,7:44.0,Defensive rebound by D. Green,,46,35
144,2,7:44.0,Personal foul by T. Brown (drawn by K. Thompson),,46,35
145,2,7:44.0,K. Looney enters the game for D. Green,,46,35
146,2,7:44.0,,T. Ariza enters the game for T. Brown,46,35
147,2,7:44.0,,B. Beal enters the game for S. Dekker,46,35
148,2,7:34.0,D. Cousins makes 2-pt layup from 6 ft (assist by S. Livingston),,48,35
149,2,7:25.0,,Shooting foul by K. Thompson (drawn by B. Beal),48,35
150,2,7:25.0,,B. Beal makes free throw 1 of 2,48,36
151,2,7:25.0,,B. Beal misses free throw 2 of 2,48,36
152,2,7:22.0,Defensive rebound by K. Looney,,48,36
153,2,7:03.0,K. Thompson misses 2-pt layup from 3 ft,,48,36
154,2,7:00.0,,Defensive rebound by O. Porter,48,36
155,2,6:58.0,,T. Satoranský makes 2-pt layup from 2 ft (assist by O. Porter),48,38
156,2,6:38.0,D. Cousins misses 2-pt jump shot from 8 ft,,48,38
157,2,6:38.0,,Defensive rebound by T. Bryant,48,38
158,2,6:38.0,,Personal foul by S. Livingston (drawn by B. Beal),48,38
159,2,6:38.0,S. Curry enters the game for D. Cousins,,48,38
160,2,6:38.0,K. Durant enters the game for K. Thompson,,48,38
161,2,6:38.0,,J. Green enters the game for T. Bryant,48,38
162,2,6:27.0,,Shooting foul by A. McKinnie (drawn by T. Satoranský),48,38
163,2,6:27.0,,T. Satoranský misses free throw 1 of 2,48,38
164,2,6:27.0,,Offensive rebound by Team,48,38
165,2,6:27.0,,T. Satoranský makes free throw 2 of 2,48,39
166,2,6:10.0,K. Durant misses 3-pt jump shot from 32 ft,,48,39
167,2,6:06.0,,Defensive rebound by J. Green,48,39
168,2,6:02.0,,T. Satoranský makes 2-pt dunk from 1 ft (assist by B. Beal),48,41
169,2,5:49.0,K. Durant makes 2-pt dunk from 2 ft (assist by K. Looney),,50,41
170,2,5:41.0,,B. Beal misses 3-pt jump shot from 26 ft,50,41
171,2,5:38.0,Defensive rebound by K. Looney,,50,41
172,2,5:29.0,S. Curry makes 2-pt jump shot from 19 ft,,52,41
173,2,5:11.0,,Personal foul by S. Livingston (drawn by B. Beal),52,41
174,2,5:11.0,,B. Beal makes free throw 1 of 2,52,42
175,2,5:11.0,,B. Beal makes free throw 2 of 2,52,43
176,2,5:00.0,Turnover by S. Curry (traveling),,52,43
177,2,4:55.0,,B. Beal makes 2-pt layup from 2 ft,52,45
