,QUARTER,TIME_REMAINING,CHICAGO_ACTION,CHARLOTTE_ACTION,CHICAGO_SCORE,CHARLOTTE_SCORE
0,1,11:36.0,Z. LaVine makes 3-pt jump shot from 23 ft (assist by W. Carter),,3,0
1,1,11:20.0,,M. Williams misses 2-pt hook shot from 2 ft,3,0
2,1,11:13.0,,Offensive rebound by M. Williams,3,0
3,1,11:13.0,,M. Williams misses 2-pt layup from 1 ft,3,0
4,1,11:13.0,Defensive rebound by W. Carter,,3,0
5,1,11:02.0,W. Carter misses 2-pt layup from 2 ft,,3,0
6,1,10:59.0,,Defensive rebound by K. Walker,3,0
7,1,10:55.0,,Shooting foul by W. Carter (drawn by K. Walker),3,0
8,1,10:55.0,,K. Walker makes free throw 1 of 2,3,1
9,1,10:55.0,,K. Walker makes free throw 2 of 2,3,2
10,1,10:40.0,Z. LaVine misses 2-pt layup from 2 ft,,3,2
11,1,10:38.0,,Defensive rebound by M. Williams,3,2
12,1,10:24.0,,C. Zeller makes 2-pt layup from 3 ft,3,4
13,1,10:10.0,J. Holiday misses 3-pt jump shot from 26 ft,,3,4
14,1,10:07.0,,Defensive rebound by M. Williams,3,4
15,1,9:59.0,,M. Williams misses 3-pt jump shot from 26 ft,3,4
16,1,9:55.0,,Offensive rebound by K. Walker,3,4
17,1,9:42.0,,J. Lamb misses 3-pt jump shot from 29 ft,3,4
18,1,9:38.0,Defensive rebound by C. Hutchison,,3,4
19,1,9:24.0,W. Carter makes 3-pt jump shot from 25 ft (assist by Z. LaVine),,6,4
20,1,8:55.0,,K. Walker misses 3-pt jump shot from 25 ft,6,4
21,1,8:55.0,,Offensive rebound by Team,6,4
22,1,8:53.0,,Turnover by Team (shot clock),6,4
23,1,8:39.0,Personal foul by M. Williams (drawn by C. Hutchison),,6,4
24,1,8:30.0,Z. LaVine misses 2-pt layup from 1 ft,,6,4
25,1,8:28.0,,Defensive rebound by M. Williams,6,4
26,1,8:15.0,,K. Walker makes 2-pt layup from 1 ft (assist by N. Batum),6,6
27,1,8:09.0,C. Hutchison misses 2-pt layup from 1 ft (block by C. Zeller),,6,6
28,1,8:09.0,,Defensive rebound by K. Walker,6,6
29,1,8:03.0,,K. Walker misses 3-pt jump shot from 26 ft,6,6
30,1,8:00.0,Defensive rebound by J. Holiday,,6,6
31,1,7:56.0,Offensive foul by Z. LaVine (drawn by K. Walker),,6,6
32,1,7:56.0,Turnover by Z. LaVine (offensive foul),,6,6
33,1,7:42.0,,C. Zeller misses 2-pt layup from 3 ft (block by W. Carter),6,6
34,1,7:38.0,,Offensive rebound by J. Lamb,6,6
35,1,7:37.0,,J. Lamb makes 2-pt layup from 2 ft,6,8
36,1,7:28.0,C. Payne misses 3-pt jump shot from 27 ft,,6,8
37,1,7:25.0,,Defensive rebound by C. Zeller,6,8
38,1,7:18.0,,N. Batum makes 2-pt jump shot from 11 ft,6,10
39,1,7:10.0,Z. LaVine misses 2-pt layup from 2 ft,,6,10
40,1,7:08.0,,Defensive rebound by N. Batum,6,10
41,1,7:03.0,,M. Williams misses 3-pt jump shot from 23 ft,6,10
42,1,7:03.0,Defensive rebound by C. Hutchison,,6,10
43,1,6:54.0,C. Payne makes 2-pt layup from 2 ft,,8,10
44,1,6:54.0,Shooting foul by J. Lamb (drawn by C. Payne),,8,10
