,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,WASHINGTON_ACTION,MINNESOTA_SCORE,WASHINGTON_SCORE
0,1,11:46.0,,Turnover by T. Satoranský (bad pass),0,0
1,1,11:42.0,J. Teague misses 2-pt jump shot from 9 ft,,0,0
2,1,11:39.0,,Defensive rebound by J. Green,0,0
3,1,11:33.0,,T. Satoranský makes 2-pt layup from 1 ft,0,2
4,1,11:10.0,D. Šarić makes 2-pt layup from 2 ft (assist by K. Towns),,2,2
5,1,10:57.0,,T. Ariza makes 3-pt jump shot from 26 ft,2,5
6,1,10:38.0,A. Wiggins misses 2-pt hook shot from 6 ft,,2,5
7,1,10:35.0,,Defensive rebound by B. Portis,2,5
8,1,10:25.0,,Personal foul by A. Wiggins (drawn by T. Ariza),2,5
9,1,10:19.0,,T. Satoranský makes 2-pt jump shot from 10 ft,2,7
10,1,10:11.0,K. Towns misses 3-pt jump shot from 26 ft,,2,7
11,1,10:09.0,,Defensive rebound by Team,2,7
12,1,10:00.0,,B. Portis misses 2-pt jump shot from 16 ft,2,7
13,1,9:57.0,Defensive rebound by D. Šarić,,2,7
14,1,9:42.0,D. Šarić makes 2-pt layup from 1 ft,,4,7
15,1,9:22.0,,J. Green misses 2-pt layup from 4 ft (block by J. Okogie),4,7
16,1,9:19.0,Defensive rebound by A. Wiggins,,4,7
17,1,9:18.0,Turnover by J. Teague (bad pass),,4,7
18,1,9:11.0,,T. Ariza misses 2-pt jump shot from 14 ft,4,7
19,1,9:09.0,,Offensive rebound by Team,4,7
20,1,9:07.0,,B. Beal makes 2-pt layup from 3 ft (assist by T. Ariza),4,9
21,1,8:44.0,D. Šarić makes 2-pt jump shot from 18 ft (assist by K. Towns),,6,9
22,1,8:44.0,Shooting foul by J. Green (drawn by D. Šarić),,6,9
23,1,8:44.0,D. Šarić makes free throw 1 of 1,,7,9
24,1,8:39.0,,Shooting foul by D. Šarić (drawn by B. Beal),7,9
25,1,8:39.0,,B. Beal makes free throw 1 of 2,7,10
26,1,8:39.0,,B. Beal makes free throw 2 of 2,7,11
27,1,8:19.0,A. Wiggins makes 2-pt jump shot from 20 ft,,9,11
28,1,8:07.0,,J. Green makes 2-pt layup from 4 ft,9,13
29,1,8:07.0,Violation by Team (def goaltending),,9,13
30,1,7:55.0,Def 3 sec tech foul by Team,,9,13
31,1,7:55.0,J. Teague makes technical free throw,,10,13
32,1,7:46.0,A. Wiggins makes 2-pt layup from 4 ft (assist by J. Teague),,12,13
33,1,7:40.0,,Shooting foul by J. Okogie (drawn by T. Ariza),12,13
34,1,7:40.0,,T. Ariza makes free throw 1 of 3,12,14
35,1,7:40.0,,T. Ariza makes free throw 2 of 3,12,15
36,1,7:40.0,,T. Ariza misses free throw 3 of 3,12,15
37,1,7:38.0,Defensive rebound by D. Šarić,,12,15
38,1,7:32.0,J. Teague makes 2-pt layup from 3 ft,,14,15
39,1,7:22.0,,B. Portis makes 3-pt jump shot from 26 ft (assist by T. Satoranský),14,18
40,1,7:10.0,A. Wiggins makes 2-pt layup from 2 ft (assist by K. Towns),,16,18
41,1,6:58.0,,B. Portis misses 3-pt jump shot from 23 ft,16,18
42,1,6:56.0,Defensive rebound by A. Wiggins,,16,18
43,1,6:45.0,D. Šarić makes 2-pt layup from 2 ft,,18,18
44,1,6:28.0,,T. Satoranský misses 2-pt jump shot from 3 ft,18,18
45,1,6:22.0,,Offensive rebound by B. Portis,18,18
46,1,6:22.0,,B. Portis makes 2-pt layup at rim,18,20
47,1,6:09.0,D. Šarić misses 2-pt hook shot from 3 ft,,18,20
48,1,6:05.0,Offensive rebound by J. Okogie,,18,20
49,1,6:05.0,J. Okogie makes 2-pt dunk from 1 ft,,20,20
50,1,5:52.0,,J. Green misses 3-pt jump shot from 23 ft,20,20
51,1,5:51.0,,Offensive rebound by B. Beal,20,20
52,1,5:50.0,,B. Beal makes 2-pt layup from 2 ft,20,22
53,1,5:50.0,,Shooting foul by J. Okogie (drawn by B. Beal),20,22
54,1,5:50.0,,Washington full timeout,20,22
55,1,5:50.0,D. Rose enters the game for J. Okogie,,20,22
56,1,5:50.0,,B. Beal misses free throw 1 of 1,20,22
57,1,5:48.0,Defensive rebound by K. Towns,,20,22
58,1,5:34.0,K. Towns misses 3-pt jump shot from 27 ft,,20,22
59,1,5:31.0,,Defensive rebound by T. Ariza,20,22
60,1,5:17.0,,B. Portis makes 3-pt jump shot from 25 ft (assist by T. Ariza),20,25
61,1,5:01.0,J. Teague misses 3-pt jump shot from 26 ft,,20,25
62,1,4:59.0,,Defensive rebound by B. Portis,20,25
63,1,4:48.0,,Shooting foul by D. Rose (drawn by J. Green),20,25
64,1,4:48.0,,J. Green misses free throw 1 of 2,20,25
65,1,4:48.0,,Offensive rebound by Team,20,25
66,1,4:48.0,T. Gibson enters the game for D. Šarić,,20,25
67,1,4:48.0,,C. Randle enters the game for T. Satoranský,20,25
68,1,4:48.0,,J. Green makes free throw 2 of 2,20,26
69,1,4:36.0,D. Rose misses 3-pt jump shot from 25 ft,,20,26
70,1,4:32.0,Offensive rebound by K. Towns,,20,26
71,1,4:32.0,K. Towns makes 2-pt dunk from 1 ft,,22,26
72,1,4:26.0,,B. Portis misses 3-pt jump shot from 26 ft,22,26
73,1,4:25.0,Defensive rebound by T. Gibson,,22,26
74,1,4:24.0,Personal foul by B. Portis (drawn by K. Towns),,22,26
75,1,4:08.0,T. Gibson makes 2-pt hook shot from 6 ft (assist by J. Teague),,24,26
76,1,3:55.0,,T. Ariza makes 3-pt jump shot from 22 ft (assist by B. Beal),24,29
77,1,3:44.0,J. Teague misses 2-pt layup from 3 ft,,24,29
78,1,3:40.0,Offensive rebound by K. Towns,,24,29
79,1,3:40.0,K. Towns makes 2-pt layup from 1 ft,,26,29
80,1,3:35.0,,B. Beal makes 2-pt layup from 2 ft (assist by J. Green),26,31
81,1,3:25.0,K. Towns makes 2-pt hook shot from 5 ft (assist by J. Teague),,28,31
82,1,3:14.0,,B. Beal misses 2-pt layup from 2 ft,28,31
83,1,3:11.0,Defensive rebound by A. Wiggins,,28,31
84,1,3:03.0,Personal foul by B. Beal (drawn by K. Towns),,28,31
85,1,3:03.0,T. Jones enters the game for J. Teague,,28,31
86,1,3:03.0,,T. Bryant enters the game for J. Green,28,31
87,1,3:03.0,,J. Parker enters the game for B. Portis,28,31
88,1,2:54.0,T. Gibson makes 2-pt layup from 3 ft (assist by K. Towns),,30,31
89,1,2:39.0,,C. Randle misses 3-pt jump shot from 27 ft,30,31
90,1,2:36.0,Defensive rebound by T. Gibson,,30,31
91,1,2:27.0,D. Rose makes 2-pt jump shot from 9 ft,,32,31
92,1,2:15.0,,B. Beal misses 2-pt jump shot from 8 ft,32,31
93,1,2:13.0,,Offensive rebound by B. Beal,32,31
94,1,2:13.0,,B. Beal makes 2-pt layup from 4 ft,32,33
95,1,1:58.0,Turnover by T. Gibson (3 sec),,32,33
96,1,1:58.0,Minnesota full timeout,,32,33
97,1,1:58.0,,T. Brown enters the game for T. Ariza,32,33
98,1,1:45.0,,T. Brown misses 2-pt layup from 3 ft (block by K. Towns),32,33
99,1,1:43.0,,Offensive rebound by J. Parker,32,33
100,1,1:42.0,,T. Bryant makes 2-pt layup from 1 ft (assist by T. Brown),32,35
101,1,1:42.0,,Shooting foul by K. Towns (drawn by T. Bryant),32,35
102,1,1:42.0,,T. Bryant makes free throw 1 of 1,32,36
103,1,1:29.0,D. Rose makes 2-pt layup from 2 ft,,34,36
104,1,1:16.0,,T. Brown misses 2-pt jump shot from 8 ft,34,36
105,1,1:14.0,Defensive rebound by T. Gibson,,34,36
106,1,1:14.0,Turnover by T. Gibson (bad pass),,34,36
107,1,1:14.0,A. Tolliver enters the game for K. Towns,,34,36
108,1,0:58.0,,T. Bryant misses 3-pt jump shot from 25 ft,34,36
109,1,0:57.0,,Offensive rebound by T. Brown,34,36
110,1,0:56.0,,T. Brown makes 2-pt layup from 1 ft,34,38
111,1,0:45.0,A. Tolliver misses 3-pt jump shot from 26 ft,,34,38
112,1,0:43.0,,Defensive rebound by T. Bryant,34,38
113,1,0:32.0,,B. Beal misses 3-pt jump shot from 26 ft,34,38
114,1,0:31.0,,Offensive rebound by T. Brown,34,38
115,1,0:30.0,,B. Beal misses 3-pt jump shot from 26 ft,34,38
116,1,0:30.0,,Offensive rebound by B. Beal,34,38
117,1,0:29.0,,Personal foul by A. Tolliver (drawn by B. Beal),34,38
118,1,0:29.0,,B. Beal makes free throw 1 of 2,34,39
119,1,0:29.0,,B. Beal makes free throw 2 of 2,34,40
120,1,0:09.0,A. Tolliver misses 3-pt jump shot from 26 ft,,34,40
121,1,0:06.0,Offensive rebound by T. Gibson,,34,40
122,1,0:05.0,T. Gibson makes 2-pt layup from 5 ft,,36,40
123,2,11:41.0,K. Bates-Diop makes 2-pt layup from 2 ft (assist by T. Gibson),,38,40
124,2,11:28.0,,J. Parker misses 2-pt jump shot from 14 ft,38,40
125,2,11:24.0,Defensive rebound by T. Gibson,,38,40
126,2,11:17.0,D. Rose misses 2-pt jump shot from 13 ft,,38,40
127,2,11:15.0,,Defensive rebound by C. Randle,38,40
128,2,11:05.0,,T. Bryant misses 2-pt hook shot from 6 ft,38,40
129,2,11:02.0,Defensive rebound by A. Tolliver,,38,40
130,2,10:53.0,A. Tolliver misses 3-pt jump shot from 27 ft,,38,40
131,2,10:49.0,,Defensive rebound by J. Parker,38,40
132,2,10:41.0,,W. Johnson misses 2-pt jump shot from 21 ft,38,40
133,2,10:38.0,,Offensive rebound by J. Parker,38,40
134,2,10:34.0,,Turnover by T. Bryant (out of bounds lost ball),38,40
135,2,10:16.0,D. Rose misses 2-pt jump shot from 19 ft,,38,40
136,2,10:11.0,,Defensive rebound by T. Brown,38,40
137,2,10:04.0,,J. Parker makes 2-pt jump shot from 2 ft,38,42
138,2,9:45.0,T. Jones misses 2-pt layup from 3 ft (block by J. Parker),,38,42
139,2,9:43.0,,Defensive rebound by T. Bryant,38,42
140,2,9:37.0,,W. Johnson misses 3-pt jump shot from 24 ft,38,42
141,2,9:34.0,Defensive rebound by Team,,38,42
142,2,9:21.0,A. Tolliver misses 3-pt jump shot from 27 ft,,38,42
143,2,9:18.0,Offensive rebound by D. Rose,,38,42
144,2,9:17.0,D. Rose misses 2-pt layup from 3 ft (block by J. Parker),,38,42
145,2,9:17.0,,Defensive rebound by J. Parker,38,42
