,QUARTER,TIME_REMAINING,DENVER_ACTION,DETROIT_ACTION,DENVER_SCORE,DETROIT_SCORE
0,1,11:47.0,,R. Bullock makes 2-pt layup from 2 ft (assist by A. Drummond),0,2
1,1,11:24.0,N. Jokić makes 2-pt layup from 2 ft,,2,2
2,1,11:02.0,,B. Griffin makes 2-pt layup from 2 ft (assist by R. Bullock),2,4
3,1,10:46.0,M. Morris makes 2-pt jump shot from 16 ft,,4,4
4,1,10:32.0,,Turnover by R. Bullock (bad pass; steal by N. Jokić),4,4
5,1,10:28.0,M. Morris makes 2-pt layup from 4 ft (assist by W. Barton),,6,4
6,1,10:08.0,,R. Bullock makes 3-pt jump shot from 26 ft (assist by B. Brown),6,7
7,1,9:56.0,M. Beasley makes 3-pt jump shot from 24 ft (assist by N. Jokić),,9,7
8,1,9:30.0,,Shooting foul by N. Jokić (drawn by B. Griffin),9,7
9,1,9:30.0,,B. Griffin makes free throw 1 of 2,9,8
10,1,9:30.0,,B. Griffin misses free throw 2 of 2,9,8
11,1,9:27.0,Defensive rebound by W. Barton,,9,8
12,1,9:20.0,W. Barton misses 2-pt layup from 4 ft,,9,8
13,1,9:17.0,,Defensive rebound by R. Bullock,9,8
14,1,9:12.0,,R. Jackson misses 3-pt jump shot from 26 ft,9,8
15,1,9:08.0,Defensive rebound by M. Beasley,,9,8
16,1,9:03.0,M. Beasley makes 3-pt jump shot from 25 ft (assist by N. Jokić),,12,8
17,1,8:50.0,,B. Brown misses 3-pt jump shot from 23 ft,12,8
18,1,8:47.0,,Offensive rebound by B. Griffin,12,8
19,1,8:46.0,,B. Griffin makes 2-pt layup from 4 ft,12,10
20,1,8:33.0,M. Beasley misses 2-pt jump shot from 18 ft,,12,10
21,1,8:30.0,Offensive rebound by M. Plumlee,,12,10
22,1,8:25.0,N. Jokić makes 2-pt layup from 2 ft,,14,10
23,1,8:13.0,,R. Jackson makes 2-pt jump shot from 10 ft,14,12
24,1,7:58.0,N. Jokić makes 2-pt layup from 2 ft,,16,12
25,1,7:58.0,Shooting foul by R. Jackson (drawn by N. Jokić),,16,12
26,1,7:58.0,N. Jokić makes free throw 1 of 1,,17,12
27,1,7:49.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by B. Griffin),17,15
28,1,7:32.0,M. Morris makes 3-pt jump shot from 26 ft (assist by M. Plumlee),,20,15
29,1,7:20.0,,R. Bullock makes 3-pt jump shot from 24 ft (assist by R. Jackson),20,18
30,1,7:11.0,Shooting foul by A. Drummond (drawn by W. Barton),,20,18
31,1,7:11.0,W. Barton makes free throw 1 of 2,,21,18
32,1,7:11.0,W. Barton makes free throw 2 of 2,,22,18
33,1,6:54.0,,Turnover by B. Griffin (lost ball; steal by M. Beasley),22,18
34,1,6:49.0,M. Beasley makes 3-pt jump shot from 25 ft (assist by N. Jokić),,25,18
35,1,6:48.0,,Detroit full timeout,25,18
36,1,6:36.0,,B. Brown misses 3-pt jump shot from 23 ft,25,18
37,1,6:33.0,Defensive rebound by M. Plumlee,,25,18
38,1,6:26.0,W. Barton misses 2-pt jump shot from 19 ft,,25,18
39,1,6:23.0,,Defensive rebound by A. Drummond,25,18
40,1,6:17.0,,A. Drummond misses 2-pt jump shot from 11 ft,25,18
41,1,6:15.0,Defensive rebound by N. Jokić,,25,18
42,1,6:08.0,N. Jokić misses 3-pt jump shot from 26 ft,,25,18
43,1,6:04.0,,Defensive rebound by B. Brown,25,18
44,1,5:57.0,,R. Jackson misses 3-pt jump shot from 27 ft,25,18
45,1,5:53.0,,Offensive rebound by A. Drummond,25,18
46,1,5:52.0,,A. Drummond makes 2-pt layup from 1 ft,25,20
47,1,5:33.0,M. Beasley misses 2-pt jump shot from 9 ft,,25,20
48,1,5:31.0,,Defensive rebound by B. Griffin,25,20
49,1,5:18.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by B. Griffin),25,22
50,1,5:18.0,,Shooting foul by M. Beasley (drawn by A. Drummond),25,22
51,1,5:18.0,T. Craig enters the game for M. Morris,,25,22
52,1,5:18.0,,L. Galloway enters the game for B. Brown,25,22
53,1,5:18.0,,A. Drummond makes free throw 1 of 1,25,23
54,1,4:54.0,N. Jokić misses 3-pt jump shot from 26 ft,,25,23
55,1,4:53.0,Offensive rebound by Team,,25,23
56,1,4:53.0,Turnover by Team (shot clock),,25,23
57,1,4:35.0,,L. Galloway makes 2-pt jump shot from 18 ft (assist by A. Drummond),25,25
58,1,4:16.0,Personal foul by A. Drummond (drawn by M. Plumlee),,25,25
59,1,4:16.0,T. Lyles enters the game for M. Plumlee,,25,25
60,1,4:12.0,M. Beasley misses 2-pt jump shot from 8 ft,,25,25
61,1,4:09.0,Offensive rebound by M. Beasley,,25,25
62,1,4:09.0,M. Beasley misses 2-pt layup at rim,,25,25
63,1,4:08.0,,Defensive rebound by A. Drummond,25,25
64,1,4:04.0,,L. Galloway makes 3-pt jump shot from 23 ft (assist by R. Jackson),25,28
65,1,4:02.0,Denver full timeout,,25,28
66,1,4:02.0,,S. Johnson enters the game for A. Drummond,25,28
67,1,4:02.0,,Z. Pachulia enters the game for B. Griffin,25,28
68,1,3:49.0,N. Jokić makes 2-pt hook shot from 7 ft (assist by T. Lyles),,27,28
69,1,3:31.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by R. Bullock),27,31
70,1,3:16.0,W. Barton misses 2-pt layup from 2 ft,,27,31
71,1,3:14.0,,Defensive rebound by R. Bullock,27,31
72,1,3:04.0,,Turnover by L. Galloway (step out of bounds),27,31
73,1,3:04.0,M. Morris enters the game for W. Barton,,27,31
74,1,2:46.0,N. Jokić makes 2-pt hook shot from 6 ft,,29,31
75,1,2:37.0,,Personal foul by M. Beasley (drawn by Z. Pachulia),29,31
76,1,2:37.0,J. Hernangómez enters the game for M. Beasley,,29,31
77,1,2:37.0,M. Plumlee enters the game for N. Jokić,,29,31
78,1,2:30.0,,L. Galloway misses 2-pt jump shot from 12 ft,29,31
79,1,2:27.0,Defensive rebound by M. Morris,,29,31
80,1,2:16.0,M. Morris makes 2-pt layup from 7 ft (assist by M. Plumlee),,31,31
81,1,1:50.0,,R. Jackson misses 2-pt jump shot from 10 ft,31,31
82,1,1:49.0,,Offensive rebound by Z. Pachulia,31,31
83,1,1:48.0,,Turnover by Z. Pachulia (lost ball; steal by M. Plumlee),31,31
84,1,1:40.0,M. Morris makes 2-pt jump shot from 17 ft (assist by M. Plumlee),,33,31
85,1,1:21.0,,Personal foul by J. Hernangómez (drawn by R. Jackson),33,31
86,1,1:21.0,,L. Kennard enters the game for R. Bullock,33,31
87,1,1:21.0,,I. Smith enters the game for R. Jackson,33,31
88,1,1:13.0,,S. Johnson misses 3-pt jump shot from 26 ft,33,31
89,1,1:10.0,Defensive rebound by M. Plumlee,,33,31
90,1,1:04.0,Shooting foul by S. Johnson (drawn by M. Plumlee),,33,31
91,1,1:04.0,M. Plumlee makes free throw 1 of 2,,34,31
92,1,1:04.0,M. Plumlee misses free throw 2 of 2,,34,31
93,1,1:01.0,Offensive rebound by J. Hernangómez,,34,31
94,1,0:57.0,Turnover by M. Plumlee (traveling),,34,31
95,1,0:41.0,,S. Johnson misses 2-pt jump shot from 13 ft (block by T. Lyles),34,31
96,1,0:38.0,,Offensive rebound by Z. Pachulia,34,31
97,1,0:36.0,,Z. Pachulia misses 2-pt jump shot from 8 ft,34,31
98,1,0:34.0,Defensive rebound by M. Plumlee,,34,31
99,1,0:34.0,T. Craig misses 2-pt layup from 4 ft (block by I. Smith),,34,31
100,1,0:31.0,Offensive rebound by M. Plumlee,,34,31
101,1,0:28.0,M. Plumlee makes 2-pt dunk from 2 ft,,36,31
102,1,0:10.0,,L. Galloway misses 3-pt jump shot from 26 ft,36,31
103,1,0:07.0,,Offensive rebound by L. Kennard,36,31
104,1,0:00.0,,S. Johnson makes 3-pt jump shot from 23 ft (assist by I. Smith),36,34
105,2,11:48.0,T. Lyles makes 2-pt jump shot from 21 ft (assist by M. Morris),,38,34
106,2,11:33.0,,L. Galloway makes 2-pt layup from 5 ft (assist by Z. Pachulia),38,36
107,2,11:21.0,T. Lyles misses 3-pt jump shot from 25 ft,,38,36
108,2,11:21.0,,Defensive rebound by L. Galloway,38,36
109,2,11:17.0,,Shooting foul by M. Morris (drawn by L. Galloway),38,36
110,2,11:17.0,,L. Galloway makes free throw 1 of 2,38,37
111,2,11:17.0,,L. Galloway makes free throw 2 of 2,38,38
112,2,11:03.0,T. Lydon misses 2-pt layup from 4 ft (block by S. Johnson),,38,38
113,2,11:00.0,,Defensive rebound by L. Kennard,38,38
114,2,10:57.0,,L. Kennard makes 2-pt jump shot from 21 ft,38,40
115,2,10:42.0,T. Lyles misses 3-pt jump shot from 26 ft,,38,40
116,2,10:42.0,,Defensive rebound by Z. Pachulia,38,40
117,2,10:26.0,,L. Kennard makes 2-pt jump shot from 10 ft (assist by I. Smith),38,42
118,2,10:11.0,J. Hernangómez misses 3-pt jump shot from 26 ft,,38,42
119,2,10:08.0,,Defensive rebound by L. Kennard,38,42
120,2,10:00.0,,Shooting foul by T. Lydon (drawn by L. Kennard),38,42
121,2,10:00.0,,L. Kennard makes free throw 1 of 2,38,43
122,2,10:00.0,,L. Kennard makes free throw 2 of 2,38,44
123,2,9:52.0,M. Morris misses 2-pt jump shot from 19 ft,,38,44
124,2,9:50.0,,Defensive rebound by Team,38,44
125,2,9:35.0,,Shooting foul by T. Craig (drawn by Z. Pachulia),38,44
126,2,9:35.0,,Z. Pachulia makes free throw 1 of 2,38,45
127,2,9:35.0,,Z. Pachulia makes free throw 2 of 2,38,46
128,2,9:21.0,T. Lyles makes 2-pt jump shot from 18 ft (assist by M. Morris),,40,46
129,2,9:05.0,,I. Smith misses 2-pt jump shot from 19 ft,40,46
130,2,9:02.0,,Offensive rebound by Z. Pachulia,40,46
131,2,8:56.0,,S. Johnson makes 2-pt layup from 1 ft (assist by L. Galloway),40,48
132,2,8:55.0,Denver full timeout,,40,48
133,2,8:55.0,W. Barton enters the game for T. Lydon,,40,48
134,2,8:55.0,N. Jokić enters the game for M. Morris,,40,48
135,2,8:41.0,T. Craig misses 3-pt jump shot from 24 ft,,40,48
136,2,8:40.0,Offensive rebound by J. Hernangómez,,40,48
137,2,8:40.0,Shooting foul by S. Johnson (drawn by J. Hernangómez),,40,48
