,QUARTER,TIME_REMAINING,PHOENIX_ACTION,UTAH_ACTION,PHOENIX_SCORE,UTAH_SCORE
0,1,11:43.0,,D. Mitchell makes 2-pt layup from 3 ft,0,2
1,1,11:31.0,D. Ayton makes 2-pt layup from 2 ft (assist by M. Bridges),,2,2
2,1,11:13.0,,D. Favors misses 3-pt jump shot from 24 ft,2,2
3,1,11:12.0,Defensive rebound by Team,,2,2
4,1,10:54.0,Turnover by D. Ayton (bad pass; steal by R. Rubio),,2,2
5,1,10:39.0,,Personal foul by E. Okobo (drawn by R. Gobert),2,2
6,1,10:29.0,,Turnover by J. Ingles (bad pass; steal by M. Bridges),2,2
7,1,10:22.0,Turnover by E. Okobo (lost ball; steal by D. Mitchell),,2,2
8,1,10:11.0,,R. Rubio misses 2-pt jump shot from 14 ft,2,2
9,1,10:08.0,Defensive rebound by D. Bender,,2,2
10,1,10:02.0,Turnover by J. Jackson (bad pass; steal by R. Rubio),,2,2
11,1,9:56.0,,J. Ingles makes 2-pt layup from 4 ft,2,4
12,1,9:56.0,,Shooting foul by E. Okobo (drawn by J. Ingles),2,4
13,1,9:56.0,,J. Ingles makes free throw 1 of 1,2,5
14,1,9:35.0,Turnover by J. Jackson (bad pass; steal by D. Favors),,2,5
15,1,9:25.0,,R. Rubio misses 2-pt layup from 3 ft,2,5
16,1,9:24.0,Defensive rebound by J. Jackson,,2,5
17,1,9:20.0,Shooting foul by D. Mitchell (drawn by J. Jackson),,2,5
18,1,9:20.0,J. Jackson makes free throw 1 of 2,,3,5
19,1,9:20.0,J. Jackson misses free throw 2 of 2,,3,5
20,1,9:19.0,,Defensive rebound by R. Gobert,3,5
21,1,9:10.0,,Personal foul by D. Bender (drawn by R. Gobert),3,5
22,1,8:55.0,,Turnover by Team (shot clock),3,5
23,1,8:41.0,E. Okobo misses 2-pt jump shot from 16 ft,,3,5
24,1,8:39.0,,Defensive rebound by J. Ingles,3,5
25,1,8:34.0,,D. Favors makes 2-pt dunk from 2 ft (assist by R. Rubio),3,7
26,1,8:18.0,J. Jackson misses 3-pt jump shot from 25 ft,,3,7
27,1,8:15.0,,Defensive rebound by R. Gobert,3,7
28,1,8:07.0,,R. Rubio makes 2-pt jump shot from 10 ft,3,9
29,1,8:06.0,Phoenix full timeout,,3,9
30,1,7:56.0,J. Jackson makes 2-pt dunk from 3 ft,,5,9
31,1,7:35.0,,D. Mitchell misses 2-pt layup from 4 ft,5,9
32,1,7:34.0,Defensive rebound by D. Ayton,,5,9
33,1,7:21.0,D. Ayton makes 2-pt jump shot from 17 ft (assist by E. Okobo),,7,9
34,1,6:59.0,,Turnover by J. Ingles (bad pass; steal by J. Jackson),7,9
35,1,6:55.0,D. Bender misses 2-pt layup from 3 ft (block by D. Favors),,7,9
36,1,6:52.0,,Defensive rebound by R. Rubio,7,9
37,1,6:45.0,,D. Mitchell misses 3-pt jump shot from 25 ft,7,9
38,1,6:42.0,Defensive rebound by J. Jackson,,7,9
39,1,6:32.0,M. Bridges misses 2-pt layup from 2 ft,,7,9
40,1,6:28.0,Offensive rebound by D. Ayton,,7,9
41,1,6:28.0,D. Ayton makes 2-pt layup at rim,,9,9
42,1,6:13.0,,D. Mitchell misses 2-pt layup from 3 ft,9,9
43,1,6:10.0,,Offensive rebound by R. Gobert,9,9
44,1,6:10.0,,R. Gobert misses 2-pt layup from 1 ft,9,9
45,1,6:09.0,,Offensive rebound by R. Rubio,9,9
46,1,6:01.0,,Turnover by R. Rubio (bad pass; steal by J. Jackson),9,9
47,1,5:55.0,D. Ayton makes 2-pt dunk from 2 ft (assist by J. Jackson),,11,9
48,1,5:55.0,,Utah full timeout,11,9
49,1,5:55.0,J. Evans enters the game for D. Bender,,11,9
50,1,5:55.0,K. Oubre enters the game for E. Okobo,,11,9
51,1,5:55.0,,J. Crowder enters the game for D. Favors,11,9
52,1,5:55.0,,K. Korver enters the game for J. Ingles,11,9
53,1,5:39.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by R. Rubio),11,12
54,1,5:18.0,D. Ayton misses 2-pt jump shot from 10 ft,,11,12
55,1,5:15.0,,Defensive rebound by J. Crowder,11,12
56,1,5:09.0,,J. Crowder makes 3-pt jump shot from 26 ft (assist by D. Mitchell),11,15
57,1,4:47.0,J. Jackson misses 3-pt jump shot from 23 ft,,11,15
58,1,4:44.0,,Defensive rebound by J. Crowder,11,15
59,1,4:37.0,,D. Mitchell makes 2-pt jump shot from 11 ft,11,17
60,1,4:25.0,Personal foul by D. Mitchell (drawn by K. Oubre),,11,17
61,1,4:25.0,J. Crawford enters the game for D. Ayton,,11,17
62,1,4:25.0,R. Holmes enters the game for J. Jackson,,11,17
63,1,4:25.0,,R. O'Neale enters the game for D. Mitchell,11,17
64,1,4:14.0,K. Oubre makes 2-pt layup from 4 ft,,13,17
65,1,4:04.0,,R. Gobert makes 2-pt layup from 3 ft (assist by R. Rubio),13,19
66,1,4:04.0,,Shooting foul by R. Holmes (drawn by R. Gobert),13,19
67,1,4:04.0,,R. Gobert makes free throw 1 of 1,13,20
68,1,3:54.0,M. Bridges makes 2-pt layup from 3 ft,,15,20
69,1,3:44.0,,Shooting foul by J. Evans (drawn by R. Rubio),15,20
70,1,3:44.0,,R. Rubio makes free throw 1 of 2,15,21
71,1,3:44.0,,R. Rubio misses free throw 2 of 2,15,21
72,1,3:43.0,,Offensive rebound by Team,15,21
73,1,3:42.0,,K. Korver misses 3-pt jump shot from 23 ft,15,21
74,1,3:39.0,Defensive rebound by R. Holmes,,15,21
75,1,3:31.0,K. Oubre makes 2-pt layup from 2 ft,,17,21
76,1,3:14.0,,J. Crowder makes 3-pt jump shot from 23 ft (assist by R. O'Neale),17,24
77,1,2:52.0,K. Oubre misses 3-pt jump shot from 25 ft,,17,24
78,1,2:51.0,,Defensive rebound by R. Rubio,17,24
79,1,2:48.0,,J. Crowder misses 3-pt jump shot from 25 ft,17,24
80,1,2:45.0,Defensive rebound by J. Evans,,17,24
81,1,2:35.0,M. Bridges makes 2-pt jump shot from 7 ft (assist by J. Crawford),,19,24
82,1,2:20.0,,R. Rubio misses 3-pt jump shot from 26 ft,19,24
83,1,2:18.0,Defensive rebound by R. Holmes,,19,24
84,1,2:13.0,J. Evans makes 2-pt layup from 4 ft (assist by J. Crawford),,21,24
85,1,1:52.0,,Shooting foul by M. Bridges (drawn by J. Crowder),21,24
86,1,1:52.0,,J. Crowder makes free throw 1 of 3,21,25
87,1,1:52.0,,J. Crowder misses free throw 2 of 3,21,25
88,1,1:52.0,,Offensive rebound by Team,21,25
89,1,1:52.0,,D. Favors enters the game for R. Gobert,21,25
90,1,1:52.0,,J. Ingles enters the game for K. Korver,21,25
91,1,1:52.0,,R. Neto enters the game for R. Rubio,21,25
92,1,1:52.0,,J. Crowder makes free throw 3 of 3,21,26
