,QUARTER,TIME_REMAINING,BOSTON_ACTION,OKLAHOMA CITY_ACTION,BOSTON_SCORE,OKLAHOMA CITY_SCORE
0,1,11:47.0,,P. George makes 2-pt jump shot from 17 ft (assist by S. Adams),0,2
1,1,11:31.0,J. Tatum misses 2-pt jump shot from 15 ft,,0,2
2,1,11:28.0,,Defensive rebound by S. Adams,0,2
3,1,11:19.0,,J. Grant misses 2-pt jump shot from 7 ft,0,2
4,1,11:17.0,Defensive rebound by A. Horford,,0,2
5,1,11:07.0,K. Irving makes 2-pt layup from 1 ft (assist by G. Hayward),,2,2
6,1,10:41.0,,S. Adams makes 2-pt jump shot from 5 ft,2,4
7,1,10:24.0,Turnover by K. Irving (bad pass; steal by J. Grant),,2,4
8,1,10:24.0,,Personal foul by A. Horford (drawn by J. Grant),2,4
9,1,10:09.0,,S. Adams misses 2-pt dunk from 1 ft,2,4
10,1,10:07.0,,Offensive rebound by P. George,2,4
11,1,10:06.0,,P. George makes 3-pt jump shot from 26 ft,2,7
12,1,9:48.0,A. Horford misses 2-pt jump shot from 17 ft,,2,7
13,1,9:45.0,,Defensive rebound by J. Grant,2,7
14,1,9:42.0,,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),2,9
15,1,9:29.0,J. Brown misses 2-pt jump shot from 14 ft,,2,9
16,1,9:27.0,,Defensive rebound by R. Westbrook,2,9
17,1,9:22.0,,J. Grant misses 2-pt layup from 1 ft,2,9
18,1,9:21.0,,Offensive rebound by J. Grant,2,9
19,1,9:21.0,,J. Grant makes 2-pt dunk at rim,2,11
20,1,9:21.0,Boston full timeout,,2,11
21,1,9:06.0,K. Irving misses 3-pt jump shot from 26 ft,,2,11
22,1,9:03.0,,Defensive rebound by J. Grant,2,11
23,1,8:58.0,,R. Westbrook misses 2-pt layup from 2 ft,2,11
24,1,8:56.0,Defensive rebound by K. Irving,,2,11
25,1,8:42.0,G. Hayward misses 3-pt jump shot from 25 ft,,2,11
26,1,8:39.0,,Defensive rebound by S. Adams,2,11
27,1,8:22.0,,J. Grant misses 2-pt layup from 1 ft,2,11
28,1,8:21.0,Defensive rebound by A. Horford,,2,11
29,1,8:06.0,Personal foul by R. Westbrook (drawn by G. Hayward),,2,11
30,1,8:00.0,A. Horford misses 2-pt jump shot from 20 ft,,2,11
31,1,7:57.0,,Defensive rebound by R. Westbrook,2,11
32,1,7:48.0,,P. George misses 2-pt jump shot from 8 ft,2,11
33,1,7:45.0,,Offensive rebound by T. Ferguson,2,11
34,1,7:41.0,,Turnover by J. Grant (step out of bounds),2,11
35,1,7:28.0,J. Tatum makes 2-pt jump shot from 18 ft,,4,11
36,1,7:17.0,,Shooting foul by J. Tatum (drawn by P. George),4,11
37,1,7:17.0,,P. George makes free throw 1 of 2,4,12
38,1,7:17.0,,P. George makes free throw 2 of 2,4,13
39,1,7:09.0,G. Hayward misses 3-pt jump shot from 25 ft,,4,13
40,1,7:05.0,,Defensive rebound by P. George,4,13
41,1,7:02.0,,P. George misses 2-pt jump shot from 16 ft,4,13
42,1,6:59.0,Defensive rebound by G. Hayward,,4,13
43,1,6:50.0,Personal foul by P. George (drawn by G. Hayward),,4,13
44,1,6:50.0,M. Morris enters the game for J. Tatum,,4,13
45,1,6:41.0,Turnover by J. Brown (bad pass),,4,13
46,1,6:41.0,,Oklahoma City full timeout,4,13
47,1,6:30.0,,P. George makes 2-pt jump shot from 18 ft (assist by J. Grant),4,15
48,1,6:09.0,K. Irving misses 3-pt jump shot from 24 ft,,4,15
49,1,6:06.0,Offensive rebound by J. Brown,,4,15
50,1,5:55.0,A. Horford makes 2-pt hook shot from 7 ft,,6,15
51,1,5:36.0,,J. Grant misses 2-pt layup from 1 ft,6,15
52,1,5:34.0,,Offensive rebound by T. Ferguson,6,15
53,1,5:25.0,,R. Westbrook makes 2-pt jump shot from 20 ft,6,17
54,1,5:25.0,,Shooting foul by M. Morris (drawn by R. Westbrook),6,17
55,1,5:25.0,T. Rozier enters the game for J. Brown,,6,17
56,1,5:25.0,M. Smart enters the game for G. Hayward,,6,17
57,1,5:25.0,,P. Patterson enters the game for J. Grant,6,17
58,1,5:25.0,,R. Westbrook misses free throw 1 of 1,6,17
59,1,5:25.0,Defensive rebound by Team,,6,17
60,1,5:03.0,M. Morris misses 2-pt jump shot from 18 ft,,6,17
61,1,5:00.0,,Defensive rebound by P. George,6,17
62,1,4:53.0,,P. George misses 2-pt layup from 2 ft,6,17
63,1,4:53.0,,Offensive rebound by Team,6,17
64,1,4:53.0,Loose ball foul by M. Morris (drawn by S. Adams),,6,17
65,1,4:53.0,,D. Schröder enters the game for T. Ferguson,6,17
66,1,4:46.0,,Shooting foul by K. Irving (drawn by R. Westbrook),6,17
67,1,4:46.0,,R. Westbrook makes free throw 1 of 2,6,18
68,1,4:46.0,,R. Westbrook makes free throw 2 of 2,6,19
69,1,4:34.0,K. Irving misses 2-pt layup from 1 ft,,6,19
70,1,4:32.0,,Defensive rebound by P. Patterson,6,19
71,1,4:22.0,,R. Westbrook misses 2-pt jump shot from 17 ft,6,19
72,1,4:18.0,Defensive rebound by A. Horford,,6,19
73,1,4:16.0,Offensive foul by K. Irving (drawn by D. Schröder),,6,19
74,1,4:16.0,Turnover by K. Irving (offensive foul),,6,19
75,1,4:16.0,J. Tatum enters the game for K. Irving,,6,19
76,1,3:59.0,,S. Adams misses 2-pt hook shot from 8 ft,6,19
77,1,3:56.0,Defensive rebound by J. Tatum,,6,19
78,1,3:43.0,A. Horford misses 2-pt layup at rim,,6,19
79,1,3:40.0,Offensive rebound by A. Horford,,6,19
80,1,3:39.0,A. Horford misses 2-pt layup from 2 ft,,6,19
81,1,3:39.0,Offensive rebound by A. Horford,,6,19
