,QUARTER,TIME_REMAINING,ATLANTA_ACTION,OKLAHOMA CITY_ACTION,ATLANTA_SCORE,OKLAHOMA CITY_SCORE
0,1,11:49.0,,P. George misses 3-pt jump shot from 26 ft,0,0
1,1,11:46.0,Defensive rebound by T. Young,,0,0
2,1,11:34.0,T. Prince misses 2-pt jump shot from 21 ft,,0,0
3,1,11:32.0,,Defensive rebound by R. Westbrook,0,0
4,1,11:29.0,,P. George misses 2-pt layup from 5 ft,0,0
5,1,11:26.0,,Offensive rebound by S. Adams,0,0
6,1,11:25.0,,S. Adams makes 2-pt layup from 1 ft,0,2
7,1,11:18.0,Turnover by T. Young (bad pass; steal by P. George),,0,2
8,1,11:15.0,,P. George makes 2-pt dunk from 1 ft,0,4
9,1,10:59.0,K. Huerter makes 3-pt jump shot from 23 ft (assist by T. Young),,3,4
10,1,10:53.0,,Personal foul by D. Dedmon (drawn by S. Adams),3,4
11,1,10:48.0,,R. Westbrook makes 2-pt layup from 2 ft (assist by S. Adams),3,6
12,1,10:35.0,T. Young misses 3-pt jump shot from 25 ft,,3,6
13,1,10:33.0,,Defensive rebound by Team,3,6
14,1,10:23.0,,Á. Abrines makes 3-pt jump shot from 23 ft (assist by P. George),3,9
15,1,10:22.0,Atlanta full timeout,,3,9
16,1,10:06.0,Turnover by D. Dedmon (off goaltending),,3,9
17,1,9:51.0,,S. Adams misses 2-pt layup from 2 ft,3,9
18,1,9:49.0,,Offensive rebound by S. Adams,3,9
19,1,9:46.0,,Á. Abrines misses 3-pt jump shot from 25 ft,3,9
20,1,9:46.0,,Offensive rebound by S. Adams,3,9
21,1,9:37.0,,P. George makes 2-pt layup from 1 ft (assist by S. Adams),3,11
22,1,9:23.0,T. Prince makes 2-pt jump shot from 8 ft,,5,11
23,1,9:09.0,,S. Adams makes 2-pt jump shot from 6 ft (assist by Á. Abrines),5,13
24,1,8:51.0,J. Collins makes 2-pt hook shot from 5 ft (assist by T. Prince),,7,13
25,1,8:35.0,,J. Grant misses 2-pt layup from 2 ft,7,13
26,1,8:33.0,Defensive rebound by K. Huerter,,7,13
27,1,8:26.0,Personal foul by R. Westbrook (drawn by J. Collins),,7,13
28,1,8:20.0,D. Dedmon misses 3-pt jump shot from 23 ft,,7,13
