,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,OKLAHOMA CITY_ACTION,LA LAKERS_SCORE,OKLAHOMA CITY_SCORE
0,1,11:47.0,,Shooting foul by B. Ingram (drawn by S. Adams),0,0
1,1,11:47.0,,S. Adams makes free throw 1 of 2,0,1
2,1,11:47.0,,S. Adams makes free throw 2 of 2,0,2
3,1,11:34.0,T. Chandler makes 2-pt dunk from 1 ft (assist by L. Ball),,2,2
4,1,11:19.0,,R. Westbrook misses 2-pt jump shot from 15 ft,2,2
5,1,11:16.0,,Offensive rebound by J. Grant,2,2
6,1,11:02.0,,J. Grant makes 2-pt layup from 1 ft (assist by R. Westbrook),2,4
7,1,10:54.0,Turnover by K. Kuzma (lost ball; steal by P. George),,2,4
8,1,10:46.0,,S. Adams makes 2-pt dunk from 1 ft (assist by J. Grant),2,6
9,1,10:21.0,L. Ball makes 2-pt jump shot from 18 ft (assist by B. Ingram),,4,6
10,1,10:12.0,,T. Ferguson misses 2-pt jump shot from 8 ft,4,6
11,1,10:10.0,Defensive rebound by T. Chandler,,4,6
12,1,10:04.0,Turnover by L. Ball (lost ball; steal by S. Adams),,4,6
13,1,9:59.0,,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),4,8
14,1,9:37.0,T. Chandler misses 2-pt jump shot from 6 ft,,4,8
15,1,9:34.0,,Defensive rebound by P. George,4,8
16,1,9:28.0,,Turnover by P. George (bad pass; steal by K. Kuzma),4,8
17,1,9:24.0,Turnover by L. Ball (bad pass),,4,8
18,1,9:03.0,,T. Ferguson makes 3-pt jump shot from 26 ft (assist by R. Westbrook),4,11
19,1,8:48.0,B. Ingram misses 2-pt layup from 5 ft,,4,11
20,1,8:45.0,,Defensive rebound by S. Adams,4,11
21,1,8:38.0,,Personal foul by L. Ball (drawn by J. Grant),4,11
22,1,8:24.0,,R. Westbrook misses 2-pt jump shot from 20 ft,4,11
23,1,8:22.0,Defensive rebound by B. Ingram,,4,11
24,1,8:16.0,K. Kuzma makes 3-pt jump shot from 23 ft (assist by B. Ingram),,7,11
