,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MILWAUKEE_ACTION,PORTLAND_SCORE,MILWAUKEE_SCORE
0,1,11:44.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,0,0
1,1,11:40.0,,Offensive rebound by G. Antetokounmpo,0,0
2,1,11:39.0,,G. Antetokounmpo makes 2-pt dunk at rim,0,2
3,1,11:20.0,Turnover by J. Nurkić (lost ball; steal by G. Antetokounmpo),,0,2
4,1,11:06.0,,E. Bledsoe misses 2-pt jump shot from 15 ft (block by D. Lillard),0,2
5,1,11:06.0,,Offensive rebound by Team,0,2
6,1,11:00.0,,E. Bledsoe makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),0,4
7,1,10:39.0,A. Aminu misses 2-pt jump shot from 12 ft,,0,4
8,1,10:36.0,,Defensive rebound by K. Middleton,0,4
9,1,10:32.0,,K. Middleton makes 2-pt layup from 3 ft,0,6
10,1,10:15.0,J. Nurkić makes 2-pt hook shot from 8 ft,,2,6
11,1,10:04.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),2,9
12,1,9:49.0,Turnover by J. Nurkić (bad pass),,2,9
13,1,9:31.0,,G. Antetokounmpo makes 2-pt jump shot from 19 ft,2,11
14,1,9:16.0,J. Layman misses 3-pt jump shot from 29 ft,,2,11
15,1,9:13.0,,Defensive rebound by K. Middleton,2,11
16,1,9:09.0,,Turnover by K. Middleton (bad pass; steal by A. Aminu),2,11
17,1,9:02.0,C. McCollum makes 3-pt jump shot from 28 ft,,5,11
18,1,8:49.0,,E. Bledsoe misses 2-pt layup from 4 ft (block by D. Lillard),5,11
19,1,8:49.0,,Offensive rebound by Team,5,11
20,1,8:44.0,,B. Lopez misses 3-pt jump shot from 27 ft,5,11
21,1,8:43.0,,Offensive rebound by M. Brogdon,5,11
22,1,8:42.0,,M. Brogdon makes 2-pt layup from 1 ft,5,13
23,1,8:24.0,J. Layman misses 3-pt jump shot from 27 ft,,5,13
24,1,8:22.0,,Defensive rebound by E. Bledsoe,5,13
25,1,8:21.0,,Clear path foul by J. Layman,5,13
26,1,8:21.0,,G. Antetokounmpo misses clear path free throw 1 of 2,5,13
27,1,8:21.0,,Offensive rebound by Team,5,13
28,1,8:21.0,,G. Antetokounmpo makes clear path free throw 2 of 2,5,14
29,1,8:21.0,M. Harkless enters the game for J. Layman,,5,14
30,1,8:13.0,,K. Middleton misses 3-pt jump shot from 25 ft,5,14
31,1,8:13.0,Defensive rebound by A. Aminu,,5,14
32,1,8:02.0,D. Lillard makes 2-pt jump shot from 15 ft,,7,14
33,1,7:54.0,,Personal foul by M. Harkless (drawn by G. Antetokounmpo),7,14
34,1,7:36.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,7,14
35,1,7:32.0,Defensive rebound by A. Aminu,,7,14
36,1,7:20.0,M. Harkless misses 3-pt jump shot from 23 ft,,7,14
37,1,7:17.0,,Defensive rebound by E. Bledsoe,7,14
38,1,7:11.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),7,16
39,1,6:57.0,D. Lillard misses 3-pt jump shot from 23 ft,,7,16
40,1,6:53.0,,Defensive rebound by G. Antetokounmpo,7,16
41,1,6:45.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,7,16
42,1,6:42.0,Defensive rebound by J. Nurkić,,7,16
43,1,6:35.0,C. McCollum misses 2-pt layup from 3 ft (block by M. Brogdon),,7,16
44,1,6:31.0,,Defensive rebound by B. Lopez,7,16
45,1,6:29.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by M. Brogdon),7,18
