,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,CLEVELAND_ACTION,SACRAMENTO_SCORE,CLEVELAND_SCORE
0,1,11:44.0,D. Fox makes 3-pt jump shot from 29 ft (assist by W. Cauley-Stein),,3,0
1,1,11:14.0,,T. Thompson makes 2-pt jump shot from 13 ft,3,2
2,1,10:57.0,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by B. Hield),,5,2
3,1,10:45.0,,Turnover by C. Sexton (offensive foul),5,2
4,1,10:45.0,,Offensive foul by C. Sexton (drawn by I. Shumpert),5,2
5,1,10:37.0,I. Shumpert makes 2-pt jump shot from 20 ft (assist by B. Hield),,7,2
6,1,10:34.0,,Cleveland full timeout,7,2
7,1,10:26.0,Violation by Team (kicked ball),,7,2
8,1,10:12.0,,R. Hood makes 2-pt jump shot from 21 ft,7,4
9,1,9:54.0,N. Bjelica misses 2-pt layup from 1 ft,,7,4
10,1,9:50.0,,Defensive rebound by T. Thompson,7,4
11,1,9:42.0,,C. Sexton misses 2-pt jump shot from 1 ft,7,4
12,1,9:39.0,Defensive rebound by W. Cauley-Stein,,7,4
13,1,9:35.0,N. Bjelica makes 3-pt jump shot from 31 ft (assist by D. Fox),,10,4
14,1,9:16.0,,C. Osman misses 2-pt jump shot from 7 ft (block by B. Hield),10,4
15,1,9:14.0,Defensive rebound by W. Cauley-Stein,,10,4
16,1,9:12.0,I. Shumpert misses 3-pt jump shot from 26 ft,,10,4
17,1,9:07.0,Offensive rebound by B. Hield,,10,4
18,1,9:04.0,B. Hield makes 3-pt jump shot from 23 ft,,13,4
19,1,8:45.0,,Personal foul by B. Hield (drawn by L. Nance),13,4
20,1,8:45.0,,C. Sexton misses 2-pt jump shot from 21 ft,13,4
21,1,8:44.0,Defensive rebound by N. Bjelica,,13,4
22,1,8:35.0,B. Hield makes 2-pt jump shot from 19 ft,,15,4
23,1,8:08.0,,L. Nance makes 2-pt jump shot from 12 ft (assist by R. Hood),15,6
