,QUARTER,TIME_REMAINING,UTAH_ACTION,MIAMI_ACTION,UTAH_SCORE,MIAMI_SCORE
0,1,11:44.0,,W. Ellington misses 3-pt jump shot from 27 ft,0,0
1,1,11:43.0,,Offensive rebound by H. Whiteside,0,0
2,1,11:39.0,,H. Whiteside misses 2-pt hook shot from 2 ft (block by R. Gobert),0,0
3,1,11:39.0,,Offensive rebound by Team,0,0
4,1,11:39.0,,Turnover by J. Richardson (bad pass),0,0
5,1,11:27.0,J. Ingles misses 2-pt jump shot from 11 ft (block by H. Whiteside),,0,0
6,1,11:27.0,Offensive rebound by Team,,0,0
7,1,11:20.0,J. Ingles makes 3-pt jump shot from 26 ft (assist by R. Rubio),,3,0
8,1,11:10.0,,J. Johnson misses 2-pt jump shot from 8 ft,3,0
9,1,11:10.0,,Offensive rebound by Team,3,0
10,1,11:03.0,,H. Whiteside makes 2-pt dunk from 2 ft (assist by J. Richardson),3,2
11,1,10:43.0,J. Crowder misses 2-pt jump shot from 12 ft,,3,2
12,1,10:40.0,Offensive rebound by J. Crowder,,3,2
13,1,10:37.0,J. Crowder misses 3-pt jump shot from 24 ft (block by H. Whiteside),,3,2
14,1,10:31.0,,Defensive rebound by W. Ellington,3,2
15,1,10:22.0,,Turnover by J. Johnson (bad pass; steal by R. Gobert),3,2
16,1,10:15.0,Personal foul by H. Whiteside (drawn by R. Rubio),,3,2
17,1,10:02.0,R. Rubio makes 2-pt jump shot from 12 ft (assist by D. Mitchell),,5,2
18,1,9:48.0,,Turnover by J. Johnson (lost ball; steal by J. Ingles),5,2
19,1,9:46.0,R. Gobert misses 2-pt layup from 1 ft (block by J. Johnson),,5,2
20,1,9:44.0,Offensive rebound by R. Gobert,,5,2
21,1,9:41.0,J. Crowder makes 3-pt jump shot from 24 ft (assist by R. Gobert),,8,2
22,1,9:23.0,,J. Richardson misses 2-pt hook shot from 11 ft,8,2
23,1,9:20.0,Defensive rebound by R. Rubio,,8,2
24,1,9:16.0,J. Ingles makes 2-pt layup from 2 ft,,10,2
25,1,9:16.0,,Miami full timeout,10,2
26,1,9:01.0,,R. McGruder misses 2-pt jump shot from 10 ft,10,2
27,1,8:57.0,,Offensive rebound by H. Whiteside,10,2
28,1,8:57.0,,H. Whiteside misses 2-pt layup at rim,10,2
29,1,8:57.0,,Offensive rebound by H. Whiteside,10,2
30,1,8:57.0,,Shooting foul by J. Crowder (drawn by H. Whiteside),10,2
31,1,8:57.0,,H. Whiteside misses free throw 1 of 2,10,2
32,1,8:57.0,,Offensive rebound by Team,10,2
33,1,8:57.0,,H. Whiteside misses free throw 2 of 2,10,2
34,1,8:53.0,Defensive rebound by D. Mitchell,,10,2
35,1,8:41.0,D. Mitchell makes 2-pt dunk from 1 ft (assist by J. Ingles),,12,2
36,1,8:26.0,,W. Ellington makes 3-pt jump shot from 24 ft (assist by J. Richardson),12,5
37,1,8:09.0,R. Rubio makes 2-pt layup from 2 ft,,14,5
38,1,7:58.0,,J. Johnson misses 2-pt jump shot from 10 ft (block by R. Gobert),14,5
39,1,7:54.0,Defensive rebound by D. Mitchell,,14,5
40,1,7:49.0,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Crowder),,16,5
41,1,7:25.0,,Turnover by J. Richardson (lost ball; steal by J. Crowder),16,5
42,1,7:23.0,Shooting foul by W. Ellington (drawn by J. Crowder),,16,5
43,1,7:23.0,J. Crowder makes free throw 1 of 2,,17,5
44,1,7:23.0,,B. Adebayo enters the game for W. Ellington,17,5
45,1,7:23.0,,K. Olynyk enters the game for J. Johnson,17,5
46,1,7:23.0,,D. Wade enters the game for J. Richardson,17,5
47,1,7:23.0,,J. Winslow enters the game for H. Whiteside,17,5
48,1,7:23.0,J. Crowder makes free throw 2 of 2,,18,5
49,1,7:05.0,,D. Wade misses 2-pt jump shot from 11 ft,18,5
50,1,7:02.0,Defensive rebound by R. Gobert,,18,5
51,1,6:53.0,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Ingles),,20,5
52,1,6:53.0,Technical foul by R. Gobert,,20,5
53,1,6:53.0,,K. Olynyk makes technical free throw,20,6
54,1,6:53.0,,J. Richardson enters the game for R. McGruder,20,6
55,1,6:40.0,,Personal foul by J. Crowder (drawn by K. Olynyk),20,6
56,1,6:40.0,D. Favors enters the game for J. Crowder,,20,6
57,1,6:25.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by D. Wade),20,9
58,1,6:13.0,D. Mitchell makes 2-pt jump shot from 10 ft,,22,9
59,1,6:04.0,,Turnover by J. Winslow (lost ball; steal by J. Ingles),22,9
60,1,5:46.0,D. Mitchell misses 3-pt jump shot from 25 ft,,22,9
61,1,5:44.0,,Defensive rebound by J. Winslow,22,9
62,1,5:36.0,Violation by Team (kicked ball),,22,9
63,1,5:36.0,R. O'Neale enters the game for D. Mitchell,,22,9
64,1,5:31.0,,Shooting foul by R. Rubio (drawn by J. Richardson),22,9
65,1,5:31.0,,J. Richardson makes free throw 1 of 3,22,10
66,1,5:31.0,,J. Richardson makes free throw 2 of 3,22,11
67,1,5:31.0,,J. Richardson makes free throw 3 of 3,22,12
68,1,5:09.0,D. Favors misses 3-pt jump shot from 25 ft,,22,12
69,1,5:07.0,,Defensive rebound by J. Winslow,22,12
70,1,5:01.0,,J. Richardson makes 2-pt layup from 1 ft,22,14
71,1,4:47.0,R. Rubio makes 2-pt jump shot from 18 ft,,24,14
72,1,4:37.0,,J. Winslow makes 2-pt jump shot from 12 ft,24,16
73,1,4:22.0,J. Ingles misses 3-pt jump shot from 23 ft,,24,16
74,1,4:20.0,,Defensive rebound by K. Olynyk,24,16
75,1,4:12.0,,D. Wade misses 2-pt jump shot from 9 ft,24,16
76,1,4:10.0,Defensive rebound by J. Ingles,,24,16
77,1,4:06.0,R. Rubio misses 2-pt jump shot from 12 ft,,24,16
78,1,4:04.0,Offensive rebound by R. Gobert,,24,16
79,1,4:03.0,R. Gobert makes 2-pt dunk from 1 ft,,26,16
80,1,3:40.0,,B. Adebayo misses 2-pt jump shot from 8 ft,26,16
81,1,3:38.0,Defensive rebound by D. Favors,,26,16
82,1,3:30.0,J. Ingles makes 2-pt layup from 1 ft,,28,16
83,1,3:15.0,,K. Olynyk misses 3-pt jump shot from 26 ft,28,16
84,1,3:13.0,Defensive rebound by R. Gobert,,28,16
85,1,3:07.0,Utah full timeout,,28,16
86,1,3:07.0,K. Korver enters the game for J. Ingles,,28,16
87,1,3:07.0,R. Neto enters the game for R. Rubio,,28,16
88,1,2:53.0,R. O'Neale makes 3-pt jump shot from 26 ft (assist by R. Neto),,31,16
89,1,2:37.0,,D. Wade misses 2-pt layup from 1 ft (block by D. Favors),31,16
90,1,2:37.0,,Offensive rebound by Team,31,16
91,1,2:37.0,D. Mitchell enters the game for R. O'Neale,,31,16
92,1,2:37.0,,W. Ellington enters the game for J. Richardson,31,16
93,1,2:28.0,,Turnover by D. Wade (bad pass; steal by D. Favors),31,16
94,1,2:21.0,D. Mitchell makes 2-pt layup from 2 ft,,33,16
95,1,2:04.0,,K. Olynyk misses 2-pt jump shot from 8 ft,33,16
96,1,2:01.0,Defensive rebound by K. Korver,,33,16
97,1,2:01.0,J. Crowder enters the game for R. Gobert,,33,16
98,1,1:46.0,R. Neto makes 2-pt layup from 1 ft,,35,16
99,1,1:27.0,,D. Wade makes 2-pt jump shot from 18 ft,35,18
100,1,1:16.0,Turnover by D. Mitchell (bad pass),,35,18
101,1,1:00.0,,W. Ellington makes 3-pt jump shot from 26 ft (assist by B. Adebayo),35,21
102,1,0:48.0,D. Mitchell misses 2-pt layup from 2 ft (block by J. Winslow),,35,21
103,1,0:44.0,,Defensive rebound by D. Wade,35,21
104,1,0:40.0,,K. Olynyk makes 3-pt jump shot from 26 ft (assist by D. Wade),35,24
105,1,0:29.0,D. Mitchell misses 3-pt jump shot from 25 ft,,35,24
106,1,0:28.0,,Defensive rebound by K. Olynyk,35,24
107,1,0:07.0,,J. Winslow makes 3-pt jump shot from 24 ft (assist by K. Olynyk),35,27
108,2,11:31.0,J. Crowder misses 2-pt jump shot from 21 ft,,35,27
109,2,11:27.0,,Defensive rebound by D. Wade,35,27
110,2,11:18.0,,W. Ellington misses 3-pt jump shot from 25 ft,35,27
111,2,11:18.0,Defensive rebound by Team,,35,27
112,2,11:18.0,,H. Whiteside enters the game for B. Adebayo,35,27
113,2,11:06.0,D. Mitchell misses 2-pt layup from 1 ft (block by H. Whiteside),,35,27
114,2,11:03.0,,Defensive rebound by H. Whiteside,35,27
115,2,10:48.0,,H. Whiteside makes 2-pt hook shot from 9 ft,35,29
116,2,10:30.0,Turnover by J. Crowder (back court),,35,29
117,2,10:30.0,T. Sefolosha enters the game for J. Crowder,,35,29
118,2,10:14.0,,J. Winslow makes 2-pt dunk from 1 ft (assist by D. Wade),35,31
119,2,9:47.0,D. Mitchell misses 2-pt jump shot from 21 ft,,35,31
120,2,9:47.0,Offensive rebound by Team,,35,31
121,2,9:47.0,Turnover by Team (shot clock),,35,31
122,2,9:35.0,,D. Wade misses 3-pt jump shot from 26 ft,35,31
123,2,9:33.0,Defensive rebound by R. O'Neale,,35,31
124,2,9:29.0,Turnover by R. O'Neale (lost ball; steal by J. Winslow),,35,31
125,2,9:18.0,,H. Whiteside makes 2-pt layup from 1 ft (assist by D. Wade),35,33
126,2,9:18.0,,Shooting foul by D. Favors (drawn by H. Whiteside),35,33
127,2,9:18.0,J. Ingles enters the game for R. O'Neale,,35,33
128,2,9:18.0,,H. Whiteside makes free throw 1 of 1,35,34
129,2,9:03.0,K. Korver misses 3-pt jump shot from 26 ft,,35,34
130,2,9:00.0,Offensive rebound by D. Favors,,35,34
131,2,8:52.0,D. Mitchell misses 2-pt jump shot from 20 ft,,35,34
132,2,8:48.0,,Defensive rebound by W. Ellington,35,34
133,2,8:42.0,,Shooting foul by J. Ingles (drawn by K. Olynyk),35,34
134,2,8:42.0,,K. Olynyk makes free throw 1 of 2,35,35
135,2,8:42.0,R. Gobert enters the game for D. Favors,,35,35
136,2,8:42.0,R. Rubio enters the game for D. Mitchell,,35,35
137,2,8:42.0,,J. Richardson enters the game for D. Wade,35,35
138,2,8:42.0,,K. Olynyk misses free throw 2 of 2,35,35
139,2,8:36.0,,Offensive rebound by H. Whiteside,35,35
140,2,8:34.0,,K. Olynyk misses 3-pt jump shot from 23 ft,35,35
141,2,8:32.0,Defensive rebound by R. Gobert,,35,35
142,2,8:14.0,K. Korver misses 3-pt jump shot from 24 ft,,35,35
143,2,8:12.0,,Defensive rebound by J. Richardson,35,35
144,2,7:55.0,,J. Winslow misses 2-pt jump shot from 10 ft,35,35
145,2,7:55.0,,Offensive rebound by Team,35,35
146,2,7:55.0,,Miami full timeout,35,35
147,2,7:52.0,,J. Richardson misses 2-pt jump shot from 15 ft,35,35
148,2,7:48.0,Defensive rebound by R. Rubio,,35,35
149,2,7:36.0,K. Korver misses 3-pt jump shot from 23 ft (block by K. Olynyk),,35,35
150,2,7:34.0,,Defensive rebound by H. Whiteside,35,35
151,2,7:27.0,,Def 3 sec tech foul by Team,35,35
152,2,7:27.0,,J. Richardson makes technical free throw,35,36
153,2,7:19.0,,J. Richardson misses 2-pt jump shot from 14 ft,35,36
154,2,7:17.0,Defensive rebound by T. Sefolosha,,35,36
155,2,7:08.0,J. Ingles misses 2-pt layup from 1 ft,,35,36
156,2,7:03.0,Offensive rebound by R. Gobert,,35,36
157,2,7:03.0,R. Gobert misses 2-pt layup at rim,,35,36
158,2,7:03.0,,Defensive rebound by K. Olynyk,35,36
159,2,6:53.0,,Turnover by K. Olynyk (bad pass),35,36
160,2,6:53.0,R. O'Neale enters the game for K. Korver,,35,36
161,2,6:38.0,J. Ingles misses 2-pt jump shot from 12 ft,,35,36
162,2,6:36.0,,Defensive rebound by H. Whiteside,35,36
163,2,6:29.0,,Turnover by J. Winslow (out of bounds lost ball),35,36
164,2,6:29.0,,J. Johnson enters the game for K. Olynyk,35,36
165,2,6:15.0,R. Gobert misses 2-pt dunk from 1 ft,,35,36
166,2,6:13.0,,Defensive rebound by W. Ellington,35,36
167,2,6:06.0,,J. Richardson misses 3-pt jump shot from 25 ft,35,36
168,2,6:06.0,Defensive rebound by Team,,35,36
169,2,6:06.0,,Loose ball foul by H. Whiteside (drawn by R. Gobert),35,36
170,2,5:46.0,J. Ingles misses 2-pt jump shot from 18 ft,,35,36
171,2,5:46.0,Offensive rebound by Team,,35,36
172,2,5:46.0,J. Crowder enters the game for T. Sefolosha,,35,36
173,2,5:39.0,J. Ingles makes 2-pt jump shot from 13 ft (assist by R. Gobert),,37,36
174,2,5:26.0,,W. Ellington misses 2-pt layup from 2 ft,37,36
175,2,5:26.0,Defensive rebound by R. Rubio,,37,36
176,2,5:19.0,J. Crowder makes 3-pt jump shot from 27 ft (assist by J. Ingles),,40,36
177,2,4:57.0,,H. Whiteside makes 2-pt layup from 3 ft,40,38
178,2,4:57.0,,Shooting foul by J. Ingles (drawn by H. Whiteside),40,38
179,2,4:57.0,D. Mitchell enters the game for R. O'Neale,,40,38
180,2,4:57.0,,D. Wade enters the game for J. Winslow,40,38
181,2,4:57.0,,H. Whiteside misses free throw 1 of 1,40,38
182,2,4:57.0,Defensive rebound by R. Gobert,,40,38
183,2,4:40.0,Turnover by R. Gobert (lost ball; steal by J. Johnson),,40,38
