,QUARTER,TIME_REMAINING,PORTLAND_ACTION,DETROIT_ACTION,PORTLAND_SCORE,DETROIT_SCORE
0,1,11:42.0,,R. Jackson misses 3-pt jump shot from 27 ft,0,0
1,1,11:38.0,Defensive rebound by J. Layman,,0,0
2,1,11:22.0,E. Freedom misses 2-pt jump shot from 13 ft,,0,0
3,1,11:19.0,Offensive rebound by J. Layman,,0,0
4,1,11:17.0,J. Layman makes 2-pt layup from 1 ft,,2,0
5,1,11:04.0,,W. Ellington misses 3-pt jump shot from 25 ft,2,0
6,1,10:59.0,Defensive rebound by D. Lillard,,2,0
7,1,10:50.0,J. Layman misses 3-pt jump shot from 23 ft,,2,0
8,1,10:45.0,,Defensive rebound by W. Ellington,2,0
9,1,10:30.0,,T. Maker misses 3-pt jump shot from 24 ft,2,0
10,1,10:25.0,Defensive rebound by D. Lillard,,2,0
11,1,10:20.0,Turnover by M. Harkless (bad pass),,2,0
12,1,10:09.0,,Turnover by A. Drummond (bad pass; steal by E. Freedom),2,0
13,1,10:05.0,M. Harkless misses 2-pt layup from 1 ft (block by R. Jackson),,2,0
14,1,10:02.0,,Defensive rebound by A. Drummond,2,0
15,1,9:57.0,,T. Maker misses 2-pt layup from 3 ft (block by J. Layman),2,0
16,1,9:52.0,Defensive rebound by A. Aminu,,2,0
17,1,9:51.0,Personal foul by T. Maker (drawn by A. Aminu),,2,0
18,1,9:43.0,A. Aminu misses 2-pt dunk from 2 ft (block by A. Drummond),,2,0
19,1,9:39.0,,Defensive rebound by A. Drummond,2,0
20,1,9:32.0,,B. Brown misses 3-pt jump shot from 25 ft,2,0
21,1,9:29.0,Defensive rebound by A. Aminu,,2,0
22,1,9:13.0,E. Freedom makes 2-pt layup from 2 ft (assist by D. Lillard),,4,0
23,1,9:04.0,,A. Drummond misses 2-pt hook shot from 3 ft,4,0
24,1,9:02.0,,Offensive rebound by A. Drummond,4,0
25,1,8:55.0,,A. Drummond misses 2-pt jump shot from 23 ft,4,0
26,1,8:48.0,Defensive rebound by M. Harkless,,4,0
27,1,8:44.0,D. Lillard misses 3-pt jump shot from 32 ft,,4,0
28,1,8:40.0,,Defensive rebound by A. Drummond,4,0
29,1,8:31.0,,R. Jackson misses 2-pt jump shot from 16 ft,4,0
30,1,8:29.0,Defensive rebound by D. Lillard,,4,0
31,1,8:17.0,E. Freedom misses 2-pt layup from 2 ft,,4,0
32,1,8:17.0,Offensive rebound by Team,,4,0
33,1,8:04.0,J. Layman misses 3-pt jump shot from 26 ft,,4,0
34,1,8:01.0,,Defensive rebound by A. Drummond,4,0
35,1,7:49.0,,W. Ellington misses 3-pt jump shot from 26 ft,4,0
36,1,7:47.0,Defensive rebound by E. Freedom,,4,0
37,1,7:33.0,A. Aminu misses 2-pt jump shot from 10 ft,,4,0
38,1,7:31.0,,Defensive rebound by W. Ellington,4,0
39,1,7:24.0,,Shooting foul by M. Harkless (drawn by R. Jackson),4,0
40,1,7:24.0,,R. Jackson makes free throw 1 of 2,4,1
41,1,7:24.0,,R. Jackson makes free throw 2 of 2,4,2
42,1,7:03.0,D. Lillard makes 2-pt layup from 2 ft,,6,2
43,1,6:46.0,,R. Jackson misses 2-pt jump shot from 8 ft,6,2
44,1,6:44.0,Defensive rebound by E. Freedom,,6,2
45,1,6:37.0,A. Aminu misses 2-pt layup from 1 ft,,6,2
46,1,6:36.0,Offensive rebound by E. Freedom,,6,2
47,1,6:36.0,E. Freedom misses 2-pt layup from 1 ft,,6,2
48,1,6:36.0,Offensive rebound by E. Freedom,,6,2
49,1,6:36.0,E. Freedom makes 2-pt layup from 1 ft,,8,2
50,1,6:36.0,,Detroit full timeout,8,2
51,1,6:22.0,,B. Brown misses 2-pt dunk from 3 ft (block by M. Harkless),8,2
52,1,6:19.0,Defensive rebound by M. Harkless,,8,2
53,1,6:03.0,D. Lillard misses 2-pt jump shot from 18 ft,,8,2
54,1,6:00.0,,Defensive rebound by R. Jackson,8,2
55,1,5:41.0,,W. Ellington misses 2-pt layup from 2 ft,8,2
56,1,5:39.0,Defensive rebound by J. Layman,,8,2
57,1,5:33.0,Turnover by E. Freedom (bad pass),,8,2
58,1,5:16.0,,W. Ellington misses 3-pt jump shot from 25 ft,8,2
59,1,5:14.0,Defensive rebound by M. Harkless,,8,2
60,1,5:06.0,Turnover by A. Aminu (traveling),,8,2
61,1,5:06.0,R. Hood enters the game for J. Layman,,8,2
62,1,4:48.0,,R. Jackson makes 2-pt jump shot from 16 ft,8,4
63,1,4:32.0,Personal foul by A. Drummond (drawn by D. Lillard),,8,4
64,1,4:32.0,Z. Collins enters the game for A. Aminu,,8,4
65,1,4:32.0,,L. Kennard enters the game for W. Ellington,8,4
66,1,4:32.0,,G. Robinson enters the game for T. Maker,8,4
67,1,4:21.0,R. Hood misses 2-pt jump shot from 18 ft,,8,4
68,1,4:18.0,,Defensive rebound by A. Drummond,8,4
69,1,4:10.0,,R. Jackson misses 3-pt jump shot from 26 ft,8,4
70,1,4:07.0,,Offensive rebound by A. Drummond,8,4
71,1,4:07.0,,Shooting foul by E. Freedom (drawn by A. Drummond),8,4
72,1,4:07.0,,A. Drummond makes free throw 1 of 2,8,5
73,1,4:07.0,,A. Drummond misses free throw 2 of 2,8,5
74,1,4:07.0,Defensive rebound by R. Hood,,8,5
75,1,4:07.0,S. Curry enters the game for Z. Collins,,8,5
76,1,3:47.0,E. Freedom makes 2-pt layup from 1 ft (assist by S. Curry),,10,5
77,1,3:27.0,,L. Kennard misses 2-pt layup from 3 ft (block by M. Harkless),10,5
78,1,3:24.0,Defensive rebound by M. Harkless,,10,5
79,1,3:20.0,E. Freedom makes 2-pt layup from 1 ft (assist by M. Harkless),,12,5
80,1,3:04.0,,R. Jackson misses 2-pt jump shot from 14 ft,12,5
81,1,3:01.0,Defensive rebound by M. Harkless,,12,5
82,1,2:52.0,D. Lillard misses 3-pt jump shot from 27 ft,,12,5
83,1,2:49.0,,Defensive rebound by G. Robinson,12,5
84,1,2:40.0,,Turnover by R. Jackson (bad pass; steal by D. Lillard),12,5
85,1,2:31.0,Personal foul by B. Brown (drawn by D. Lillard),,12,5
86,1,2:31.0,Portland full timeout,,12,5
87,1,2:31.0,,I. Smith enters the game for R. Jackson,12,5
88,1,2:23.0,D. Lillard misses 2-pt jump shot from 19 ft,,12,5
89,1,2:20.0,,Defensive rebound by L. Kennard,12,5
90,1,2:11.0,,G. Robinson misses 2-pt hook shot from 4 ft,12,5
91,1,2:08.0,Defensive rebound by D. Lillard,,12,5
92,1,2:05.0,M. Harkless makes 2-pt layup from 2 ft (assist by D. Lillard),,14,5
93,1,1:46.0,,G. Robinson makes 2-pt layup from 2 ft (assist by L. Kennard),14,7
94,1,1:46.0,,Shooting foul by M. Harkless (drawn by G. Robinson),14,7
95,1,1:46.0,A. Aminu enters the game for M. Harkless,,14,7
96,1,1:46.0,,L. Galloway enters the game for B. Brown,14,7
