,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,BROOKLYN_ACTION,LA LAKERS_SCORE,BROOKLYN_SCORE
0,1,11:36.0,,R. Kurucs misses 3-pt jump shot from 23 ft,0,0
1,1,11:35.0,Defensive rebound by Team,,0,0
2,1,11:21.0,T. Chandler makes 2-pt hook shot from 4 ft (assist by L. James),,2,0
3,1,11:07.0,,J. Harris misses 2-pt layup from 2 ft (block by T. Chandler),2,0
4,1,11:07.0,,Offensive rebound by Team,2,0
5,1,10:59.0,,J. Allen misses 2-pt hook shot from 5 ft,2,0
6,1,10:55.0,Defensive rebound by K. Kuzma,,2,0
7,1,10:50.0,L. James misses 2-pt dunk from 4 ft (block by J. Allen),,2,0
8,1,10:46.0,,Defensive rebound by D. Russell,2,0
9,1,10:36.0,,D. Russell misses 2-pt jump shot from 18 ft,2,0
10,1,10:34.0,Defensive rebound by L. James,,2,0
11,1,10:32.0,J. Hart misses 2-pt layup from 2 ft (block by D. Russell),,2,0
12,1,10:32.0,Offensive rebound by Team,,2,0
13,1,10:29.0,K. Kuzma misses 2-pt jump shot from 9 ft,,2,0
14,1,10:26.0,Offensive rebound by L. Ball,,2,0
15,1,10:21.0,Turnover by L. James (traveling),,2,0
16,1,10:09.0,,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by D. Russell),2,2
17,1,9:56.0,T. Chandler makes 2-pt dunk from 1 ft (assist by L. Ball),,4,2
18,1,9:47.0,,J. Allen makes 2-pt layup from 1 ft (assist by D. Russell),4,4
19,1,9:47.0,,Shooting foul by T. Chandler (drawn by J. Allen),4,4
20,1,9:47.0,,J. Allen misses free throw 1 of 1,4,4
21,1,9:44.0,Defensive rebound by L. James,,4,4
22,1,9:32.0,Turnover by L. James (bad pass),,4,4
23,1,9:22.0,,J. Harris makes 2-pt jump shot from 18 ft (assist by D. Russell),4,6
24,1,9:11.0,J. Hart misses 2-pt jump shot from 15 ft,,4,6
25,1,9:08.0,,Defensive rebound by D. Russell,4,6
26,1,9:01.0,,J. Allen misses 2-pt layup from 2 ft,4,6
27,1,8:58.0,Defensive rebound by J. Hart,,4,6
28,1,8:55.0,Shooting foul by J. Allen (drawn by L. James),,4,6
29,1,8:55.0,L. James misses free throw 1 of 2,,4,6
30,1,8:55.0,Offensive rebound by Team,,4,6
31,1,8:55.0,L. James makes free throw 2 of 2,,5,6
32,1,8:44.0,,J. Allen makes 2-pt hook shot from 4 ft (assist by J. Harris),5,8
33,1,8:30.0,L. James misses 2-pt layup from 3 ft,,5,8
34,1,8:27.0,Offensive rebound by T. Chandler,,5,8
35,1,8:24.0,K. Kuzma makes 2-pt dunk from 2 ft (assist by T. Chandler),,7,8
36,1,7:58.0,,R. Hollis-Jefferson makes 2-pt jump shot from 10 ft (assist by D. Russell),7,10
37,1,7:48.0,K. Kuzma makes 2-pt jump shot from 12 ft,,9,10
38,1,7:33.0,,Turnover by D. Russell (bad pass; steal by L. Ball),9,10
39,1,7:29.0,J. Hart misses 2-pt layup from 2 ft,,9,10
40,1,7:23.0,Offensive rebound by J. Hart,,9,10
41,1,7:23.0,Shooting foul by R. Kurucs (drawn by L. James),,9,10
42,1,7:23.0,L. James makes free throw 1 of 2,,10,10
43,1,7:23.0,L. James misses free throw 2 of 2,,10,10
44,1,7:20.0,,Defensive rebound by R. Hollis-Jefferson,10,10
45,1,7:12.0,,D. Russell makes 3-pt jump shot from 25 ft (assist by J. Allen),10,13
46,1,6:57.0,L. Ball makes 3-pt jump shot from 25 ft,,13,13
47,1,6:56.0,,Brooklyn full timeout,13,13
48,1,6:40.0,,D. Russell makes 3-pt jump shot from 26 ft,13,16
49,1,6:23.0,L. Ball misses 2-pt jump shot from 11 ft,,13,16
50,1,6:20.0,,Defensive rebound by J. Harris,13,16
51,1,6:14.0,,J. Harris misses 2-pt layup from 1 ft,13,16
52,1,6:11.0,Defensive rebound by J. Hart,,13,16
53,1,6:09.0,Shooting foul by D. Russell (drawn by L. Ball),,13,16
54,1,6:09.0,L. Ball misses free throw 1 of 2,,13,16
55,1,6:09.0,Offensive rebound by Team,,13,16
56,1,6:09.0,I. Zubac enters the game for T. Chandler,,13,16
57,1,6:09.0,,S. Dinwiddie enters the game for D. Russell,13,16
58,1,6:09.0,L. Ball misses free throw 2 of 2,,13,16
59,1,6:05.0,,Defensive rebound by R. Hollis-Jefferson,13,16
60,1,5:45.0,,R. Hollis-Jefferson makes 2-pt jump shot from 10 ft (assist by S. Dinwiddie),13,18
61,1,5:29.0,L. Ball makes 3-pt jump shot from 26 ft (assist by I. Zubac),,16,18
62,1,5:19.0,,R. Hollis-Jefferson misses 2-pt layup from 2 ft (block by I. Zubac),16,18
63,1,5:18.0,,Offensive rebound by Team,16,18
64,1,5:16.0,Loose ball foul by L. Ball (drawn by J. Allen),,16,18
65,1,5:16.0,K. Caldwell-Pope enters the game for J. Hart,,16,18
66,1,5:09.0,,Shooting foul by I. Zubac (drawn by J. Harris),16,18
67,1,5:09.0,,J. Harris makes free throw 1 of 2,16,19
68,1,5:09.0,,D. Carroll enters the game for R. Kurucs,16,19
69,1,5:09.0,,J. Harris makes free throw 2 of 2,16,20
70,1,4:58.0,I. Zubac misses 2-pt jump shot from 16 ft,,16,20
71,1,4:56.0,,Defensive rebound by J. Allen,16,20
72,1,4:48.0,,Turnover by J. Allen (lost ball; steal by K. Caldwell-Pope),16,20
73,1,4:35.0,L. Ball makes 2-pt jump shot from 20 ft,,18,20
74,1,4:19.0,,R. Hollis-Jefferson misses 2-pt layup from 1 ft,18,20
75,1,4:16.0,Defensive rebound by L. James,,18,20
76,1,4:04.0,L. Ball makes 3-pt jump shot from 25 ft (assist by K. Kuzma),,21,20
77,1,3:49.0,,Personal foul by L. Ball (drawn by R. Hollis-Jefferson),21,20
78,1,3:49.0,L. Stephenson enters the game for L. Ball,,21,20
79,1,3:49.0,,E. Davis enters the game for J. Allen,21,20
80,1,3:49.0,,J. Dudley enters the game for R. Hollis-Jefferson,21,20
81,1,3:45.0,,Shooting foul by I. Zubac (drawn by S. Dinwiddie),21,20
82,1,3:45.0,,S. Dinwiddie makes free throw 1 of 2,21,21
83,1,3:45.0,,S. Dinwiddie misses free throw 2 of 2,21,21
84,1,3:44.0,Defensive rebound by L. James,,21,21
85,1,3:44.0,LA Lakers full timeout,,21,21
86,1,3:44.0,M. Wagner enters the game for I. Zubac,,21,21
87,1,3:36.0,L. James makes 2-pt jump shot from 8 ft,,23,21
88,1,3:14.0,,Shooting foul by M. Wagner (drawn by S. Dinwiddie),23,21
89,1,3:14.0,,S. Dinwiddie makes free throw 1 of 2,23,22
90,1,3:14.0,,S. Dinwiddie makes free throw 2 of 2,23,23
91,1,3:01.0,M. Wagner makes 3-pt jump shot from 26 ft (assist by L. James),,26,23
92,1,2:38.0,,S. Dinwiddie makes 2-pt layup from 2 ft,26,25
93,1,2:32.0,L. James makes 2-pt layup from 1 ft,,28,25
94,1,2:16.0,,D. Carroll makes 3-pt jump shot from 23 ft (assist by J. Dudley),28,28
95,1,2:01.0,Turnover by K. Kuzma (traveling),,28,28
96,1,2:01.0,,D. Russell enters the game for J. Harris,28,28
97,1,1:47.0,,J. Dudley misses 3-pt jump shot from 24 ft,28,28
98,1,1:42.0,Defensive rebound by M. Wagner,,28,28
99,1,1:38.0,L. Stephenson misses 2-pt layup from 2 ft,,28,28
100,1,1:35.0,,Defensive rebound by E. Davis,28,28
101,1,1:28.0,,D. Carroll misses 2-pt jump shot from 15 ft,28,28
102,1,1:24.0,Defensive rebound by K. Kuzma,,28,28
103,1,1:15.0,L. Stephenson misses 3-pt jump shot from 25 ft,,28,28
104,1,1:12.0,,Defensive rebound by E. Davis,28,28
105,1,1:09.0,,D. Russell misses 3-pt jump shot from 25 ft,28,28
106,1,1:06.0,Defensive rebound by L. Stephenson,,28,28
107,1,0:53.0,L. James misses 2-pt jump shot from 4 ft,,28,28
108,1,0:51.0,,Defensive rebound by E. Davis,28,28
109,1,0:48.0,,D. Russell makes 2-pt layup from 1 ft,28,30
110,1,0:37.0,L. Stephenson makes 3-pt jump shot from 26 ft (assist by K. Caldwell-Pope),,31,30
111,1,0:32.0,,D. Russell makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),31,33
112,1,0:13.0,Shooting foul by D. Carroll (drawn by L. James),,31,33
113,1,0:13.0,L. James misses free throw 1 of 2,,31,33
114,1,0:13.0,Offensive rebound by Team,,31,33
115,1,0:13.0,J. Hart enters the game for M. Wagner,,31,33
116,1,0:13.0,,J. Allen enters the game for E. Davis,31,33
117,1,0:13.0,L. James makes free throw 2 of 2,,32,33
118,1,0:01.0,,D. Russell misses 2-pt jump shot from 18 ft,32,33
119,1,0:01.0,Defensive rebound by L. Stephenson,,32,33
120,2,11:46.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,32,33
121,2,11:42.0,,Defensive rebound by D. Russell,32,33
122,2,11:34.0,,D. Russell makes 2-pt jump shot from 16 ft,32,35
123,2,11:19.0,L. Ball misses 2-pt layup from 2 ft,,32,35
124,2,11:16.0,,Defensive rebound by S. Dinwiddie,32,35
