,QUARTER,TIME_REMAINING,BOSTON_ACTION,CLEVELAND_ACTION,BOSTON_SCORE,CLEVELAND_SCORE
0,1,11:34.0,,D. Nwaba misses 3-pt jump shot from 26 ft,0,0
1,1,11:32.0,Defensive rebound by A. Horford,,0,0
2,1,11:18.0,A. Horford makes 2-pt layup at rim (assist by M. Smart),,2,0
3,1,11:02.0,,D. Nwaba makes 2-pt layup from 2 ft (assist by C. Sexton),2,2
4,1,11:02.0,Violation by Team (def goaltending),,2,2
5,1,10:53.0,Personal foul by A. Burks (drawn by J. Tatum),,2,2
6,1,10:43.0,J. Tatum misses 2-pt jump shot from 1 ft,,2,2
7,1,10:37.0,Offensive rebound by J. Tatum,,2,2
8,1,10:37.0,J. Tatum misses 2-pt layup from 1 ft,,2,2
9,1,10:36.0,,Defensive rebound by A. Žižić,2,2
10,1,10:23.0,,A. Burks misses 3-pt jump shot from 27 ft,2,2
11,1,10:20.0,Defensive rebound by J. Tatum,,2,2
12,1,10:09.0,T. Rozier makes 3-pt jump shot from 26 ft (assist by A. Horford),,5,2
13,1,9:43.0,,A. Burks misses 2-pt jump shot from 8 ft,5,2
14,1,9:40.0,,Offensive rebound by A. Burks,5,2
15,1,9:39.0,,A. Burks makes 2-pt jump shot from 17 ft,5,4
16,1,9:30.0,M. Smart makes 2-pt layup from 1 ft (assist by A. Horford),,7,4
17,1,9:11.0,,C. Sexton makes 2-pt layup at rim (assist by D. Nwaba),7,6
18,1,8:55.0,J. Brown misses 2-pt jump shot from 12 ft,,7,6
19,1,8:53.0,,Defensive rebound by D. Adel,7,6
20,1,8:41.0,,D. Nwaba makes 2-pt jump shot from 10 ft (assist by D. Adel),7,8
21,1,8:24.0,M. Smart misses 2-pt layup from 3 ft,,7,8
22,1,8:23.0,,Defensive rebound by D. Nwaba,7,8
23,1,8:18.0,,Shooting foul by A. Horford (drawn by A. Žižić),7,8
24,1,8:18.0,,A. Žižić makes free throw 1 of 2,7,9
25,1,8:18.0,,A. Žižić makes free throw 2 of 2,7,10
26,1,8:06.0,Personal foul by A. Žižić (drawn by A. Horford),,7,10
27,1,7:58.0,Turnover by M. Smart (bad pass; steal by C. Sexton),,7,10
28,1,7:50.0,,D. Adel misses 3-pt jump shot from 25 ft,7,10
