,QUARTER,TIME_REMAINING,DETROIT_ACTION,MILWAUKEE_ACTION,DETROIT_SCORE,MILWAUKEE_SCORE
0,1,11:42.0,L. Kennard makes 3-pt jump shot from 26 ft (assist by R. Jackson),,3,0
1,1,11:27.0,,B. Lopez makes 2-pt jump shot from 2 ft (assist by K. Middleton),3,2
2,1,11:07.0,Shooting foul by E. Bledsoe (drawn by R. Jackson),,3,2
3,1,11:07.0,R. Jackson makes free throw 1 of 2,,4,2
4,1,11:07.0,R. Jackson misses free throw 2 of 2,,4,2
5,1,11:03.0,Offensive rebound by T. Maker,,4,2
6,1,10:59.0,W. Ellington misses 3-pt jump shot from 29 ft,,4,2
7,1,10:56.0,,Defensive rebound by G. Antetokounmpo,4,2
8,1,10:47.0,,B. Lopez misses 2-pt jump shot from 15 ft,4,2
9,1,10:44.0,Defensive rebound by R. Jackson,,4,2
10,1,10:36.0,R. Jackson makes 2-pt jump shot from 12 ft,,6,2
11,1,10:13.0,,E. Bledsoe makes 3-pt jump shot from 26 ft (assist by K. Middleton),6,5
12,1,10:00.0,R. Jackson misses 2-pt layup from 2 ft,,6,5
13,1,9:56.0,Offensive rebound by R. Jackson,,6,5
14,1,9:55.0,T. Maker misses 3-pt jump shot from 24 ft,,6,5
15,1,9:52.0,,Defensive rebound by K. Middleton,6,5
16,1,9:50.0,,K. Middleton misses 3-pt jump shot from 27 ft,6,5
17,1,9:45.0,Defensive rebound by A. Drummond,,6,5
18,1,9:35.0,A. Drummond makes 2-pt dunk from 1 ft (assist by W. Ellington),,8,5
19,1,9:26.0,,Personal foul by R. Jackson (drawn by E. Bledsoe),8,5
20,1,9:16.0,,E. Bledsoe makes 3-pt jump shot from 26 ft,8,8
21,1,9:04.0,Personal foul by S. Brown (drawn by L. Kennard),,8,8
22,1,8:52.0,T. Maker makes 2-pt hook shot from 5 ft (assist by R. Jackson),,10,8
23,1,8:44.0,,K. Middleton makes 2-pt layup from 3 ft (assist by E. Bledsoe),10,10
24,1,8:28.0,W. Ellington misses 2-pt jump shot from 7 ft,,10,10
25,1,8:25.0,,Defensive rebound by B. Lopez,10,10
26,1,8:24.0,Violation by Team (def goaltending),,10,10
27,1,8:24.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by K. Middleton),10,12
28,1,8:24.0,,Shooting foul by A. Drummond (drawn by G. Antetokounmpo),10,12
29,1,8:24.0,,G. Antetokounmpo misses free throw 1 of 1,10,12
30,1,8:24.0,Defensive rebound by A. Drummond,,10,12
31,1,8:00.0,R. Jackson makes 3-pt jump shot from 28 ft,,13,12
32,1,7:53.0,,G. Antetokounmpo makes 2-pt layup from 3 ft (assist by E. Bledsoe),13,14
33,1,7:53.0,,Shooting foul by T. Maker (drawn by G. Antetokounmpo),13,14
34,1,7:53.0,,P. Connaughton enters the game for S. Brown,13,14
35,1,7:53.0,,G. Antetokounmpo makes free throw 1 of 1,13,15
36,1,7:34.0,L. Kennard misses 2-pt layup from 3 ft (block by G. Antetokounmpo),,13,15
37,1,7:31.0,,Defensive rebound by B. Lopez,13,15
38,1,7:19.0,,K. Middleton makes 3-pt jump shot from 25 ft,13,18
39,1,7:15.0,Detroit full timeout,,13,18
40,1,7:15.0,,E. İlyasova enters the game for B. Lopez,13,18
41,1,7:03.0,Personal foul by K. Middleton (drawn by T. Maker),,13,18
42,1,6:55.0,T. Maker misses 3-pt jump shot from 29 ft,,13,18
43,1,6:52.0,,Defensive rebound by K. Middleton,13,18
44,1,6:49.0,,Shooting foul by W. Ellington (drawn by K. Middleton),13,18
45,1,6:49.0,,K. Middleton makes free throw 1 of 2,13,19
46,1,6:49.0,L. Galloway enters the game for W. Ellington,,13,19
47,1,6:49.0,G. Robinson enters the game for T. Maker,,13,19
48,1,6:49.0,,K. Middleton makes free throw 2 of 2,13,20
49,1,6:27.0,R. Jackson misses 2-pt jump shot from 6 ft,,13,20
50,1,6:26.0,Offensive rebound by A. Drummond,,13,20
51,1,6:25.0,A. Drummond misses 2-pt layup from 4 ft,,13,20
52,1,6:24.0,Offensive rebound by A. Drummond,,13,20
53,1,6:14.0,R. Jackson makes 2-pt jump shot from 18 ft,,15,20
54,1,6:05.0,,Personal foul by R. Jackson (drawn by E. Bledsoe),15,20
55,1,6:05.0,,E. Bledsoe makes free throw 1 of 2,15,21
56,1,6:05.0,I. Smith enters the game for R. Jackson,,15,21
57,1,6:05.0,,G. Hill enters the game for P. Connaughton,15,21
58,1,6:05.0,,E. Bledsoe makes free throw 2 of 2,15,22
59,1,5:49.0,L. Kennard makes 3-pt jump shot from 27 ft (assist by A. Drummond),,18,22
60,1,5:33.0,,G. Hill makes 2-pt jump shot from 15 ft (assist by G. Antetokounmpo),18,24
61,1,5:26.0,Personal foul by G. Antetokounmpo (drawn by A. Drummond),,18,24
62,1,5:26.0,,P. Connaughton enters the game for G. Antetokounmpo,18,24
63,1,5:26.0,,B. Lopez enters the game for E. Bledsoe,18,24
64,1,5:18.0,A. Drummond makes 2-pt dunk from 1 ft (assist by I. Smith),,20,24
65,1,5:00.0,,P. Connaughton makes 2-pt layup from 3 ft (assist by G. Hill),20,26
66,1,4:44.0,L. Kennard misses 2-pt jump shot from 16 ft,,20,26
67,1,4:42.0,,Defensive rebound by P. Connaughton,20,26
68,1,4:35.0,,B. Lopez makes 3-pt jump shot from 29 ft (assist by P. Connaughton),20,29
69,1,4:26.0,G. Robinson misses 2-pt layup from 4 ft,,20,29
70,1,4:23.0,,Defensive rebound by E. İlyasova,20,29
71,1,4:16.0,,K. Middleton misses 3-pt jump shot from 25 ft,20,29
72,1,4:13.0,,Offensive rebound by E. İlyasova,20,29
73,1,4:11.0,,K. Middleton makes 2-pt layup from 2 ft (assist by E. İlyasova),20,31
74,1,4:05.0,Detroit full timeout,,20,31
75,1,4:05.0,W. Ellington enters the game for L. Kennard,,20,31
76,1,4:05.0,,S. Brown enters the game for K. Middleton,20,31
77,1,3:49.0,I. Smith misses 3-pt jump shot from 26 ft,,20,31
78,1,3:44.0,,Defensive rebound by S. Brown,20,31
79,1,3:38.0,,E. İlyasova misses 2-pt layup from 4 ft (block by L. Galloway),20,31
80,1,3:35.0,Defensive rebound by I. Smith,,20,31
81,1,3:33.0,L. Galloway makes 3-pt jump shot from 26 ft (assist by I. Smith),,23,31
82,1,3:18.0,,S. Brown misses 2-pt layup from 3 ft,23,31
83,1,3:16.0,Defensive rebound by I. Smith,,23,31
84,1,3:11.0,G. Robinson misses 3-pt jump shot from 22 ft,,23,31
85,1,3:08.0,Offensive rebound by I. Smith,,23,31
86,1,3:05.0,I. Smith misses 3-pt jump shot from 25 ft,,23,31
87,1,3:05.0,,Defensive rebound by P. Connaughton,23,31
88,1,2:49.0,,G. Hill misses 2-pt jump shot from 18 ft,23,31
89,1,2:46.0,Defensive rebound by G. Robinson,,23,31
90,1,2:41.0,I. Smith misses 2-pt layup from 2 ft,,23,31
91,1,2:38.0,,Defensive rebound by B. Lopez,23,31
92,1,2:37.0,,Shooting foul by G. Robinson (drawn by S. Brown),23,31
93,1,2:37.0,,S. Brown misses free throw 1 of 2,23,31
94,1,2:37.0,,Offensive rebound by Team,23,31
95,1,2:37.0,,S. Brown misses free throw 2 of 2,23,31
96,1,2:34.0,Defensive rebound by A. Drummond,,23,31
97,1,2:22.0,W. Ellington misses 3-pt jump shot from 27 ft (block by P. Connaughton),,23,31
