,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DENVER_ACTION,MINNESOTA_SCORE,DENVER_SCORE
0,1,11:40.0,,Turnover by P. Millsap (lost ball; steal by D. Šarić),0,0
1,1,11:35.0,K. Bates-Diop makes 2-pt layup from 2 ft (assist by J. Okogie),,2,0
2,1,11:24.0,,W. Barton makes 2-pt jump shot from 6 ft,2,2
3,1,10:59.0,Turnover by K. Bates-Diop (bad pass; steal by J. Murray),,2,2
4,1,10:55.0,,Shooting foul by D. Šarić (drawn by J. Murray),2,2
5,1,10:55.0,,J. Murray makes free throw 1 of 2,2,3
6,1,10:55.0,,J. Murray makes free throw 2 of 2,2,4
7,1,10:39.0,K. Towns makes 2-pt layup from 2 ft,,4,4
8,1,10:17.0,,J. Murray makes 2-pt jump shot from 20 ft (assist by N. Jokić),4,6
9,1,9:57.0,D. Šarić misses 2-pt jump shot from 21 ft,,4,6
10,1,9:53.0,Offensive rebound by K. Towns,,4,6
11,1,9:48.0,Turnover by K. Towns (bad pass; steal by J. Murray),,4,6
12,1,9:41.0,,J. Murray misses 2-pt jump shot from 17 ft,4,6
13,1,9:39.0,Defensive rebound by K. Towns,,4,6
14,1,9:28.0,K. Towns makes 3-pt jump shot from 25 ft (assist by D. Šarić),,7,6
15,1,9:13.0,,W. Barton misses 2-pt jump shot from 13 ft,7,6
16,1,9:10.0,,Offensive rebound by Team,7,6
17,1,9:01.0,,P. Millsap makes 2-pt jump shot from 12 ft (assist by N. Jokić),7,8
18,1,8:45.0,D. Šarić makes 2-pt layup from 2 ft (assist by T. Jones),,9,8
19,1,8:31.0,,G. Harris makes 2-pt layup from 3 ft (assist by N. Jokić),9,10
20,1,8:20.0,T. Jones misses 3-pt jump shot from 25 ft,,9,10
21,1,8:18.0,,Defensive rebound by N. Jokić,9,10
22,1,8:10.0,,Turnover by N. Jokić (bad pass; steal by T. Jones),9,10
23,1,8:00.0,D. Šarić misses 2-pt layup from 2 ft,,9,10
24,1,7:57.0,,Defensive rebound by N. Jokić,9,10
25,1,7:54.0,,Turnover by G. Harris (lost ball; steal by J. Okogie),9,10
26,1,7:51.0,Shooting foul by P. Millsap (drawn by K. Towns),,9,10
27,1,7:51.0,K. Towns makes free throw 1 of 2,,10,10
28,1,7:51.0,K. Towns makes free throw 2 of 2,,11,10
29,1,7:37.0,,N. Jokić misses 2-pt layup from 5 ft (block by K. Towns),11,10
30,1,7:33.0,,Offensive rebound by N. Jokić,11,10
31,1,7:32.0,,N. Jokić misses 2-pt layup from 2 ft,11,10
32,1,7:32.0,,Offensive rebound by N. Jokić,11,10
33,1,7:30.0,,N. Jokić makes 2-pt layup at rim,11,12
34,1,7:24.0,K. Towns misses 3-pt jump shot from 25 ft,,11,12
35,1,7:21.0,,Defensive rebound by J. Murray,11,12
36,1,7:17.0,,N. Jokić makes 2-pt dunk at rim (assist by W. Barton),11,14
37,1,7:16.0,Minnesota full timeout,,11,14
38,1,7:00.0,K. Towns misses 2-pt layup from 5 ft,,11,14
39,1,6:57.0,Offensive rebound by K. Bates-Diop,,11,14
40,1,6:55.0,K. Bates-Diop misses 2-pt jump shot from 9 ft,,11,14
41,1,6:49.0,Offensive rebound by D. Šarić,,11,14
42,1,6:40.0,K. Towns makes 2-pt hook shot from 3 ft (assist by K. Bates-Diop),,13,14
43,1,6:28.0,,Personal foul by K. Towns (drawn by N. Jokić),13,14
44,1,6:13.0,,W. Barton misses 2-pt layup from 1 ft,13,14
45,1,6:11.0,Defensive rebound by D. Šarić,,13,14
46,1,5:51.0,T. Jones makes 3-pt jump shot from 25 ft (assist by K. Towns),,16,14
47,1,5:38.0,,J. Murray misses 3-pt jump shot from 26 ft,16,14
48,1,5:35.0,Defensive rebound by K. Towns,,16,14
49,1,5:25.0,Personal foul by N. Jokić (drawn by K. Towns),,16,14
50,1,5:25.0,T. Gibson enters the game for D. Šarić,,16,14
51,1,5:25.0,,M. Morris enters the game for P. Millsap,16,14
52,1,5:25.0,,M. Plumlee enters the game for J. Murray,16,14
53,1,5:18.0,K. Towns misses 2-pt layup from 6 ft (block by N. Jokić),,16,14
54,1,5:17.0,,Defensive rebound by M. Morris,16,14
55,1,5:02.0,,Personal foul by T. Gibson (drawn by N. Jokić),16,14
56,1,4:48.0,,M. Plumlee makes 2-pt hook shot from 6 ft,16,16
57,1,4:31.0,J. Okogie misses 2-pt jump shot from 6 ft (block by M. Plumlee),,16,16
58,1,4:31.0,Offensive rebound by Team,,16,16
59,1,4:29.0,Turnover by K. Towns (lost ball; steal by W. Barton),,16,16
60,1,4:25.0,,G. Harris makes 2-pt layup from 2 ft (assist by M. Morris),16,18
61,1,4:10.0,Turnover by J. Okogie (step out of bounds),,16,18
62,1,4:10.0,,M. Beasley enters the game for G. Harris,16,18
63,1,3:54.0,,M. Beasley makes 2-pt layup from 3 ft (assist by N. Jokić),16,20
64,1,3:35.0,T. Jones misses 2-pt jump shot from 7 ft,,16,20
65,1,3:31.0,,Defensive rebound by M. Morris,16,20
66,1,3:21.0,,N. Jokić makes 2-pt layup from 1 ft (assist by M. Plumlee),16,22
67,1,3:09.0,Personal foul by M. Beasley (drawn by J. Okogie),,16,22
68,1,3:09.0,J. Bayless enters the game for J. Okogie,,16,22
69,1,3:09.0,,J. Murray enters the game for W. Barton,16,22
70,1,3:06.0,Shooting foul by M. Plumlee (drawn by T. Gibson),,16,22
71,1,3:06.0,T. Gibson makes free throw 1 of 2,,17,22
72,1,3:06.0,T. Gibson makes free throw 2 of 2,,18,22
73,1,2:44.0,,Turnover by M. Plumlee (step out of bounds),18,22
74,1,2:44.0,,Denver full timeout,18,22
75,1,2:44.0,C. Reynolds enters the game for T. Jones,,18,22
76,1,2:44.0,A. Tolliver enters the game for K. Towns,,18,22
