,QUARTER,TIME_REMAINING,DALLAS_ACTION,MEMPHIS_ACTION,DALLAS_SCORE,MEMPHIS_SCORE
0,1,11:42.0,,M. Conley misses 3-pt jump shot from 24 ft,0,0
1,1,11:38.0,Defensive rebound by D. Smith,,0,0
2,1,11:32.0,D. Smith misses 2-pt jump shot from 19 ft,,0,0
3,1,11:28.0,Offensive rebound by L. Dončić,,0,0
4,1,11:21.0,L. Dončić misses 3-pt jump shot from 26 ft,,0,0
5,1,11:17.0,,Defensive rebound by M. Gasol,0,0
6,1,11:08.0,,Turnover by J. Jackson (lost ball; steal by D. Smith),0,0
7,1,11:02.0,D. Smith makes 2-pt layup from 1 ft (assist by L. Dončić),,2,0
8,1,10:39.0,,J. Jackson misses 3-pt jump shot from 25 ft,2,0
9,1,10:36.0,Defensive rebound by D. Finney-Smith,,2,0
10,1,10:25.0,L. Dončić misses 2-pt jump shot from 15 ft,,2,0
11,1,10:21.0,,Defensive rebound by M. Gasol,2,0
12,1,10:14.0,,M. Gasol misses 3-pt jump shot from 26 ft,2,0
13,1,10:12.0,Defensive rebound by D. Jordan,,2,0
14,1,9:58.0,Def 3 sec tech foul by Team,,2,0
15,1,9:58.0,H. Barnes makes technical free throw,,3,0
16,1,9:56.0,Personal foul by G. Temple (drawn by L. Dončić),,3,0
17,1,9:45.0,D. Finney-Smith makes 3-pt jump shot from 26 ft,,6,0
18,1,9:27.0,,J. Jackson makes 2-pt hook shot from 9 ft (assist by M. Gasol),6,2
19,1,9:18.0,D. Smith misses 3-pt jump shot from 26 ft,,6,2
20,1,9:14.0,,Defensive rebound by M. Gasol,6,2
21,1,9:07.0,,K. Anderson makes 2-pt jump shot from 10 ft (assist by G. Temple),6,4
22,1,8:52.0,D. Finney-Smith makes 3-pt jump shot from 24 ft (assist by D. Jordan),,9,4
23,1,8:34.0,,Shooting foul by D. Finney-Smith (drawn by M. Gasol),9,4
24,1,8:34.0,,M. Gasol makes free throw 1 of 2,9,5
25,1,8:34.0,,M. Gasol makes free throw 2 of 2,9,6
26,1,8:14.0,L. Dončić misses 2-pt jump shot from 12 ft,,9,6
27,1,8:10.0,,Defensive rebound by M. Gasol,9,6
28,1,8:01.0,,J. Jackson misses 2-pt hook shot from 10 ft,9,6
29,1,7:58.0,Defensive rebound by D. Jordan,,9,6
30,1,7:51.0,D. Finney-Smith misses 3-pt jump shot from 23 ft,,9,6
31,1,7:48.0,,Defensive rebound by M. Gasol,9,6
32,1,7:34.0,,J. Jackson misses 3-pt jump shot from 24 ft,9,6
33,1,7:31.0,Defensive rebound by D. Smith,,9,6
34,1,7:20.0,L. Dončić misses 2-pt jump shot from 17 ft,,9,6
35,1,7:19.0,Offensive rebound by Team,,9,6
36,1,7:19.0,,Loose ball foul by J. Jackson (drawn by D. Smith),9,6
37,1,7:13.0,Personal foul by K. Anderson (drawn by D. Jordan),,9,6
38,1,7:05.0,D. Finney-Smith misses 2-pt layup from 1 ft,,9,6
39,1,7:03.0,Offensive rebound by D. Jordan,,9,6
40,1,7:00.0,Turnover by D. Jordan (lost ball; steal by J. Jackson),,9,6
41,1,6:54.0,,M. Conley makes 2-pt jump shot from 14 ft (assist by K. Anderson),9,8
42,1,6:38.0,H. Barnes misses 3-pt jump shot from 26 ft,,9,8
43,1,6:35.0,,Defensive rebound by M. Gasol,9,8
44,1,6:21.0,,M. Gasol misses 2-pt jump shot from 13 ft,9,8
45,1,6:19.0,Defensive rebound by D. Jordan,,9,8
46,1,6:07.0,H. Barnes misses 3-pt jump shot from 23 ft,,9,8
47,1,6:03.0,,Defensive rebound by M. Gasol,9,8
48,1,6:03.0,,Personal foul by D. Smith (drawn by M. Conley),9,8
49,1,6:03.0,,Memphis full timeout,9,8
50,1,6:03.0,D. Harris enters the game for L. Dončić,,9,8
51,1,5:46.0,,J. Jackson makes 2-pt layup from 1 ft,9,10
52,1,5:25.0,D. Harris misses 2-pt jump shot from 18 ft,,9,10
53,1,5:23.0,,Defensive rebound by M. Gasol,9,10
54,1,5:09.0,,Def 3 sec tech foul by Team,9,10
55,1,5:09.0,,M. Conley misses technical free throw,9,10
56,1,5:09.0,,Offensive rebound by Team,9,10
57,1,5:09.0,M. Kleber enters the game for D. Jordan,,9,10
58,1,5:09.0,,J. Green enters the game for J. Jackson,9,10
59,1,5:09.0,,W. Selden enters the game for G. Temple,9,10
60,1,5:00.0,,W. Selden makes 2-pt layup from 1 ft (assist by M. Gasol),9,12
61,1,5:00.0,,Shooting foul by H. Barnes (drawn by W. Selden),9,12
62,1,5:00.0,,S. Mack enters the game for M. Conley,9,12
63,1,5:00.0,,W. Selden makes free throw 1 of 1,9,13
64,1,4:37.0,D. Smith makes 2-pt layup from 1 ft,,11,13
