,QUARTER,TIME_REMAINING,TORONTO_ACTION,MIAMI_ACTION,TORONTO_SCORE,MIAMI_SCORE
0,1,11:43.0,,H. Whiteside misses 2-pt layup from 6 ft,0,0
1,1,11:39.0,Defensive rebound by S. Ibaka,,0,0
2,1,11:26.0,S. Ibaka makes 2-pt jump shot from 13 ft (assist by F. VanVleet),,2,0
3,1,11:11.0,,J. Richardson misses 2-pt jump shot from 16 ft,2,0
4,1,11:08.0,,Offensive rebound by H. Whiteside,2,0
5,1,11:07.0,,H. Whiteside makes 2-pt layup from 3 ft,2,2
6,1,10:44.0,D. Green misses 3-pt jump shot from 22 ft,,2,2
7,1,10:40.0,,Defensive rebound by H. Whiteside,2,2
8,1,10:34.0,,J. Winslow makes 2-pt jump shot from 7 ft,2,4
9,1,10:14.0,S. Ibaka misses 2-pt jump shot from 16 ft,,2,4
10,1,10:11.0,,Defensive rebound by J. Winslow,2,4
11,1,10:05.0,,J. Winslow misses 2-pt jump shot from 6 ft,2,4
12,1,10:02.0,Defensive rebound by P. Siakam,,2,4
13,1,9:55.0,P. Siakam makes 2-pt jump shot from 6 ft,,4,4
14,1,9:39.0,,J. Winslow makes 3-pt jump shot from 26 ft (assist by R. McGruder),4,7
15,1,9:26.0,Offensive foul by S. Ibaka (drawn by J. Winslow),,4,7
16,1,9:26.0,Turnover by S. Ibaka (offensive foul),,4,7
17,1,9:06.0,,H. Whiteside makes 2-pt dunk from 4 ft (assist by J. Richardson),4,9
18,1,8:54.0,S. Ibaka misses 2-pt jump shot from 19 ft,,4,9
19,1,8:50.0,,Defensive rebound by H. Whiteside,4,9
20,1,8:44.0,,H. Whiteside makes 2-pt hook shot from 6 ft (assist by J. Richardson),4,11
21,1,8:37.0,Toronto full timeout,,4,11
22,1,8:27.0,K. Leonard makes 2-pt layup from 5 ft,,6,11
23,1,8:06.0,,H. Whiteside misses 2-pt jump shot from 10 ft,6,11
24,1,8:02.0,,Offensive rebound by J. Johnson,6,11
25,1,8:00.0,,R. McGruder misses 3-pt jump shot from 26 ft,6,11
26,1,7:57.0,Defensive rebound by P. Siakam,,6,11
27,1,7:47.0,D. Green makes 2-pt layup from 4 ft (assist by K. Leonard),,8,11
28,1,7:31.0,,J. Johnson makes 3-pt jump shot from 26 ft (assist by R. McGruder),8,14
29,1,7:16.0,S. Ibaka misses 2-pt jump shot from 22 ft,,8,14
30,1,7:13.0,,Defensive rebound by J. Johnson,8,14
31,1,7:07.0,,J. Richardson makes 3-pt jump shot from 27 ft (assist by J. Johnson),8,17
32,1,6:51.0,K. Leonard misses 2-pt jump shot from 13 ft,,8,17
33,1,6:47.0,,Defensive rebound by J. Johnson,8,17
34,1,6:34.0,,H. Whiteside makes 2-pt jump shot from 18 ft (assist by J. Winslow),8,19
35,1,6:09.0,K. Leonard misses 3-pt jump shot from 27 ft,,8,19
36,1,6:08.0,Offensive rebound by Team,,8,19
37,1,6:08.0,O. Anunoby enters the game for P. Siakam,,8,19
38,1,5:54.0,K. Leonard makes 2-pt hook shot from 7 ft,,10,19
39,1,5:32.0,,J. Johnson misses 2-pt jump shot from 10 ft,10,19
40,1,5:28.0,Defensive rebound by O. Anunoby,,10,19
41,1,5:25.0,F. VanVleet misses 3-pt jump shot from 27 ft,,10,19
42,1,5:21.0,,Defensive rebound by H. Whiteside,10,19
43,1,5:15.0,,H. Whiteside makes 2-pt dunk from 3 ft,10,21
44,1,5:10.0,Turnover by K. Leonard (bad pass; steal by J. Winslow),,10,21
45,1,5:03.0,,J. Johnson makes 2-pt layup from 4 ft (assist by J. Winslow),10,23
46,1,5:03.0,Toronto full timeout,,10,23
47,1,5:03.0,G. Monroe enters the game for D. Green,,10,23
48,1,5:03.0,N. Powell enters the game for S. Ibaka,,10,23
49,1,5:03.0,,D. Wade enters the game for R. McGruder,10,23
50,1,4:50.0,O. Anunoby makes 3-pt jump shot from 26 ft (assist by K. Leonard),,13,23
51,1,4:34.0,,J. Richardson misses 2-pt jump shot from 20 ft,13,23
52,1,4:29.0,Defensive rebound by K. Leonard,,13,23
53,1,4:27.0,Shooting foul by J. Richardson (drawn by K. Leonard),,13,23
54,1,4:27.0,K. Leonard misses free throw 1 of 2,,13,23
55,1,4:27.0,Offensive rebound by Team,,13,23
