,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,BOSTON_ACTION,SACRAMENTO_SCORE,BOSTON_SCORE
0,1,11:42.0,N. Bjelica misses 3-pt jump shot from 27 ft,,0,0
1,1,11:40.0,,Defensive rebound by M. Morris,0,0
2,1,11:32.0,,A. Horford makes 2-pt hook shot from 4 ft (assist by M. Morris),0,2
3,1,11:21.0,Shooting foul by K. Irving (drawn by N. Bjelica),,0,2
4,1,11:21.0,N. Bjelica makes free throw 1 of 2,,1,2
5,1,11:21.0,N. Bjelica misses free throw 2 of 2,,1,2
6,1,11:21.0,,Defensive rebound by M. Morris,1,2
7,1,11:06.0,,K. Irving misses 2-pt jump shot from 17 ft,1,2
8,1,11:04.0,Defensive rebound by W. Cauley-Stein,,1,2
9,1,10:55.0,B. Hield misses 2-pt jump shot from 19 ft,,1,2
10,1,10:53.0,,Defensive rebound by J. Tatum,1,2
11,1,10:38.0,,A. Horford misses 2-pt hook shot from 5 ft,1,2
12,1,10:36.0,Defensive rebound by B. Hield,,1,2
13,1,10:19.0,H. Barnes makes 2-pt layup from 2 ft (assist by W. Cauley-Stein),,3,2
14,1,10:07.0,,J. Tatum makes 2-pt jump shot from 23 ft (assist by K. Irving),3,4
15,1,9:50.0,H. Barnes makes 2-pt jump shot from 20 ft (assist by B. Hield),,5,4
16,1,9:31.0,,J. Tatum misses 3-pt jump shot from 26 ft,5,4
17,1,9:29.0,Defensive rebound by W. Cauley-Stein,,5,4
18,1,9:23.0,H. Barnes makes 3-pt jump shot from 24 ft (assist by D. Fox),,8,4
19,1,9:00.0,,A. Horford misses 3-pt jump shot from 23 ft,8,4
20,1,8:58.0,Defensive rebound by D. Fox,,8,4
21,1,8:53.0,H. Barnes misses 3-pt jump shot from 24 ft,,8,4
22,1,8:50.0,,Defensive rebound by J. Tatum,8,4
23,1,8:44.0,,Personal foul by D. Fox (drawn by J. Tatum),8,4
24,1,8:41.0,,K. Irving misses 3-pt jump shot from 25 ft,8,4
25,1,8:40.0,Defensive rebound by N. Bjelica,,8,4
26,1,8:31.0,N. Bjelica makes 2-pt layup from 2 ft (assist by D. Fox),,10,4
27,1,8:20.0,,M. Morris misses 2-pt jump shot from 9 ft,10,4
28,1,8:18.0,,Offensive rebound by M. Smart,10,4
29,1,8:16.0,,M. Morris misses 3-pt jump shot from 25 ft,10,4
30,1,8:14.0,,Offensive rebound by A. Horford,10,4
31,1,8:11.0,,J. Tatum misses 3-pt jump shot from 26 ft,10,4
32,1,8:09.0,Defensive rebound by W. Cauley-Stein,,10,4
33,1,7:55.0,Shooting foul by A. Horford (drawn by D. Fox),,10,4
34,1,7:55.0,D. Fox misses free throw 1 of 2,,10,4
35,1,7:55.0,Offensive rebound by Team,,10,4
36,1,7:55.0,D. Fox misses free throw 2 of 2,,10,4
37,1,7:55.0,,Defensive rebound by M. Morris,10,4
38,1,7:34.0,,K. Irving makes 2-pt jump shot from 17 ft,10,6
39,1,7:16.0,B. Hield makes 3-pt jump shot from 28 ft (assist by H. Barnes),,13,6
40,1,7:00.0,,M. Morris misses 3-pt jump shot from 24 ft,13,6
41,1,6:58.0,Defensive rebound by D. Fox,,13,6
42,1,6:51.0,B. Hield misses 2-pt jump shot from 20 ft,,13,6
43,1,6:49.0,,Defensive rebound by M. Morris,13,6
44,1,6:43.0,,A. Horford misses 2-pt hook shot from 4 ft,13,6
45,1,6:41.0,Defensive rebound by H. Barnes,,13,6
46,1,6:34.0,B. Hield makes 2-pt layup from 3 ft (assist by D. Fox),,15,6
47,1,6:34.0,,Boston full timeout,15,6
48,1,6:34.0,,A. Baynes enters the game for A. Horford,15,6
49,1,6:22.0,,Turnover by M. Smart (bad pass; steal by D. Fox),15,6
50,1,6:18.0,D. Fox makes 2-pt layup from 1 ft,,17,6
51,1,6:07.0,,J. Tatum misses 2-pt jump shot from 20 ft,17,6
52,1,6:06.0,Defensive rebound by B. Hield,,17,6
53,1,5:53.0,Turnover by B. Hield (bad pass; steal by K. Irving),,17,6
54,1,5:46.0,,J. Tatum makes 2-pt layup from 1 ft,17,8
55,1,5:29.0,Shooting foul by M. Smart (drawn by H. Barnes),,17,8
56,1,5:29.0,H. Barnes makes free throw 1 of 2,,18,8
57,1,5:29.0,,J. Brown enters the game for M. Morris,18,8
58,1,5:29.0,,G. Hayward enters the game for M. Smart,18,8
59,1,5:29.0,H. Barnes makes free throw 2 of 2,,19,8
60,1,5:18.0,,J. Tatum makes 2-pt layup from 1 ft (assist by K. Irving),19,10
61,1,5:01.0,N. Bjelica makes 2-pt layup from 3 ft (assist by B. Hield),,21,10
62,1,4:53.0,,Shooting foul by B. Hield (drawn by K. Irving),21,10
63,1,4:53.0,,K. Irving makes free throw 1 of 2,21,11
64,1,4:53.0,M. Bagley enters the game for N. Bjelica,,21,11
65,1,4:53.0,,K. Irving makes free throw 2 of 2,21,12
