,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,DETROIT_ACTION,MILWAUKEE_SCORE,DETROIT_SCORE
0,1,11:35.0,,L. Kennard makes 2-pt jump shot from 14 ft (assist by R. Jackson),0,2
1,1,11:18.0,Turnover by G. Antetokounmpo (lost ball; steal by W. Ellington),,0,2
2,1,11:05.0,,Turnover by A. Drummond (bad pass),0,2
3,1,10:51.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,0,2
4,1,10:49.0,,Defensive rebound by L. Kennard,0,2
5,1,10:43.0,,R. Jackson makes 3-pt jump shot from 26 ft,0,5
6,1,10:26.0,Turnover by E. Bledsoe (bad pass),,0,5
7,1,10:19.0,,Turnover by R. Jackson (bad pass; steal by E. Bledsoe),0,5
8,1,10:13.0,E. Bledsoe makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),,2,5
9,1,10:05.0,,L. Kennard makes 2-pt layup from 4 ft (assist by R. Jackson),2,7
10,1,9:55.0,K. Middleton misses 2-pt jump shot from 5 ft,,2,7
11,1,9:52.0,,Defensive rebound by L. Kennard,2,7
12,1,9:46.0,,A. Drummond misses 2-pt hook shot from 5 ft (block by B. Lopez),2,7
13,1,9:44.0,,Offensive rebound by R. Jackson,2,7
14,1,9:40.0,,R. Jackson misses 3-pt jump shot from 26 ft,2,7
15,1,9:37.0,Defensive rebound by B. Lopez,,2,7
16,1,9:31.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),,5,7
17,1,9:09.0,,A. Drummond misses 2-pt layup from 3 ft (block by B. Lopez),5,7
18,1,9:06.0,,Offensive rebound by A. Drummond,5,7
19,1,9:05.0,,A. Drummond misses 2-pt jump shot from 3 ft,5,7
20,1,9:05.0,,Offensive rebound by A. Drummond,5,7
21,1,9:05.0,,Turnover by R. Jackson (bad pass),5,7
22,1,8:48.0,Personal foul by B. Griffin (drawn by G. Antetokounmpo),,5,7
23,1,8:45.0,E. Bledsoe makes 2-pt layup from 3 ft,,7,7
24,1,8:45.0,Shooting foul by A. Drummond (drawn by E. Bledsoe),,7,7
25,1,8:45.0,E. Bledsoe makes free throw 1 of 1,,8,7
26,1,8:31.0,,B. Griffin misses 3-pt jump shot from 25 ft,8,7
27,1,8:29.0,,Offensive rebound by A. Drummond,8,7
28,1,8:27.0,,A. Drummond misses 2-pt layup from 2 ft,8,7
29,1,8:22.0,Defensive rebound by S. Brown,,8,7
30,1,8:17.0,K. Middleton misses 2-pt jump shot from 16 ft,,8,7
31,1,8:17.0,,Defensive rebound by Team,8,7
32,1,8:17.0,,Personal foul by G. Antetokounmpo (drawn by B. Griffin),8,7
33,1,8:01.0,,L. Kennard misses 2-pt jump shot from 15 ft,8,7
34,1,7:59.0,Defensive rebound by S. Brown,,8,7
35,1,7:54.0,E. Bledsoe makes 2-pt layup from 3 ft (assist by S. Brown),,10,7
36,1,7:41.0,,A. Drummond misses 2-pt layup from 2 ft (block by B. Lopez),10,7
37,1,7:41.0,,Offensive rebound by Team,10,7
38,1,7:41.0,P. Connaughton enters the game for S. Brown,,10,7
39,1,7:33.0,,R. Jackson makes 3-pt jump shot from 24 ft (assist by A. Drummond),10,10
40,1,7:26.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,10,10
41,1,7:22.0,,Defensive rebound by R. Jackson,10,10
42,1,7:16.0,,W. Ellington makes 3-pt jump shot from 23 ft (assist by B. Griffin),10,13
43,1,7:16.0,Milwaukee full timeout,,10,13
44,1,7:16.0,E. İlyasova enters the game for B. Lopez,,10,13
45,1,6:55.0,E. İlyasova makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),,13,13
46,1,6:28.0,,B. Griffin misses 2-pt hook shot from 2 ft,13,13
47,1,6:24.0,,Offensive rebound by B. Griffin,13,13
48,1,6:24.0,,B. Griffin makes 2-pt layup at rim,13,15
49,1,6:18.0,Turnover by E. Bledsoe (back court),,13,15
50,1,6:18.0,G. Hill enters the game for E. Bledsoe,,13,15
51,1,6:01.0,,A. Drummond misses 2-pt hook shot from 6 ft,13,15
52,1,5:59.0,Defensive rebound by G. Antetokounmpo,,13,15
53,1,5:57.0,G. Hill misses 3-pt jump shot from 27 ft (block by A. Drummond),,13,15
54,1,5:52.0,,Defensive rebound by L. Kennard,13,15
55,1,5:39.0,,W. Ellington makes 3-pt jump shot from 27 ft (assist by B. Griffin),13,18
56,1,5:23.0,E. İlyasova makes 3-pt jump shot from 27 ft (assist by K. Middleton),,16,18
