,QUARTER,TIME_REMAINING,ORLANDO_ACTION,BOSTON_ACTION,ORLANDO_SCORE,BOSTON_SCORE
0,1,11:42.0,,Turnover by M. Smart (bad pass; steal by J. Isaac),0,0
1,1,11:34.0,N. Vučević makes 2-pt jump shot from 18 ft (assist by D. Augustin),,2,0
2,1,11:17.0,,K. Irving misses 2-pt jump shot from 10 ft,2,0
3,1,11:15.0,Defensive rebound by N. Vučević,,2,0
4,1,11:11.0,A. Gordon misses 3-pt jump shot from 26 ft,,2,0
5,1,11:09.0,,Defensive rebound by A. Horford,2,0
6,1,10:56.0,,A. Horford makes 2-pt hook shot from 3 ft (assist by M. Smart),2,2
7,1,10:44.0,A. Gordon misses 2-pt hook shot from 7 ft,,2,2
8,1,10:42.0,Offensive rebound by N. Vučević,,2,2
9,1,10:41.0,N. Vučević misses 2-pt hook shot from 3 ft,,2,2
10,1,10:40.0,Offensive rebound by A. Gordon,,2,2
11,1,10:39.0,A. Gordon makes 2-pt layup at rim,,4,2
12,1,10:22.0,,A. Horford makes 2-pt jump shot from 14 ft,4,4
13,1,10:06.0,E. Fournier makes 2-pt jump shot from 9 ft (assist by D. Augustin),,6,4
14,1,9:50.0,,A. Horford makes 2-pt hook shot from 7 ft,6,6
15,1,9:30.0,N. Vučević makes 2-pt jump shot from 11 ft (assist by D. Augustin),,8,6
16,1,9:18.0,,K. Irving makes 2-pt jump shot from 22 ft (assist by A. Baynes),8,8
17,1,8:51.0,N. Vučević makes 2-pt hook shot from 7 ft,,10,8
18,1,8:40.0,,K. Irving makes 3-pt jump shot from 25 ft (assist by A. Horford),10,11
19,1,8:28.0,Personal foul by M. Smart (drawn by E. Fournier),,10,11
20,1,8:15.0,D. Augustin misses 2-pt jump shot from 15 ft,,10,11
21,1,8:14.0,Offensive rebound by Team,,10,11
22,1,8:14.0,Turnover by Team (shot clock),,10,11
23,1,8:04.0,,J. Tatum misses 2-pt layup from 8 ft (block by N. Vučević),10,11
24,1,8:02.0,,Offensive rebound by M. Smart,10,11
25,1,7:57.0,,M. Smart misses 3-pt jump shot from 26 ft,10,11
26,1,7:55.0,Defensive rebound by A. Gordon,,10,11
27,1,7:45.0,N. Vučević makes 2-pt hook shot from 2 ft (assist by D. Augustin),,12,11
28,1,7:26.0,,J. Tatum misses 2-pt jump shot from 15 ft,12,11
29,1,7:24.0,Defensive rebound by D. Augustin,,12,11
30,1,7:11.0,A. Gordon misses 2-pt jump shot from 13 ft,,12,11
31,1,7:09.0,Offensive rebound by N. Vučević,,12,11
32,1,7:09.0,J. Isaac misses 2-pt layup from 4 ft (block by K. Irving),,12,11
33,1,7:07.0,Offensive rebound by Team,,12,11
