,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PHOENIX_ACTION,SAN ANTONIO_SCORE,PHOENIX_SCORE
0,1,11:34.0,,T. Warren misses 2-pt jump shot from 15 ft,0,0
1,1,11:31.0,Defensive rebound by D. Cunningham,,0,0
2,1,11:11.0,D. DeRozan misses 2-pt jump shot from 17 ft,,0,0
3,1,11:08.0,,Defensive rebound by T. Warren,0,0
4,1,11:02.0,,E. Okobo misses 2-pt jump shot from 18 ft,0,0
5,1,10:59.0,Defensive rebound by D. DeRozan,,0,0
6,1,10:43.0,L. Aldridge misses 2-pt jump shot from 12 ft,,0,0
7,1,10:41.0,,Defensive rebound by E. Okobo,0,0
8,1,10:34.0,,T. Ariza misses 3-pt jump shot from 25 ft,0,0
9,1,10:29.0,Defensive rebound by R. Gay,,0,0
10,1,10:21.0,R. Gay makes 2-pt dunk at rim,,2,0
11,1,10:16.0,,T. Ariza makes 3-pt jump shot from 25 ft (assist by E. Okobo),2,3
12,1,9:55.0,Turnover by D. Cunningham (bad pass),,2,3
13,1,9:44.0,Violation by Team (kicked ball),,2,3
14,1,9:38.0,,E. Okobo misses 2-pt jump shot from 16 ft,2,3
15,1,9:36.0,Defensive rebound by Team,,2,3
16,1,9:18.0,B. Forbes misses 3-pt jump shot from 25 ft,,2,3
17,1,9:14.0,,Defensive rebound by D. Ayton,2,3
18,1,9:02.0,,J. Jackson misses 2-pt layup from 1 ft,2,3
19,1,9:00.0,Defensive rebound by R. Gay,,2,3
20,1,8:53.0,D. DeRozan makes 2-pt dunk from 1 ft,,4,3
21,1,8:37.0,,D. Ayton makes 2-pt layup from 1 ft (assist by T. Ariza),4,5
22,1,8:37.0,,Shooting foul by L. Aldridge (drawn by D. Ayton),4,5
23,1,8:37.0,,D. Ayton makes free throw 1 of 1,4,6
24,1,8:24.0,B. Forbes misses 2-pt jump shot from 18 ft,,4,6
25,1,8:19.0,Offensive rebound by L. Aldridge,,4,6
26,1,8:18.0,Turnover by L. Aldridge (bad pass; steal by T. Ariza),,4,6
27,1,8:14.0,,T. Warren makes 2-pt dunk at rim (assist by J. Jackson),4,8
28,1,8:14.0,San Antonio full timeout,,4,8
29,1,7:52.0,L. Aldridge makes 2-pt jump shot from 17 ft (assist by B. Forbes),,6,8
30,1,7:31.0,,T. Warren misses 2-pt jump shot from 19 ft,6,8
31,1,7:29.0,,Offensive rebound by D. Ayton,6,8
32,1,7:19.0,,J. Jackson misses 2-pt jump shot from 18 ft,6,8
33,1,7:16.0,Defensive rebound by R. Gay,,6,8
34,1,7:03.0,R. Gay misses 2-pt jump shot from 9 ft,,6,8
35,1,7:02.0,,Defensive rebound by Team,6,8
36,1,6:50.0,,D. Ayton misses 2-pt jump shot from 15 ft,6,8
37,1,6:47.0,Defensive rebound by D. DeRozan,,6,8
38,1,6:44.0,Personal foul by D. Ayton (drawn by L. Aldridge),,6,8
39,1,6:32.0,D. DeRozan makes 2-pt jump shot from 9 ft,,8,8
40,1,6:15.0,,Turnover by T. Warren (bad pass),8,8
41,1,6:00.0,L. Aldridge misses 2-pt jump shot from 20 ft,,8,8
42,1,5:56.0,,Defensive rebound by D. Ayton,8,8
43,1,5:46.0,,T. Warren makes 3-pt jump shot from 25 ft,8,11
44,1,5:29.0,L. Aldridge makes 2-pt layup at rim (assist by B. Forbes),,10,11
45,1,5:14.0,,Personal foul by B. Forbes (drawn by T. Ariza),10,11
46,1,5:14.0,M. Belinelli enters the game for L. Aldridge,,10,11
47,1,5:14.0,P. Gasol enters the game for R. Gay,,10,11
48,1,5:14.0,,D. Melton enters the game for E. Okobo,10,11
49,1,5:03.0,,D. Ayton misses 2-pt jump shot from 14 ft,10,11
50,1,5:01.0,Defensive rebound by P. Gasol,,10,11
51,1,4:45.0,D. DeRozan makes 2-pt jump shot from 12 ft,,12,11
52,1,4:45.0,Shooting foul by T. Warren (drawn by D. DeRozan),,12,11
53,1,4:45.0,P. Mills enters the game for B. Forbes,,12,11
54,1,4:45.0,D. DeRozan makes free throw 1 of 1,,13,11
55,1,4:30.0,,D. Ayton makes 2-pt jump shot from 18 ft,13,13
56,1,4:12.0,Turnover by M. Belinelli (bad pass; steal by D. Melton),,13,13
57,1,4:05.0,,Turnover by D. Melton (bad pass; steal by P. Mills),13,13
58,1,4:01.0,D. DeRozan misses 2-pt layup at rim (block by J. Jackson),,13,13
59,1,3:57.0,,Defensive rebound by T. Ariza,13,13
60,1,3:51.0,,T. Warren misses 3-pt jump shot from 24 ft,13,13
61,1,3:47.0,Defensive rebound by M. Belinelli,,13,13
62,1,3:36.0,P. Mills makes 2-pt layup from 1 ft,,15,13
63,1,3:36.0,,Phoenix full timeout,15,13
64,1,3:36.0,D. Bertāns enters the game for D. Cunningham,,15,13
65,1,3:36.0,,R. Anderson enters the game for J. Jackson,15,13
66,1,3:36.0,,M. Bridges enters the game for T. Warren,15,13
67,1,3:22.0,,D. Melton misses 3-pt jump shot from 25 ft,15,13
68,1,3:18.0,Defensive rebound by P. Gasol,,15,13
69,1,3:04.0,P. Gasol makes 2-pt layup at rim,,17,13
