,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,TORONTO_ACTION,GOLDEN STATE_SCORE,TORONTO_SCORE
65,1,2:38.0,,Turnover by K. Lowry (lost ball; steal by D. Lee),19,32
66,1,2:31.0,S. Livingston misses 2-pt jump shot from 13 ft,,19,32
67,1,2:29.0,Offensive rebound by Team,,19,32
68,1,2:17.0,D. Lee misses 3-pt jump shot from 27 ft,,19,32
69,1,2:17.0,,Defensive rebound by Team,19,32
70,1,2:17.0,Loose ball foul by J. Jerebko (drawn by K. Lowry),,19,32
71,1,2:08.0,,Turnover by F. VanVleet (bad pass),19,32
72,1,1:56.0,K. Durant makes 2-pt jump shot from 14 ft (assist by J. Jerebko),,21,32
73,1,1:40.0,,Turnover by J. Valančiūnas (bad pass; steal by J. Jerebko),21,32
74,1,1:25.0,J. Jerebko makes 2-pt hook shot from 6 ft,,23,32
75,1,1:23.0,,Toronto full timeout,23,32
76,1,1:23.0,,D. Wright enters the game for K. Lowry,23,32
77,1,1:07.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by F. VanVleet),23,35
78,1,0:49.0,K. Durant misses 2-pt jump shot from 17 ft,,23,35
79,1,0:47.0,,Defensive rebound by J. Valančiūnas,23,35
80,1,0:37.0,,O. Anunoby makes 3-pt jump shot from 27 ft (assist by D. Wright),23,38
81,1,0:27.0,Shooting foul by J. Valančiūnas (drawn by K. Durant),,23,38
82,1,0:27.0,K. Durant makes free throw 1 of 2,,24,38
83,1,0:27.0,K. Durant makes free throw 2 of 2,,25,38
84,1,0:03.0,,F. VanVleet misses 3-pt jump shot from 29 ft,25,38
85,1,0:03.0,,Offensive rebound by Team,25,38
86,1,0:03.0,,Turnover by Team (shot clock),25,38
87,1,0:03.0,Q. Cook enters the game for S. Livingston,,25,38
88,1,0:03.0,K. Thompson enters the game for K. Looney,,25,38
89,1,0:03.0,,D. Green enters the game for J. Valančiūnas,25,38
90,1,0:00.0,K. Thompson misses 3-pt jump shot from 31 ft,,25,38
91,1,0:00.0,Offensive rebound by Team,,25,38
92,2,11:46.0,J. Jerebko makes 2-pt hook shot from 4 ft (assist by S. Livingston),,27,38
93,2,11:33.0,,O. Anunoby misses 3-pt jump shot from 23 ft,27,38
94,2,11:32.0,Defensive rebound by Team,,27,38
95,2,11:32.0,,Loose ball foul by J. Valančiūnas (drawn by K. Looney),27,38
96,2,11:21.0,K. Thompson misses 2-pt jump shot from 19 ft,,27,38
97,2,11:18.0,,Defensive rebound by O. Anunoby,27,38
98,2,11:09.0,,J. Valančiūnas makes 2-pt hook shot from 4 ft (assist by F. VanVleet),27,40
99,2,10:50.0,Shooting foul by D. Wright (drawn by S. Livingston),,27,40
100,2,10:50.0,S. Livingston misses free throw 1 of 2,,27,40
101,2,10:50.0,Offensive rebound by Team,,27,40
102,2,10:50.0,S. Livingston makes free throw 2 of 2,,28,40
103,2,10:34.0,,J. Valančiūnas makes 2-pt jump shot from 5 ft (assist by D. Wright),28,42
104,2,10:22.0,K. Looney misses 2-pt layup from 1 ft (block by J. Valančiūnas),,28,42
105,2,10:19.0,Offensive rebound by K. Looney,,28,42
106,2,10:19.0,K. Looney makes 2-pt jump shot from 11 ft,,30,42
107,2,10:03.0,,K. Leonard makes 2-pt layup from 2 ft,30,44
108,2,10:00.0,Offensive foul by J. Jerebko (drawn by D. Wright),,30,44
109,2,10:00.0,Turnover by J. Jerebko (offensive foul),,30,44
110,2,9:45.0,,O. Anunoby makes 2-pt layup from 4 ft,30,46
111,2,9:30.0,D. Lee misses 2-pt jump shot from 9 ft,,30,46
112,2,9:28.0,Offensive rebound by K. Looney,,30,46
113,2,9:25.0,S. Livingston misses 2-pt layup from 1 ft,,30,46
114,2,9:24.0,,Defensive rebound by O. Anunoby,30,46
115,2,9:24.0,,Turnover by O. Anunoby (traveling),30,46
116,2,9:24.0,Q. Cook enters the game for J. Jerebko,,30,46
117,2,9:24.0,,C. Miles enters the game for D. Wright,30,46
118,2,9:18.0,K. Thompson makes 2-pt jump shot from 17 ft,,32,46
119,2,9:04.0,,Turnover by K. Leonard (out of bounds lost ball),32,46
120,2,8:53.0,Personal foul by K. Leonard (drawn by K. Looney),,32,46
121,2,8:40.0,D. Lee misses 3-pt jump shot from 26 ft,,32,46
122,2,8:37.0,,Defensive rebound by J. Valančiūnas,32,46
