,QUARTER,TIME_REMAINING,DETROIT_ACTION,BROOKLYN_ACTION,DETROIT_SCORE,BROOKLYN_SCORE
0,1,11:44.0,,Shooting foul by B. Brown (drawn by D. Russell),0,0
1,1,11:44.0,,D. Russell misses free throw 1 of 2,0,0
2,1,11:44.0,,Offensive rebound by Team,0,0
3,1,11:44.0,,D. Russell misses free throw 2 of 2,0,0
4,1,11:42.0,Defensive rebound by A. Drummond,,0,0
5,1,11:27.0,W. Ellington misses 3-pt jump shot from 24 ft,,0,0
6,1,11:26.0,Offensive rebound by Team,,0,0
7,1,11:18.0,B. Griffin misses 2-pt jump shot from 17 ft,,0,0
8,1,11:16.0,Offensive rebound by A. Drummond,,0,0
9,1,11:15.0,A. Drummond makes 2-pt layup from 3 ft,,2,0
10,1,11:04.0,,D. Russell misses 2-pt jump shot from 16 ft,2,0
11,1,11:02.0,Defensive rebound by B. Griffin,,2,0
12,1,10:54.0,R. Jackson makes 2-pt jump shot from 14 ft,,4,0
13,1,10:41.0,,A. Crabbe misses 2-pt jump shot from 19 ft,4,0
14,1,10:39.0,Defensive rebound by A. Drummond,,4,0
15,1,10:16.0,B. Griffin misses 3-pt jump shot from 24 ft,,4,0
16,1,10:13.0,,Defensive rebound by J. Allen,4,0
17,1,10:10.0,,R. Kurucs makes 2-pt dunk from 2 ft (assist by D. Russell),4,2
18,1,10:05.0,Turnover by R. Jackson (out of bounds lost ball),,4,2
19,1,9:59.0,,D. Russell makes 2-pt jump shot from 13 ft,4,4
20,1,9:36.0,Shooting foul by J. Allen (drawn by A. Drummond),,4,4
21,1,9:36.0,A. Drummond misses free throw 1 of 2,,4,4
22,1,9:36.0,Offensive rebound by Team,,4,4
23,1,9:36.0,A. Drummond makes free throw 2 of 2,,5,4
24,1,9:26.0,,R. Kurucs makes 2-pt layup at rim (assist by D. Russell),5,6
25,1,9:08.0,Turnover by W. Ellington (bad pass; steal by R. Kurucs),,5,6
26,1,9:05.0,,R. Kurucs makes 2-pt dunk from 1 ft,5,8
27,1,8:39.0,B. Griffin misses 2-pt layup from 5 ft,,5,8
28,1,8:37.0,Offensive rebound by B. Griffin,,5,8
29,1,8:37.0,B. Griffin misses 2-pt layup from 1 ft,,5,8
30,1,8:37.0,Offensive rebound by B. Griffin,,5,8
31,1,8:37.0,Shooting foul by J. Harris (drawn by B. Griffin),,5,8
32,1,8:37.0,B. Griffin makes free throw 1 of 2,,6,8
33,1,8:37.0,B. Griffin makes free throw 2 of 2,,7,8
