,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CLEVELAND_ACTION,MILWAUKEE_SCORE,CLEVELAND_SCORE
0,1,11:43.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by B. Lopez),,2,0
1,1,11:35.0,Loose ball foul by E. Bledsoe (drawn by C. Sexton),,2,0
2,1,11:25.0,,Turnover by C. Sexton (bad pass; steal by T. Snell),2,0
3,1,11:19.0,B. Lopez misses 3-pt jump shot from 28 ft,,2,0
4,1,11:16.0,,Defensive rebound by C. Osman,2,0
5,1,10:55.0,,R. Hood misses 3-pt jump shot from 28 ft,2,0
6,1,10:53.0,Defensive rebound by G. Antetokounmpo,,2,0
7,1,10:43.0,T. Snell makes 3-pt jump shot from 25 ft (assist by P. Connaughton),,5,0
8,1,10:24.0,,C. Frye misses 3-pt jump shot from 26 ft,5,0
9,1,10:21.0,Defensive rebound by E. Bledsoe,,5,0
10,1,10:11.0,E. Bledsoe misses 3-pt jump shot from 29 ft,,5,0
11,1,10:07.0,Offensive rebound by B. Lopez,,5,0
12,1,10:04.0,Shooting foul by C. Osman (drawn by G. Antetokounmpo),,5,0
13,1,10:04.0,G. Antetokounmpo makes free throw 1 of 2,,6,0
14,1,10:04.0,G. Antetokounmpo misses free throw 2 of 2,,6,0
15,1,10:01.0,,Defensive rebound by C. Frye,6,0
16,1,9:42.0,,C. Sexton misses 2-pt layup from 1 ft,6,0
17,1,9:40.0,Defensive rebound by G. Antetokounmpo,,6,0
18,1,9:37.0,Turnover by G. Antetokounmpo (lost ball; steal by A. Burks),,6,0
19,1,9:30.0,,C. Sexton misses 2-pt jump shot from 10 ft,6,0
20,1,9:29.0,,Offensive rebound by A. Burks,6,0
21,1,9:29.0,,A. Burks misses 2-pt layup at rim,6,0
22,1,9:28.0,Defensive rebound by T. Snell,,6,0
23,1,9:09.0,T. Snell makes 3-pt jump shot from 23 ft (assist by P. Connaughton),,9,0
24,1,9:07.0,,Cleveland full timeout,9,0
25,1,8:53.0,,Shooting foul by T. Snell (drawn by R. Hood),9,0
26,1,8:53.0,,R. Hood makes free throw 1 of 2,9,1
27,1,8:53.0,,R. Hood makes free throw 2 of 2,9,2
28,1,8:38.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,11,2
29,1,8:20.0,,C. Sexton misses 2-pt jump shot from 13 ft,11,2
30,1,8:18.0,Defensive rebound by T. Snell,,11,2
31,1,8:12.0,E. Bledsoe makes 2-pt layup from 1 ft,,13,2
32,1,8:01.0,,A. Burks misses 3-pt jump shot from 26 ft,13,2
33,1,7:58.0,Defensive rebound by T. Snell,,13,2
34,1,7:50.0,E. Bledsoe misses 3-pt jump shot from 27 ft,,13,2
35,1,7:47.0,,Defensive rebound by C. Frye,13,2
36,1,7:38.0,,C. Frye misses 2-pt jump shot from 20 ft,13,2
37,1,7:35.0,Defensive rebound by P. Connaughton,,13,2
38,1,7:27.0,P. Connaughton misses 3-pt jump shot from 30 ft,,13,2
39,1,7:24.0,,Defensive rebound by C. Frye,13,2
40,1,7:02.0,,R. Hood misses 2-pt jump shot from 5 ft,13,2
41,1,7:01.0,,Offensive rebound by R. Hood,13,2
42,1,7:01.0,,R. Hood makes 2-pt layup at rim,13,4
43,1,6:52.0,Personal foul by R. Hood (drawn by G. Antetokounmpo),,13,4
44,1,6:52.0,,L. Nance enters the game for C. Frye,13,4
45,1,6:44.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,15,4
46,1,6:28.0,,A. Burks misses 2-pt jump shot from 3 ft,15,4
47,1,6:26.0,,Offensive rebound by A. Burks,15,4
48,1,6:26.0,,A. Burks makes 2-pt layup at rim,15,6
49,1,6:03.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by P. Connaughton),,18,6
50,1,5:39.0,,R. Hood makes 2-pt jump shot from 11 ft,18,8
51,1,5:22.0,G. Antetokounmpo misses 2-pt jump shot from 19 ft,,18,8
52,1,5:22.0,,Defensive rebound by Team,18,8
53,1,5:22.0,D. DiVincenzo enters the game for G. Antetokounmpo,,18,8
54,1,5:22.0,T. Maker enters the game for T. Snell,,18,8
55,1,5:22.0,,J. Clarkson enters the game for A. Burks,18,8
56,1,5:08.0,,C. Osman misses 3-pt jump shot from 23 ft,18,8
57,1,5:08.0,Defensive rebound by B. Lopez,,18,8
58,1,4:57.0,Offensive foul by E. Bledsoe (drawn by C. Sexton),,18,8
59,1,4:57.0,Turnover by E. Bledsoe (offensive foul),,18,8
60,1,4:57.0,G. Hill enters the game for E. Bledsoe,,18,8
61,1,4:57.0,,D. Nwaba enters the game for C. Osman,18,8
62,1,4:41.0,,C. Sexton misses 3-pt jump shot from 26 ft,18,8
63,1,4:39.0,Defensive rebound by G. Hill,,18,8
64,1,4:26.0,P. Connaughton misses 3-pt jump shot from 27 ft,,18,8
65,1,4:23.0,,Defensive rebound by J. Clarkson,18,8
66,1,4:16.0,,Turnover by J. Clarkson (lost ball; steal by B. Lopez),18,8
67,1,4:09.0,D. DiVincenzo misses 3-pt jump shot from 23 ft,,18,8
68,1,4:08.0,,Defensive rebound by Team,18,8
69,1,4:08.0,Loose ball foul by T. Maker (drawn by D. Nwaba),,18,8
70,1,4:08.0,E. İlyasova enters the game for P. Connaughton,,18,8
71,1,4:08.0,J. Morris enters the game for B. Lopez,,18,8
72,1,4:08.0,,M. Dellavedova enters the game for C. Sexton,18,8
73,1,3:56.0,,J. Clarkson misses 2-pt jump shot from 17 ft,18,8
74,1,3:54.0,Defensive rebound by J. Morris,,18,8
75,1,3:45.0,T. Maker makes 3-pt jump shot from 23 ft (assist by J. Morris),,21,8
76,1,3:32.0,,M. Dellavedova makes 3-pt jump shot from 25 ft,21,11
77,1,3:18.0,G. Hill misses 2-pt layup from 2 ft,,21,11
78,1,3:16.0,,Defensive rebound by L. Nance,21,11
79,1,3:14.0,,Shooting foul by D. DiVincenzo (drawn by D. Nwaba),21,11
80,1,3:14.0,,D. Nwaba makes free throw 1 of 2,21,12
81,1,3:14.0,,D. Nwaba misses free throw 2 of 2,21,12
82,1,3:12.0,Defensive rebound by T. Maker,,21,12
83,1,2:52.0,E. İlyasova misses 2-pt jump shot from 11 ft,,21,12
84,1,2:49.0,,Defensive rebound by R. Hood,21,12
85,1,2:43.0,,L. Nance misses 2-pt jump shot from 13 ft,21,12
86,1,2:40.0,,Offensive rebound by L. Nance,21,12
87,1,2:39.0,,Turnover by L. Nance (bad pass; steal by D. DiVincenzo),21,12
88,1,2:36.0,D. DiVincenzo makes 2-pt dunk at rim,,23,12
89,1,2:19.0,,Turnover by M. Dellavedova (bad pass; steal by J. Morris),23,12
90,1,2:17.0,Shooting foul by R. Hood (drawn by J. Morris),,23,12
91,1,2:17.0,Milwaukee full timeout,,23,12
92,1,2:17.0,,J. Blossomgame enters the game for R. Hood,23,12
93,1,2:17.0,J. Morris makes free throw 1 of 2,,24,12
94,1,2:17.0,J. Morris misses free throw 2 of 2,,24,12
95,1,2:14.0,,Defensive rebound by J. Blossomgame,24,12
96,1,2:03.0,,J. Clarkson makes 2-pt jump shot from 18 ft,24,14
97,1,1:47.0,D. DiVincenzo misses 2-pt jump shot from 16 ft,,24,14
98,1,1:46.0,,Defensive rebound by Team,24,14
99,1,1:36.0,,Personal foul by D. DiVincenzo (drawn by L. Nance),24,14
100,1,1:36.0,,L. Nance makes free throw 1 of 2,24,15
101,1,1:36.0,G. Antetokounmpo enters the game for T. Maker,,24,15
102,1,1:36.0,,L. Nance makes free throw 2 of 2,24,16
103,1,1:27.0,Personal foul by D. Nwaba (drawn by G. Hill),,24,16
104,1,1:12.0,Turnover by Team (shot clock),,24,16
105,1,1:00.0,,J. Clarkson misses 2-pt jump shot from 14 ft (block by D. DiVincenzo),24,16
106,1,0:57.0,Defensive rebound by D. DiVincenzo,,24,16
107,1,0:54.0,J. Morris misses 2-pt layup from 3 ft (block by D. Nwaba),,24,16
108,1,0:50.0,,Defensive rebound by J. Blossomgame,24,16
109,1,0:39.0,,M. Dellavedova misses 2-pt jump shot from 12 ft,24,16
110,1,0:36.0,Defensive rebound by G. Antetokounmpo,,24,16
111,1,0:33.0,E. İlyasova makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,27,16
112,1,0:15.0,,L. Nance misses 2-pt layup from 1 ft,27,16
113,1,0:12.0,Defensive rebound by G. Hill,,27,16
114,1,0:01.0,G. Antetokounmpo misses 2-pt hook shot from 9 ft,,27,16
115,1,0:01.0,Offensive rebound by E. İlyasova,,27,16
116,1,0:01.0,E. İlyasova misses 2-pt layup from 1 ft,,27,16
117,1,0:00.0,,Defensive rebound by J. Blossomgame,27,16
118,2,11:43.0,,J. Clarkson misses 2-pt jump shot from 18 ft,27,16
119,2,11:41.0,Defensive rebound by G. Hill,,27,16
120,2,11:31.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by T. Snell),,29,16
121,2,11:17.0,,M. Dellavedova makes 2-pt jump shot from 13 ft,29,18
122,2,10:56.0,E. İlyasova misses 2-pt layup from 1 ft,,29,18
123,2,10:53.0,,Defensive rebound by J. Blossomgame,29,18
124,2,10:48.0,,D. Nwaba misses 3-pt jump shot from 23 ft,29,18
125,2,10:45.0,,Offensive rebound by J. Blossomgame,29,18
126,2,10:43.0,,J. Clarkson misses 3-pt jump shot from 26 ft,29,18
127,2,10:39.0,,Offensive rebound by J. Clarkson,29,18
128,2,10:35.0,,J. Clarkson makes 2-pt dunk from 1 ft,29,20
129,2,10:16.0,E. İlyasova makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,32,20
130,2,9:58.0,,L. Nance makes 3-pt jump shot from 25 ft (assist by J. Clarkson),32,23
131,2,9:37.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by T. Snell),,34,23
132,2,9:22.0,,Offensive foul by J. Clarkson (drawn by E. İlyasova),34,23
133,2,9:22.0,,Turnover by J. Clarkson (offensive foul),34,23
134,2,9:22.0,E. Bledsoe enters the game for D. DiVincenzo,,34,23
135,2,9:22.0,P. Connaughton enters the game for G. Hill,,34,23
136,2,9:22.0,B. Lopez enters the game for E. İlyasova,,34,23
137,2,9:22.0,,A. Burks enters the game for J. Blossomgame,34,23
138,2,9:22.0,,C. Osman enters the game for D. Nwaba,34,23
