,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,PHILADELPHIA_ACTION,CLEVELAND_SCORE,PHILADELPHIA_SCORE
0,1,11:48.0,,J. Redick makes 2-pt jump shot from 21 ft (assist by J. Embiid),0,2
1,1,11:28.0,A. Žižić misses 2-pt jump shot from 12 ft,,0,2
2,1,11:26.0,,Defensive rebound by J. Embiid,0,2
3,1,11:19.0,,Turnover by J. Embiid (dbl dribble),0,2
4,1,11:04.0,C. Osman misses 2-pt layup from 3 ft,,0,2
5,1,11:02.0,Offensive rebound by A. Žižić,,0,2
6,1,10:58.0,Turnover by C. Osman (bad pass),,0,2
7,1,10:47.0,,J. Embiid misses 2-pt jump shot from 8 ft,0,2
8,1,10:44.0,Defensive rebound by C. Osman,,0,2
9,1,10:33.0,C. Sexton misses 2-pt layup from 3 ft,,0,2
10,1,10:30.0,Offensive rebound by A. Žižić,,0,2
11,1,10:28.0,A. Žižić misses 2-pt hook shot from 6 ft (block by J. Redick),,0,2
12,1,10:28.0,,Defensive rebound by B. Simmons,0,2
13,1,10:22.0,,B. Simmons misses 2-pt layup from 4 ft,0,2
14,1,10:21.0,,Offensive rebound by J. Ennis,0,2
15,1,10:19.0,,J. Ennis makes 2-pt layup from 2 ft,0,4
16,1,10:00.0,B. Knight misses 2-pt jump shot from 12 ft,,0,4
17,1,9:59.0,,Defensive rebound by B. Simmons,0,4
18,1,9:49.0,,Turnover by J. Embiid (lost ball; steal by B. Knight),0,4
19,1,9:44.0,B. Knight makes 2-pt layup from 2 ft,,2,4
20,1,9:35.0,,Turnover by T. Harris (bad pass; steal by B. Knight),2,4
21,1,9:31.0,B. Knight makes 2-pt layup from 3 ft,,4,4
22,1,9:17.0,,J. Redick misses 3-pt jump shot from 25 ft,4,4
23,1,9:15.0,Defensive rebound by D. Nwaba,,4,4
24,1,9:05.0,Personal foul by J. Ennis (drawn by A. Žižić),,4,4
25,1,8:53.0,C. Sexton misses 2-pt layup from 2 ft,,4,4
26,1,8:49.0,,Defensive rebound by B. Simmons,4,4
27,1,8:46.0,,B. Simmons makes 2-pt layup from 2 ft,4,6
28,1,8:26.0,D. Nwaba misses 2-pt hook shot from 5 ft,,4,6
29,1,8:24.0,,Defensive rebound by J. Embiid,4,6
30,1,8:14.0,,J. Ennis makes 2-pt layup at rim (assist by B. Simmons),4,8
31,1,8:14.0,Cleveland full timeout,,4,8
32,1,8:04.0,A. Žižić makes 2-pt hook shot from 4 ft (assist by C. Osman),,6,8
33,1,7:52.0,,J. Embiid makes 2-pt layup from 2 ft (assist by B. Simmons),6,10
34,1,7:25.0,Turnover by Team (shot clock),,6,10
