,QUARTER,TIME_REMAINING,DALLAS_ACTION,CLEVELAND_ACTION,DALLAS_SCORE,CLEVELAND_SCORE
0,1,11:39.0,L. Dončić misses 2-pt jump shot from 20 ft,,0,0
1,1,11:38.0,Offensive rebound by M. Kleber,,0,0
2,1,11:32.0,Offensive foul by H. Barnes (drawn by A. Burks),,0,0
3,1,11:32.0,Turnover by H. Barnes (offensive foul),,0,0
4,1,11:17.0,,C. Sexton misses 2-pt layup from 2 ft,0,0
5,1,11:17.0,Defensive rebound by Team,,0,0
6,1,10:57.0,M. Kleber misses 2-pt jump shot from 8 ft,,0,0
7,1,10:55.0,,Defensive rebound by A. Burks,0,0
8,1,10:46.0,,R. Hood misses 2-pt jump shot from 10 ft,0,0
9,1,10:41.0,,Offensive rebound by A. Žižić,0,0
10,1,10:41.0,,A. Žižić misses 2-pt layup from 1 ft,0,0
11,1,10:40.0,Defensive rebound by D. Finney-Smith,,0,0
12,1,10:34.0,J. Brunson makes 2-pt jump shot from 10 ft,,2,0
13,1,10:10.0,,R. Hood makes 3-pt jump shot from 28 ft (assist by C. Sexton),2,3
14,1,9:56.0,J. Brunson misses 3-pt jump shot from 24 ft,,2,3
15,1,9:55.0,Offensive rebound by J. Brunson,,2,3
16,1,9:49.0,Shooting foul by A. Žižić (drawn by J. Brunson),,2,3
17,1,9:49.0,J. Brunson misses free throw 1 of 2,,2,3
18,1,9:49.0,Offensive rebound by Team,,2,3
19,1,9:49.0,J. Brunson makes free throw 2 of 2,,3,3
20,1,9:38.0,,A. Žižić makes 2-pt dunk from 1 ft (assist by C. Osman),3,5
21,1,9:27.0,Turnover by L. Dončić (bad pass; steal by C. Osman),,3,5
22,1,9:22.0,,C. Sexton makes 2-pt layup from 1 ft (assist by C. Osman),3,7
23,1,9:08.0,L. Dončić makes 2-pt layup from 2 ft,,5,7
24,1,8:56.0,,A. Žižić makes 2-pt layup from 1 ft (assist by C. Osman),5,9
25,1,8:40.0,D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by L. Dončić),,8,9
26,1,8:27.0,,C. Osman makes 2-pt layup at rim,8,11
27,1,8:17.0,L. Dončić makes 3-pt jump shot from 28 ft,,11,11
28,1,8:02.0,,C. Sexton misses 2-pt jump shot from 11 ft,11,11
29,1,7:59.0,Defensive rebound by H. Barnes,,11,11
30,1,7:55.0,D. Finney-Smith misses 2-pt layup from 1 ft,,11,11
31,1,7:49.0,Offensive rebound by M. Kleber,,11,11
32,1,7:47.0,M. Kleber misses 2-pt layup from 2 ft,,11,11
33,1,7:47.0,,Defensive rebound by A. Burks,11,11
34,1,7:41.0,,R. Hood misses 3-pt jump shot from 25 ft,11,11
35,1,7:39.0,Defensive rebound by L. Dončić,,11,11
36,1,7:30.0,L. Dončić makes 2-pt layup from 1 ft,,13,11
37,1,7:27.0,,Personal foul by D. Finney-Smith (drawn by A. Burks),13,11
38,1,7:08.0,,Turnover by A. Žižić (bad pass; steal by L. Dončić),13,11
39,1,7:08.0,Personal take foul by A. Burks (drawn by J. Brunson),,13,11
40,1,6:50.0,H. Barnes misses 2-pt jump shot from 2 ft,,13,11
41,1,6:47.0,,Defensive rebound by A. Burks,13,11
42,1,6:47.0,,Personal foul by L. Dončić (drawn by A. Burks),13,11
43,1,6:47.0,,Cleveland full timeout,13,11
44,1,6:47.0,R. Broekhoff enters the game for L. Dončić,,13,11
45,1,6:47.0,,A. Burks makes free throw 1 of 2,13,12
46,1,6:47.0,,A. Burks makes free throw 2 of 2,13,13
47,1,6:23.0,J. Brunson misses 3-pt jump shot from 23 ft,,13,13
48,1,6:18.0,,Defensive rebound by A. Žižić,13,13
49,1,6:10.0,,C. Osman misses 3-pt jump shot from 26 ft,13,13
50,1,6:07.0,Defensive rebound by J. Brunson,,13,13
51,1,6:02.0,M. Kleber makes 3-pt jump shot from 23 ft (assist by J. Brunson),,16,13
52,1,5:44.0,,C. Osman makes 2-pt layup from 1 ft,16,15
53,1,5:34.0,M. Kleber makes 3-pt jump shot from 26 ft (assist by D. Finney-Smith),,19,15
54,1,5:15.0,,A. Burks misses 2-pt jump shot from 16 ft,19,15
55,1,5:12.0,Defensive rebound by H. Barnes,,19,15
56,1,5:02.0,H. Barnes misses 3-pt jump shot from 25 ft,,19,15
57,1,4:58.0,,Defensive rebound by C. Sexton,19,15
58,1,4:47.0,,A. Žižić misses 2-pt hook shot from 7 ft,19,15
59,1,4:45.0,Defensive rebound by M. Kleber,,19,15
60,1,4:38.0,Turnover by D. Finney-Smith (lost ball; steal by C. Sexton),,19,15
61,1,4:33.0,,C. Osman misses 2-pt layup at rim (block by M. Kleber),19,15
62,1,4:29.0,Defensive rebound by D. Finney-Smith,,19,15
63,1,4:26.0,R. Broekhoff misses 3-pt jump shot from 23 ft,,19,15
64,1,4:21.0,Offensive rebound by D. Finney-Smith,,19,15
65,1,4:21.0,Personal foul by C. Osman (drawn by J. Brunson),,19,15
66,1,4:21.0,,J. Clarkson enters the game for R. Hood,19,15
67,1,4:21.0,,L. Nance enters the game for C. Osman,19,15
68,1,4:21.0,,D. Nwaba enters the game for A. Žižić,19,15
69,1,4:14.0,H. Barnes misses 2-pt layup from 1 ft,,19,15
70,1,4:11.0,,Defensive rebound by L. Nance,19,15
71,1,4:06.0,,J. Clarkson makes 2-pt jump shot from 1 ft (assist by L. Nance),19,17
72,1,4:06.0,,Shooting foul by M. Kleber (drawn by J. Clarkson),19,17
73,1,4:06.0,L. Dončić enters the game for H. Barnes,,19,17
74,1,4:06.0,D. Harris enters the game for J. Brunson,,19,17
75,1,4:06.0,D. Nowitzki enters the game for D. Finney-Smith,,19,17
76,1,4:06.0,D. Powell enters the game for M. Kleber,,19,17
77,1,4:06.0,,J. Clarkson makes free throw 1 of 1,19,18
78,1,3:57.0,L. Dončić makes 2-pt layup from 1 ft,,21,18
79,1,3:46.0,,A. Burks makes 2-pt layup from 1 ft (assist by J. Clarkson),21,20
80,1,3:26.0,R. Broekhoff makes 3-pt jump shot from 23 ft (assist by D. Powell),,24,20
81,1,3:11.0,,L. Nance makes 2-pt layup from 1 ft (assist by A. Burks),24,22
82,1,3:11.0,,Shooting foul by D. Nowitzki (drawn by L. Nance),24,22
83,1,3:11.0,,M. Dellavedova enters the game for A. Burks,24,22
84,1,3:11.0,,C. Osman enters the game for C. Sexton,24,22
85,1,3:11.0,,L. Nance makes free throw 1 of 1,24,23
86,1,3:00.0,D. Powell makes 2-pt dunk from 2 ft (assist by L. Dončić),,26,23
87,1,2:38.0,,L. Nance misses 2-pt layup from 1 ft,26,23
88,1,2:33.0,Defensive rebound by D. Powell,,26,23
89,1,2:30.0,Personal foul by J. Clarkson (drawn by L. Dončić),,26,23
90,1,2:30.0,Dallas full timeout,,26,23
91,1,2:16.0,L. Dončić makes 3-pt jump shot from 26 ft,,29,23
92,1,2:03.0,,Personal foul by D. Nowitzki (drawn by J. Clarkson),29,23
93,1,2:03.0,,J. Clarkson misses free throw 1 of 2,29,23
94,1,2:03.0,,Offensive rebound by Team,29,23
95,1,2:03.0,,J. Clarkson misses free throw 2 of 2,29,23
96,1,2:01.0,Defensive rebound by D. Nowitzki,,29,23
97,1,1:44.0,D. Powell makes 2-pt dunk from 2 ft (assist by D. Harris),,31,23
98,1,1:27.0,,C. Osman makes 2-pt jump shot from 19 ft (assist by L. Nance),31,25
99,1,1:13.0,R. Broekhoff makes 3-pt jump shot from 23 ft (assist by L. Dončić),,34,25
100,1,1:11.0,,Personal foul by D. Harris (drawn by M. Dellavedova),34,25
101,1,1:11.0,,M. Dellavedova makes free throw 1 of 2,34,26
102,1,1:11.0,H. Barnes enters the game for D. Nowitzki,,34,26
103,1,1:11.0,,M. Dellavedova makes free throw 2 of 2,34,27
104,1,0:55.0,L. Dončić makes 3-pt jump shot from 26 ft (assist by D. Harris),,37,27
105,1,0:48.0,,J. Clarkson makes 2-pt dunk from 1 ft (assist by M. Dellavedova),37,29
106,1,0:34.0,L. Dončić makes 3-pt jump shot from 30 ft,,40,29
107,1,0:14.0,,J. Clarkson makes 2-pt layup at rim (assist by M. Dellavedova),40,31
108,1,0:01.0,L. Dončić misses 3-pt jump shot from 27 ft,,40,31
109,1,0:00.0,,Defensive rebound by L. Nance,40,31
110,2,11:38.0,,J. Clarkson makes 3-pt jump shot from 25 ft (assist by L. Nance),40,34
111,2,11:19.0,R. Broekhoff misses 3-pt jump shot from 23 ft,,40,34
112,2,11:16.0,Offensive rebound by L. Dončić,,40,34
113,2,11:09.0,R. Broekhoff makes 3-pt jump shot from 23 ft (assist by L. Dončić),,43,34
114,2,10:54.0,,Shooting foul by D. Powell (drawn by R. Hood),43,34
115,2,10:54.0,,R. Hood makes free throw 1 of 2,43,35
116,2,10:54.0,,R. Hood misses free throw 2 of 2,43,35
117,2,10:51.0,Defensive rebound by L. Dončić,,43,35
118,2,10:41.0,L. Dončić misses 2-pt jump shot from 17 ft,,43,35
119,2,10:39.0,,Defensive rebound by L. Nance,43,35
120,2,10:30.0,,L. Nance makes 2-pt dunk from 1 ft (assist by R. Hood),43,37
121,2,10:04.0,R. Broekhoff makes 3-pt jump shot from 26 ft (assist by L. Dončić),,46,37
122,2,9:45.0,,C. Osman makes 2-pt jump shot from 5 ft,46,39
123,2,9:35.0,Personal foul by C. Osman (drawn by L. Dončić),,46,39
124,2,9:28.0,Personal foul by M. Dellavedova (drawn by D. Harris),,46,39
125,2,9:23.0,R. Broekhoff misses 3-pt jump shot from 28 ft,,46,39
126,2,9:19.0,,Defensive rebound by C. Osman,46,39
127,2,9:10.0,,C. Osman misses 2-pt layup at rim,46,39
128,2,9:07.0,,Offensive rebound by C. Osman,46,39
129,2,9:06.0,,C. Osman makes 2-pt layup from 1 ft,46,41
130,2,9:06.0,Dallas full timeout,,46,41
131,2,8:51.0,D. Powell misses 2-pt layup from 1 ft,,46,41
132,2,8:48.0,,Defensive rebound by L. Nance,46,41
133,2,8:31.0,,C. Osman misses 3-pt jump shot from 28 ft,46,41
134,2,8:30.0,Defensive rebound by L. Dončić,,46,41
135,2,8:23.0,Turnover by L. Dončić (bad pass; steal by R. Hood),,46,41
136,2,8:21.0,,Shooting foul by D. Harris (drawn by R. Hood),46,41
137,2,8:21.0,,R. Hood makes free throw 1 of 2,46,42
138,2,8:21.0,J. Brunson enters the game for L. Dončić,,46,42
139,2,8:21.0,D. Finney-Smith enters the game for D. Harris,,46,42
140,2,8:21.0,M. Kleber enters the game for D. Powell,,46,42
141,2,8:21.0,,A. Burks enters the game for C. Osman,46,42
142,2,8:21.0,,R. Hood makes free throw 2 of 2,46,43
143,2,8:08.0,Turnover by J. Brunson (bad pass; steal by L. Nance),,46,43
144,2,7:55.0,,J. Clarkson misses 3-pt jump shot from 24 ft,46,43
145,2,7:53.0,Defensive rebound by M. Kleber,,46,43
146,2,7:47.0,M. Kleber misses 3-pt jump shot from 26 ft,,46,43
147,2,7:45.0,,Defensive rebound by A. Burks,46,43
148,2,7:42.0,,Turnover by A. Burks (bad pass; steal by M. Kleber),46,43
149,2,7:32.0,R. Broekhoff misses 2-pt layup from 3 ft (block by J. Clarkson),,46,43
150,2,7:32.0,Offensive rebound by Team,,46,43
151,2,7:24.0,J. Brunson misses 2-pt jump shot from 20 ft,,46,43
152,2,7:20.0,,Defensive rebound by A. Burks,46,43
153,2,7:09.0,,M. Dellavedova misses 3-pt jump shot from 26 ft,46,43
154,2,7:05.0,Defensive rebound by J. Brunson,,46,43
155,2,7:05.0,,C. Sexton enters the game for M. Dellavedova,46,43
156,2,6:42.0,H. Barnes misses 2-pt jump shot from 12 ft,,46,43
157,2,6:40.0,,Defensive rebound by L. Nance,46,43
158,2,6:27.0,,J. Clarkson misses 2-pt jump shot from 6 ft,46,43
159,2,6:27.0,Defensive rebound by Team,,46,43
160,2,6:12.0,M. Kleber misses 3-pt jump shot from 28 ft,,46,43
161,2,6:08.0,,Defensive rebound by J. Clarkson,46,43
162,2,6:00.0,,C. Sexton makes 2-pt jump shot from 5 ft (assist by J. Clarkson),46,45
163,2,5:50.0,Offensive foul by J. Brunson (drawn by C. Sexton),,46,45
164,2,5:50.0,Turnover by J. Brunson (offensive foul),,46,45
165,2,5:50.0,,D. Nwaba enters the game for R. Hood,46,45
166,2,5:41.0,,C. Sexton misses 3-pt jump shot from 25 ft,46,45
167,2,5:37.0,,Offensive rebound by J. Clarkson,46,45
168,2,5:35.0,,D. Nwaba misses 2-pt layup from 1 ft,46,45
169,2,5:33.0,,Offensive rebound by D. Nwaba,46,45
170,2,5:30.0,,D. Nwaba makes 2-pt layup at rim,46,47
171,2,5:16.0,H. Barnes misses 3-pt jump shot from 26 ft,,46,47
172,2,5:13.0,,Defensive rebound by L. Nance,46,47
173,2,4:53.0,,J. Clarkson misses 2-pt jump shot from 1 ft,46,47
174,2,4:50.0,,Offensive rebound by D. Nwaba,46,47
175,2,4:50.0,,D. Nwaba makes 2-pt layup from 2 ft,46,49
176,2,4:50.0,Dallas full timeout,,46,49
177,2,4:50.0,L. Dončić enters the game for H. Barnes,,46,49
178,2,4:50.0,D. Powell enters the game for R. Broekhoff,,46,49
179,2,4:33.0,D. Finney-Smith misses 3-pt jump shot from 28 ft,,46,49
180,2,4:29.0,Offensive rebound by M. Kleber,,46,49
181,2,4:27.0,L. Dončić misses 3-pt jump shot from 27 ft,,46,49
182,2,4:25.0,Offensive rebound by D. Finney-Smith,,46,49
183,2,4:25.0,Turnover by D. Finney-Smith (out of bounds lost ball),,46,49
184,2,4:12.0,,L. Nance makes 2-pt dunk from 1 ft (assist by A. Burks),46,51
185,2,3:56.0,L. Dončić makes 2-pt jump shot from 10 ft,,48,51
186,2,3:56.0,Shooting foul by A. Burks (drawn by L. Dončić),,48,51
187,2,3:56.0,L. Dončić makes free throw 1 of 1,,49,51
188,2,3:46.0,,Personal foul by J. Brunson (drawn by C. Sexton),49,51
189,2,3:46.0,,A. Žižić enters the game for L. Nance,49,51
190,2,3:34.0,,D. Nwaba makes 2-pt layup at rim,49,53
191,2,3:07.0,L. Dončić misses 3-pt jump shot from 27 ft,,49,53
192,2,3:05.0,,Defensive rebound by D. Nwaba,49,53
193,2,2:40.0,,J. Clarkson misses 2-pt jump shot from 9 ft (block by M. Kleber),49,53
194,2,2:37.0,Defensive rebound by M. Kleber,,49,53
195,2,2:34.0,L. Dončić makes 2-pt layup from 2 ft,,51,53
196,2,2:14.0,,C. Sexton misses 2-pt jump shot from 12 ft,51,53
197,2,2:11.0,Defensive rebound by M. Kleber,,51,53
198,2,1:55.0,Shooting foul by A. Žižić (drawn by L. Dončić),,51,53
199,2,1:55.0,L. Dončić misses free throw 1 of 2,,51,53
200,2,1:55.0,Offensive rebound by Team,,51,53
201,2,1:55.0,H. Barnes enters the game for D. Powell,,51,53
202,2,1:55.0,,R. Hood enters the game for J. Clarkson,51,53
203,2,1:55.0,L. Dončić makes free throw 2 of 2,,52,53
204,2,1:32.0,,C. Sexton misses 2-pt layup from 3 ft (block by H. Barnes),52,53
205,2,1:28.0,Defensive rebound by H. Barnes,,52,53
206,2,1:20.0,H. Barnes makes 2-pt layup from 2 ft,,54,53
207,2,1:09.0,,A. Žižić misses 2-pt hook shot from 4 ft,54,53
208,2,1:07.0,Defensive rebound by L. Dončić,,54,53
209,2,0:55.0,H. Barnes misses 2-pt jump shot from 21 ft,,54,53
210,2,0:53.0,,Defensive rebound by A. Burks,54,53
211,2,0:50.0,,C. Sexton makes 2-pt layup from 1 ft (assist by A. Burks),54,55
212,2,0:28.0,L. Dončić makes 2-pt jump shot from 11 ft,,56,55
213,2,0:07.0,,C. Sexton misses 2-pt jump shot from 1 ft,56,55
214,2,0:03.0,Defensive rebound by D. Finney-Smith,,56,55
215,2,0:00.0,L. Dončić makes 2-pt layup from 1 ft,,58,55
216,3,11:47.0,,C. Sexton misses 3-pt jump shot from 26 ft,58,55
217,3,11:40.0,Defensive rebound by L. Dončić,,58,55
218,3,11:35.0,L. Dončić misses 3-pt jump shot from 27 ft,,58,55
219,3,11:33.0,,Defensive rebound by A. Žižić,58,55
220,3,11:26.0,,D. Nwaba makes 2-pt jump shot from 11 ft,58,57
221,3,11:11.0,H. Barnes misses 3-pt jump shot from 31 ft,,58,57
222,3,11:08.0,,Defensive rebound by R. Hood,58,57
223,3,11:00.0,,R. Hood misses 2-pt jump shot from 9 ft,58,57
224,3,10:55.0,,Offensive rebound by A. Žižić,58,57
225,3,10:55.0,,A. Žižić misses 2-pt layup at rim,58,57
226,3,10:55.0,Defensive rebound by L. Dončić,,58,57
227,3,10:54.0,Shooting foul by R. Hood (drawn by M. Kleber),,58,57
228,3,10:54.0,M. Kleber makes free throw 1 of 2,,59,57
229,3,10:54.0,M. Kleber makes free throw 2 of 2,,60,57
230,3,10:44.0,,A. Burks misses 3-pt jump shot from 27 ft,60,57
231,3,10:39.0,Defensive rebound by D. Finney-Smith,,60,57
232,3,10:34.0,D. Finney-Smith misses 3-pt jump shot from 25 ft,,60,57
233,3,10:32.0,,Defensive rebound by A. Burks,60,57
234,3,10:22.0,,D. Nwaba makes 2-pt layup from 2 ft (assist by A. Burks),60,59
235,3,10:06.0,H. Barnes misses 2-pt jump shot from 11 ft,,60,59
236,3,10:01.0,Offensive rebound by M. Kleber,,60,59
237,3,9:59.0,Turnover by M. Kleber (bad pass; steal by D. Nwaba),,60,59
238,3,9:59.0,,Personal foul by M. Kleber (drawn by R. Hood),60,59
239,3,9:45.0,,Shooting foul by L. Dončić (drawn by D. Nwaba),60,59
240,3,9:45.0,,D. Nwaba makes free throw 1 of 2,60,60
241,3,9:45.0,,D. Nwaba makes free throw 2 of 2,60,61
242,3,9:33.0,M. Kleber makes 2-pt dunk at rim (assist by L. Dončić),,62,61
243,3,9:20.0,,C. Sexton misses 2-pt layup from 2 ft,62,61
244,3,9:17.0,,Offensive rebound by C. Sexton,62,61
245,3,9:16.0,,C. Sexton misses 2-pt layup from 3 ft,62,61
246,3,9:13.0,,Offensive rebound by A. Žižić,62,61
247,3,9:13.0,,A. Žižić misses 2-pt layup at rim,62,61
248,3,9:13.0,Defensive rebound by L. Dončić,,62,61
249,3,9:13.0,Personal take foul by D. Nwaba (drawn by L. Dončić),,62,61
250,3,9:04.0,L. Dončić makes 2-pt layup from 1 ft,,64,61
251,3,9:03.0,,Cleveland full timeout,64,61
252,3,8:54.0,,Personal foul by J. Brunson (drawn by C. Sexton),64,61
253,3,8:44.0,,Offensive foul by A. Žižić (drawn by H. Barnes),64,61
254,3,8:44.0,,Turnover by A. Žižić (offensive foul),64,61
255,3,8:34.0,M. Kleber misses 2-pt layup from 1 ft,,64,61
256,3,8:31.0,,Defensive rebound by D. Nwaba,64,61
257,3,8:30.0,,Shooting foul by D. Finney-Smith (drawn by C. Sexton),64,61
258,3,8:30.0,,C. Sexton makes free throw 1 of 2,64,62
259,3,8:30.0,,C. Sexton makes free throw 2 of 2,64,63
260,3,8:20.0,J. Brunson misses 2-pt jump shot from 21 ft,,64,63
261,3,8:16.0,,Defensive rebound by A. Burks,64,63
262,3,8:09.0,,Shooting foul by L. Dončić (drawn by D. Nwaba),64,63
263,3,8:09.0,,D. Nwaba misses free throw 1 of 2,64,63
264,3,8:09.0,,Offensive rebound by Team,64,63
265,3,8:09.0,,D. Nwaba misses free throw 2 of 2,64,63
266,3,8:06.0,Defensive rebound by M. Kleber,,64,63
267,3,8:01.0,Personal foul by D. Nwaba (drawn by L. Dončić),,64,63
268,3,7:50.0,J. Brunson misses 3-pt jump shot from 30 ft,,64,63
269,3,7:47.0,,Defensive rebound by A. Žižić,64,63
270,3,7:36.0,,R. Hood misses 2-pt jump shot from 15 ft,64,63
