,QUARTER,TIME_REMAINING,TORONTO_ACTION,MILWAUKEE_ACTION,TORONTO_SCORE,MILWAUKEE_SCORE
0,1,11:40.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,0,2
1,1,11:40.0,,Shooting foul by S. Ibaka (drawn by G. Antetokounmpo),0,2
2,1,11:40.0,,G. Antetokounmpo makes free throw 1 of 1,0,3
3,1,11:28.0,Shooting foul by G. Antetokounmpo (drawn by P. Siakam),,0,3
4,1,11:28.0,P. Siakam misses free throw 1 of 2,,0,3
5,1,11:28.0,Offensive rebound by Team,,0,3
6,1,11:28.0,P. Siakam makes free throw 2 of 2,,1,3
7,1,11:17.0,,B. Lopez misses 3-pt jump shot from 25 ft,1,3
8,1,11:13.0,Defensive rebound by K. Leonard,,1,3
9,1,11:04.0,F. VanVleet makes 3-pt jump shot from 24 ft (assist by P. Siakam),,4,3
10,1,10:49.0,,E. Bledsoe makes 3-pt jump shot from 28 ft (assist by K. Middleton),4,6
11,1,10:35.0,Turnover by S. Ibaka (lost ball; steal by K. Middleton),,4,6
12,1,10:31.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by E. Bledsoe),4,8
13,1,10:02.0,S. Ibaka misses 2-pt jump shot from 19 ft,,4,8
14,1,10:00.0,,Defensive rebound by G. Antetokounmpo,4,8
15,1,9:46.0,,M. Brogdon makes 2-pt layup from 2 ft (assist by E. Bledsoe),4,10
16,1,9:29.0,P. Siakam makes 2-pt layup from 1 ft (assist by K. Leonard),,6,10
17,1,9:29.0,,Violation by Team (def goaltending),6,10
18,1,9:17.0,,M. Brogdon makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),6,13
19,1,9:07.0,F. VanVleet makes 2-pt jump shot from 22 ft,,8,13
20,1,8:48.0,,M. Brogdon makes 2-pt layup from 2 ft (assist by K. Middleton),8,15
21,1,8:32.0,D. Green makes 2-pt jump shot from 19 ft (assist by F. VanVleet),,10,15
22,1,8:16.0,,K. Middleton makes 3-pt jump shot from 29 ft (assist by E. Bledsoe),10,18
23,1,8:05.0,S. Ibaka makes 2-pt jump shot from 18 ft (assist by F. VanVleet),,12,18
24,1,7:41.0,,E. Bledsoe misses 3-pt jump shot from 28 ft,12,18
25,1,7:38.0,Defensive rebound by D. Green,,12,18
26,1,7:30.0,P. Siakam misses 3-pt jump shot from 24 ft,,12,18
27,1,7:27.0,,Defensive rebound by G. Antetokounmpo,12,18
28,1,7:21.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,12,18
29,1,7:18.0,Defensive rebound by S. Ibaka,,12,18
30,1,7:13.0,S. Ibaka makes 2-pt layup from 1 ft,,14,18
31,1,7:05.0,,E. Bledsoe makes 3-pt jump shot from 28 ft,14,21
32,1,6:48.0,,Milwaukee full timeout,14,21
33,1,6:48.0,,S. Brown enters the game for M. Brogdon,14,21
34,1,6:42.0,Shooting foul by B. Lopez (drawn by K. Leonard),,14,21
35,1,6:42.0,K. Leonard makes free throw 1 of 2,,15,21
36,1,6:42.0,K. Leonard makes free throw 2 of 2,,16,21
37,1,6:16.0,,B. Lopez misses 2-pt layup from 2 ft,16,21
38,1,6:14.0,Defensive rebound by K. Leonard,,16,21
39,1,6:10.0,K. Leonard misses 2-pt jump shot from 17 ft,,16,21
40,1,6:07.0,,Defensive rebound by K. Middleton,16,21
41,1,6:00.0,,K. Middleton misses 2-pt layup from 6 ft (block by F. VanVleet),16,21
42,1,5:57.0,Defensive rebound by S. Ibaka,,16,21
43,1,5:43.0,K. Leonard makes 2-pt jump shot from 16 ft,,18,21
44,1,5:32.0,,E. Bledsoe makes 2-pt dunk from 1 ft (assist by K. Middleton),18,23
45,1,5:20.0,D. Green misses 2-pt jump shot from 13 ft,,18,23
46,1,5:17.0,,Defensive rebound by B. Lopez,18,23
47,1,5:10.0,,Turnover by G. Antetokounmpo (lost ball; steal by K. Leonard),18,23
48,1,4:59.0,F. VanVleet misses 2-pt jump shot from 15 ft,,18,23
49,1,4:56.0,,Defensive rebound by G. Antetokounmpo,18,23
50,1,4:51.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,18,23
51,1,4:49.0,Defensive rebound by K. Leonard,,18,23
52,1,4:44.0,K. Leonard makes 3-pt jump shot from 26 ft,,21,23
53,1,4:23.0,,Turnover by K. Middleton (bad pass; steal by K. Leonard),21,23
54,1,4:14.0,Shooting foul by S. Brown (drawn by F. VanVleet),,21,23
55,1,4:14.0,F. VanVleet makes free throw 1 of 2,,22,23
56,1,4:14.0,N. Powell enters the game for P. Siakam,,22,23
57,1,4:14.0,,G. Hill enters the game for G. Antetokounmpo,22,23
58,1,4:14.0,,E. İlyasova enters the game for E. Bledsoe,22,23
59,1,4:14.0,,D. Wilson enters the game for B. Lopez,22,23
60,1,4:14.0,F. VanVleet makes free throw 2 of 2,,23,23
61,1,3:50.0,,D. Wilson misses 2-pt jump shot from 20 ft,23,23
62,1,3:50.0,,Offensive rebound by Team,23,23
63,1,3:50.0,,Turnover by Team (shot clock),23,23
64,1,3:33.0,S. Ibaka makes 2-pt hook shot from 7 ft (assist by F. VanVleet),,25,23
65,1,3:08.0,,K. Middleton misses 2-pt layup from 5 ft (block by N. Powell),25,23
66,1,3:04.0,Defensive rebound by S. Ibaka,,25,23
67,1,3:01.0,N. Powell misses 3-pt jump shot from 28 ft,,25,23
68,1,3:00.0,,Defensive rebound by Team,25,23
69,1,2:45.0,,Personal foul by F. VanVleet (drawn by G. Hill),25,23
70,1,2:45.0,Toronto full timeout,,25,23
