,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,INDIANA_ACTION,OKLAHOMA CITY_SCORE,INDIANA_SCORE
0,1,11:52.0,Shooting foul by M. Turner (drawn by P. George),,0,0
1,1,11:52.0,P. George makes free throw 1 of 2,,1,0
2,1,11:52.0,P. George makes free throw 2 of 2,,2,0
3,1,11:38.0,,M. Turner misses 2-pt jump shot from 19 ft,2,0
4,1,11:34.0,Defensive rebound by R. Westbrook,,2,0
5,1,11:16.0,Turnover by S. Adams (lost ball; steal by T. Young),,2,0
6,1,11:01.0,,D. Collison misses 2-pt jump shot from 17 ft,2,0
7,1,10:58.0,Defensive rebound by R. Westbrook,,2,0
8,1,10:52.0,P. George misses 2-pt jump shot from 13 ft,,2,0
9,1,10:49.0,,Defensive rebound by B. Bogdanović,2,0
10,1,10:44.0,,B. Bogdanović misses 2-pt layup from 1 ft (block by T. Ferguson),2,0
11,1,10:43.0,,Offensive rebound by Team,2,0
12,1,10:31.0,,W. Matthews misses 2-pt layup from 6 ft,2,0
13,1,10:29.0,Defensive rebound by J. Grant,,2,0
14,1,10:18.0,Shooting foul by D. Collison (drawn by S. Adams),,2,0
15,1,10:18.0,S. Adams misses free throw 1 of 2,,2,0
16,1,10:18.0,Offensive rebound by Team,,2,0
17,1,10:18.0,S. Adams makes free throw 2 of 2,,3,0
18,1,10:11.0,,Turnover by B. Bogdanović (bad pass; steal by P. George),3,0
19,1,10:05.0,R. Westbrook misses 2-pt layup from 1 ft,,3,0
20,1,10:03.0,,Defensive rebound by B. Bogdanović,3,0
21,1,10:00.0,,M. Turner misses 2-pt layup from 1 ft,3,0
22,1,9:59.0,Defensive rebound by S. Adams,,3,0
23,1,9:51.0,Turnover by P. George (bad pass; steal by D. Collison),,3,0
24,1,9:48.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by D. Collison),3,3
25,1,9:30.0,P. George makes 3-pt jump shot from 27 ft (assist by R. Westbrook),,6,3
26,1,9:08.0,,D. Collison makes 2-pt jump shot from 18 ft (assist by W. Matthews),6,5
27,1,8:51.0,P. George misses 3-pt jump shot from 27 ft,,6,5
28,1,8:47.0,,Defensive rebound by D. Collison,6,5
29,1,8:41.0,,Shooting foul by T. Ferguson (drawn by D. Collison),6,5
30,1,8:41.0,,D. Collison makes free throw 1 of 2,6,6
31,1,8:41.0,,D. Collison makes free throw 2 of 2,6,7
32,1,8:26.0,S. Adams misses 2-pt jump shot from 11 ft,,6,7
33,1,8:22.0,Offensive rebound by J. Grant,,6,7
34,1,8:22.0,J. Grant misses 2-pt layup at rim,,6,7
35,1,8:21.0,,Defensive rebound by M. Turner,6,7
36,1,8:13.0,,T. Young makes 2-pt jump shot from 3 ft,6,9
37,1,8:00.0,S. Adams misses 2-pt layup from 1 ft,,6,9
38,1,7:57.0,Offensive rebound by S. Adams,,6,9
39,1,7:57.0,S. Adams misses 2-pt layup at rim,,6,9
40,1,7:57.0,Offensive rebound by Team,,6,9
41,1,7:51.0,R. Westbrook makes 2-pt jump shot from 13 ft (assist by S. Adams),,8,9
42,1,7:36.0,,W. Matthews misses 2-pt jump shot from 4 ft (block by J. Grant),8,9
43,1,7:32.0,,Offensive rebound by T. Young,8,9
44,1,7:28.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by T. Young),8,11
45,1,7:28.0,Violation by Team (def goaltending),,8,11
46,1,7:19.0,S. Adams makes 2-pt jump shot from 10 ft (assist by R. Westbrook),,10,11
47,1,7:00.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,10,11
48,1,6:55.0,Defensive rebound by S. Adams,,10,11
49,1,6:46.0,Turnover by R. Westbrook (bad pass),,10,11
50,1,6:46.0,,Indiana full timeout,10,11
51,1,6:30.0,,M. Turner misses 2-pt jump shot from 20 ft,10,11
52,1,6:27.0,Defensive rebound by R. Westbrook,,10,11
53,1,6:21.0,R. Westbrook makes 2-pt layup from 2 ft,,12,11
54,1,6:05.0,,Turnover by W. Matthews (bad pass; steal by J. Grant),12,11
55,1,6:00.0,J. Grant makes 2-pt dunk from 1 ft (assist by R. Westbrook),,14,11
56,1,5:45.0,,Shooting foul by T. Ferguson (drawn by B. Bogdanović),14,11
57,1,5:45.0,,B. Bogdanović misses free throw 1 of 2,14,11
58,1,5:45.0,,Offensive rebound by Team,14,11
59,1,5:45.0,D. Schröder enters the game for P. George,,14,11
60,1,5:45.0,,C. Joseph enters the game for W. Matthews,14,11
61,1,5:45.0,,B. Bogdanović makes free throw 2 of 2,14,12
62,1,5:30.0,Shooting foul by T. Young (drawn by J. Grant),,14,12
63,1,5:30.0,J. Grant misses free throw 1 of 2,,14,12
64,1,5:30.0,Offensive rebound by Team,,14,12
65,1,5:30.0,J. Grant makes free throw 2 of 2,,15,12
66,1,5:08.0,,Turnover by M. Turner (traveling),15,12
67,1,5:00.0,R. Westbrook misses 2-pt jump shot from 16 ft,,15,12
68,1,4:58.0,,Defensive rebound by B. Bogdanović,15,12
69,1,4:44.0,,Turnover by T. Young (lost ball; steal by R. Westbrook),15,12
70,1,4:39.0,T. Ferguson misses 3-pt jump shot from 24 ft,,15,12
71,1,4:35.0,Offensive rebound by D. Schröder,,15,12
72,1,4:30.0,R. Westbrook misses 3-pt jump shot from 26 ft,,15,12
73,1,4:26.0,,Defensive rebound by C. Joseph,15,12
74,1,4:24.0,,B. Bogdanović misses 3-pt jump shot from 27 ft,15,12
75,1,4:19.0,Defensive rebound by T. Ferguson,,15,12
76,1,4:03.0,Turnover by J. Grant (bad pass; steal by T. Young),,15,12
77,1,3:56.0,,T. Young misses 3-pt jump shot from 24 ft,15,12
78,1,3:53.0,Defensive rebound by R. Westbrook,,15,12
79,1,3:50.0,Turnover by R. Westbrook (bad pass; steal by C. Joseph),,15,12
80,1,3:44.0,,T. Young misses 3-pt jump shot from 23 ft,15,12
81,1,3:41.0,Defensive rebound by R. Westbrook,,15,12
82,1,3:33.0,D. Schröder makes 3-pt jump shot from 24 ft (assist by R. Westbrook),,18,12
83,1,3:06.0,,M. Turner misses 2-pt jump shot from 19 ft,18,12
84,1,3:03.0,Defensive rebound by R. Westbrook,,18,12
