,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MEMPHIS_ACTION,WASHINGTON_SCORE,MEMPHIS_SCORE
0,1,11:38.0,,G. Temple misses 3-pt jump shot from 26 ft,0,0
1,1,11:33.0,,Offensive rebound by K. Anderson,0,0
2,1,11:21.0,,M. Conley misses 2-pt jump shot from 19 ft,0,0
3,1,11:16.0,Defensive rebound by J. Wall,,0,0
4,1,11:04.0,J. Green misses 2-pt jump shot from 13 ft,,0,0
5,1,11:01.0,,Defensive rebound by K. Anderson,0,0
6,1,10:52.0,,J. Jackson misses 2-pt hook shot from 12 ft,0,0
7,1,10:49.0,Defensive rebound by I. Mahinmi,,0,0
8,1,10:44.0,Shooting foul by J. Jackson (drawn by B. Beal),,0,0
9,1,10:44.0,B. Beal makes free throw 1 of 2,,1,0
10,1,10:44.0,B. Beal makes free throw 2 of 2,,2,0
11,1,10:30.0,,G. Temple misses 2-pt layup from 4 ft (block by B. Beal),2,0
12,1,10:30.0,,Offensive rebound by G. Temple,2,0
13,1,10:30.0,,Turnover by G. Temple (bad pass; steal by J. Wall),2,0
14,1,10:23.0,O. Porter makes 3-pt jump shot from 23 ft (assist by B. Beal),,5,0
15,1,10:05.0,,G. Temple makes 3-pt jump shot from 25 ft (assist by K. Anderson),5,3
16,1,9:48.0,B. Beal makes 2-pt layup from 1 ft (assist by J. Wall),,7,3
17,1,9:27.0,,G. Temple misses 2-pt layup from 2 ft,7,3
18,1,9:23.0,Defensive rebound by J. Green,,7,3
19,1,9:12.0,Personal foul by K. Anderson (drawn by I. Mahinmi),,7,3
20,1,9:06.0,O. Porter misses 3-pt jump shot from 24 ft,,7,3
21,1,9:02.0,,Defensive rebound by M. Conley,7,3
22,1,8:55.0,,Shooting foul by O. Porter (drawn by M. Conley),7,3
23,1,8:55.0,,M. Conley misses free throw 1 of 2,7,3
24,1,8:55.0,,Offensive rebound by Team,7,3
25,1,8:55.0,,M. Conley misses free throw 2 of 2,7,3
26,1,8:53.0,Defensive rebound by I. Mahinmi,,7,3
27,1,8:38.0,Turnover by B. Beal (bad pass; steal by M. Gasol),,7,3
28,1,8:33.0,,Turnover by K. Anderson (lost ball; steal by J. Wall),7,3
29,1,8:28.0,B. Beal misses 3-pt jump shot from 24 ft,,7,3
30,1,8:23.0,,Defensive rebound by K. Anderson,7,3
31,1,8:18.0,,Offensive foul by J. Jackson (drawn by J. Green),7,3
32,1,8:18.0,,Turnover by J. Jackson (offensive foul),7,3
33,1,8:18.0,,W. Selden enters the game for J. Jackson,7,3
34,1,8:06.0,O. Porter misses 2-pt jump shot from 18 ft,,7,3
35,1,8:00.0,,Defensive rebound by G. Temple,7,3
36,1,7:45.0,,M. Gasol misses 2-pt jump shot from 15 ft,7,3
37,1,7:43.0,Defensive rebound by O. Porter,,7,3
38,1,7:37.0,I. Mahinmi makes 2-pt layup from 1 ft (assist by O. Porter),,9,3
39,1,7:37.0,,Memphis full timeout,9,3
40,1,7:37.0,,D. Brooks enters the game for K. Anderson,9,3
41,1,7:22.0,,D. Brooks makes 2-pt layup from 1 ft (assist by M. Gasol),9,5
42,1,7:01.0,I. Mahinmi misses 2-pt layup from 2 ft,,9,5
43,1,6:59.0,,Defensive rebound by D. Brooks,9,5
44,1,6:54.0,,G. Temple makes 3-pt jump shot from 26 ft (assist by D. Brooks),9,8
45,1,6:36.0,B. Beal makes 3-pt jump shot from 23 ft (assist by J. Wall),,12,8
