,QUARTER,TIME_REMAINING,DALLAS_ACTION,GOLDEN STATE_ACTION,DALLAS_SCORE,GOLDEN STATE_SCORE
0,1,11:46.0,,K. Durant misses 2-pt jump shot from 18 ft,0,0
1,1,11:45.0,Defensive rebound by L. Dončić,,0,0
2,1,11:30.0,D. Nowitzki makes 2-pt jump shot from 22 ft (assist by L. Dončić),,2,0
3,1,11:16.0,,K. Thompson misses 2-pt jump shot from 20 ft,2,0
4,1,11:15.0,Defensive rebound by L. Dončić,,2,0
5,1,10:56.0,D. Nowitzki makes 3-pt jump shot from 27 ft (assist by J. Jackson),,5,0
6,1,10:35.0,,K. Durant makes 2-pt jump shot from 10 ft,5,2
7,1,10:21.0,J. Brunson makes 2-pt hook shot from 8 ft (assist by L. Dončić),,7,2
8,1,10:11.0,,Q. Cook misses 2-pt hook shot from 10 ft,7,2
9,1,10:10.0,Defensive rebound by D. Powell,,7,2
10,1,9:52.0,L. Dončić makes 2-pt jump shot from 13 ft,,9,2
11,1,9:38.0,,D. Cousins misses 2-pt jump shot from 20 ft,9,2
12,1,9:33.0,Defensive rebound by L. Dončić,,9,2
13,1,9:29.0,J. Jackson misses 3-pt jump shot from 26 ft,,9,2
14,1,9:27.0,Offensive rebound by D. Powell,,9,2
15,1,9:23.0,D. Nowitzki makes 3-pt jump shot from 27 ft (assist by D. Powell),,12,2
16,1,9:21.0,,Golden State full timeout,12,2
17,1,9:11.0,,K. Durant misses 3-pt jump shot from 27 ft,12,2
18,1,9:08.0,Defensive rebound by L. Dončić,,12,2
19,1,9:01.0,Turnover by L. Dončić (bad pass; steal by K. Thompson),,12,2
20,1,8:57.0,,K. Thompson misses 3-pt jump shot from 27 ft,12,2
21,1,8:55.0,,Offensive rebound by D. Cousins,12,2
22,1,8:50.0,,K. Durant misses 3-pt jump shot from 26 ft,12,2
23,1,8:48.0,Defensive rebound by J. Brunson,,12,2
24,1,8:33.0,D. Nowitzki makes 2-pt jump shot from 17 ft (assist by L. Dončić),,14,2
25,1,8:19.0,,D. Cousins makes 3-pt jump shot from 31 ft (assist by D. Green),14,5
26,1,7:58.0,J. Jackson misses 3-pt jump shot from 23 ft,,14,5
27,1,7:56.0,,Defensive rebound by Q. Cook,14,5
28,1,7:53.0,,Personal foul by D. Nowitzki (drawn by K. Durant),14,5
29,1,7:53.0,M. Kleber enters the game for D. Nowitzki,,14,5
30,1,7:46.0,,Q. Cook misses 3-pt jump shot from 27 ft,14,5
31,1,7:46.0,,Offensive rebound by Team,14,5
32,1,7:43.0,,Turnover by D. Green (bad pass; steal by L. Dončić),14,5
33,1,7:39.0,J. Jackson makes 2-pt layup from 4 ft (assist by J. Brunson),,16,5
34,1,7:26.0,,D. Cousins misses 2-pt jump shot from 9 ft,16,5
35,1,7:25.0,,Offensive rebound by D. Cousins,16,5
36,1,7:24.0,,D. Cousins makes 2-pt layup from 1 ft,16,7
37,1,7:03.0,L. Dončić makes 3-pt jump shot from 28 ft,,19,7
38,1,6:52.0,,Personal foul by D. Powell (drawn by D. Cousins),19,7
39,1,6:41.0,,K. Durant misses 2-pt layup from 3 ft,19,7
40,1,6:39.0,Defensive rebound by L. Dončić,,19,7
41,1,6:35.0,Personal foul by K. Thompson (drawn by D. Powell),,19,7
42,1,6:29.0,L. Dončić makes 3-pt jump shot from 28 ft,,22,7
43,1,6:19.0,,Q. Cook makes 3-pt jump shot from 28 ft (assist by K. Durant),22,10
44,1,6:03.0,L. Dončić makes 3-pt jump shot from 28 ft,,25,10
45,1,5:54.0,,K. Durant misses 2-pt jump shot from 16 ft,25,10
46,1,5:53.0,Defensive rebound by L. Dončić,,25,10
47,1,5:42.0,L. Dončić misses 3-pt jump shot from 30 ft,,25,10
48,1,5:40.0,,Defensive rebound by Q. Cook,25,10
49,1,5:38.0,,K. Durant makes 2-pt dunk from 1 ft (assist by Q. Cook),25,12
50,1,5:38.0,Dallas full timeout,,25,12
51,1,5:38.0,,A. Iguodala enters the game for Q. Cook,25,12
52,1,5:38.0,,K. Looney enters the game for D. Cousins,25,12
53,1,5:20.0,M. Kleber makes 3-pt jump shot from 28 ft (assist by L. Dončić),,28,12
54,1,5:03.0,,K. Thompson misses 3-pt jump shot from 27 ft,28,12
55,1,5:01.0,Defensive rebound by M. Kleber,,28,12
56,1,4:52.0,Personal foul by A. Iguodala (drawn by J. Jackson),,28,12
57,1,4:52.0,D. Nowitzki enters the game for D. Powell,,28,12
58,1,4:40.0,J. Brunson makes 2-pt layup from 2 ft,,30,12
59,1,4:31.0,,Shooting foul by M. Kleber (drawn by K. Durant),30,12
60,1,4:31.0,,K. Durant makes free throw 1 of 2,30,13
61,1,4:31.0,,K. Durant makes free throw 2 of 2,30,14
62,1,4:13.0,M. Kleber makes 2-pt jump shot from 12 ft (assist by J. Brunson),,32,14
63,1,3:57.0,,K. Thompson misses 2-pt jump shot from 19 ft,32,14
64,1,3:56.0,Defensive rebound by L. Dončić,,32,14
65,1,3:49.0,L. Dončić misses 3-pt jump shot from 26 ft,,32,14
66,1,3:47.0,,Defensive rebound by D. Green,32,14
67,1,3:38.0,,K. Durant makes 2-pt jump shot from 13 ft,32,16
68,1,3:12.0,J. Brunson misses 3-pt jump shot from 26 ft,,32,16
69,1,3:10.0,,Defensive rebound by D. Green,32,16
70,1,3:03.0,,A. Iguodala misses 3-pt jump shot from 25 ft,32,16
