,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,LA LAKERS_ACTION,MINNESOTA_SCORE,LA LAKERS_SCORE
0,1,11:42.0,A. Wiggins misses 2-pt jump shot from 15 ft,,0,0
1,1,11:39.0,,Defensive rebound by K. Caldwell-Pope,0,0
2,1,11:28.0,,Offensive foul by I. Zubac (drawn by D. Rose),0,0
3,1,11:28.0,,Turnover by I. Zubac (offensive foul),0,0
4,1,11:11.0,K. Towns makes 2-pt hook shot from 7 ft,,2,0
5,1,10:55.0,,I. Zubac makes 2-pt layup from 1 ft (assist by R. Rondo),2,2
6,1,10:45.0,K. Towns makes 3-pt jump shot from 25 ft (assist by D. Rose),,5,2
7,1,10:31.0,,I. Zubac misses 2-pt layup from 3 ft,5,2
8,1,10:28.0,Defensive rebound by A. Wiggins,,5,2
9,1,10:14.0,J. Okogie misses 3-pt jump shot from 25 ft,,5,2
10,1,10:10.0,,Defensive rebound by I. Zubac,5,2
11,1,9:55.0,,K. Kuzma misses 2-pt jump shot from 5 ft,5,2
12,1,9:51.0,Defensive rebound by K. Towns,,5,2
13,1,9:49.0,Turnover by K. Towns (bad pass; steal by R. Rondo),,5,2
14,1,9:46.0,,K. Kuzma misses 3-pt jump shot from 25 ft,5,2
15,1,9:42.0,,Offensive rebound by R. Rondo,5,2
16,1,9:40.0,,R. Rondo misses 2-pt layup from 3 ft,5,2
17,1,9:37.0,Defensive rebound by T. Gibson,,5,2
18,1,9:32.0,A. Wiggins makes 2-pt layup from 2 ft (assist by D. Rose),,7,2
19,1,9:17.0,,Shooting foul by K. Towns (drawn by B. Ingram),7,2
20,1,9:17.0,,B. Ingram makes free throw 1 of 2,7,3
21,1,9:17.0,,B. Ingram makes free throw 2 of 2,7,4
22,1,9:01.0,A. Wiggins misses 2-pt layup from 3 ft,,7,4
23,1,8:58.0,Offensive rebound by K. Towns,,7,4
24,1,8:58.0,K. Towns makes 2-pt layup at rim,,9,4
25,1,8:47.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,9,4
26,1,8:42.0,Defensive rebound by D. Rose,,9,4
27,1,8:34.0,D. Rose makes 2-pt layup from 2 ft,,11,4
28,1,8:23.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by R. Rondo),11,6
29,1,8:10.0,K. Towns misses 2-pt jump shot from 19 ft,,11,6
30,1,8:06.0,,Defensive rebound by B. Ingram,11,6
31,1,8:00.0,,I. Zubac misses 2-pt hook shot from 5 ft,11,6
32,1,7:58.0,Defensive rebound by T. Gibson,,11,6
33,1,7:52.0,D. Rose misses 2-pt jump shot from 17 ft,,11,6
34,1,7:49.0,Offensive rebound by T. Gibson,,11,6
35,1,7:49.0,Shooting foul by R. Rondo (drawn by T. Gibson),,11,6
36,1,7:49.0,T. Gibson makes free throw 1 of 2,,12,6
37,1,7:49.0,T. Gibson makes free throw 2 of 2,,13,6
38,1,7:35.0,,I. Zubac makes 2-pt dunk from 1 ft (assist by K. Kuzma),13,8
39,1,7:24.0,A. Wiggins misses 3-pt jump shot from 25 ft,,13,8
40,1,7:21.0,,Defensive rebound by K. Caldwell-Pope,13,8
41,1,7:13.0,,R. Rondo makes 3-pt jump shot from 26 ft (assist by I. Zubac),13,11
42,1,6:52.0,D. Rose misses 3-pt jump shot from 26 ft,,13,11
43,1,6:49.0,,Defensive rebound by R. Rondo,13,11
44,1,6:27.0,,B. Ingram misses 2-pt jump shot from 21 ft,13,11
45,1,6:27.0,,Offensive rebound by Team,13,11
46,1,6:27.0,,Turnover by Team (shot clock),13,11
47,1,6:27.0,,LA Lakers full timeout,13,11
48,1,6:12.0,A. Wiggins makes 2-pt hook shot from 3 ft,,15,11
49,1,5:53.0,,R. Rondo misses 2-pt hook shot from 4 ft,15,11
50,1,5:50.0,,Offensive rebound by I. Zubac,15,11
51,1,5:50.0,,I. Zubac makes 2-pt layup from 1 ft,15,13
52,1,5:34.0,T. Gibson misses 2-pt jump shot from 7 ft,,15,13
53,1,5:31.0,,Defensive rebound by B. Ingram,15,13
54,1,5:27.0,,B. Ingram makes 2-pt layup from 1 ft,15,15
55,1,5:04.0,D. Rose makes 2-pt jump shot from 15 ft (assist by J. Okogie),,17,15
56,1,4:55.0,,B. Ingram misses 3-pt jump shot from 24 ft,17,15
57,1,4:50.0,Defensive rebound by K. Towns,,17,15
58,1,4:49.0,Offensive foul by K. Towns (drawn by R. Rondo),,17,15
59,1,4:49.0,Turnover by K. Towns (offensive foul),,17,15
60,1,4:49.0,J. Bayless enters the game for T. Gibson,,17,15
61,1,4:49.0,G. Dieng enters the game for D. Rose,,17,15
62,1,4:49.0,D. Šarić enters the game for K. Towns,,17,15
63,1,4:49.0,,M. Beasley enters the game for K. Kuzma,17,15
64,1,4:49.0,,J. McGee enters the game for I. Zubac,17,15
65,1,4:24.0,,R. Rondo misses 3-pt jump shot from 28 ft,17,15
66,1,4:22.0,Defensive rebound by A. Wiggins,,17,15
67,1,4:15.0,J. Bayless misses 3-pt jump shot from 23 ft,,17,15
68,1,4:11.0,,Defensive rebound by J. McGee,17,15
69,1,4:05.0,,M. Beasley makes 2-pt layup from 2 ft (assist by R. Rondo),17,17
70,1,3:51.0,J. Okogie misses 3-pt jump shot from 25 ft,,17,17
71,1,3:47.0,Offensive rebound by D. Šarić,,17,17
72,1,3:41.0,J. Bayless makes 3-pt jump shot from 25 ft (assist by D. Šarić),,20,17
73,1,3:27.0,,M. Beasley makes 2-pt layup from 3 ft (assist by R. Rondo),20,19
74,1,3:18.0,D. Šarić misses 3-pt jump shot from 26 ft,,20,19
75,1,3:13.0,,Defensive rebound by B. Ingram,20,19
76,1,3:04.0,,R. Rondo makes 3-pt jump shot from 26 ft (assist by B. Ingram),20,22
77,1,2:41.0,J. Bayless makes 2-pt jump shot from 19 ft,,22,22
78,1,2:21.0,,B. Ingram makes 2-pt jump shot from 5 ft,22,24
79,1,2:07.0,Turnover by A. Wiggins (lost ball; steal by K. Caldwell-Pope),,22,24
80,1,2:02.0,,R. Rondo makes 2-pt dunk from 1 ft (assist by K. Caldwell-Pope),22,26
81,1,2:02.0,Minnesota full timeout,,22,26
