,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,SACRAMENTO_ACTION,MINNESOTA_SCORE,SACRAMENTO_SCORE
0,1,11:42.0,D. Rose misses 2-pt jump shot from 5 ft,,0,0
1,1,11:40.0,Offensive rebound by K. Towns,,0,0
2,1,11:38.0,K. Towns makes 2-pt hook shot from 4 ft,,2,0
3,1,11:26.0,,N. Bjelica misses 3-pt jump shot from 25 ft,2,0
4,1,11:26.0,Defensive rebound by J. Okogie,,2,0
5,1,11:02.0,J. Butler misses 2-pt jump shot from 20 ft,,2,0
6,1,10:59.0,,Defensive rebound by B. Hield,2,0
7,1,10:53.0,,B. Hield misses 2-pt jump shot from 20 ft,2,0
8,1,10:47.0,,Offensive rebound by D. Fox,2,0
9,1,10:43.0,,I. Shumpert misses 3-pt jump shot from 25 ft,2,0
10,1,10:39.0,Defensive rebound by K. Towns,,2,0
11,1,10:31.0,T. Gibson makes 2-pt jump shot from 5 ft (assist by J. Butler),,4,0
12,1,10:22.0,,B. Hield misses 3-pt jump shot from 25 ft,4,0
13,1,10:19.0,Defensive rebound by J. Butler,,4,0
14,1,10:15.0,D. Rose makes 3-pt jump shot from 25 ft (assist by J. Butler),,7,0
15,1,10:05.0,,Shooting foul by D. Rose (drawn by D. Fox),7,0
16,1,10:05.0,,D. Fox makes free throw 1 of 2,7,1
17,1,10:05.0,,D. Fox misses free throw 2 of 2,7,1
18,1,10:05.0,Defensive rebound by T. Gibson,,7,1
19,1,9:57.0,D. Rose misses 2-pt jump shot from 4 ft,,7,1
20,1,9:57.0,,Defensive rebound by N. Bjelica,7,1
21,1,9:53.0,,Turnover by N. Bjelica (palming),7,1
22,1,9:29.0,K. Towns makes 2-pt jump shot from 3 ft,,9,1
23,1,9:22.0,,N. Bjelica misses 3-pt jump shot from 23 ft,9,1
24,1,9:22.0,Defensive rebound by J. Okogie,,9,1
25,1,9:10.0,J. Butler misses 2-pt layup from 1 ft,,9,1
26,1,9:09.0,,Defensive rebound by Team,9,1
27,1,9:09.0,,Sacramento full timeout,9,1
28,1,9:09.0,,M. Bagley enters the game for N. Bjelica,9,1
29,1,8:48.0,,M. Bagley misses 2-pt jump shot from 12 ft,9,1
30,1,8:48.0,,Offensive rebound by Team,9,1
31,1,8:48.0,,Personal foul by K. Towns (drawn by W. Cauley-Stein),9,1
32,1,8:39.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by B. Hield),9,3
33,1,8:22.0,T. Gibson makes 2-pt layup from 3 ft,,11,3
34,1,8:13.0,,I. Shumpert misses 2-pt jump shot from 18 ft,11,3
35,1,8:09.0,,Offensive rebound by M. Bagley,11,3
36,1,8:08.0,,M. Bagley misses 2-pt hook shot from 8 ft,11,3
