,QUARTER,TIME_REMAINING,INDIANA_ACTION,ATLANTA_ACTION,INDIANA_SCORE,ATLANTA_SCORE
0,1,11:40.0,D. Collison makes 2-pt jump shot from 14 ft (assist by K. O'Quinn),,2,0
1,1,11:29.0,,A. Len misses 3-pt jump shot from 26 ft,2,0
2,1,11:25.0,Defensive rebound by T. Leaf,,2,0
3,1,11:13.0,T. Evans makes 3-pt jump shot from 24 ft (assist by D. Collison),,5,0
4,1,11:00.0,,T. Prince makes 2-pt layup from 1 ft (assist by T. Young),5,2
5,1,10:42.0,D. McDermott misses 2-pt layup from 1 ft,,5,2
6,1,10:39.0,,Defensive rebound by J. Collins,5,2
7,1,10:36.0,,T. Young misses 3-pt jump shot from 29 ft,5,2
8,1,10:32.0,Defensive rebound by T. Evans,,5,2
9,1,10:22.0,K. O'Quinn misses 2-pt jump shot from 17 ft,,5,2
10,1,10:19.0,,Defensive rebound by J. Collins,5,2
11,1,10:10.0,,T. Prince misses 2-pt jump shot from 18 ft,5,2
12,1,10:03.0,Defensive rebound by K. O'Quinn,,5,2
13,1,9:58.0,T. Evans makes 3-pt jump shot from 25 ft,,8,2
14,1,9:46.0,,Personal foul by D. Collison (drawn by T. Young),8,2
15,1,9:38.0,,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),8,4
16,1,9:27.0,T. Leaf misses 3-pt jump shot from 25 ft,,8,4
17,1,9:23.0,,Defensive rebound by T. Prince,8,4
18,1,9:16.0,,T. Prince misses 2-pt jump shot from 14 ft,8,4
19,1,9:13.0,Defensive rebound by K. O'Quinn,,8,4
20,1,8:58.0,K. O'Quinn makes 2-pt layup from 1 ft (assist by D. Collison),,10,4
21,1,8:45.0,,K. Huerter makes 3-pt jump shot from 23 ft (assist by T. Prince),10,7
22,1,8:35.0,Shooting foul by T. Prince (drawn by T. Evans),,10,7
23,1,8:35.0,T. Evans makes free throw 1 of 2,,11,7
24,1,8:35.0,T. Evans makes free throw 2 of 2,,12,7
25,1,8:30.0,,Personal foul by T. Evans (drawn by T. Young),12,7
26,1,8:21.0,,J. Collins makes 3-pt jump shot from 23 ft (assist by K. Huerter),12,10
27,1,8:08.0,T. Leaf misses 2-pt layup from 1 ft (block by J. Collins),,12,10
28,1,8:05.0,,Defensive rebound by T. Young,12,10
29,1,7:54.0,,A. Len misses 2-pt jump shot from 12 ft,12,10
30,1,7:50.0,,Offensive rebound by A. Len,12,10
31,1,7:47.0,,A. Len makes 2-pt dunk from 1 ft (assist by J. Collins),12,12
32,1,7:28.0,D. McDermott misses 2-pt jump shot from 17 ft,,12,12
33,1,7:25.0,Offensive rebound by T. Leaf,,12,12
34,1,7:21.0,Turnover by T. Evans (bad pass; steal by K. Huerter),,12,12
35,1,7:18.0,,Turnover by K. Huerter (bad pass),12,12
36,1,7:07.0,D. Collison misses 2-pt jump shot from 18 ft,,12,12
37,1,7:03.0,,Defensive rebound by J. Collins,12,12
38,1,6:55.0,,J. Collins misses 2-pt dunk at rim,12,12
39,1,6:52.0,Defensive rebound by T. Evans,,12,12
40,1,6:50.0,T. Evans makes 2-pt layup at rim,,14,12
41,1,6:28.0,,A. Len makes 3-pt jump shot from 26 ft (assist by K. Huerter),14,15
42,1,6:10.0,T. Leaf makes 2-pt jump shot from 8 ft (assist by T. Evans),,16,15
43,1,6:01.0,,T. Young misses 2-pt jump shot from 6 ft (block by T. Leaf),16,15
44,1,6:01.0,,Offensive rebound by Team,16,15
45,1,6:01.0,,Atlanta full timeout,16,15
46,1,6:01.0,A. Johnson enters the game for T. Leaf,,16,15
47,1,5:51.0,,A. Len misses 2-pt layup from 1 ft,16,15
48,1,5:47.0,,Offensive rebound by A. Len,16,15
49,1,5:47.0,,A. Len misses 2-pt layup from 1 ft,16,15
50,1,5:47.0,,Offensive rebound by A. Len,16,15
51,1,5:47.0,,A. Len misses 2-pt layup at rim,16,15
52,1,5:47.0,,Offensive rebound by A. Len,16,15
53,1,5:47.0,,Shooting foul by T. Evans (drawn by A. Len),16,15
54,1,5:47.0,,A. Len makes free throw 1 of 2,16,16
55,1,5:47.0,,A. Len makes free throw 2 of 2,16,17
56,1,5:36.0,K. O'Quinn makes 2-pt jump shot from 19 ft (assist by T. Evans),,18,17
57,1,5:23.0,,J. Collins misses 2-pt layup from 1 ft,18,17
58,1,5:20.0,,Offensive rebound by J. Collins,18,17
59,1,5:18.0,,K. Huerter makes 3-pt jump shot from 25 ft (assist by J. Collins),18,20
60,1,5:05.0,D. McDermott misses 2-pt jump shot from 18 ft,,18,20
61,1,5:02.0,,Defensive rebound by A. Len,18,20
62,1,4:52.0,,T. Young misses 3-pt jump shot from 26 ft,18,20
63,1,4:48.0,Defensive rebound by D. Collison,,18,20
64,1,4:38.0,D. McDermott makes 3-pt jump shot from 25 ft (assist by D. Collison),,21,20
65,1,4:24.0,,Shooting foul by D. McDermott (drawn by A. Len),21,20
66,1,4:24.0,,A. Len makes free throw 1 of 2,21,21
67,1,4:24.0,C. Joseph enters the game for T. Evans,,21,21
68,1,4:24.0,,D. Bembry enters the game for J. Collins,21,21
69,1,4:24.0,,V. Carter enters the game for K. Huerter,21,21
70,1,4:24.0,,A. Len misses free throw 2 of 2,21,21
71,1,4:20.0,Defensive rebound by C. Joseph,,21,21
72,1,4:04.0,Shooting foul by A. Len (drawn by K. O'Quinn),,21,21
73,1,4:04.0,K. O'Quinn makes free throw 1 of 2,,22,21
74,1,4:04.0,,J. Adams enters the game for A. Len,22,21
75,1,4:04.0,,K. Bazemore enters the game for T. Prince,22,21
76,1,4:04.0,,D. Davis enters the game for T. Young,22,21
77,1,4:04.0,K. O'Quinn makes free throw 2 of 2,,23,21
78,1,3:51.0,,J. Adams misses 2-pt layup from 10 ft (block by K. O'Quinn),23,21
79,1,3:51.0,,Offensive rebound by Team,23,21
80,1,3:45.0,,Turnover by K. Bazemore (bad pass; steal by D. Collison),23,21
81,1,3:42.0,A. Johnson misses 2-pt layup from 1 ft,,23,21
82,1,3:41.0,Offensive rebound by A. Johnson,,23,21
83,1,3:39.0,A. Johnson makes 2-pt layup from 1 ft,,25,21
84,1,3:30.0,,V. Carter misses 3-pt jump shot from 25 ft,25,21
85,1,3:27.0,,Offensive rebound by D. Davis,25,21
86,1,3:27.0,,Shooting foul by K. O'Quinn (drawn by D. Davis),25,21
87,1,3:27.0,,D. Davis makes free throw 1 of 2,25,22
88,1,3:27.0,T. Leaf enters the game for K. O'Quinn,,25,22
89,1,3:27.0,,D. Davis makes free throw 2 of 2,25,23
90,1,3:16.0,Personal foul by J. Adams (drawn by D. Collison),,25,23
91,1,3:11.0,T. Leaf makes 2-pt jump shot from 11 ft (assist by D. Collison),,27,23
92,1,2:51.0,,D. Bembry misses 2-pt layup from 1 ft,27,23
93,1,2:48.0,Defensive rebound by A. Johnson,,27,23
94,1,2:29.0,D. McDermott misses 2-pt jump shot from 13 ft,,27,23
95,1,2:26.0,Offensive rebound by A. Johnson,,27,23
96,1,2:26.0,Shooting foul by D. Bembry (drawn by A. Johnson),,27,23
97,1,2:26.0,Indiana full timeout,,27,23
98,1,2:26.0,A. Holiday enters the game for D. Collison,,27,23
99,1,2:26.0,E. Sumner enters the game for D. McDermott,,27,23
100,1,2:26.0,A. Johnson makes free throw 1 of 2,,28,23
101,1,2:26.0,A. Johnson makes free throw 2 of 2,,29,23
102,1,2:14.0,,Def 3 sec tech foul by Team,29,23
103,1,2:14.0,,J. Adams makes technical free throw,29,24
104,1,2:10.0,,K. Bazemore misses 2-pt jump shot from 16 ft,29,24
105,1,2:07.0,Defensive rebound by A. Johnson,,29,24
106,1,1:55.0,E. Sumner misses 3-pt jump shot from 23 ft,,29,24
107,1,1:53.0,Offensive rebound by T. Leaf,,29,24
